date,boll_ub,ticker,date
2018-01-02,,axp,2018-01-02
2018-01-03,93.58514954488145,axp,2018-01-03
2018-01-04,95.58181086667413,axp,2018-01-04
2018-01-05,96.04498768217061,axp,2018-01-05
2018-01-08,95.78708920825662,axp,2018-01-08
2018-01-09,95.70983228179496,axp,2018-01-09
2018-01-10,95.89425364842334,axp,2018-01-10
2018-01-11,95.8461330154012,axp,2018-01-11
2018-01-12,95.85693787618222,axp,2018-01-12
2018-01-16,95.75732295215283,axp,2018-01-16
2018-01-17,95.72520509258696,axp,2018-01-17
2018-01-18,95.64054964162787,axp,2018-01-18
2018-01-19,95.85297347361501,axp,2018-01-19
2018-01-22,95.8818021445963,axp,2018-01-22
2018-01-23,95.92028035861748,axp,2018-01-23
2018-01-24,95.8293577703192,axp,2018-01-24
2018-01-25,95.75319318343853,axp,2018-01-25
2018-01-26,95.68196892926392,axp,2018-01-26
2018-01-29,95.61272809000415,axp,2018-01-29
2018-01-30,95.5642922820069,axp,2018-01-30
2018-01-31,95.54107043016053,axp,2018-01-31
2018-02-01,95.5608334290608,axp,2018-02-01
2018-02-02,95.73002126254035,axp,2018-02-02
2018-02-05,96.88677367639038,axp,2018-02-05
2018-02-06,97.11287222340364,axp,2018-02-06
2018-02-07,97.25043839638059,axp,2018-02-07
2018-02-08,98.12669347999274,axp,2018-02-08
2018-02-09,98.07740562110234,axp,2018-02-09
2018-02-12,97.68755838167651,axp,2018-02-12
2018-02-13,97.34076289674937,axp,2018-02-13
2018-02-14,96.8958915826442,axp,2018-02-14
2018-02-15,96.57519286610463,axp,2018-02-15
2018-02-16,96.47962850285231,axp,2018-02-16
2018-02-20,96.37825644360075,axp,2018-02-20
2018-02-21,96.33470051966049,axp,2018-02-21
2018-02-22,96.11727617684087,axp,2018-02-22
2018-02-23,95.98887950495951,axp,2018-02-23
2018-02-26,96.36153999006727,axp,2018-02-26
2018-02-27,96.38627195133402,axp,2018-02-27
2018-02-28,96.26130730397767,axp,2018-02-28
2018-03-01,95.90690610084181,axp,2018-03-01
2018-03-02,95.42820273121498,axp,2018-03-02
2018-03-05,95.42667637064896,axp,2018-03-05
2018-03-06,95.36200843824639,axp,2018-03-06
2018-03-07,95.37351649323588,axp,2018-03-07
2018-03-08,95.40352790550749,axp,2018-03-08
2018-03-09,94.68971443898396,axp,2018-03-09
2018-03-12,94.29443205570858,axp,2018-03-12
2018-03-13,94.24777222214567,axp,2018-03-13
2018-03-14,94.25078895679216,axp,2018-03-14
2018-03-15,94.34346521055043,axp,2018-03-15
2018-03-16,94.34430563999432,axp,2018-03-16
2018-03-19,94.36452787951787,axp,2018-03-19
2018-03-20,94.3423026008893,axp,2018-03-20
2018-03-21,94.28810391631829,axp,2018-03-21
2018-03-22,94.58116705667528,axp,2018-03-22
2018-03-23,94.69019484815176,axp,2018-03-23
2018-03-26,93.71259082096613,axp,2018-03-26
2018-03-27,93.22653791128565,axp,2018-03-27
2018-03-28,92.98284520197285,axp,2018-03-28
2018-03-29,92.93674894990804,axp,2018-03-29
2018-04-02,92.96901981534252,axp,2018-04-02
2018-04-03,92.72291492427478,axp,2018-04-03
2018-04-04,92.53527926485016,axp,2018-04-04
2018-04-05,92.43578051700908,axp,2018-04-05
2018-04-06,92.13955387317166,axp,2018-04-06
2018-04-09,91.15498154435294,axp,2018-04-09
2018-04-10,90.41825338311514,axp,2018-04-10
2018-04-11,90.15651613447847,axp,2018-04-11
2018-04-12,90.06111898401724,axp,2018-04-12
2018-04-13,89.9561786109806,axp,2018-04-13
2018-04-16,89.66420363873652,axp,2018-04-16
2018-04-17,89.55831341109837,axp,2018-04-17
2018-04-18,89.68179656253986,axp,2018-04-18
2018-04-19,92.3476238634593,axp,2018-04-19
2018-04-20,93.73748028555157,axp,2018-04-20
2018-04-23,94.7632001399937,axp,2018-04-23
2018-04-24,95.65232922661693,axp,2018-04-24
2018-04-25,96.08408328610658,axp,2018-04-25
2018-04-26,96.71274548959738,axp,2018-04-26
2018-04-27,97.18280152066494,axp,2018-04-27
2018-04-30,97.34134343264371,axp,2018-04-30
2018-05-01,97.52934068055305,axp,2018-05-01
2018-05-02,97.62322187198676,axp,2018-05-02
2018-05-03,97.68951492559839,axp,2018-05-03
2018-05-04,97.68792576158903,axp,2018-05-04
2018-05-07,97.65281571146319,axp,2018-05-07
2018-05-08,97.74334588143448,axp,2018-05-08
2018-05-09,97.63005078326773,axp,2018-05-09
2018-05-10,97.7498179188065,axp,2018-05-10
2018-05-11,97.67495085994133,axp,2018-05-11
2018-05-14,97.4947805942316,axp,2018-05-14
2018-05-15,97.06850392912764,axp,2018-05-15
2018-05-16,96.68162302546104,axp,2018-05-16
2018-05-17,96.46348489274563,axp,2018-05-17
2018-05-18,96.48898586728463,axp,2018-05-18
2018-05-21,96.70863347180114,axp,2018-05-21
2018-05-22,97.06171510248096,axp,2018-05-22
2018-05-23,97.26323485800259,axp,2018-05-23
2018-05-24,97.44773716073409,axp,2018-05-24
2018-05-25,97.52322118350432,axp,2018-05-25
2018-05-29,97.60305685082042,axp,2018-05-29
2018-05-30,97.58575122337456,axp,2018-05-30
2018-05-31,97.52186339743803,axp,2018-05-31
2018-06-01,97.38628488339502,axp,2018-06-01
2018-06-04,97.32643330728655,axp,2018-06-04
2018-06-05,97.28409123608913,axp,2018-06-05
2018-06-06,97.32823303274358,axp,2018-06-06
2018-06-07,97.4032634273246,axp,2018-06-07
2018-06-08,97.36928062348329,axp,2018-06-08
2018-06-11,97.34746994365628,axp,2018-06-11
2018-06-12,97.30289343511572,axp,2018-06-12
2018-06-13,97.27603202681567,axp,2018-06-13
2018-06-14,97.25475906782609,axp,2018-06-14
2018-06-15,97.22471450862746,axp,2018-06-15
2018-06-18,97.19525145281406,axp,2018-06-18
2018-06-19,97.116540650063,axp,2018-06-19
2018-06-20,96.91167447509565,axp,2018-06-20
2018-06-21,96.73376584132328,axp,2018-06-21
2018-06-22,96.40351037466817,axp,2018-06-22
2018-06-25,96.16326904768391,axp,2018-06-25
2018-06-26,96.15328208519364,axp,2018-06-26
2018-06-27,96.18624895065727,axp,2018-06-27
2018-06-28,96.22534526383268,axp,2018-06-28
2018-06-29,96.22446807701765,axp,2018-06-29
2018-07-02,96.19294588832808,axp,2018-07-02
2018-07-03,96.14263641671401,axp,2018-07-03
2018-07-05,95.88913099628577,axp,2018-07-05
2018-07-06,95.49544573454462,axp,2018-07-06
2018-07-09,95.35188680071528,axp,2018-07-09
2018-07-10,95.15209521837716,axp,2018-07-10
2018-07-11,95.13677215828032,axp,2018-07-11
2018-07-12,95.45608638147874,axp,2018-07-12
2018-07-13,95.64004508973926,axp,2018-07-13
2018-07-16,95.9468559149797,axp,2018-07-16
2018-07-17,96.31295403107919,axp,2018-07-17
2018-07-18,97.0250074261528,axp,2018-07-18
2018-07-19,97.05100859296833,axp,2018-07-19
2018-07-20,97.04491149225825,axp,2018-07-20
2018-07-23,97.18680059183643,axp,2018-07-23
2018-07-24,97.4436920187738,axp,2018-07-24
2018-07-25,97.81077101811705,axp,2018-07-25
2018-07-26,97.95303555257598,axp,2018-07-26
2018-07-27,98.2676961977415,axp,2018-07-27
2018-07-30,98.17066228920505,axp,2018-07-30
2018-07-31,98.12575538167604,axp,2018-07-31
2018-08-01,97.92278778086136,axp,2018-08-01
2018-08-02,97.83352463009129,axp,2018-08-02
2018-08-03,97.72107801207326,axp,2018-08-03
2018-08-06,97.72162801859066,axp,2018-08-06
2018-08-07,97.79834117514099,axp,2018-08-07
