date,cci_30,ticker,date
2018-01-05,,axp,2018-01-05
2018-01-08,-66.66666666666983,axp,2018-01-08
2018-01-09,-41.472262180252734,axp,2018-01-09
2018-01-10,105.4829124112614,axp,2018-01-10
2018-01-11,22.047081090667604,axp,2018-01-11
2018-01-12,-33.079110869582316,axp,2018-01-12
2018-01-16,85.74280771379594,axp,2018-01-16
2018-01-17,-123.40012624970376,axp,2018-01-17
2018-01-18,-148.23137901983458,axp,2018-01-18
2018-01-19,-301.67459655508065,axp,2018-01-19
2018-01-22,-180.41945014614163,axp,2018-01-22
2018-01-23,-127.23061513747433,axp,2018-01-23
2018-01-24,-54.91318657057952,axp,2018-01-24
2018-01-25,-12.04240728036254,axp,2018-01-25
2018-01-26,-21.895267517534275,axp,2018-01-26
2018-01-29,-14.54354033928233,axp,2018-01-29
2018-01-30,-43.91086817304539,axp,2018-01-30
2018-01-31,-40.7132784955063,axp,2018-01-31
2018-02-01,-20.178136458487558,axp,2018-02-01
2018-02-02,-141.83550244137624,axp,2018-02-02
2018-02-05,-360.92448139092744,axp,2018-02-05
2018-02-06,-275.26621637454105,axp,2018-02-06
2018-02-07,-171.9324055770444,axp,2018-02-07
2018-02-08,-241.63101582771213,axp,2018-02-08
2018-02-09,-195.49835259427104,axp,2018-02-09
2018-02-12,-92.6841261651398,axp,2018-02-12
2018-02-13,-91.26876933461568,axp,2018-02-13
2018-02-14,-54.34694271707373,axp,2018-02-14
2018-02-15,-31.0529694429167,axp,2018-02-15
2018-02-16,-19.843064084678613,axp,2018-02-16
2018-02-20,-9.754648937816741,axp,2018-02-20
2018-02-21,4.387810899137812,axp,2018-02-21
2018-02-22,4.8604014061474565,axp,2018-02-22
2018-02-23,32.44449054216762,axp,2018-02-23
2018-02-26,98.3014498401478,axp,2018-02-26
2018-02-27,90.27070209149743,axp,2018-02-27
2018-02-28,37.882699439972804,axp,2018-02-28
2018-03-01,-28.57123426523526,axp,2018-03-01
2018-03-02,-57.48572530439283,axp,2018-03-02
2018-03-05,-16.11820461393351,axp,2018-03-05
2018-03-06,-18.540934855893155,axp,2018-03-06
2018-03-07,-40.62395522578061,axp,2018-03-07
2018-03-08,-12.088396184397123,axp,2018-03-08
2018-03-09,58.121214347485285,axp,2018-03-09
2018-03-12,57.46383268322446,axp,2018-03-12
2018-03-13,-2.498167547580664,axp,2018-03-13
2018-03-14,-41.27779586138768,axp,2018-03-14
2018-03-15,-48.681548455888546,axp,2018-03-15
2018-03-16,-16.67837524959595,axp,2018-03-16
2018-03-19,-38.69870186944532,axp,2018-03-19
2018-03-20,-28.858882511262877,axp,2018-03-20
2018-03-21,-33.042718701382825,axp,2018-03-21
2018-03-22,-143.07038461672255,axp,2018-03-22
2018-03-23,-189.26382408821453,axp,2018-03-23
2018-03-26,-155.81627158545578,axp,2018-03-26
2018-03-27,-149.81791405204407,axp,2018-03-27
2018-03-28,-126.99960460743912,axp,2018-03-28
2018-03-29,-88.58982323075749,axp,2018-03-29
2018-04-02,-137.9247022792688,axp,2018-04-02
2018-04-03,-104.17745219374675,axp,2018-04-03
2018-04-04,-80.24704658698248,axp,2018-04-04
2018-04-05,-25.495062691659996,axp,2018-04-05
2018-04-06,-91.43204626607502,axp,2018-04-06
