date,close_30_sma,ticker,date
2018-01-05,294.3222961425781,ba,2018-01-05
2018-01-08,294.946533203125,ba,2018-01-08
2018-01-09,297.78485107421875,ba,2018-01-09
2018-01-10,299.64002227783203,ba,2018-01-10
2018-01-11,302.251220703125,ba,2018-01-11
2018-01-12,305.2769724527995,ba,2018-01-12
2018-01-16,307.29527064732144,ba,2018-01-16
2018-01-17,310.69711685180664,ba,2018-01-17
2018-01-18,312.1941155327691,ba,2018-01-18
2018-01-19,313.1601318359375,ba,2018-01-19
2018-01-22,313.97389914772725,ba,2018-01-22
2018-01-23,314.46065012613934,ba,2018-01-23
2018-01-24,314.8065420297476,ba,2018-01-24
2018-01-25,315.6761714390346,ba,2018-01-25
2018-01-26,316.4368408203125,ba,2018-01-26
2018-01-29,316.95947456359863,ba,2018-01-29
2018-01-30,317.24628224092373,ba,2018-01-30
2018-01-31,318.3832719590929,ba,2018-01-31
2018-02-01,319.5294815866571,ba,2018-02-01
2018-02-02,320.1784469604492,ba,2018-02-02
2018-02-05,319.8566327776228,ba,2018-02-05
2018-02-06,320.085185657848,ba,2018-02-06
2018-02-07,320.5926075810971,ba,2018-02-07
2018-02-08,320.3893508911133,ba,2018-02-08
2018-02-09,320.32379150390625,ba,2018-02-09
2018-02-12,320.66734783466046,ba,2018-02-12
2018-02-13,320.96275612160014,ba,2018-02-13
2018-02-14,321.2948673793248,ba,2018-02-14
2018-02-15,321.98748358364764,ba,2018-02-15
2018-02-16,322.5885945638021,ba,2018-02-16
2018-02-20,324.05792846679685,ba,2018-02-20
2018-02-21,325.45436096191406,ba,2018-02-21
2018-02-22,326.7010965983073,ba,2018-02-22
2018-02-23,327.91332194010414,ba,2018-02-23
2018-02-26,329.0935811360677,ba,2018-02-26
2018-02-27,330.0538798014323,ba,2018-02-27
2018-02-28,330.96996053059894,ba,2018-02-28
2018-03-01,330.9828643798828,ba,2018-03-01
2018-03-02,331.1801767985026,ba,2018-03-02
2018-03-05,331.7126220703125,ba,2018-03-05
2018-03-06,332.1142262776693,ba,2018-03-06
2018-03-07,332.53236999511716,ba,2018-03-07
2018-03-08,333.0330535888672,ba,2018-03-08
2018-03-09,333.4511016845703,ba,2018-03-09
2018-03-12,333.5358876546224,ba,2018-03-12
2018-03-13,333.5207000732422,ba,2018-03-13
2018-03-14,333.33582865397136,ba,2018-03-14
2018-03-15,332.6127899169922,ba,2018-03-15
2018-03-16,331.82375284830727,ba,2018-03-16
2018-03-19,331.3309804280599,ba,2018-03-19
2018-03-20,331.66187744140626,ba,2018-03-20
2018-03-21,331.5937103271484,ba,2018-03-21
2018-03-22,330.73816731770836,ba,2018-03-22
2018-03-23,330.4617116292318,ba,2018-03-23
2018-03-26,330.33848673502604,ba,2018-03-26
2018-03-27,329.6144683837891,ba,2018-03-27
2018-03-28,328.8757649739583,ba,2018-03-28
2018-03-29,328.3340260823568,ba,2018-03-29
2018-04-02,327.2479970296224,ba,2018-04-02
2018-04-03,326.4748168945313,ba,2018-04-03
2018-04-04,325.64768575032554,ba,2018-04-04
2018-04-05,325.1378702799479,ba,2018-04-05
2018-04-06,324.1865580240885,ba,2018-04-06
2018-04-09,323.0954223632813,ba,2018-04-09
2018-04-10,322.1808197021484,ba,2018-04-10
2018-04-11,320.9907216389974,ba,2018-04-11
2018-04-12,320.2012613932292,ba,2018-04-12
2018-04-13,319.5497060139974,ba,2018-04-13
2018-04-16,319.137895711263,ba,2018-04-16
2018-04-17,318.62616577148435,ba,2018-04-17
2018-04-18,318.3733327229818,ba,2018-04-18
2018-04-19,318.1690246582031,ba,2018-04-19
2018-04-20,317.84787801106773,ba,2018-04-20
2018-04-23,317.3473225911458,ba,2018-04-23
2018-04-24,316.86432393391925,ba,2018-04-24
2018-04-25,316.9980814615885,ba,2018-04-25
2018-04-26,317.39808044433596,ba,2018-04-26
2018-04-27,317.7460428873698,ba,2018-04-27
2018-04-30,317.8446868896484,ba,2018-04-30
2018-05-01,317.77381591796876,ba,2018-05-01
2018-05-02,317.3447692871094,ba,2018-05-02
2018-05-03,317.1401397705078,ba,2018-05-03
2018-05-04,317.613242594401,ba,2018-05-04
2018-05-07,318.23351135253904,ba,2018-05-07
2018-05-08,318.53358968098956,ba,2018-05-08
2018-05-09,319.2799550374349,ba,2018-05-09
2018-05-10,320.102500406901,ba,2018-05-10
2018-05-11,320.6224792480469,ba,2018-05-11
2018-05-14,321.38445434570315,ba,2018-05-14
2018-05-15,321.79966735839844,ba,2018-05-15
2018-05-16,322.2858866373698,ba,2018-05-16
2018-05-17,322.58777669270836,ba,2018-05-17
2018-05-18,323.44530131022134,ba,2018-05-18
2018-05-21,324.82615254720054,ba,2018-05-21
2018-05-22,325.5272196451823,ba,2018-05-22
2018-05-23,326.60117696126304,ba,2018-05-23
2018-05-24,327.3453338623047,ba,2018-05-24
2018-05-25,328.3862335205078,ba,2018-05-25
2018-05-29,329.10349629720054,ba,2018-05-29
2018-05-30,329.84593098958334,ba,2018-05-30
2018-05-31,330.2582773844401,ba,2018-05-31
2018-06-01,330.828407796224,ba,2018-06-01
2018-06-04,331.59007670084634,ba,2018-06-04
2018-06-05,332.32610778808595,ba,2018-06-05
2018-06-06,333.7420155843099,ba,2018-06-06
2018-06-07,334.62017110188805,ba,2018-06-07
2018-06-08,335.53168131510415,ba,2018-06-08
2018-06-11,336.5503662109375,ba,2018-06-11
2018-06-12,337.79246215820314,ba,2018-06-12
2018-06-13,338.94569193522136,ba,2018-06-13
2018-06-14,340.2238321940104,ba,2018-06-14
2018-06-15,341.14881490071616,ba,2018-06-15
2018-06-18,341.8536661783854,ba,2018-06-18
2018-06-19,341.9300170898438,ba,2018-06-19
2018-06-20,342.12249857584635,ba,2018-06-20
2018-06-21,341.9579142252604,ba,2018-06-21
2018-06-22,341.79236857096356,ba,2018-06-22
2018-06-25,341.4311197916667,ba,2018-06-25
2018-06-26,341.00474243164064,ba,2018-06-26
2018-06-27,340.61012878417966,ba,2018-06-27
2018-06-28,340.40736694335936,ba,2018-06-28
2018-06-29,340.1304951985677,ba,2018-06-29
2018-07-02,339.6444458007812,ba,2018-07-02
2018-07-03,338.65020955403645,ba,2018-07-03
2018-07-05,337.94952799479165,ba,2018-07-05
2018-07-06,337.16126403808596,ba,2018-07-06
2018-07-09,336.61329650878906,ba,2018-07-09
2018-07-10,336.19846903483074,ba,2018-07-10
2018-07-11,335.81732889811195,ba,2018-07-11
2018-07-12,335.4272043863932,ba,2018-07-12
2018-07-13,335.3832489013672,ba,2018-07-13
2018-07-16,335.3633585611979,ba,2018-07-16
2018-07-17,335.2398417154948,ba,2018-07-17
2018-07-18,335.2440144856771,ba,2018-07-18
