date,close_30_sma,ticker,date
2017-01-03,92.56684112548828,cvx,2017-01-03
2017-01-04,92.55504989624023,cvx,2017-01-04
2017-01-05,92.41759236653645,cvx,2017-01-05
2017-01-06,92.25657081604004,cvx,2017-01-06
2017-01-09,92.00286712646485,cvx,2017-01-09
2017-01-10,91.71852747599284,cvx,2017-01-10
2017-01-11,91.62427302769252,cvx,2017-01-11
2017-01-12,91.57616519927979,cvx,2017-01-12
2017-01-13,91.55794525146484,cvx,2017-01-13
2017-01-17,91.53551483154297,cvx,2017-01-17
2017-01-18,91.49288524280895,cvx,2017-01-18
2017-01-19,91.43379592895508,cvx,2017-01-19
2017-01-20,91.38500741811899,cvx,2017-01-20
2017-01-23,91.33140618460519,cvx,2017-01-23
2017-01-24,91.33626810709636,cvx,2017-01-24
2017-01-25,91.38323163986206,cvx,2017-01-25
2017-01-26,91.39279040168313,cvx,2017-01-26
2017-01-27,91.28084945678711,cvx,2017-01-27
2017-01-30,91.09925199809827,cvx,2017-01-30
2017-01-31,90.91735572814942,cvx,2017-01-31
2017-02-01,90.73969159807477,cvx,2017-02-01
2017-02-02,90.62137881192294,cvx,2017-02-02
2017-02-03,90.55979919433594,cvx,2017-02-03
2017-02-06,90.48404184977214,cvx,2017-02-06
2017-02-07,90.36438934326172,cvx,2017-02-07
2017-02-08,90.25968111478366,cvx,2017-02-08
2017-02-09,90.18251065854673,cvx,2017-02-09
2017-02-10,90.13301413399833,cvx,2017-02-10
2017-02-13,90.11022370437095,cvx,2017-02-13
2017-02-14,90.08075866699218,cvx,2017-02-14
2017-02-15,89.97072855631511,cvx,2017-02-15
2017-02-16,89.81152648925782,cvx,2017-02-16
2017-02-17,89.65642598470052,cvx,2017-02-17
2017-02-21,89.55037206013998,cvx,2017-02-21
2017-02-22,89.43508021036784,cvx,2017-02-22
2017-02-23,89.35974655151367,cvx,2017-02-23
2017-02-24,89.23522567749023,cvx,2017-02-24
2017-02-27,89.14776814778646,cvx,2017-02-27
2017-02-28,89.07437616984049,cvx,2017-02-28
2017-03-01,89.04007949829102,cvx,2017-03-01
2017-03-02,89.0009396870931,cvx,2017-03-02
2017-03-03,88.976247660319,cvx,2017-03-03
2017-03-06,88.94098714192708,cvx,2017-03-06
2017-03-07,88.87527694702149,cvx,2017-03-07
2017-03-08,88.7257558186849,cvx,2017-03-08
2017-03-09,88.56482289632162,cvx,2017-03-09
2017-03-10,88.43702138264975,cvx,2017-03-10
2017-03-13,88.34817682902018,cvx,2017-03-13
2017-03-14,88.25830993652343,cvx,2017-03-14
2017-03-15,88.22092666625977,cvx,2017-03-15
2017-03-16,88.16574605305989,cvx,2017-03-16
2017-03-17,88.07412745157878,cvx,2017-03-17
2017-03-20,87.9463722229004,cvx,2017-03-20
2017-03-21,87.84410909016927,cvx,2017-03-21
2017-03-22,87.79272664388021,cvx,2017-03-22
2017-03-23,87.72262496948242,cvx,2017-03-23
2017-03-24,87.6378911336263,cvx,2017-03-24
2017-03-27,87.48727340698242,cvx,2017-03-27
2017-03-28,87.33766504923503,cvx,2017-03-28
2017-03-29,87.22003987630208,cvx,2017-03-29
2017-03-30,87.09342702229817,cvx,2017-03-30
2017-03-31,87.00593490600586,cvx,2017-03-31
2017-04-03,86.93906046549479,cvx,2017-04-03
2017-04-04,86.85817642211914,cvx,2017-04-04
2017-04-05,86.81218388875325,cvx,2017-04-05
2017-04-06,86.766455078125,cvx,2017-04-06
2017-04-07,86.73315048217773,cvx,2017-04-07
2017-04-10,86.6718266805013,cvx,2017-04-10
2017-04-11,86.57851943969726,cvx,2017-04-11
2017-04-12,86.44873504638672,cvx,2017-04-12
2017-04-13,86.25683339436848,cvx,2017-04-13
2017-04-17,86.06176020304362,cvx,2017-04-17
2017-04-18,85.86377894083658,cvx,2017-04-18
2017-04-19,85.66341883341471,cvx,2017-04-19
2017-04-20,85.53839213053385,cvx,2017-04-20
2017-04-21,85.40226287841797,cvx,2017-04-21
2017-04-24,85.27855784098307,cvx,2017-04-24
2017-04-25,85.20930455525716,cvx,2017-04-25
2017-04-26,85.17547073364258,cvx,2017-04-26
2017-04-27,85.08533528645833,cvx,2017-04-27
2017-04-28,85.05467300415039,cvx,2017-04-28
2017-05-01,85.00815175374349,cvx,2017-05-01
2017-05-02,84.94735692342122,cvx,2017-05-02
2017-05-03,84.9124656677246,cvx,2017-05-03
2017-05-04,84.81783676147461,cvx,2017-05-04
2017-05-05,84.76285705566406,cvx,2017-05-05
2017-05-08,84.72823028564453,cvx,2017-05-08
2017-05-09,84.696511332194,cvx,2017-05-09
2017-05-10,84.67880096435547,cvx,2017-05-10
2017-05-11,84.62963638305663,cvx,2017-05-11
2017-05-12,84.58152923583984,cvx,2017-05-12
2017-05-15,84.56778411865234,cvx,2017-05-15
2017-05-16,84.55324579874674,cvx,2017-05-16
2017-05-17,84.4767239888509,cvx,2017-05-17
2017-05-18,84.41328048706055,cvx,2017-05-18
2017-05-19,84.3687026977539,cvx,2017-05-19
2017-05-22,84.32481028238932,cvx,2017-05-22
2017-05-23,84.26985677083333,cvx,2017-05-23
2017-05-24,84.22572708129883,cvx,2017-05-24
2017-05-25,84.15195897420247,cvx,2017-05-25
2017-05-26,84.1436393737793,cvx,2017-05-26
2017-05-30,84.1158462524414,cvx,2017-05-30
2017-05-31,84.08551864624023,cvx,2017-05-31
2017-06-01,84.11461181640625,cvx,2017-06-01
2017-06-02,84.09555002848307,cvx,2017-06-02
2017-06-05,84.07836049397787,cvx,2017-06-05
2017-06-06,84.05984827677409,cvx,2017-06-06
2017-06-07,84.0095090230306,cvx,2017-06-07
2017-06-08,83.98249282836915,cvx,2017-06-08
2017-06-09,84.0356844584147,cvx,2017-06-09
2017-06-12,84.10015462239583,cvx,2017-06-12
2017-06-13,84.18764470418294,cvx,2017-06-13
2017-06-14,84.2490837097168,cvx,2017-06-14
2017-06-15,84.26736526489258,cvx,2017-06-15
2017-06-16,84.39007034301758,cvx,2017-06-16
2017-06-19,84.46310602823893,cvx,2017-06-19
2017-06-20,84.4864501953125,cvx,2017-06-20
2017-06-21,84.4989501953125,cvx,2017-06-21
2017-06-22,84.47284800211588,cvx,2017-06-22
2017-06-23,84.46909688313802,cvx,2017-06-23
2017-06-26,84.44898961385091,cvx,2017-06-26
2017-06-27,84.40348917643229,cvx,2017-06-27
2017-06-28,84.35302251180013,cvx,2017-06-28
2017-06-29,84.3375363667806,cvx,2017-06-29
2017-06-30,84.31510721842447,cvx,2017-06-30
2017-07-03,84.30923334757487,cvx,2017-07-03
2017-07-05,84.26918106079101,cvx,2017-07-05
2017-07-06,84.20376281738281,cvx,2017-07-06
2017-07-07,84.13086725870768,cvx,2017-07-07
2017-07-10,84.07559483846029,cvx,2017-07-10
2017-07-11,84.03287226359049,cvx,2017-07-11
2017-07-12,84.0283327738444,cvx,2017-07-12
2017-07-13,84.04568812052409,cvx,2017-07-13
2017-07-14,84.05022761027018,cvx,2017-07-14
2017-07-17,84.0795997619629,cvx,2017-07-17
2017-07-18,84.09375127156575,cvx,2017-07-18
2017-07-19,84.10149459838867,cvx,2017-07-19
2017-07-20,84.12445831298828,cvx,2017-07-20
2017-07-21,84.10443216959635,cvx,2017-07-21
2017-07-24,84.01898701985677,cvx,2017-07-24
2017-07-25,83.92152582804361,cvx,2017-07-25
2017-07-26,83.84115397135416,cvx,2017-07-26
2017-07-27,83.82807006835938,cvx,2017-07-27
2017-07-28,83.8758659362793,cvx,2017-07-28
2017-07-31,83.89829533894857,cvx,2017-07-31
2017-08-01,83.98694534301758,cvx,2017-08-01
2017-08-02,84.09321746826171,cvx,2017-08-02
2017-08-03,84.22512359619141,cvx,2017-08-03
2017-08-04,84.37625478108724,cvx,2017-08-04
2017-08-07,84.50388793945312,cvx,2017-08-07
2017-08-08,84.66970545450846,cvx,2017-08-08
2017-08-09,84.85181045532227,cvx,2017-08-09
2017-08-10,85.00748112996419,cvx,2017-08-10
2017-08-11,85.14392598470052,cvx,2017-08-11
2017-08-14,85.26087875366211,cvx,2017-08-14
2017-08-15,85.32149098714193,cvx,2017-08-15
2017-08-16,85.40943145751953,cvx,2017-08-16
2017-08-17,85.4939203898112,cvx,2017-08-17
2017-08-18,85.60232518513997,cvx,2017-08-18
2017-08-21,85.70386555989583,cvx,2017-08-21
2017-08-22,85.81891326904297,cvx,2017-08-22
2017-08-23,85.9201431274414,cvx,2017-08-23
2017-08-24,86.03735020955403,cvx,2017-08-24
2017-08-25,86.16758499145507,cvx,2017-08-25
2017-08-28,86.29128646850586,cvx,2017-08-28
2017-08-29,86.43076858520507,cvx,2017-08-29
2017-08-30,86.54698537190755,cvx,2017-08-30
2017-08-31,86.65569585164388,cvx,2017-08-31
2017-09-01,86.83200022379557,cvx,2017-09-01
2017-09-05,87.02797876993814,cvx,2017-09-05
2017-09-06,87.25556233723958,cvx,2017-09-06
2017-09-07,87.46392339070638,cvx,2017-09-07
2017-09-08,87.61834055582682,cvx,2017-09-08
2017-09-11,87.7660146077474,cvx,2017-09-11
2017-09-12,87.88430938720703,cvx,2017-09-12
2017-09-13,88.00572713216145,cvx,2017-09-13
2017-09-14,88.14297180175781,cvx,2017-09-14
2017-09-15,88.31257349650065,cvx,2017-09-15
2017-09-18,88.47912063598633,cvx,2017-09-18
2017-09-19,88.68549524943033,cvx,2017-09-19
2017-09-20,88.87745920817058,cvx,2017-09-20
2017-09-21,89.05770060221354,cvx,2017-09-21
2017-09-22,89.2808848063151,cvx,2017-09-22
2017-09-25,89.54644571940104,cvx,2017-09-25
2017-09-26,89.81321538289389,cvx,2017-09-26
2017-09-27,90.0818354288737,cvx,2017-09-27
2017-09-28,90.37257181803385,cvx,2017-09-28
2017-09-29,90.68488362630208,cvx,2017-09-29
2017-10-02,90.98020401000977,cvx,2017-10-02
2017-10-03,91.30492197672525,cvx,2017-10-03
2017-10-04,91.60752334594727,cvx,2017-10-04
2017-10-05,91.93035329182943,cvx,2017-10-05
2017-10-06,92.18899408976237,cvx,2017-10-06
2017-10-09,92.44466857910156,cvx,2017-10-09
2017-10-10,92.74241536458334,cvx,2017-10-10
2017-10-11,93.05176010131837,cvx,2017-10-11
2017-10-12,93.35948638916015,cvx,2017-10-12
2017-10-13,93.67071812947592,cvx,2017-10-13
