date,close_60_sma,ticker,date
2018-01-02,108.72606658935548,dis,2018-01-02
2018-01-03,108.95945739746094,dis,2018-01-03
2018-01-04,109.02105204264323,dis,2018-01-04
2018-01-05,108.90353965759277,dis,2018-01-05
2018-01-08,108.5218292236328,dis,2018-01-08
2018-01-09,108.25439071655273,dis,2018-01-09
2018-01-10,107.99806540352958,dis,2018-01-10
2018-01-11,107.99059867858887,dis,2018-01-11
2018-01-12,108.14471435546875,dis,2018-01-12
2018-01-16,108.09490051269532,dis,2018-01-16
2018-01-17,108.16730776700106,dis,2018-01-17
2018-01-18,108.10203170776367,dis,2018-01-18
2018-01-19,108.05951514610878,dis,2018-01-19
2018-01-22,108.05850001743862,dis,2018-01-22
2018-01-23,108.01288452148438,dis,2018-01-23
2018-01-24,107.97844171524048,dis,2018-01-24
2018-01-25,107.9509115780101,dis,2018-01-25
2018-01-26,108.01504601372613,dis,2018-01-26
2018-01-29,108.03915927284642,dis,2018-01-29
2018-01-30,107.99132766723633,dis,2018-01-30
2018-01-31,107.88136473156158,dis,2018-01-31
2018-02-01,107.86185108531605,dis,2018-02-01
2018-02-02,107.76834803042205,dis,2018-02-02
2018-02-05,107.5205529530843,dis,2018-02-05
2018-02-06,107.34976501464844,dis,2018-02-06
2018-02-07,107.13937465961163,dis,2018-02-07
2018-02-08,106.82174513075087,dis,2018-02-08
2018-02-09,106.58723749433246,dis,2018-02-09
2018-02-12,106.3789633389177,dis,2018-02-12
2018-02-13,106.20823847452799,dis,2018-02-13
2018-02-14,106.06358608122795,dis,2018-02-14
2018-02-15,105.94560146331787,dis,2018-02-15
2018-02-16,105.87455148407908,dis,2018-02-16
2018-02-20,105.79194932825425,dis,2018-02-20
2018-02-21,105.68822631835937,dis,2018-02-21
2018-02-22,105.595398373074,dis,2018-02-22
2018-02-23,105.56041903109164,dis,2018-02-23
2018-02-26,105.59279672723068,dis,2018-02-26
2018-02-27,105.50033002021985,dis,2018-02-27
2018-02-28,105.37091217041015,dis,2018-02-28
2018-03-01,105.23381247171541,dis,2018-03-01
2018-03-02,105.1129666283017,dis,2018-03-02
2018-03-05,105.00724029541016,dis,2018-03-05
2018-03-06,104.9401363026012,dis,2018-03-06
2018-03-07,104.84683956570096,dis,2018-03-07
2018-03-08,104.76690159673277,dis,2018-03-08
2018-03-09,104.70484924316406,dis,2018-03-09
2018-03-12,104.65429703394572,dis,2018-03-12
2018-03-13,104.57722846829161,dis,2018-03-13
2018-03-14,104.50654922485352,dis,2018-03-14
2018-03-15,104.42605635699104,dis,2018-03-15
2018-03-16,104.34173965454102,dis,2018-03-16
2018-03-19,104.23509936062794,dis,2018-03-19
2018-03-20,104.13006747210467,dis,2018-03-20
