date,macd,ticker,date
2018-01-02,0.0,dis,2018-01-02
2018-01-03,0.010472664466263382,dis,2018-01-03
2018-01-04,0.011836957006508442,dis,2018-01-04
2018-01-05,-0.00925129178961015,dis,2018-01-05
2018-01-08,-0.08243298625893658,dis,2018-01-08
2018-01-09,-0.1282019594560211,dis,2018-01-09
2018-01-10,-0.17605251887100337,dis,2018-01-10
2018-01-11,-0.1350033285417993,dis,2018-01-11
2018-01-12,-0.03311408560165319,dis,2018-01-12
2018-01-16,-0.04952078100923529,dis,2018-01-16
2018-01-17,0.005635633681606578,dis,2018-01-17
2018-01-18,-0.036805238566159915,dis,2018-01-18
2018-01-19,-0.058453601846451875,dis,2018-01-19
2018-01-22,-0.04515299605949963,dis,2018-01-22
2018-01-23,-0.0743665774465967,dis,2018-01-23
2018-01-24,-0.09029016613224883,dis,2018-01-24
2018-01-25,-0.09830419770941035,dis,2018-01-25
2018-01-26,-0.002676492388118845,dis,2018-01-26
2018-01-29,0.030296249857059365,dis,2018-01-29
2018-01-30,-0.03530566677744673,dis,2018-01-30
2018-01-31,-0.17821919539031228,dis,2018-01-31
2018-02-01,-0.16801859218665527,dis,2018-02-01
2018-02-02,-0.2763809642753756,dis,2018-02-02
2018-02-05,-0.6247079004450455,dis,2018-02-05
2018-02-06,-0.7888695970031705,dis,2018-02-06
2018-02-07,-1.0036998448598524,dis,2018-02-07
2018-02-08,-1.394416377916869,dis,2018-02-08
2018-02-09,-1.5618204285906074,dis,2018-02-09
2018-02-12,-1.6532399573130903,dis,2018-02-12
2018-02-13,-1.6538573459770447,dis,2018-02-13
2018-02-14,-1.6010375613296048,dis,2018-02-14
2018-02-15,-1.4997251487366725,dis,2018-02-15
2018-02-16,-1.3059927818573698,dis,2018-02-16
2018-02-20,-1.1792828382311171,dis,2018-02-20
2018-02-21,-1.134289821634681,dis,2018-02-21
2018-02-22,-1.0721399161277247,dis,2018-02-22
2018-02-23,-0.863537735763785,dis,2018-02-23
2018-02-26,-0.5015709498152603,dis,2018-02-26
2018-02-27,-0.5782488192629245,dis,2018-02-27
2018-02-28,-0.7586640893040482,dis,2018-02-28
2018-03-01,-0.9351627476763014,dis,2018-03-01
2018-03-02,-1.031218276994835,dis,2018-03-02
2018-03-05,-1.0631223379543684,dis,2018-03-05
2018-03-06,-0.9609418572062367,dis,2018-03-06
2018-03-07,-0.9716229612122191,dis,2018-03-07
2018-03-08,-0.9356470284967315,dis,2018-03-08
2018-03-09,-0.8438136339239151,dis,2018-03-09
2018-03-12,-0.7288933006435343,dis,2018-03-12
2018-03-13,-0.739881998962673,dis,2018-03-13
2018-03-14,-0.7271019527057376,dis,2018-03-14
2018-03-15,-0.7590456376409378,dis,2018-03-15
2018-03-16,-0.8036091848574074,dis,2018-03-16
2018-03-19,-0.9354741960951287,dis,2018-03-19
2018-03-20,-1.038016832649319,dis,2018-03-20
2018-03-21,-1.0705144319061617,dis,2018-03-21
2018-03-22,-1.1772115088420776,dis,2018-03-22
2018-03-23,-1.405316397118895,dis,2018-03-23
2018-03-26,-1.4060209484446773,dis,2018-03-26
2018-03-27,-1.4896098235913797,dis,2018-03-27
2018-03-28,-1.6011206978191126,dis,2018-03-28
2018-03-29,-1.524058083929873,dis,2018-03-29
2018-04-02,-1.5833014284330886,dis,2018-04-02
2018-04-03,-1.5531181741957596,dis,2018-04-03
2018-04-04,-1.3938588281278186,dis,2018-04-04
2018-04-05,-1.1637636102902178,dis,2018-04-05
2018-04-06,-1.1059794327215826,dis,2018-04-06
2018-04-09,-1.0982515837096969,dis,2018-04-09
2018-04-10,-0.950757560415866,dis,2018-04-10
2018-04-11,-0.8683802463058612,dis,2018-04-11
2018-04-12,-0.8256131798972319,dis,2018-04-12
2018-04-13,-0.7857844310014457,dis,2018-04-13
2018-04-16,-0.754123285795032,dis,2018-04-16
