date,rsi_30,ticker,date
2019-03-20,,dow,2019-03-20
2019-03-21,0.0,dow,2019-03-21
2019-03-22,0.0,dow,2019-03-22
2019-03-25,32.6687428894288,dow,2019-03-25
2019-03-26,27.583839772781815,dow,2019-03-26
2019-03-27,56.659924755353245,dow,2019-03-27
2019-03-28,65.30610571296653,dow,2019-03-28
2019-03-29,71.4366599788659,dow,2019-03-29
2019-04-01,80.14014781807566,dow,2019-04-01
2019-04-02,86.43035944374995,dow,2019-04-02
2019-04-03,87.3778222714605,dow,2019-04-03
2019-04-04,90.46992171949462,dow,2019-04-04
2019-04-05,74.08381610634893,dow,2019-04-05
2019-04-08,73.58145228742904,dow,2019-04-08
2019-04-09,68.85850817149986,dow,2019-04-09
2019-04-10,66.0669632018149,dow,2019-04-10
2019-04-11,62.24447417987408,dow,2019-04-11
2019-04-12,69.7689575973452,dow,2019-04-12
2019-04-15,67.6423715383043,dow,2019-04-15
2019-04-16,68.99600505134333,dow,2019-04-16
2019-04-17,68.25750293792393,dow,2019-04-17
2019-04-18,66.02378694932449,dow,2019-04-18
2019-04-22,66.27291822449126,dow,2019-04-22
2019-04-23,65.24200083059307,dow,2019-04-23
2019-04-24,58.94373631762109,dow,2019-04-24
2019-04-25,56.72555332706642,dow,2019-04-25
2019-04-26,56.455037800357566,dow,2019-04-26
2019-04-29,57.11611226429494,dow,2019-04-29
2019-04-30,60.192019759558264,dow,2019-04-30
2019-05-01,58.08950080420933,dow,2019-05-01
2019-05-02,48.144210716134886,dow,2019-05-02
2019-05-03,49.70249589100347,dow,2019-05-03
2019-05-06,50.11600169894016,dow,2019-05-06
2019-05-07,48.793220864682006,dow,2019-05-07
2019-05-08,47.59555202758233,dow,2019-05-08
2019-05-09,48.83937260223265,dow,2019-05-09
2019-05-10,49.22721611333454,dow,2019-05-10
2019-05-13,44.00187145677803,dow,2019-05-13
2019-05-14,48.113720191551074,dow,2019-05-14
2019-05-15,49.29686014125844,dow,2019-05-15
2019-05-16,49.37309571423479,dow,2019-05-16
2019-05-17,44.35984032421529,dow,2019-05-17
2019-05-20,42.87251993482308,dow,2019-05-20
2019-05-21,44.347061772239904,dow,2019-05-21
2019-05-22,43.46087118468092,dow,2019-05-22
2019-05-23,40.47285399918658,dow,2019-05-23
2019-05-24,41.82445364937949,dow,2019-05-24
2019-05-28,40.57952109786905,dow,2019-05-28
2019-05-29,41.005275517650965,dow,2019-05-29
2019-05-30,42.33520408450074,dow,2019-05-30
2019-05-31,38.957900356286835,dow,2019-05-31
2019-06-03,42.29951609749413,dow,2019-06-03
2019-06-04,47.20750227845885,dow,2019-06-04
2019-06-05,48.156915724315816,dow,2019-06-05
2019-06-06,49.79708785721944,dow,2019-06-06
2019-06-07,50.33882751273395,dow,2019-06-07
2019-06-10,51.06718755976464,dow,2019-06-10
2019-06-11,52.022594054695944,dow,2019-06-11
2019-06-12,53.03887599125362,dow,2019-06-12
2019-06-13,53.9141275160723,dow,2019-06-13
2019-06-14,49.666439864032384,dow,2019-06-14
2019-06-17,45.78398623801608,dow,2019-06-17
2019-06-18,46.409920231539374,dow,2019-06-18
2019-06-19,44.15821817041548,dow,2019-06-19
2019-06-20,45.223269727053975,dow,2019-06-20
2019-06-21,44.07063875074482,dow,2019-06-21
2019-06-24,47.05831556575265,dow,2019-06-24
2019-06-25,47.32077866733504,dow,2019-06-25
2019-06-26,49.123582972866465,dow,2019-06-26
2019-06-27,50.19087299128402,dow,2019-06-27
2019-06-28,46.66819598568494,dow,2019-06-28
2019-07-01,48.64889224209501,dow,2019-07-01
2019-07-02,47.033198660692925,dow,2019-07-02
2019-07-03,46.884838829241424,dow,2019-07-03
2019-07-05,46.841184371790725,dow,2019-07-05
2019-07-08,45.12366127771674,dow,2019-07-08
2019-07-09,43.75801200189995,dow,2019-07-09
2019-07-10,43.093800699319104,dow,2019-07-10
2019-07-11,43.72891698877343,dow,2019-07-11
2019-07-12,48.6988903846105,dow,2019-07-12
2019-07-15,51.50004761897426,dow,2019-07-15
2019-07-16,54.43258838647426,dow,2019-07-16
2019-07-17,52.72432318531241,dow,2019-07-17
2019-07-18,53.041940836659464,dow,2019-07-18
2019-07-19,52.48264393404698,dow,2019-07-19
2019-07-22,50.93664028934172,dow,2019-07-22
2019-07-23,54.69048247235039,dow,2019-07-23
2019-07-24,55.03820042351391,dow,2019-07-24
2019-07-25,50.294206572342866,dow,2019-07-25
2019-07-26,46.86052227255631,dow,2019-07-26
2019-07-29,44.83833605124438,dow,2019-07-29
2019-07-30,45.63964518344676,dow,2019-07-30
2019-07-31,45.73281263334689,dow,2019-07-31
2019-08-01,42.721102380417754,dow,2019-08-01
2019-08-02,40.54937362999314,dow,2019-08-02
2019-08-05,39.1812395113978,dow,2019-08-05
2019-08-06,38.628919487457296,dow,2019-08-06
2019-08-07,39.81630674537278,dow,2019-08-07
2019-08-08,44.41173563076324,dow,2019-08-08
2019-08-09,44.13650449852223,dow,2019-08-09
2019-08-12,42.41432069640622,dow,2019-08-12
2019-08-13,45.119245390892466,dow,2019-08-13
2019-08-14,40.42820021028619,dow,2019-08-14
2019-08-15,39.3584393716542,dow,2019-08-15
2019-08-16,41.92467423564266,dow,2019-08-16
2019-08-19,44.277703732317086,dow,2019-08-19
2019-08-20,40.47965609888112,dow,2019-08-20
2019-08-21,40.73828822491265,dow,2019-08-21
2019-08-22,38.94401910528002,dow,2019-08-22
2019-08-23,37.10237162817212,dow,2019-08-23
2019-08-26,37.353939767475666,dow,2019-08-26
2019-08-27,38.16797094639987,dow,2019-08-27
2019-08-28,41.21592123056139,dow,2019-08-28
2019-08-29,42.43192545043857,dow,2019-08-29
2019-08-30,43.00846289992861,dow,2019-08-30
2019-09-03,41.631595821336916,dow,2019-09-03
2019-09-04,43.30559070481283,dow,2019-09-04
2019-09-05,45.11014976710533,dow,2019-09-05
2019-09-06,44.893820415200445,dow,2019-09-06
2019-09-09,47.5190451012071,dow,2019-09-09
2019-09-10,51.2332530054629,dow,2019-09-10
2019-09-11,52.27950146418181,dow,2019-09-11
2019-09-12,52.44912462532003,dow,2019-09-12
2019-09-13,54.724200956782866,dow,2019-09-13
2019-09-16,56.15336621307718,dow,2019-09-16
2019-09-17,53.956439206096775,dow,2019-09-17
2019-09-18,52.917375483703466,dow,2019-09-18
2019-09-19,53.164926942455345,dow,2019-09-19
2019-09-20,54.25576472347715,dow,2019-09-20
2019-09-23,53.576369947522956,dow,2019-09-23
2019-09-24,50.70794107845583,dow,2019-09-24
2019-09-25,52.86038104321463,dow,2019-09-25
2019-09-26,51.88380894014234,dow,2019-09-26
2019-09-27,51.53364239084142,dow,2019-09-27
2019-09-30,52.73003064345346,dow,2019-09-30
2019-10-01,49.09839106157096,dow,2019-10-01
2019-10-02,47.02434473352842,dow,2019-10-02
2019-10-03,47.85691618571793,dow,2019-10-03
2019-10-04,47.923765590141755,dow,2019-10-04
2019-10-07,47.56631676670881,dow,2019-10-07
2019-10-08,44.877718553710444,dow,2019-10-08
2019-10-09,45.26565924700911,dow,2019-10-09
2019-10-10,47.441926217597526,dow,2019-10-10
2019-10-11,52.21518982411996,dow,2019-10-11
2019-10-14,51.53602566063903,dow,2019-10-14
2019-10-15,52.32241906762662,dow,2019-10-15
2019-10-16,52.13816905935416,dow,2019-10-16
2019-10-17,53.596173890292235,dow,2019-10-17
2019-10-18,53.911920046914425,dow,2019-10-18
2019-10-21,51.86745950776936,dow,2019-10-21
2019-10-22,51.15081390683194,dow,2019-10-22
2019-10-23,52.086749890151225,dow,2019-10-23
2019-10-24,56.76827881335676,dow,2019-10-24
2019-10-25,58.65268153072603,dow,2019-10-25
2019-10-28,59.95771431682732,dow,2019-10-28
2019-10-29,60.452977478123294,dow,2019-10-29
2019-10-30,59.20837718723809,dow,2019-10-30
2019-10-31,57.76418158598387,dow,2019-10-31
2019-11-01,61.07458388436862,dow,2019-11-01
2019-11-04,64.05323608077192,dow,2019-11-04
2019-11-05,64.09909334123645,dow,2019-11-05
2019-11-06,64.22493201121952,dow,2019-11-06
2019-11-07,66.53091331027446,dow,2019-11-07
2019-11-08,66.8075653553525,dow,2019-11-08
2019-11-11,66.27071016501141,dow,2019-11-11
2019-11-12,64.33925614487775,dow,2019-11-12
2019-11-13,60.15397691937334,dow,2019-11-13
2019-11-14,60.66571708279025,dow,2019-11-14
2019-11-15,62.23994252763244,dow,2019-11-15
2019-11-18,60.747497224390585,dow,2019-11-18
2019-11-19,58.258619366489135,dow,2019-11-19
2019-11-20,56.407722563593,dow,2019-11-20
2019-11-21,58.689431805389844,dow,2019-11-21
2019-11-22,59.27265613573827,dow,2019-11-22
2019-11-25,61.05028485937008,dow,2019-11-25
2019-11-26,61.34697660048104,dow,2019-11-26
2019-11-27,60.24394915192912,dow,2019-11-27
2019-11-29,57.73809578210908,dow,2019-11-29
2019-12-02,57.17041654922208,dow,2019-12-02
2019-12-03,53.68607234081666,dow,2019-12-03
2019-12-04,54.66724350076237,dow,2019-12-04
2019-12-05,53.947568543569574,dow,2019-12-05
2019-12-06,56.527080401027355,dow,2019-12-06
2019-12-09,56.63007661338385,dow,2019-12-09
2019-12-10,56.244128754803704,dow,2019-12-10
2019-12-11,56.159276318798064,dow,2019-12-11
2019-12-12,59.036003651791034,dow,2019-12-12
2019-12-13,55.75588602247651,dow,2019-12-13
2019-12-16,57.60928392940439,dow,2019-12-16
2019-12-17,58.5971033094664,dow,2019-12-17
2019-12-18,57.43855534682279,dow,2019-12-18
