date,boll_lb,ticker,date
2017-01-03,,gs,2017-01-03
2017-01-04,217.33681582205665,gs,2017-01-04
2017-01-05,217.24737571178122,gs,2017-01-05
2017-01-06,216.6843749197207,gs,2017-01-06
2017-01-09,217.11108933271242,gs,2017-01-09
2017-01-10,217.35178128455655,gs,2017-01-10
2017-01-11,217.10198074754362,gs,2017-01-11
2017-01-12,217.36471801602698,gs,2017-01-12
2017-01-13,217.5737814593665,gs,2017-01-13
2017-01-17,214.51972931380428,gs,2017-01-17
2017-01-18,212.28554718125204,gs,2017-01-18
2017-01-19,209.76933039392816,gs,2017-01-19
2017-01-20,208.37538973522248,gs,2017-01-20
2017-01-23,207.4920344663293,gs,2017-01-23
2017-01-24,207.04015109020753,gs,2017-01-24
2017-01-25,207.1973904230511,gs,2017-01-25
2017-01-26,207.51059075207965,gs,2017-01-26
2017-01-27,207.60989416038683,gs,2017-01-27
2017-01-30,207.33936775351984,gs,2017-01-30
2017-01-31,206.31852152590616,gs,2017-01-31
2017-02-01,205.43937902039735,gs,2017-02-01
2017-02-02,204.7015103487289,gs,2017-02-02
2017-02-03,204.71018972795108,gs,2017-02-03
2017-02-06,204.96008135145084,gs,2017-02-06
2017-02-07,205.07934415653637,gs,2017-02-07
2017-02-08,205.18542856329407,gs,2017-02-08
2017-02-09,205.60976359895508,gs,2017-02-09
2017-02-10,205.72474766603358,gs,2017-02-10
2017-02-13,205.44458684150712,gs,2017-02-13
2017-02-14,204.54712723276268,gs,2017-02-14
2017-02-15,203.96998310935462,gs,2017-02-15
2017-02-16,204.21321175871873,gs,2017-02-16
2017-02-17,204.49535701603963,gs,2017-02-17
2017-02-21,204.81762612606764,gs,2017-02-21
2017-02-22,205.24441514254534,gs,2017-02-22
2017-02-23,205.4560359626554,gs,2017-02-23
2017-02-24,205.70440644964114,gs,2017-02-24
2017-02-27,206.22852770159878,gs,2017-02-27
2017-02-28,207.32456427052753,gs,2017-02-28
2017-03-01,209.44153251358813,gs,2017-03-01
2017-03-02,211.78231475534471,gs,2017-03-02
2017-03-03,214.73021256297798,gs,2017-03-03
2017-03-06,215.4505129648688,gs,2017-03-06
2017-03-07,216.54414111014614,gs,2017-03-07
2017-03-08,217.92416105748345,gs,2017-03-08
2017-03-09,220.2668889451583,gs,2017-03-09
2017-03-10,221.76115271314043,gs,2017-03-10
2017-03-13,223.21544338337588,gs,2017-03-13
2017-03-14,223.6619028155055,gs,2017-03-14
2017-03-15,223.34537655731552,gs,2017-03-15
2017-03-16,223.21041527242735,gs,2017-03-16
2017-03-17,222.26584337513296,gs,2017-03-17
2017-03-20,220.9624099337443,gs,2017-03-20
2017-03-21,217.02028866224043,gs,2017-03-21
2017-03-22,213.67538834347482,gs,2017-03-22
2017-03-23,211.2731818003583,gs,2017-03-23
2017-03-24,208.46055522077273,gs,2017-03-24
2017-03-27,205.3753213729627,gs,2017-03-27
2017-03-28,203.55149989942825,gs,2017-03-28
2017-03-29,201.9578278720138,gs,2017-03-29
2017-03-30,200.98435479991286,gs,2017-03-30
2017-03-31,200.12992735248056,gs,2017-03-31
2017-04-03,199.35970537708974,gs,2017-04-03
2017-04-04,198.79873347926167,gs,2017-04-04
2017-04-05,198.21906463924384,gs,2017-04-05
2017-04-06,198.04800743178146,gs,2017-04-06
2017-04-07,197.8710281027968,gs,2017-04-07
2017-04-10,198.0750227376778,gs,2017-04-10
2017-04-11,198.43577164915777,gs,2017-04-11
2017-04-12,198.827301460266,gs,2017-04-12
2017-04-13,199.8484564160576,gs,2017-04-13
2017-04-17,201.13385768905644,gs,2017-04-17
2017-04-18,200.11533466956487,gs,2017-04-18
2017-04-19,197.56083958449622,gs,2017-04-19
2017-04-20,196.42687941946542,gs,2017-04-20
2017-04-21,195.29677659755933,gs,2017-04-21
2017-04-24,195.09645594167372,gs,2017-04-24
2017-04-25,195.1335752089604,gs,2017-04-25
2017-04-26,195.1354848420319,gs,2017-04-26
2017-04-27,195.11422676532095,gs,2017-04-27
2017-04-28,195.15265274525345,gs,2017-04-28
2017-05-01,195.19504179630567,gs,2017-05-01
2017-05-02,195.23217763064184,gs,2017-05-02
2017-05-03,195.32230574658232,gs,2017-05-03
2017-05-04,195.34354562786638,gs,2017-05-04
2017-05-05,195.40742020936162,gs,2017-05-05
2017-05-08,195.43943740573923,gs,2017-05-08
2017-05-09,195.5143262265453,gs,2017-05-09
2017-05-10,195.57452428947937,gs,2017-05-10
2017-05-11,195.5734588452246,gs,2017-05-11
2017-05-12,195.5469165674355,gs,2017-05-12
2017-05-15,195.56031489720885,gs,2017-05-15
2017-05-16,196.78552402555525,gs,2017-05-16
2017-05-17,196.66879635509,gs,2017-05-17
2017-05-18,196.0011305641669,gs,2017-05-18
2017-05-19,195.6646378906282,gs,2017-05-19
2017-05-22,194.71078704232622,gs,2017-05-22
2017-05-23,194.40722616133357,gs,2017-05-23
2017-05-24,194.4161481597721,gs,2017-05-24
2017-05-25,194.37577040915517,gs,2017-05-25
2017-05-26,194.37020557029604,gs,2017-05-26
2017-05-30,194.05632699689505,gs,2017-05-30
2017-05-31,192.50206441686385,gs,2017-05-31
2017-06-01,191.94902787255023,gs,2017-06-01
2017-06-02,191.25962578975034,gs,2017-06-02
2017-06-05,190.8577103882828,gs,2017-06-05
2017-06-06,190.51644869074136,gs,2017-06-06
2017-06-07,190.32635925332977,gs,2017-06-07
2017-06-08,190.45771614998995,gs,2017-06-08
2017-06-09,190.5671191370636,gs,2017-06-09
2017-06-12,190.57440481537253,gs,2017-06-12
2017-06-13,190.59026924261914,gs,2017-06-13
2017-06-14,190.383870672286,gs,2017-06-14
2017-06-15,190.88028781234385,gs,2017-06-15
2017-06-16,191.3076666572164,gs,2017-06-16
2017-06-19,191.52617309784395,gs,2017-06-19
2017-06-20,191.8699784608256,gs,2017-06-20
2017-06-21,191.98386705966485,gs,2017-06-21
2017-06-22,191.9286196983267,gs,2017-06-22
2017-06-23,191.68551691093236,gs,2017-06-23
2017-06-26,191.67408028368646,gs,2017-06-26
2017-06-27,191.77094439682315,gs,2017-06-27
2017-06-28,193.04658537885032,gs,2017-06-28
