date,rsi_30,ticker,date
2018-01-05,,gs,2018-01-05
2018-01-08,0.0,gs,2018-01-08
2018-01-09,37.26185232137503,gs,2018-01-09
2018-01-10,41.39766610287142,gs,2018-01-10
2018-01-11,48.58986460450455,gs,2018-01-11
2018-01-12,60.4998643942299,gs,2018-01-12
2018-01-16,66.53576174045514,gs,2018-01-16
2018-01-17,43.43847655363409,gs,2018-01-17
2018-01-18,36.19609555695539,gs,2018-01-18
2018-01-19,52.07908707130512,gs,2018-01-19
2018-01-22,62.26740088541294,gs,2018-01-22
2018-01-23,58.84042236487607,gs,2018-01-23
2018-01-24,66.33351315644836,gs,2018-01-24
2018-01-25,69.74778727436957,gs,2018-01-25
2018-01-26,67.85659303636712,gs,2018-01-26
2018-01-29,71.72441937268614,gs,2018-01-29
2018-01-30,65.11312457990721,gs,2018-01-30
2018-01-31,63.32221379812713,gs,2018-01-31
2018-02-01,67.1818759945352,gs,2018-02-01
2018-02-02,51.45030937789133,gs,2018-02-02
2018-02-05,42.269384664388504,gs,2018-02-05
2018-02-06,50.31637779201942,gs,2018-02-06
2018-02-07,49.134345681526156,gs,2018-02-07
2018-02-08,42.237661228407426,gs,2018-02-08
2018-02-09,44.451122774097975,gs,2018-02-09
2018-02-12,47.19029301492744,gs,2018-02-12
2018-02-13,48.79410991931187,gs,2018-02-13
2018-02-14,53.170518034310334,gs,2018-02-14
2018-02-15,55.98566420046431,gs,2018-02-15
2018-02-16,55.94474015647802,gs,2018-02-16
2018-02-20,54.08365065257617,gs,2018-02-20
2018-02-21,53.08655868127705,gs,2018-02-21
2018-02-22,51.78089631027788,gs,2018-02-22
2018-02-23,54.89192159970572,gs,2018-02-23
2018-02-26,57.288944404857446,gs,2018-02-26
2018-02-27,55.044791142226195,gs,2018-02-27
2018-02-28,52.3307301965757,gs,2018-02-28
2018-03-01,48.733748503471965,gs,2018-03-01
2018-03-02,49.51589295461902,gs,2018-03-02
2018-03-05,52.323631457819594,gs,2018-03-05
2018-03-06,54.32597765454426,gs,2018-03-06
2018-03-07,53.364492930526914,gs,2018-03-07
2018-03-08,53.89342121930238,gs,2018-03-08
2018-03-09,56.19337573726615,gs,2018-03-09
2018-03-12,57.485952463686615,gs,2018-03-12
2018-03-13,54.40035657317929,gs,2018-03-13
2018-03-14,51.96130617506549,gs,2018-03-14
2018-03-15,53.117494990222056,gs,2018-03-15
2018-03-16,53.64167054561931,gs,2018-03-16
2018-03-19,50.642065200523774,gs,2018-03-19
2018-03-20,51.01097024540583,gs,2018-03-20
2018-03-21,50.22258611993456,gs,2018-03-21
2018-03-22,45.2306153296086,gs,2018-03-22
2018-03-23,41.81852236358854,gs,2018-03-23
2018-03-26,47.217131009710826,gs,2018-03-26
2018-03-27,43.88073869179966,gs,2018-03-27
2018-03-28,44.99411229589749,gs,2018-03-28
2018-03-29,46.29483798453344,gs,2018-03-29
2018-04-02,44.33068340320519,gs,2018-04-02
2018-04-03,46.027247213642994,gs,2018-04-03
2018-04-04,47.08093551848086,gs,2018-04-04
2018-04-05,48.70096345902457,gs,2018-04-05
2018-04-06,46.032112315799274,gs,2018-04-06
2018-04-09,47.1706118009427,gs,2018-04-09
2018-04-10,49.351353495589365,gs,2018-04-10
