date,close_60_sma,ticker,date
2018-01-05,173.221435546875,hd,2018-01-05
2018-01-08,173.01447296142578,hd,2018-01-08
2018-01-09,173.263427734375,hd,2018-01-09
2018-01-10,173.095458984375,hd,2018-01-10
2018-01-11,173.51298828125,hd,2018-01-11
2018-01-12,174.0522918701172,hd,2018-01-12
2018-01-16,174.4233660016741,hd,2018-01-16
2018-01-17,175.09649085998535,hd,2018-01-17
2018-01-18,175.47105238172742,hd,2018-01-18
2018-01-19,176.04065856933593,hd,2018-01-19
2018-01-22,176.76274941184303,hd,2018-01-22
2018-01-23,177.3974863688151,hd,2018-01-23
2018-01-24,178.02594111515924,hd,2018-01-24
2018-01-25,178.5099814278739,hd,2018-01-25
2018-01-26,179.0410614013672,hd,2018-01-26
2018-01-29,179.37584590911865,hd,2018-01-29
2018-01-30,179.50662321202896,hd,2018-01-30
2018-01-31,179.57737477620444,hd,2018-01-31
2018-02-01,179.5933195415296,hd,2018-02-01
2018-02-02,179.34086532592772,hd,2018-02-02
2018-02-05,178.64710199265252,hd,2018-02-05
2018-02-06,178.3407634388317,hd,2018-02-06
2018-02-07,178.07084390391475,hd,2018-02-07
2018-02-08,177.44585545857748,hd,2018-02-08
2018-02-09,176.9752490234375,hd,2018-02-09
2018-02-12,176.53876495361328,hd,2018-02-12
2018-02-13,176.12328366880064,hd,2018-02-13
2018-02-14,175.76865168980189,hd,2018-02-14
2018-02-15,175.45647404111665,hd,2018-02-15
2018-02-16,175.21610056559246,hd,2018-02-16
2018-02-20,174.98368786227317,hd,2018-02-20
2018-02-21,174.66316080093384,hd,2018-02-21
2018-02-22,174.42777691465434,hd,2018-02-22
2018-02-23,174.28246172736672,hd,2018-02-23
2018-02-26,174.14827880859374,hd,2018-02-26
2018-02-27,173.93456353081598,hd,2018-02-27
2018-02-28,173.66649318385768,hd,2018-02-28
2018-03-01,173.35025225187601,hd,2018-03-01
2018-03-02,173.0230028201372,hd,2018-03-02
2018-03-05,172.78590354919433,hd,2018-03-05
2018-03-06,172.55817506371474,hd,2018-03-06
2018-03-07,172.29754965645927,hd,2018-03-07
2018-03-08,172.03557675383811,hd,2018-03-08
2018-03-09,171.87230855768377,hd,2018-03-09
2018-03-12,171.66702575683593,hd,2018-03-12
2018-03-13,171.4439116768215,hd,2018-03-13
2018-03-14,171.21219229190908,hd,2018-03-14
2018-03-15,171.0025717417399,hd,2018-03-15
2018-03-16,170.81794427365674,hd,2018-03-16
2018-03-19,170.60703643798828,hd,2018-03-19
2018-03-20,170.42320879767922,hd,2018-03-20
2018-03-21,170.24401473999023,hd,2018-03-21
2018-03-22,170.02496769743146,hd,2018-03-22
2018-03-23,169.75554459183306,hd,2018-03-23
2018-03-26,169.57127990722657,hd,2018-03-26
2018-03-27,169.36612265450614,hd,2018-03-27
2018-03-28,169.16943439684417,hd,2018-03-28
2018-03-29,169.03382741993872,hd,2018-03-29
2018-04-02,168.8209086272676,hd,2018-04-02
2018-04-03,168.62805836995443,hd,2018-04-03
2018-04-04,168.4173718770345,hd,2018-04-04
2018-04-05,168.23907496134441,hd,2018-04-05
2018-04-06,167.9742919921875,hd,2018-04-06
2018-04-09,167.6997439066569,hd,2018-04-09
2018-04-10,167.39678548177082,hd,2018-04-10
2018-04-11,167.0582290649414,hd,2018-04-11
2018-04-12,166.72886403401694,hd,2018-04-12
2018-04-13,166.3384101867676,hd,2018-04-13
2018-04-16,165.99488779703776,hd,2018-04-16
2018-04-17,165.6136131286621,hd,2018-04-17
2018-04-18,165.25990626017253,hd,2018-04-18
2018-04-19,164.857820892334,hd,2018-04-19
2018-04-20,164.43488260904948,hd,2018-04-20
2018-04-23,164.03449630737305,hd,2018-04-23
