date,macd,ticker,date
2018-01-05,0.0,hd,2018-01-05
2018-01-08,-0.009286782680447914,hd,2018-01-08
2018-01-09,0.0177449107893608,hd,2018-01-09
2018-01-10,-0.012630053294202526,hd,2018-01-10
2018-01-11,0.07425438753890035,hd,2018-01-11
2018-01-12,0.19203841835141588,hd,2018-01-12
2018-01-16,0.25978184725352094,hd,2018-01-16
2018-01-17,0.45124917637843964,hd,2018-01-17
2018-01-18,0.5104477764274122,hd,2018-01-18
2018-01-19,0.6840683038180657,hd,2018-01-19
2018-01-22,0.9499887248057632,hd,2018-01-22
2018-01-23,1.1537729376474601,hd,2018-01-23
2018-01-24,1.3566964985286347,hd,2018-01-24
2018-01-25,1.446636586471982,hd,2018-01-25
2018-01-26,1.5953258194899718,hd,2018-01-26
2018-01-29,1.5620343490605535,hd,2018-01-29
2018-01-30,1.3440730164800812,hd,2018-01-30
2018-01-31,1.1090176593608874,hd,2018-01-31
2018-02-01,0.8571633996088224,hd,2018-02-01
2018-02-02,0.3048742394476278,hd,2018-02-02
2018-02-05,-0.7720283983055367,hd,2018-02-05
2018-02-06,-1.1179347332926568,hd,2018-02-06
2018-02-07,-1.3576648148959691,hd,2018-02-07
2018-02-08,-2.150782636400777,hd,2018-02-08
2018-02-09,-2.5608701876462305,hd,2018-02-09
2018-02-12,-2.85388510315542,hd,2018-02-12
2018-02-13,-3.0705192140055146,hd,2018-02-13
2018-02-14,-3.141236593466232,hd,2018-02-14
2018-02-15,-3.1222593177550664,hd,2018-02-15
2018-02-16,-2.9600991661476144,hd,2018-02-16
2018-02-20,-2.816262716954583,hd,2018-02-20
2018-02-21,-2.913069881362901,hd,2018-02-21
2018-02-22,-2.7944906548580946,hd,2018-02-22
2018-02-23,-2.476563597658867,hd,2018-02-23
2018-02-26,-2.1919766923630846,hd,2018-02-26
2018-02-27,-2.1796205853958384,hd,2018-02-27
2018-02-28,-2.329067858501162,hd,2018-02-28
2018-03-01,-2.5987209871391883,hd,2018-03-01
2018-03-02,-2.8607355017054203,hd,2018-03-02
2018-03-05,-2.8075104171124394,hd,2018-03-05
2018-03-06,-2.7405351837825265,hd,2018-03-06
2018-03-07,-2.797893773586452,hd,2018-03-07
2018-03-08,-2.8553808830988032,hd,2018-03-08
2018-03-09,-2.5725582026422558,hd,2018-03-09
2018-03-12,-2.4933832472445943,hd,2018-03-12
2018-03-13,-2.4983897906189156,hd,2018-03-13
2018-03-14,-2.539895009852387,hd,2018-03-14
2018-03-15,-2.4967965408285977,hd,2018-03-15
2018-03-16,-2.3716116292933407,hd,2018-03-16
2018-03-19,-2.3780740676825474,hd,2018-03-19
2018-03-20,-2.2808331477656623,hd,2018-03-20
2018-03-21,-2.1885407665550076,hd,2018-03-21
2018-03-22,-2.285234113163227,hd,2018-03-22
2018-03-23,-2.583156446850836,hd,2018-03-23
2018-03-26,-2.460832797527246,hd,2018-03-26
2018-03-27,-2.4581120520624893,hd,2018-03-27
2018-03-28,-2.4222058994137114,hd,2018-03-28
2018-03-29,-2.1178871052340753,hd,2018-03-29
2018-04-02,-2.2370082936367623,hd,2018-04-02
2018-04-03,-2.2432791458641645,hd,2018-04-03
2018-04-04,-1.9591805522194647,hd,2018-04-04
2018-04-05,-1.5932184630608504,hd,2018-04-05
2018-04-06,-1.6237478275218677,hd,2018-04-06
2018-04-09,-1.768250651155995,hd,2018-04-09
2018-04-10,-1.7909736057602856,hd,2018-04-10
2018-04-11,-1.833567133445996,hd,2018-04-11
2018-04-12,-1.810120040475681,hd,2018-04-12
2018-04-13,-1.811332474741988,hd,2018-04-13
2018-04-16,-1.6744961841351937,hd,2018-04-16
2018-04-17,-1.513690480051764,hd,2018-04-17
2018-04-18,-1.0152225727109112,hd,2018-04-18
2018-04-19,-0.8123696964686644,hd,2018-04-19
2018-04-20,-0.6492218197489308,hd,2018-04-20
2018-04-23,-0.4672250436977947,hd,2018-04-23
2018-04-24,-0.4200921738512591,hd,2018-04-24
2018-04-25,-0.29701422483660167,hd,2018-04-25
2018-04-26,0.40266875499372645,hd,2018-04-26
2018-04-27,0.999545158671225,hd,2018-04-27
2018-04-30,1.3361895873568983,hd,2018-04-30
2018-05-01,1.5724579365810882,hd,2018-05-01
2018-05-02,1.8318749975026378,hd,2018-05-02
2018-05-03,1.8182030933393776,hd,2018-05-03
2018-05-04,1.9193932089784482,hd,2018-05-04
2018-05-07,1.87082412519905,hd,2018-05-07
2018-05-08,1.918147568344068,hd,2018-05-08
2018-05-09,2.0285384747936632,hd,2018-05-09
2018-05-10,2.1495903661264038,hd,2018-05-10
2018-05-11,2.447091937887876,hd,2018-05-11
2018-05-14,2.707817396623028,hd,2018-05-14
2018-05-15,2.65763156810425,hd,2018-05-15
2018-05-16,2.472613406823598,hd,2018-05-16
2018-05-17,2.2237290209590412,hd,2018-05-17
2018-05-18,2.154165768454135,hd,2018-05-18
2018-05-21,2.246098186578706,hd,2018-05-21
2018-05-22,2.0818557651509195,hd,2018-05-22
