date,boll_ub,ticker,date
2018-01-05,,hon,2018-01-05
2018-01-08,136.8015582986271,hon,2018-01-08
2018-01-09,137.14047766245238,hon,2018-01-09
2018-01-10,138.0813878722667,hon,2018-01-10
2018-01-11,138.92427078035394,hon,2018-01-11
2018-01-12,139.94261474677154,hon,2018-01-12
2018-01-16,139.9544563767771,hon,2018-01-16
2018-01-17,140.09222897451318,hon,2018-01-17
2018-01-18,140.02143924736643,hon,2018-01-18
2018-01-19,140.15776708350663,hon,2018-01-19
2018-01-22,140.21214175736623,hon,2018-01-22
2018-01-23,140.4961903724378,hon,2018-01-23
2018-01-24,140.7966273728336,hon,2018-01-24
2018-01-25,141.55426599149223,hon,2018-01-25
2018-01-26,143.13366757248815,hon,2018-01-26
2018-01-29,143.33264205513612,hon,2018-01-29
2018-01-30,143.20520483347968,hon,2018-01-30
2018-01-31,143.13936400415847,hon,2018-01-31
2018-02-01,143.07517849786785,hon,2018-02-01
2018-02-02,142.9609431181578,hon,2018-02-02
2018-02-05,143.80346490137566,hon,2018-02-05
2018-02-06,144.18385181545494,hon,2018-02-06
2018-02-07,144.5663255027171,hon,2018-02-07
2018-02-08,145.65227522798114,hon,2018-02-08
2018-02-09,146.0600733569293,hon,2018-02-09
2018-02-12,146.0712959967481,hon,2018-02-12
2018-02-13,146.1582780602218,hon,2018-02-13
2018-02-14,145.99975623589884,hon,2018-02-14
2018-02-15,145.80421280857627,hon,2018-02-15
2018-02-16,145.51943443620354,hon,2018-02-16
2018-02-20,145.2410230039335,hon,2018-02-20
2018-02-21,144.81362054602235,hon,2018-02-21
2018-02-22,144.30370779978037,hon,2018-02-22
2018-02-23,143.5488171041038,hon,2018-02-23
2018-02-26,142.10939871247547,hon,2018-02-26
2018-02-27,141.13023796375012,hon,2018-02-27
2018-02-28,140.4429993308428,hon,2018-02-28
2018-03-01,139.61389361207273,hon,2018-03-01
2018-03-02,138.52997756753365,hon,2018-03-02
2018-03-05,137.93825868957092,hon,2018-03-05
2018-03-06,137.93812161393498,hon,2018-03-06
2018-03-07,137.9287097404747,hon,2018-03-07
2018-03-08,137.96371427622663,hon,2018-03-08
2018-03-09,137.9980096742002,hon,2018-03-09
2018-03-12,137.9360560444679,hon,2018-03-12
2018-03-13,137.91650576416342,hon,2018-03-13
2018-03-14,137.78024471297508,hon,2018-03-14
2018-03-15,137.7641637617991,hon,2018-03-15
2018-03-16,137.71099421740973,hon,2018-03-16
2018-03-19,137.57412533294146,hon,2018-03-19
2018-03-20,137.38186792042873,hon,2018-03-20
2018-03-21,137.22901555269,hon,2018-03-21
2018-03-22,137.228425257809,hon,2018-03-22
2018-03-23,137.35521807707048,hon,2018-03-23
2018-03-26,136.45854799488234,hon,2018-03-26
2018-03-27,136.25133771690355,hon,2018-03-27
2018-03-28,136.45019490718312,hon,2018-03-28
2018-03-29,136.59036099867353,hon,2018-03-29
2018-04-02,136.90604621351898,hon,2018-04-02
2018-04-03,136.96488579112966,hon,2018-04-03
2018-04-04,136.91537133948682,hon,2018-04-04
2018-04-05,136.7167243030892,hon,2018-04-05
2018-04-06,136.528191163282,hon,2018-04-06
2018-04-09,135.70285688535122,hon,2018-04-09
2018-04-10,135.06518303662503,hon,2018-04-10
2018-04-11,134.48629980709006,hon,2018-04-11
2018-04-12,134.06822065369644,hon,2018-04-12
2018-04-13,133.47010994043146,hon,2018-04-13
2018-04-16,132.66903896079975,hon,2018-04-16
2018-04-17,132.39582357296774,hon,2018-04-17
2018-04-18,132.1637546837794,hon,2018-04-18
2018-04-19,131.4460252635914,hon,2018-04-19
2018-04-20,132.11127552987043,hon,2018-04-20
2018-04-23,132.39321694774804,hon,2018-04-23
2018-04-24,132.41883569306012,hon,2018-04-24
2018-04-25,132.5126438775825,hon,2018-04-25
2018-04-26,132.51672983793998,hon,2018-04-26
2018-04-27,132.5706801483553,hon,2018-04-27
2018-04-30,132.39869816052882,hon,2018-04-30
2018-05-01,132.38693577728085,hon,2018-05-01
2018-05-02,132.50563784907936,hon,2018-05-02
2018-05-03,132.54633484806388,hon,2018-05-03
2018-05-04,132.45923148114588,hon,2018-05-04
2018-05-07,132.3590109077382,hon,2018-05-07
2018-05-08,132.3791070109185,hon,2018-05-08
2018-05-09,132.3622409272723,hon,2018-05-09
2018-05-10,132.41872649801167,hon,2018-05-10
2018-05-11,132.49237126004707,hon,2018-05-11
2018-05-14,132.53070782611178,hon,2018-05-14
2018-05-15,132.3760731247491,hon,2018-05-15
2018-05-16,132.1203148157116,hon,2018-05-16
2018-05-17,132.08761378604746,hon,2018-05-17
2018-05-18,131.76467051225103,hon,2018-05-18
2018-05-21,132.33671701656104,hon,2018-05-21
2018-05-22,133.0743775669155,hon,2018-05-22
2018-05-23,133.82397582568197,hon,2018-05-23
2018-05-24,134.44336690739456,hon,2018-05-24
2018-05-25,134.91917634623823,hon,2018-05-25
2018-05-29,135.03357492138744,hon,2018-05-29
2018-05-30,135.36784942610882,hon,2018-05-30
2018-05-31,135.23582387316551,hon,2018-05-31
2018-06-01,135.26623609549225,hon,2018-06-01
2018-06-04,135.25762985067914,hon,2018-06-04
2018-06-05,135.13984178101478,hon,2018-06-05
2018-06-06,135.03257904870958,hon,2018-06-06
2018-06-07,135.20048905645828,hon,2018-06-07
2018-06-08,135.4188253682453,hon,2018-06-08
2018-06-11,135.57590064948994,hon,2018-06-11
2018-06-12,135.71273303000186,hon,2018-06-12
2018-06-13,135.70282956915344,hon,2018-06-13
2018-06-14,135.55526534168715,hon,2018-06-14
2018-06-15,135.30596045175034,hon,2018-06-15
