date,boll_lb,ticker,date
2017-01-03,,ibm,2017-01-03
2017-01-04,122.65785074172678,ibm,2017-01-04
2017-01-05,123.35859363523677,ibm,2017-01-05
2017-01-06,123.60878480058956,ibm,2017-01-06
2017-01-09,123.50438154267931,ibm,2017-01-09
2017-01-10,122.40926660546513,ibm,2017-01-10
2017-01-11,122.57628333704969,ibm,2017-01-11
2017-01-12,122.72860537352913,ibm,2017-01-12
2017-01-13,122.7760711474335,ibm,2017-01-13
2017-01-17,122.87974378955384,ibm,2017-01-17
2017-01-18,122.82302938062499,ibm,2017-01-18
2017-01-19,122.78796996947462,ibm,2017-01-19
2017-01-20,122.63327564847557,ibm,2017-01-20
2017-01-23,122.50855069346098,ibm,2017-01-23
2017-01-24,121.46646869722606,ibm,2017-01-24
2017-01-25,120.55387242302433,ibm,2017-01-25
2017-01-26,120.06688754259521,ibm,2017-01-26
2017-01-27,119.98586014288122,ibm,2017-01-27
2017-01-30,120.09608051483997,ibm,2017-01-30
2017-01-31,120.27724576537965,ibm,2017-01-31
2017-02-01,120.56120150579687,ibm,2017-02-01
2017-02-02,120.69037407923707,ibm,2017-02-02
2017-02-03,120.8607155248154,ibm,2017-02-03
2017-02-06,121.00234530982247,ibm,2017-02-06
2017-02-07,121.25981100424701,ibm,2017-02-07
2017-02-08,121.98298259367503,ibm,2017-02-08
2017-02-09,122.43432919086862,ibm,2017-02-09
2017-02-10,122.88123589789288,ibm,2017-02-10
2017-02-13,123.52244080505464,ibm,2017-02-13
2017-02-14,124.18154443393142,ibm,2017-02-14
2017-02-15,125.13825560552368,ibm,2017-02-15
2017-02-16,126.42922305728294,ibm,2017-02-16
2017-02-17,127.1945865626482,ibm,2017-02-17
2017-02-21,128.0705132486745,ibm,2017-02-21
2017-02-22,128.19742220925272,ibm,2017-02-22
2017-02-23,128.14971143144328,ibm,2017-02-23
2017-02-24,128.1358366577585,ibm,2017-02-24
2017-02-27,128.28343328022754,ibm,2017-02-27
2017-02-28,128.61364209400676,ibm,2017-02-28
2017-03-01,129.14228177621072,ibm,2017-03-01
2017-03-02,129.8726042081104,ibm,2017-03-02
2017-03-03,130.68074656946706,ibm,2017-03-03
2017-03-06,131.35842750963567,ibm,2017-03-06
2017-03-07,132.19089808112997,ibm,2017-03-07
2017-03-08,132.49725376109356,ibm,2017-03-08
2017-03-09,132.7302106426179,ibm,2017-03-09
2017-03-10,132.85212509980215,ibm,2017-03-10
2017-03-13,132.44623159006315,ibm,2017-03-13
2017-03-14,131.88271326487097,ibm,2017-03-14
2017-03-15,131.39560139271924,ibm,2017-03-15
2017-03-16,131.21362087160855,ibm,2017-03-16
2017-03-17,130.83023870045125,ibm,2017-03-17
2017-03-20,130.4920870171988,ibm,2017-03-20
2017-03-21,129.8934441652573,ibm,2017-03-21
2017-03-22,129.5625606073844,ibm,2017-03-22
2017-03-23,129.3373443551512,ibm,2017-03-23
2017-03-24,129.0217770724598,ibm,2017-03-24
2017-03-27,128.66931321367207,ibm,2017-03-27
2017-03-28,128.47582274621652,ibm,2017-03-28
2017-03-29,128.46338738286192,ibm,2017-03-29
2017-03-30,128.38331327383952,ibm,2017-03-30
2017-03-31,128.36532504150478,ibm,2017-03-31
2017-04-03,128.5249877441628,ibm,2017-04-03
2017-04-04,128.81500878148486,ibm,2017-04-04
2017-04-05,128.90562384281242,ibm,2017-04-05
2017-04-06,128.6964781913206,ibm,2017-04-06
2017-04-07,128.58865633529354,ibm,2017-04-07
2017-04-10,128.2185646681709,ibm,2017-04-10
2017-04-11,127.76048780265293,ibm,2017-04-11
2017-04-12,127.40877276042836,ibm,2017-04-12
2017-04-13,127.05879808559595,ibm,2017-04-13
2017-04-17,126.91381797427616,ibm,2017-04-17
2017-04-18,126.67092460857764,ibm,2017-04-18
2017-04-19,124.29773251990312,ibm,2017-04-19
2017-04-20,122.8378552663491,ibm,2017-04-20
2017-04-21,121.26621535682114,ibm,2017-04-21
2017-04-24,120.04580732685181,ibm,2017-04-24
2017-04-25,118.95644096619331,ibm,2017-04-25
2017-04-26,118.00896880412212,ibm,2017-04-26
2017-04-27,117.23547660466303,ibm,2017-04-27
2017-04-28,116.58690052299963,ibm,2017-04-28
2017-05-01,115.88625599972373,ibm,2017-05-01
2017-05-02,115.40417469593659,ibm,2017-05-02
2017-05-03,115.02962415952689,ibm,2017-05-03
2017-05-04,114.73447756688996,ibm,2017-05-04
