date,boll_ub,ticker,date
2018-01-05,,ibm,2018-01-05
2018-01-08,157.13759806737167,ibm,2018-01-08
2018-01-09,157.40949258251612,ibm,2018-01-09
2018-01-10,157.6954920857654,ibm,2018-01-10
2018-01-11,157.78736142420817,ibm,2018-01-11
2018-01-12,157.62627849235525,ibm,2018-01-12
2018-01-16,157.57654154709886,ibm,2018-01-16
2018-01-17,160.59119765946608,ibm,2018-01-17
2018-01-18,162.10510273888812,ibm,2018-01-18
2018-01-19,161.85091093105257,ibm,2018-01-19
2018-01-22,161.5902531683643,ibm,2018-01-22
2018-01-23,161.6602495393642,ibm,2018-01-23
2018-01-24,161.56130334472053,ibm,2018-01-24
2018-01-25,161.48212191722175,ibm,2018-01-25
2018-01-26,161.7250934713655,ibm,2018-01-26
2018-01-29,161.81245553380427,ibm,2018-01-29
2018-01-30,161.65414079135215,ibm,2018-01-30
2018-01-31,161.50678846455645,ibm,2018-01-31
2018-02-01,161.41656663318537,ibm,2018-02-01
2018-02-02,161.7307490029286,ibm,2018-02-02
2018-02-05,163.49148461414754,ibm,2018-02-05
2018-02-06,164.026154867065,ibm,2018-02-06
2018-02-07,164.5746117251739,ibm,2018-02-07
2018-02-08,165.95268846189393,ibm,2018-02-08
2018-02-09,166.46139028631978,ibm,2018-02-09
2018-02-12,166.59924386501376,ibm,2018-02-12
2018-02-13,166.58916155859896,ibm,2018-02-13
2018-02-14,165.54876606255746,ibm,2018-02-14
2018-02-15,164.24810208553353,ibm,2018-02-15
2018-02-16,163.8948986481838,ibm,2018-02-16
2018-02-20,163.4763431732012,ibm,2018-02-20
2018-02-21,162.4457447604819,ibm,2018-02-21
2018-02-22,161.45134625296637,ibm,2018-02-22
2018-02-23,160.31742275413407,ibm,2018-02-23
2018-02-26,158.78454785619198,ibm,2018-02-26
2018-02-27,156.9934686888145,ibm,2018-02-27
2018-02-28,155.78214983272633,ibm,2018-02-28
2018-03-01,154.24285270068927,ibm,2018-03-01
2018-03-02,152.8254566810828,ibm,2018-03-02
2018-03-05,152.4337643887008,ibm,2018-03-05
2018-03-06,152.57997293083693,ibm,2018-03-06
2018-03-07,152.99565202265416,ibm,2018-03-07
2018-03-08,153.15594292768435,ibm,2018-03-08
2018-03-09,153.11487052565198,ibm,2018-03-09
2018-03-12,153.41225821252988,ibm,2018-03-12
2018-03-13,153.6274434181666,ibm,2018-03-13
2018-03-14,153.36552677068119,ibm,2018-03-14
2018-03-15,153.75292492167694,ibm,2018-03-15
2018-03-16,154.22859455658832,ibm,2018-03-16
2018-03-19,154.2775800571229,ibm,2018-03-19
2018-03-20,154.26704213385116,ibm,2018-03-20
2018-03-21,154.1761160141961,ibm,2018-03-21
2018-03-22,154.35253107102835,ibm,2018-03-22
2018-03-23,155.2764726248093,ibm,2018-03-23
2018-03-26,155.1409847475958,ibm,2018-03-26
2018-03-27,155.25032287662637,ibm,2018-03-27
2018-03-28,155.3023640194833,ibm,2018-03-28
2018-03-29,155.31340265204474,ibm,2018-03-29
2018-04-02,155.59089039623314,ibm,2018-04-02
2018-04-03,155.7014734251905,ibm,2018-04-03
2018-04-04,155.647402034452,ibm,2018-04-04
2018-04-05,155.33821425074953,ibm,2018-04-05
2018-04-06,155.32045613791772,ibm,2018-04-06
2018-04-09,154.7773601007706,ibm,2018-04-09
2018-04-10,154.0770748576825,ibm,2018-04-10
2018-04-11,153.51417079770673,ibm,2018-04-11
2018-04-12,153.5055821690476,ibm,2018-04-12
2018-04-13,152.98276012403943,ibm,2018-04-13
2018-04-16,152.4469427609021,ibm,2018-04-16
2018-04-17,153.2434374740874,ibm,2018-04-17
2018-04-18,153.20466230100646,ibm,2018-04-18
2018-04-19,153.1089419044694,ibm,2018-04-19
2018-04-20,153.65386918300774,ibm,2018-04-20
2018-04-23,153.9173359353085,ibm,2018-04-23
2018-04-24,154.10203457772613,ibm,2018-04-24
2018-04-25,154.2448567027808,ibm,2018-04-25
2018-04-26,154.24541047771072,ibm,2018-04-26
2018-04-27,154.14303672940434,ibm,2018-04-27
2018-04-30,154.28116229414573,ibm,2018-04-30
2018-05-01,154.38431910076812,ibm,2018-05-01
2018-05-02,154.32497339199767,ibm,2018-05-02
2018-05-03,154.1740070026245,ibm,2018-05-03
2018-05-04,154.11793003138703,ibm,2018-05-04
2018-05-07,153.85236332891856,ibm,2018-05-07
2018-05-08,153.13216207908988,ibm,2018-05-08
2018-05-09,152.29786855912607,ibm,2018-05-09
2018-05-10,150.67271297945243,ibm,2018-05-10
2018-05-11,149.12699674005722,ibm,2018-05-11
2018-05-14,146.8936963443453,ibm,2018-05-14
2018-05-15,141.82820954458302,ibm,2018-05-15
2018-05-16,141.11322185796394,ibm,2018-05-16
