date,boll_lb,ticker,date
2018-01-02,,intc,2018-01-02
2018-01-03,39.04295176069147,intc,2018-01-03
2018-01-04,38.37225243810035,intc,2018-01-04
2018-01-05,38.4740667557784,intc,2018-01-05
2018-01-08,38.56448255387477,intc,2018-01-08
2018-01-09,38.128006439681734,intc,2018-01-09
2018-01-10,37.33610414624218,intc,2018-01-10
2018-01-11,37.261881243957056,intc,2018-01-11
2018-01-12,37.18092283040217,intc,2018-01-12
2018-01-16,37.11117436345438,intc,2018-01-16
2018-01-17,37.241356662816955,intc,2018-01-17
2018-01-18,37.357317190043695,intc,2018-01-18
2018-01-19,37.46435097198543,intc,2018-01-19
2018-01-22,37.512541766694596,intc,2018-01-22
2018-01-23,37.5408571244834,intc,2018-01-23
2018-01-24,37.61972485279632,intc,2018-01-24
2018-01-25,37.69990054094394,intc,2018-01-25
2018-01-26,36.98035218321328,intc,2018-01-26
2018-01-29,36.6489425716426,intc,2018-01-29
2018-01-30,36.622483021541335,intc,2018-01-30
2018-01-31,36.56211782812581,intc,2018-01-31
2018-02-01,36.57027171167817,intc,2018-02-01
2018-02-02,36.667851524984954,intc,2018-02-02
2018-02-05,36.6489496139042,intc,2018-02-05
2018-02-06,36.68296860133626,intc,2018-02-06
2018-02-07,36.856658765786975,intc,2018-02-07
2018-02-08,36.950194846498405,intc,2018-02-08
2018-02-09,37.059555726183156,intc,2018-02-09
2018-02-12,37.28655248158,intc,2018-02-12
2018-02-13,37.51078574897721,intc,2018-02-13
2018-02-14,37.6298911268025,intc,2018-02-14
2018-02-15,37.771263683457086,intc,2018-02-15
2018-02-16,37.86083862957072,intc,2018-02-16
2018-02-20,37.900744126782904,intc,2018-02-20
2018-02-21,37.910008386554814,intc,2018-02-21
2018-02-22,37.95020018373072,intc,2018-02-22
2018-02-23,38.02516094600277,intc,2018-02-23
2018-02-26,38.10645777676862,intc,2018-02-26
2018-02-27,38.06675008057777,intc,2018-02-27
2018-02-28,37.986605488678535,intc,2018-02-28
2018-03-01,37.98561059838458,intc,2018-03-01
2018-03-02,37.898649441393246,intc,2018-03-02
2018-03-05,37.80459524941672,intc,2018-03-05
2018-03-06,37.84229345307881,intc,2018-03-06
2018-03-07,37.812394206595535,intc,2018-03-07
2018-03-08,37.89443970089903,intc,2018-03-08
2018-03-09,38.34629760868671,intc,2018-03-09
2018-03-12,38.75459707137277,intc,2018-03-12
2018-03-13,39.07532754586808,intc,2018-03-13
2018-03-14,39.56131961570254,intc,2018-03-14
2018-03-15,40.00551296911399,intc,2018-03-15
2018-03-16,40.40563720847047,intc,2018-03-16
2018-03-19,40.96279774444276,intc,2018-03-19
2018-03-20,41.419677619753124,intc,2018-03-20
2018-03-21,42.069717428650776,intc,2018-03-21
2018-03-22,42.944888683001516,intc,2018-03-22
2018-03-23,43.262884774998696,intc,2018-03-23
2018-03-26,43.37327728845183,intc,2018-03-26
2018-03-27,43.452003574493055,intc,2018-03-27
2018-03-28,43.499690006554836,intc,2018-03-28
2018-03-29,44.048411162846655,intc,2018-03-29
2018-04-02,44.03361580679685,intc,2018-04-02
2018-04-03,44.03361580679685,intc,2018-04-03
