date,boll_ub,ticker,date
2017-01-03,,jnj,2017-01-03
2017-01-04,100.38165644715893,jnj,2017-01-04
2017-01-05,101.59683392741435,jnj,2017-01-05
2017-01-06,101.44343428181466,jnj,2017-01-06
2017-01-09,101.34386212807236,jnj,2017-01-09
2017-01-10,101.25449942902246,jnj,2017-01-10
2017-01-11,101.50625894068602,jnj,2017-01-11
2017-01-12,101.55657047535338,jnj,2017-01-12
2017-01-13,101.53120398680296,jnj,2017-01-13
2017-01-17,101.44794659410474,jnj,2017-01-17
2017-01-18,101.3817136882673,jnj,2017-01-18
2017-01-19,101.36880076601528,jnj,2017-01-19
2017-01-20,101.34009916266737,jnj,2017-01-20
2017-01-23,101.3242019654673,jnj,2017-01-23
2017-01-24,101.6908726775433,jnj,2017-01-24
2017-01-25,101.69678143268143,jnj,2017-01-25
2017-01-26,101.79740973000881,jnj,2017-01-26
2017-01-27,101.71259633155219,jnj,2017-01-27
2017-01-30,101.64061198455316,jnj,2017-01-30
2017-01-31,101.56540457372236,jnj,2017-01-31
2017-02-01,101.42823806040802,jnj,2017-02-01
2017-02-02,101.29333125653852,jnj,2017-02-02
2017-02-03,100.91311722431166,jnj,2017-02-03
2017-02-06,100.60192866845009,jnj,2017-02-06
2017-02-07,100.24200925250322,jnj,2017-02-07
2017-02-08,99.84003717019232,jnj,2017-02-08
2017-02-09,99.75776432775037,jnj,2017-02-09
2017-02-10,99.86980719582623,jnj,2017-02-10
2017-02-13,100.1184169340464,jnj,2017-02-13
2017-02-14,100.42036150577073,jnj,2017-02-14
2017-02-15,100.912636900497,jnj,2017-02-15
2017-02-16,101.58276348170858,jnj,2017-02-16
2017-02-17,102.33018393314381,jnj,2017-02-17
2017-02-21,103.14729564280641,jnj,2017-02-21
2017-02-22,103.7316391429713,jnj,2017-02-22
2017-02-23,104.74309175977824,jnj,2017-02-23
2017-02-24,105.94226301855106,jnj,2017-02-24
2017-02-27,106.90546715509802,jnj,2017-02-27
2017-02-28,107.65898783765671,jnj,2017-02-28
2017-03-01,108.60493632935216,jnj,2017-03-01
2017-03-02,109.33608948042152,jnj,2017-03-02
2017-03-03,109.97468530738627,jnj,2017-03-03
2017-03-06,110.47208647232578,jnj,2017-03-06
2017-03-07,110.83587377032234,jnj,2017-03-07
2017-03-08,111.10275887273191,jnj,2017-03-08
2017-03-09,111.49010003252849,jnj,2017-03-09
2017-03-10,111.80122820579622,jnj,2017-03-10
2017-03-13,112.1437922464786,jnj,2017-03-13
2017-03-14,112.44196693138602,jnj,2017-03-14
2017-03-15,112.96774591131155,jnj,2017-03-15
2017-03-16,113.28850598745534,jnj,2017-03-16
2017-03-17,113.46698441105575,jnj,2017-03-17
2017-03-20,113.58002205547255,jnj,2017-03-20
2017-03-21,113.52900350225431,jnj,2017-03-21
2017-03-22,113.17846787105609,jnj,2017-03-22
2017-03-23,113.00401315569931,jnj,2017-03-23
2017-03-24,112.95295493356406,jnj,2017-03-24
