date,boll_ub,ticker,date
2018-01-02,,jpm,2018-01-02
2018-01-03,94.4036054815862,jpm,2018-01-03
2018-01-04,96.35261891563026,jpm,2018-01-04
2018-01-05,96.17315154599126,jpm,2018-01-05
2018-01-08,96.11482625438958,jpm,2018-01-08
2018-01-09,96.2906020179769,jpm,2018-01-09
2018-01-10,96.99978657666477,jpm,2018-01-10
2018-01-11,97.64396641250424,jpm,2018-01-11
2018-01-12,98.87205155740378,jpm,2018-01-12
2018-01-16,99.41315617300444,jpm,2018-01-16
2018-01-17,100.00240764605914,jpm,2018-01-17
2018-01-18,100.48304046075513,jpm,2018-01-18
2018-01-19,100.7632944785868,jpm,2018-01-19
2018-01-22,101.28590881232005,jpm,2018-01-22
2018-01-23,101.646976187994,jpm,2018-01-23
2018-01-24,102.25209452414387,jpm,2018-01-24
2018-01-25,102.72179461693602,jpm,2018-01-25
2018-01-26,103.21514882210913,jpm,2018-01-26
2018-01-29,103.58567638442216,jpm,2018-01-29
2018-01-30,103.72408269981533,jpm,2018-01-30
2018-01-31,103.8800877960513,jpm,2018-01-31
2018-02-01,104.1118923636125,jpm,2018-02-01
2018-02-02,104.08033033208817,jpm,2018-02-02
2018-02-05,104.02500030860958,jpm,2018-02-05
2018-02-06,103.77465534922084,jpm,2018-02-06
2018-02-07,103.5383716587563,jpm,2018-02-07
2018-02-08,103.86831578912307,jpm,2018-02-08
2018-02-09,103.92672227088006,jpm,2018-02-09
2018-02-12,103.93035935643218,jpm,2018-02-12
2018-02-13,103.93073970668146,jpm,2018-02-13
2018-02-14,104.05670474031675,jpm,2018-02-14
2018-02-15,104.21717594240037,jpm,2018-02-15
2018-02-16,104.2973449050567,jpm,2018-02-16
2018-02-20,104.32415267406371,jpm,2018-02-20
2018-02-21,104.39831254180537,jpm,2018-02-21
2018-02-22,104.33073663532792,jpm,2018-02-22
2018-02-23,104.55354257708676,jpm,2018-02-23
2018-02-26,104.95957924072813,jpm,2018-02-26
2018-02-27,105.11387328122186,jpm,2018-02-27
2018-02-28,105.14637136428743,jpm,2018-02-28
2018-03-01,105.01064118563667,jpm,2018-03-01
2018-03-02,104.71420310837343,jpm,2018-03-02
2018-03-05,104.77050471777632,jpm,2018-03-05
2018-03-06,104.60513377211538,jpm,2018-03-06
2018-03-07,104.64314498035554,jpm,2018-03-07
2018-03-08,104.68853396100188,jpm,2018-03-08
2018-03-09,104.44459584088477,jpm,2018-03-09
