date,dx_30,ticker,date
2018-01-02,,ko,2018-01-02
2018-01-03,100.0,ko,2018-01-03
2018-01-04,53.83950753321379,ko,2018-01-04
2018-01-05,53.839507533213805,ko,2018-01-05
2018-01-08,53.83950753321379,ko,2018-01-08
2018-01-09,68.40318842608131,ko,2018-01-09
2018-01-10,66.24708966054888,ko,2018-01-10
2018-01-11,51.71037192477637,ko,2018-01-11
2018-01-12,60.21118439907869,ko,2018-01-12
2018-01-16,68.68271338959097,ko,2018-01-16
2018-01-17,77.24083789679074,ko,2018-01-17
2018-01-18,78.40299039529638,ko,2018-01-18
2018-01-19,81.06125838030852,ko,2018-01-19
2018-01-22,83.98741205572325,ko,2018-01-22
2018-01-23,85.85622825579144,ko,2018-01-23
2018-01-24,87.76434269985583,ko,2018-01-24
2018-01-25,88.1073511664863,ko,2018-01-25
2018-01-26,91.32932334553908,ko,2018-01-26
2018-01-29,78.02432394960236,ko,2018-01-29
2018-01-30,64.28548926151674,ko,2018-01-30
2018-01-31,62.05711610408478,ko,2018-01-31
2018-02-01,43.9675273483429,ko,2018-02-01
2018-02-02,17.978136785561432,ko,2018-02-02
2018-02-05,37.66012564270734,ko,2018-02-05
2018-02-06,48.91303650770414,ko,2018-02-06
2018-02-07,29.356526688226303,ko,2018-02-07
2018-02-08,42.26157581667271,ko,2018-02-08
2018-02-09,49.44184446180244,ko,2018-02-09
2018-02-12,33.87030664555659,ko,2018-02-12
2018-02-13,30.473067553484544,ko,2018-02-13
2018-02-14,31.09609861674314,ko,2018-02-14
2018-02-15,18.942472811832996,ko,2018-02-15
2018-02-16,5.6867912290153395,ko,2018-02-16
2018-02-20,15.392955908584218,ko,2018-02-20
2018-02-21,22.09540339961321,ko,2018-02-21
2018-02-22,23.267165312127975,ko,2018-02-22
2018-02-23,19.089509274181708,ko,2018-02-23
2018-02-26,13.438742028516698,ko,2018-02-26
2018-02-27,15.894963178987389,ko,2018-02-27
2018-02-28,20.943259433003423,ko,2018-02-28
2018-03-01,25.709994926045066,ko,2018-03-01
2018-03-02,22.55049155806561,ko,2018-03-02
2018-03-05,19.735720889256108,ko,2018-03-05
2018-03-06,17.469584521852838,ko,2018-03-06
2018-03-07,19.251723424146753,ko,2018-03-07
2018-03-08,8.030160430457906,ko,2018-03-08
2018-03-09,1.2409783271388466,ko,2018-03-09
2018-03-12,3.6153205091298477,ko,2018-03-12
2018-03-13,3.6153205091298592,ko,2018-03-13
2018-03-14,8.79056617768022,ko,2018-03-14
2018-03-15,11.822518547124664,ko,2018-03-15
2018-03-16,13.529521623658718,ko,2018-03-16
2018-03-19,18.105322467376713,ko,2018-03-19
2018-03-20,20.92181829094592,ko,2018-03-20
2018-03-21,24.5131222491505,ko,2018-03-21
2018-03-22,25.983116599114798,ko,2018-03-22
2018-03-23,32.39421183578891,ko,2018-03-23
2018-03-26,32.99945473542875,ko,2018-03-26
2018-03-27,18.789647531367297,ko,2018-03-27
2018-03-28,9.073066698292823,ko,2018-03-28
2018-03-29,3.946101059151835,ko,2018-03-29
2018-04-02,19.097850210447152,ko,2018-04-02
2018-04-03,18.126191135997068,ko,2018-04-03
2018-04-04,0.5253575946900907,ko,2018-04-04
2018-04-05,4.462881249213626,ko,2018-04-05
2018-04-06,0.1638256329509821,ko,2018-04-06
2018-04-09,0.1638256329509798,ko,2018-04-09
2018-04-10,1.4647013948188448,ko,2018-04-10
2018-04-11,1.4647013948188448,ko,2018-04-11
2018-04-12,4.90699090979562,ko,2018-04-12
2018-04-13,11.095937750408847,ko,2018-04-13
2018-04-16,15.304813463062006,ko,2018-04-16
2018-04-17,18.20244399764296,ko,2018-04-17
2018-04-18,9.08377294693522,ko,2018-04-18
2018-04-19,1.0139467318124722,ko,2018-04-19
2018-04-20,9.17988537350389,ko,2018-04-20
2018-04-23,9.62305105658005,ko,2018-04-23
