date,rsi_30,ticker,date
2018-01-05,,ko,2018-01-05
2018-01-08,0.0,ko,2018-01-08
2018-01-09,77.27009032716815,ko,2018-01-09
2018-01-10,49.656230882607225,ko,2018-01-10
2018-01-11,46.43818808721549,ko,2018-01-11
2018-01-12,57.0086210206828,ko,2018-01-12
2018-01-16,74.78939172965268,ko,2018-01-16
2018-01-17,80.99492258559454,ko,2018-01-17
2018-01-18,81.94608466883261,ko,2018-01-18
2018-01-19,85.45912197797725,ko,2018-01-19
2018-01-22,87.44496845375718,ko,2018-01-22
2018-01-23,87.98498652221656,ko,2018-01-23
2018-01-24,90.32277651027623,ko,2018-01-24
2018-01-25,90.37373677414747,ko,2018-01-25
2018-01-26,93.00467629976012,ko,2018-01-26
2018-01-29,69.40127683112165,ko,2018-01-29
2018-01-30,63.57039457540716,ko,2018-01-30
2018-01-31,65.43495022736964,ko,2018-01-31
2018-02-01,62.84675972581927,ko,2018-02-01
2018-02-02,51.92011802237673,ko,2018-02-02
2018-02-05,35.57065021491887,ko,2018-02-05
2018-02-06,34.2371672979,ko,2018-02-06
2018-02-07,33.58590686146799,ko,2018-02-07
2018-02-08,26.630550711421208,ko,2018-02-08
2018-02-09,26.95211976241663,ko,2018-02-09
2018-02-12,35.18083962415878,ko,2018-02-12
2018-02-13,37.10052227699213,ko,2018-02-13
2018-02-14,36.64126098555494,ko,2018-02-14
2018-02-15,42.2305265977537,ko,2018-02-15
2018-02-16,43.74058766993882,ko,2018-02-16
2018-02-20,38.577019218196284,ko,2018-02-20
2018-02-21,35.713548625084485,ko,2018-02-21
2018-02-22,37.05206404121347,ko,2018-02-22
2018-02-23,40.73953327651269,ko,2018-02-23
2018-02-26,40.69215856932508,ko,2018-02-26
2018-02-27,38.77764596234565,ko,2018-02-27
2018-02-28,37.01984950961979,ko,2018-02-28
2018-03-01,38.533109172737426,ko,2018-03-01
2018-03-02,40.57298108387607,ko,2018-03-02
2018-03-05,41.74530529047996,ko,2018-03-05
2018-03-06,42.02373162872338,ko,2018-03-06
2018-03-07,41.460043380252166,ko,2018-03-07
2018-03-08,45.76972708654944,ko,2018-03-08
2018-03-09,48.09144972878412,ko,2018-03-09
2018-03-12,46.477996597995954,ko,2018-03-12
2018-03-13,46.73297735131906,ko,2018-03-13
2018-03-14,44.519544730428386,ko,2018-03-14
2018-03-15,43.92768413259688,ko,2018-03-15
2018-03-16,42.8037795158769,ko,2018-03-16
2018-03-19,41.75135878855363,ko,2018-03-19
2018-03-20,41.227100425158866,ko,2018-03-20
2018-03-21,40.38762755118473,ko,2018-03-21
2018-03-22,39.150574311998604,ko,2018-03-22
2018-03-23,37.047510204949965,ko,2018-03-23
2018-03-26,39.846162030082446,ko,2018-03-26
2018-03-27,41.34472081871969,ko,2018-03-27
2018-03-28,44.42422986419957,ko,2018-03-28
2018-03-29,45.185761524989076,ko,2018-03-29
2018-04-02,41.15497825593034,ko,2018-04-02
2018-04-03,45.8253669739169,ko,2018-04-03
2018-04-04,50.725705791892054,ko,2018-04-04
2018-04-05,51.568808503990596,ko,2018-04-05
2018-04-06,48.96845239756124,ko,2018-04-06
2018-04-09,48.494082638526294,ko,2018-04-09
2018-04-10,49.39553760374147,ko,2018-04-10
2018-04-11,49.39553760374146,ko,2018-04-11
2018-04-12,49.631431153783765,ko,2018-04-12
2018-04-13,52.38610734821303,ko,2018-04-13
2018-04-16,53.32146697760433,ko,2018-04-16
