date,boll_lb,ticker,date
2017-01-03,,mcd,2017-01-03
2017-01-04,104.52467794839984,mcd,2017-01-04
2017-01-05,104.54681989559141,mcd,2017-01-05
2017-01-06,103.96753898072012,mcd,2017-01-06
2017-01-09,104.10453173645134,mcd,2017-01-09
2017-01-10,104.22717206721332,mcd,2017-01-10
2017-01-11,104.24017922641285,mcd,2017-01-11
2017-01-12,103.93239551988155,mcd,2017-01-12
2017-01-13,103.9985022303684,mcd,2017-01-13
2017-01-17,103.83239905559846,mcd,2017-01-17
2017-01-18,103.81180326077136,mcd,2017-01-18
2017-01-19,103.90217619948874,mcd,2017-01-19
2017-01-20,103.98687308796012,mcd,2017-01-20
2017-01-23,104.08129336476199,mcd,2017-01-23
2017-01-24,104.1485962185745,mcd,2017-01-24
2017-01-25,104.22838547778032,mcd,2017-01-25
2017-01-26,104.30063768107932,mcd,2017-01-26
2017-01-27,104.31291054308878,mcd,2017-01-27
2017-01-30,104.32389742910551,mcd,2017-01-30
2017-01-31,104.37496770024117,mcd,2017-01-31
2017-02-01,104.61637729030437,mcd,2017-02-01
2017-02-02,104.89368840924092,mcd,2017-02-02
2017-02-03,105.06319611726207,mcd,2017-02-03
2017-02-06,105.0654813019208,mcd,2017-02-06
2017-02-07,105.17695063603446,mcd,2017-02-07
2017-02-08,105.39018686865836,mcd,2017-02-08
2017-02-09,105.5583064852203,mcd,2017-02-09
2017-02-10,105.42341352496524,mcd,2017-02-10
2017-02-13,105.4817070691675,mcd,2017-02-13
2017-02-14,105.41675235683806,mcd,2017-02-14
2017-02-15,105.3250430243011,mcd,2017-02-15
2017-02-16,105.3278747974935,mcd,2017-02-16
2017-02-17,105.25611855656224,mcd,2017-02-17
2017-02-21,105.39040936184314,mcd,2017-02-21
2017-02-22,105.7167429202348,mcd,2017-02-22
2017-02-23,105.95403455550286,mcd,2017-02-23
2017-02-24,106.23196893061818,mcd,2017-02-24
2017-02-27,106.47865257676096,mcd,2017-02-27
2017-02-28,106.71282252617053,mcd,2017-02-28
2017-03-01,106.97339793600402,mcd,2017-03-01
2017-03-02,107.47050687197087,mcd,2017-03-02
2017-03-03,107.91506575761161,mcd,2017-03-03
2017-03-06,108.2207517494615,mcd,2017-03-06
2017-03-07,108.54478552196632,mcd,2017-03-07
2017-03-08,108.90199493041051,mcd,2017-03-08
2017-03-09,109.30884258829528,mcd,2017-03-09
2017-03-10,109.8602342924798,mcd,2017-03-10
2017-03-13,110.16454720641072,mcd,2017-03-13
2017-03-14,110.6000236902711,mcd,2017-03-14
2017-03-15,111.05699488127601,mcd,2017-03-15
2017-03-16,111.41043036811016,mcd,2017-03-16
2017-03-17,111.75917739610999,mcd,2017-03-17
2017-03-20,111.85099747674269,mcd,2017-03-20
2017-03-21,111.94163938159915,mcd,2017-03-21
2017-03-22,112.04236144695112,mcd,2017-03-22
2017-03-23,112.10141627884148,mcd,2017-03-23
2017-03-24,112.08642695626061,mcd,2017-03-24
2017-03-27,112.22102752117918,mcd,2017-03-27
2017-03-28,112.26057535301744,mcd,2017-03-28
2017-03-29,112.26749360443637,mcd,2017-03-29
2017-03-30,112.26490752425929,mcd,2017-03-30
2017-03-31,112.28695486637493,mcd,2017-03-31
2017-04-03,112.31317055431533,mcd,2017-04-03
2017-04-04,112.36916262103462,mcd,2017-04-04
2017-04-05,112.330491561956,mcd,2017-04-05
2017-04-06,112.35753729621099,mcd,2017-04-06
2017-04-07,112.44941794267707,mcd,2017-04-07
2017-04-10,112.64139917606026,mcd,2017-04-10
2017-04-11,112.6855820429733,mcd,2017-04-11
2017-04-12,112.77388352276249,mcd,2017-04-12
2017-04-13,112.9585698980647,mcd,2017-04-13
2017-04-17,112.98890668046724,mcd,2017-04-17
2017-04-18,112.90145877946188,mcd,2017-04-18
2017-04-19,112.88842568979274,mcd,2017-04-19
2017-04-20,112.76852422933388,mcd,2017-04-20
2017-04-21,112.73767284482504,mcd,2017-04-21
2017-04-24,112.62391201077517,mcd,2017-04-24
2017-04-25,110.89000087326141,mcd,2017-04-25
2017-04-26,110.25818562192715,mcd,2017-04-26
2017-04-27,110.02576679817254,mcd,2017-04-27
2017-04-28,110.06934059242322,mcd,2017-04-28
2017-05-01,110.09434386960368,mcd,2017-05-01
2017-05-02,110.27200800720634,mcd,2017-05-02
2017-05-03,110.51454970628943,mcd,2017-05-03
2017-05-04,110.68912873161787,mcd,2017-05-04
2017-05-05,111.0257370950702,mcd,2017-05-05
2017-05-08,111.54531732611368,mcd,2017-05-08
2017-05-09,112.23253495304928,mcd,2017-05-09
2017-05-10,112.86995238169939,mcd,2017-05-10
2017-05-11,113.67235937214797,mcd,2017-05-11
2017-05-12,114.68455335744332,mcd,2017-05-12
2017-05-15,115.731651706485,mcd,2017-05-15
2017-05-16,116.72992295275365,mcd,2017-05-16
2017-05-17,117.96027726456018,mcd,2017-05-17
2017-05-18,119.27110028545822,mcd,2017-05-18
2017-05-19,120.80337033310192,mcd,2017-05-19
2017-05-22,122.54609553156952,mcd,2017-05-22
2017-05-23,122.70368328828336,mcd,2017-05-23
2017-05-24,122.9192532684378,mcd,2017-05-24
2017-05-25,123.2302558145899,mcd,2017-05-25
2017-05-26,123.87940402147957,mcd,2017-05-26
2017-05-30,124.40557768926698,mcd,2017-05-30
2017-05-31,124.96846292021195,mcd,2017-05-31
2017-06-01,125.05399309359409,mcd,2017-06-01
2017-06-02,124.98521222228072,mcd,2017-06-02
2017-06-05,125.17894022526296,mcd,2017-06-05
2017-06-06,125.59157778638658,mcd,2017-06-06
2017-06-07,126.03452925932035,mcd,2017-06-07
2017-06-08,126.58376936536449,mcd,2017-06-08
2017-06-09,127.30971223606515,mcd,2017-06-09
2017-06-12,127.85365412030929,mcd,2017-06-12
2017-06-13,128.3329097899296,mcd,2017-06-13
2017-06-14,128.69017281705703,mcd,2017-06-14
2017-06-15,129.2795427814174,mcd,2017-06-15
2017-06-16,129.80912357675436,mcd,2017-06-16
2017-06-19,130.11499444325534,mcd,2017-06-19
2017-06-20,130.4130409194207,mcd,2017-06-20
2017-06-21,130.9459836369394,mcd,2017-06-21
2017-06-22,131.10987878287386,mcd,2017-06-22
2017-06-23,131.3331589097613,mcd,2017-06-23
2017-06-26,131.66944940014085,mcd,2017-06-26
2017-06-27,132.07099189865096,mcd,2017-06-27
2017-06-28,132.32074937520278,mcd,2017-06-28
2017-06-29,132.34282547075517,mcd,2017-06-29
2017-06-30,132.34731470793952,mcd,2017-06-30
2017-07-03,132.33715018705266,mcd,2017-07-03
2017-07-05,132.45590194150546,mcd,2017-07-05
2017-07-06,132.51167200547317,mcd,2017-07-06
2017-07-07,132.4401485220914,mcd,2017-07-07
2017-07-10,132.5103739851561,mcd,2017-07-10
2017-07-11,133.323516868852,mcd,2017-07-11
2017-07-12,133.76626823952864,mcd,2017-07-12
2017-07-13,134.2338054706156,mcd,2017-07-13
2017-07-14,134.65809303849716,mcd,2017-07-14
2017-07-17,134.95827243677687,mcd,2017-07-17
2017-07-18,135.047613841069,mcd,2017-07-18
2017-07-19,135.0341112296557,mcd,2017-07-19
2017-07-20,135.07085996338466,mcd,2017-07-20
2017-07-21,135.03309989013235,mcd,2017-07-21
2017-07-24,134.68503100079246,mcd,2017-07-24
2017-07-25,134.1795838046707,mcd,2017-07-25
2017-07-26,134.20848110809635,mcd,2017-07-26
2017-07-27,134.18606992863815,mcd,2017-07-27
2017-07-28,134.3480398205732,mcd,2017-07-28
2017-07-31,134.5154145041897,mcd,2017-07-31
2017-08-01,134.7315032748819,mcd,2017-08-01
2017-08-02,134.94464827201955,mcd,2017-08-02
2017-08-03,135.14730644274542,mcd,2017-08-03
2017-08-04,135.01282559658276,mcd,2017-08-04
2017-08-07,134.99187308165537,mcd,2017-08-07
2017-08-08,134.9924471310332,mcd,2017-08-08
2017-08-09,134.9866974805084,mcd,2017-08-09
2017-08-10,134.98424158513538,mcd,2017-08-10
2017-08-11,134.94013657948378,mcd,2017-08-11
2017-08-14,134.9168992736287,mcd,2017-08-14
2017-08-15,135.00410522553307,mcd,2017-08-15
2017-08-16,135.02549165770793,mcd,2017-08-16
2017-08-17,135.15164548773515,mcd,2017-08-17
2017-08-18,135.36090696314136,mcd,2017-08-18
2017-08-21,136.074358213834,mcd,2017-08-21
2017-08-22,136.0047440419277,mcd,2017-08-22
2017-08-23,135.96465598540152,mcd,2017-08-23
2017-08-24,135.94824252089782,mcd,2017-08-24
2017-08-25,135.98978486814738,mcd,2017-08-25
2017-08-28,136.08417225239856,mcd,2017-08-28
2017-08-29,136.44989528602466,mcd,2017-08-29
2017-08-30,136.40529638200093,mcd,2017-08-30
2017-08-31,136.63535180963655,mcd,2017-08-31
2017-09-01,137.1864928096795,mcd,2017-09-01
2017-09-05,137.62476874608922,mcd,2017-09-05
2017-09-06,138.1833097153155,mcd,2017-09-06
2017-09-07,138.8054500100744,mcd,2017-09-07
2017-09-08,139.10334563472338,mcd,2017-09-08
2017-09-11,139.09627118056724,mcd,2017-09-11
2017-09-12,139.09579675080093,mcd,2017-09-12
2017-09-13,139.14480638823858,mcd,2017-09-13
2017-09-14,139.03698854055375,mcd,2017-09-14
2017-09-15,139.03129770907984,mcd,2017-09-15
2017-09-18,139.00758008011502,mcd,2017-09-18
2017-09-19,139.00802745527957,mcd,2017-09-19
2017-09-20,138.99317886330326,mcd,2017-09-20
2017-09-21,139.04850260321354,mcd,2017-09-21
2017-09-22,139.1482969408828,mcd,2017-09-22
2017-09-25,138.91756836810478,mcd,2017-09-25
2017-09-26,137.9703845316922,mcd,2017-09-26
2017-09-27,137.38040342286294,mcd,2017-09-27
2017-09-28,137.33818091690136,mcd,2017-09-28
2017-09-29,137.26357564719575,mcd,2017-09-29
2017-10-02,137.22897174850337,mcd,2017-10-02
2017-10-03,137.17340852878294,mcd,2017-10-03
2017-10-04,137.1395588333827,mcd,2017-10-04
2017-10-05,137.19400124111993,mcd,2017-10-05
2017-10-06,137.20146519209314,mcd,2017-10-06
2017-10-09,137.39218494133866,mcd,2017-10-09
2017-10-10,137.35552800716064,mcd,2017-10-10
2017-10-11,136.95945280053215,mcd,2017-10-11
2017-10-12,136.61532369420416,mcd,2017-10-12
2017-10-13,136.22113715573417,mcd,2017-10-13
2017-10-16,136.09499143945868,mcd,2017-10-16
2017-10-17,135.97660717743335,mcd,2017-10-17
2017-10-18,135.75599083092624,mcd,2017-10-18
2017-10-19,135.5878522380091,mcd,2017-10-19
2017-10-20,135.5375049582988,mcd,2017-10-20
2017-10-23,135.9841980421316,mcd,2017-10-23
2017-10-24,137.04990756420653,mcd,2017-10-24
2017-10-25,138.13686888041622,mcd,2017-10-25
2017-10-26,138.64431976328817,mcd,2017-10-26
2017-10-27,139.35862358949464,mcd,2017-10-27
2017-10-30,140.10871015882512,mcd,2017-10-30
2017-10-31,141.01101163787945,mcd,2017-10-31
2017-11-01,142.06917039277835,mcd,2017-11-01
2017-11-02,142.77602768734448,mcd,2017-11-02
2017-11-03,143.39976339752505,mcd,2017-11-03
2017-11-06,143.87958277837697,mcd,2017-11-06
2017-11-07,144.3371358374099,mcd,2017-11-07
2017-11-08,144.4940114848017,mcd,2017-11-08
2017-11-09,144.75120402902476,mcd,2017-11-09
2017-11-10,144.77020620217058,mcd,2017-11-10
2017-11-13,144.90822481472546,mcd,2017-11-13
2017-11-14,145.01493851688426,mcd,2017-11-14
2017-11-15,145.09739353929768,mcd,2017-11-15
2017-11-16,145.1354444179341,mcd,2017-11-16
2017-11-17,145.1607527874933,mcd,2017-11-17
2017-11-20,145.61861867283787,mcd,2017-11-20
2017-11-21,146.04818750369486,mcd,2017-11-21
2017-11-22,146.61116446532003,mcd,2017-11-22
2017-11-24,147.1760790820468,mcd,2017-11-24
2017-11-27,147.5024779844368,mcd,2017-11-27
2017-11-28,147.51148557703073,mcd,2017-11-28
2017-11-29,147.5962708627789,mcd,2017-11-29
2017-11-30,147.48593330719413,mcd,2017-11-30
2017-12-01,147.15966360560608,mcd,2017-12-01
2017-12-04,147.15764403653634,mcd,2017-12-04
2017-12-05,146.89379018859574,mcd,2017-12-05
2017-12-06,146.6281056356399,mcd,2017-12-06
2017-12-07,146.49415518845007,mcd,2017-12-07
2017-12-08,146.66518323033702,mcd,2017-12-08
2017-12-11,147.1677573905677,mcd,2017-12-11
2017-12-12,147.50714549180796,mcd,2017-12-12
2017-12-13,147.7260968096245,mcd,2017-12-13
2017-12-14,148.16930623917597,mcd,2017-12-14
2017-12-15,148.5066673659996,mcd,2017-12-15
2017-12-18,149.21579331159904,mcd,2017-12-18
2017-12-19,150.0689337727436,mcd,2017-12-19
2017-12-20,150.7174524597853,mcd,2017-12-20
2017-12-21,151.26320040894808,mcd,2017-12-21
2017-12-22,151.84695757619932,mcd,2017-12-22
2017-12-26,152.5871831507307,mcd,2017-12-26
2017-12-27,152.86855024390638,mcd,2017-12-27
2017-12-28,153.48321982800914,mcd,2017-12-28
2017-12-29,153.50027736123926,mcd,2017-12-29
2018-01-02,153.50489667974267,mcd,2018-01-02
2018-01-03,153.8327816123481,mcd,2018-01-03
2018-01-04,153.8236549764063,mcd,2018-01-04
2018-01-05,153.79234384710443,mcd,2018-01-05
2018-01-08,153.78285354330367,mcd,2018-01-08
2018-01-09,153.78428896671375,mcd,2018-01-09
2018-01-10,153.7848193680444,mcd,2018-01-10
2018-01-11,153.86164539468712,mcd,2018-01-11
2018-01-12,153.86142959325738,mcd,2018-01-12
2018-01-16,153.86523528457278,mcd,2018-01-16
2018-01-17,153.77308896796396,mcd,2018-01-17
2018-01-18,153.74470679956931,mcd,2018-01-18
2018-01-19,153.50107783032968,mcd,2018-01-19
2018-01-22,153.43507836376884,mcd,2018-01-22
2018-01-23,153.4121521468582,mcd,2018-01-23
2018-01-24,153.64325655393964,mcd,2018-01-24
2018-01-25,154.01138660614066,mcd,2018-01-25
2018-01-26,153.83233467484828,mcd,2018-01-26
2018-01-29,153.8143263976691,mcd,2018-01-29
2018-01-30,153.8779454743472,mcd,2018-01-30
2018-01-31,153.5115025967853,mcd,2018-01-31
2018-02-01,153.41392677591543,mcd,2018-02-01
2018-02-02,152.6397600652986,mcd,2018-02-02
2018-02-05,150.36023808417517,mcd,2018-02-05
2018-02-06,149.00497086382913,mcd,2018-02-06
2018-02-07,147.98171902904568,mcd,2018-02-07
2018-02-08,145.44001394334805,mcd,2018-02-08
2018-02-09,143.81587413434588,mcd,2018-02-09
2018-02-12,142.96530692956065,mcd,2018-02-12
2018-02-13,141.9634528724183,mcd,2018-02-13
2018-02-14,140.68558095338642,mcd,2018-02-14
2018-02-15,139.7084018461967,mcd,2018-02-15
2018-02-16,138.44538372732015,mcd,2018-02-16
2018-02-20,137.31291250332396,mcd,2018-02-20
2018-02-21,136.705691425777,mcd,2018-02-21
2018-02-22,136.50977803023287,mcd,2018-02-22
2018-02-23,136.67133983011712,mcd,2018-02-23
2018-02-26,137.48048316864632,mcd,2018-02-26
2018-02-27,138.4083285386089,mcd,2018-02-27
2018-02-28,138.53471792715834,mcd,2018-02-28
2018-03-01,138.40455487821595,mcd,2018-03-01
2018-03-02,136.92857207489698,mcd,2018-03-02
2018-03-05,136.24960649524175,mcd,2018-03-05
2018-03-06,135.28739037264188,mcd,2018-03-06
2018-03-07,134.795333064694,mcd,2018-03-07
2018-03-08,134.79307920880686,mcd,2018-03-08
2018-03-09,134.76552757863934,mcd,2018-03-09
2018-03-12,134.7471394468692,mcd,2018-03-12
2018-03-13,134.9293340321121,mcd,2018-03-13
2018-03-14,135.02170014425167,mcd,2018-03-14
2018-03-15,134.91120527514096,mcd,2018-03-15
2018-03-16,134.76978234381644,mcd,2018-03-16
2018-03-19,134.82675037529705,mcd,2018-03-19
2018-03-20,134.92978085720273,mcd,2018-03-20
2018-03-21,134.95603174490137,mcd,2018-03-21
2018-03-22,134.9032752854845,mcd,2018-03-22
2018-03-23,134.83360302389468,mcd,2018-03-23
2018-03-26,135.03434848489488,mcd,2018-03-26
2018-03-27,135.04933073828323,mcd,2018-03-27
2018-03-28,135.05252784118352,mcd,2018-03-28
2018-03-29,135.0931345210004,mcd,2018-03-29
2018-04-02,136.5701944924696,mcd,2018-04-02
2018-04-03,137.49020946889888,mcd,2018-04-03
2018-04-04,138.48695928612548,mcd,2018-04-04
2018-04-05,139.09914043045188,mcd,2018-04-05
2018-04-06,139.6798849598088,mcd,2018-04-06
2018-04-09,139.83577648583017,mcd,2018-04-09
2018-04-10,139.86831357876633,mcd,2018-04-10
2018-04-11,139.85689962865672,mcd,2018-04-11
2018-04-12,139.99064333956045,mcd,2018-04-12
2018-04-13,139.9878713059467,mcd,2018-04-13
2018-04-16,140.0144919386981,mcd,2018-04-16
2018-04-17,140.05966968953183,mcd,2018-04-17
2018-04-18,140.1223235875575,mcd,2018-04-18
2018-04-19,140.19599702439416,mcd,2018-04-19
2018-04-20,140.42633523879533,mcd,2018-04-20
2018-04-23,141.1658998998275,mcd,2018-04-23
2018-04-24,141.05085624174168,mcd,2018-04-24
2018-04-25,140.74331406276397,mcd,2018-04-25
2018-04-26,140.7997852298592,mcd,2018-04-26
2018-04-27,141.13770761592968,mcd,2018-04-27
2018-04-30,140.85187046762655,mcd,2018-04-30
