date,boll_ub,ticker,date
2018-01-02,,mcd,2018-01-02
2018-01-03,156.20912277959704,mcd,2018-01-03
2018-01-04,156.62938284276504,mcd,2018-01-04
2018-01-05,156.9531165502213,mcd,2018-01-05
2018-01-08,156.98594691696377,mcd,2018-01-08
2018-01-09,156.87540214684392,mcd,2018-01-09
2018-01-10,156.78900770535546,mcd,2018-01-10
2018-01-11,156.71060881273826,mcd,2018-01-11
2018-01-12,156.66545274956033,mcd,2018-01-12
2018-01-16,156.64368426454845,mcd,2018-01-16
2018-01-17,157.07338832967793,mcd,2018-01-17
2018-01-18,157.1989181189794,mcd,2018-01-18
2018-01-19,157.84392886453134,mcd,2018-01-19
2018-01-22,158.2820751768604,mcd,2018-01-22
2018-01-23,158.77336290201978,mcd,2018-01-23
2018-01-24,158.9596699050532,mcd,2018-01-24
2018-01-25,159.02381448537935,mcd,2018-01-25
2018-01-26,159.6961061471098,mcd,2018-01-26
2018-01-29,160.05175183422608,mcd,2018-01-29
2018-01-30,160.01463443332602,mcd,2018-01-30
2018-01-31,160.19422378705124,mcd,2018-01-31
2018-02-01,160.23879541589062,mcd,2018-02-01
2018-02-02,160.6248836085907,mcd,2018-02-02
2018-02-05,161.9881161846335,mcd,2018-02-05
2018-02-06,162.55735449208254,mcd,2018-02-06
2018-02-07,162.87720541235817,mcd,2018-02-07
2018-02-08,164.11272941924764,mcd,2018-02-08
2018-02-09,164.6058605927836,mcd,2018-02-09
2018-02-12,164.58773584459257,mcd,2018-02-12
2018-02-13,164.576266286371,mcd,2018-02-13
2018-02-14,164.50752540114763,mcd,2018-02-14
2018-02-15,164.24590458879973,mcd,2018-02-15
2018-02-16,163.86226724046287,mcd,2018-02-16
2018-02-20,163.2834169783564,mcd,2018-02-20
2018-02-21,162.25835987849143,mcd,2018-02-21
2018-02-22,161.06544791873486,mcd,2018-02-22
2018-02-23,159.7719793308769,mcd,2018-02-23
2018-02-26,157.6350854288475,mcd,2018-02-26
2018-02-27,155.17019572644466,mcd,2018-02-27
2018-02-28,153.80929800291221,mcd,2018-02-28
2018-03-01,152.6409148511006,mcd,2018-03-01
2018-03-02,152.07839890292718,mcd,2018-03-02
2018-03-05,151.19475277870038,mcd,2018-03-05
2018-03-06,151.10651048388956,mcd,2018-03-06
2018-03-07,150.53530754930424,mcd,2018-03-07
2018-03-08,149.61290490589855,mcd,2018-03-08
2018-03-09,149.5744060436868,mcd,2018-03-09
2018-03-12,149.40754924509974,mcd,2018-03-12
2018-03-13,148.80501900004174,mcd,2018-03-13
2018-03-14,148.42887597311736,mcd,2018-03-14
2018-03-15,148.77674490813104,mcd,2018-03-15
2018-03-16,149.15237620998707,mcd,2018-03-16
2018-03-19,149.29537235872883,mcd,2018-03-19
2018-03-20,149.48235052333598,mcd,2018-03-20
2018-03-21,149.54806809816262,mcd,2018-03-21
2018-03-22,149.3648727906918,mcd,2018-03-22
2018-03-23,148.79676832048392,mcd,2018-03-23
2018-03-26,148.1854502189925,mcd,2018-03-26
2018-03-27,147.97429515189444,mcd,2018-03-27
2018-03-28,148.03166802003486,mcd,2018-03-28
2018-03-29,148.0525368058296,mcd,2018-03-29
2018-04-02,147.42977398500162,mcd,2018-04-02
2018-04-03,147.35683004961538,mcd,2018-04-03
2018-04-04,147.31201197748277,mcd,2018-04-04
2018-04-05,147.7457813002355,mcd,2018-04-05
2018-04-06,147.78068123177601,mcd,2018-04-06
2018-04-09,147.98549559318224,mcd,2018-04-09
2018-04-10,148.4076778665639,mcd,2018-04-10
2018-04-11,148.88194409849947,mcd,2018-04-11
2018-04-12,149.0537571283019,mcd,2018-04-12
2018-04-13,149.06738006466895,mcd,2018-04-13
2018-04-16,148.97476809004635,mcd,2018-04-16
2018-04-17,149.24961584633783,mcd,2018-04-17
2018-04-18,149.4066368516939,mcd,2018-04-18
2018-04-19,149.4116145001453,mcd,2018-04-19
2018-04-20,149.33767504434957,mcd,2018-04-20
2018-04-23,148.96061339291694,mcd,2018-04-23
2018-04-24,149.01328361537557,mcd,2018-04-24
2018-04-25,149.1816100646266,mcd,2018-04-25
2018-04-26,149.16943522289748,mcd,2018-04-26
2018-04-27,149.00508479782317,mcd,2018-04-27
2018-04-30,150.1696181630924,mcd,2018-04-30
2018-05-01,150.4052356300681,mcd,2018-05-01
2018-05-02,150.3532411226849,mcd,2018-05-02
2018-05-03,150.02852803221984,mcd,2018-05-03
2018-05-04,150.49767753265058,mcd,2018-05-04
2018-05-07,150.92168294848287,mcd,2018-05-07
2018-05-08,151.17483848024875,mcd,2018-05-08
2018-05-09,151.2856471386428,mcd,2018-05-09
2018-05-10,151.643850524018,mcd,2018-05-10
2018-05-11,152.02018562354823,mcd,2018-05-11
2018-05-14,152.2826271943158,mcd,2018-05-14
2018-05-15,152.31890188059353,mcd,2018-05-15
2018-05-16,152.37876969867162,mcd,2018-05-16
2018-05-17,152.3761973396393,mcd,2018-05-17
2018-05-18,152.32862549023122,mcd,2018-05-18
2018-05-21,152.28903042939874,mcd,2018-05-21
2018-05-22,152.11753235873482,mcd,2018-05-22
2018-05-23,151.62617796750862,mcd,2018-05-23
2018-05-24,151.49304949657434,mcd,2018-05-24
2018-05-25,151.24614464459324,mcd,2018-05-25
2018-05-29,150.58425439665692,mcd,2018-05-29
2018-05-30,150.51912929444944,mcd,2018-05-30
2018-05-31,150.56587599542817,mcd,2018-05-31
2018-06-01,150.55870822153256,mcd,2018-06-01
2018-06-04,150.28006749014804,mcd,2018-06-04
2018-06-05,149.98670426061028,mcd,2018-06-05
2018-06-06,149.7899940286165,mcd,2018-06-06
2018-06-07,151.49125944519764,mcd,2018-06-07
2018-06-08,152.54201626165604,mcd,2018-06-08
2018-06-11,152.8855836068013,mcd,2018-06-11
2018-06-12,153.32651729321313,mcd,2018-06-12
2018-06-13,153.82123819895517,mcd,2018-06-13
2018-06-14,154.35786733985228,mcd,2018-06-14
2018-06-15,154.76219046255684,mcd,2018-06-15
2018-06-18,155.08172720802784,mcd,2018-06-18
2018-06-19,155.23031511505337,mcd,2018-06-19
2018-06-20,155.0962883119448,mcd,2018-06-20
2018-06-21,155.09877144940933,mcd,2018-06-21
2018-06-22,155.1879631363812,mcd,2018-06-22
2018-06-25,155.24974167799508,mcd,2018-06-25
2018-06-26,155.19090530606735,mcd,2018-06-26
2018-06-27,155.43557414751672,mcd,2018-06-27
2018-06-28,155.69924422503385,mcd,2018-06-28
2018-06-29,155.90187480417134,mcd,2018-06-29
2018-07-02,156.09934223339098,mcd,2018-07-02
2018-07-03,156.28955784740137,mcd,2018-07-03
2018-07-05,156.36830939331378,mcd,2018-07-05
2018-07-06,155.46585337433282,mcd,2018-07-06
2018-07-09,154.54534719563873,mcd,2018-07-09
2018-07-10,153.99442316943095,mcd,2018-07-10
2018-07-11,153.3235538810426,mcd,2018-07-11
2018-07-12,152.5819836974065,mcd,2018-07-12
2018-07-13,151.61731659047476,mcd,2018-07-13
2018-07-16,150.6348533347922,mcd,2018-07-16
2018-07-17,149.54553093333473,mcd,2018-07-17
2018-07-18,148.58580447447503,mcd,2018-07-18
2018-07-19,148.1084493961775,mcd,2018-07-19
2018-07-20,147.93392574943954,mcd,2018-07-20
2018-07-23,146.64204716707627,mcd,2018-07-23
2018-07-24,146.49250243380504,mcd,2018-07-24
2018-07-25,146.15606735592158,mcd,2018-07-25
2018-07-26,146.2380295070167,mcd,2018-07-26
2018-07-27,146.1753421509968,mcd,2018-07-27
2018-07-30,146.16790993904283,mcd,2018-07-30
2018-07-31,146.134807440432,mcd,2018-07-31
2018-08-01,146.0916624618451,mcd,2018-08-01
2018-08-02,146.30968984671833,mcd,2018-08-02
2018-08-03,146.25732912906992,mcd,2018-08-03
2018-08-06,146.04395660924467,mcd,2018-08-06
2018-08-07,145.6661874680044,mcd,2018-08-07
2018-08-08,145.7044601474174,mcd,2018-08-08
2018-08-09,145.73337458752613,mcd,2018-08-09
2018-08-10,145.75219513200037,mcd,2018-08-10
2018-08-13,145.68735997153897,mcd,2018-08-13
2018-08-14,145.88414852280937,mcd,2018-08-14
2018-08-15,146.1239808323382,mcd,2018-08-15
2018-08-16,146.75993598286684,mcd,2018-08-16
2018-08-17,147.1557248091972,mcd,2018-08-17
2018-08-20,147.57865269080997,mcd,2018-08-20
2018-08-21,147.87368678323105,mcd,2018-08-21
2018-08-22,148.0376923810071,mcd,2018-08-22
2018-08-23,148.01443341830836,mcd,2018-08-23
2018-08-24,148.0633143258248,mcd,2018-08-24
2018-08-27,148.20435769842317,mcd,2018-08-27
2018-08-28,148.49251896902572,mcd,2018-08-28
2018-08-29,148.96941868880342,mcd,2018-08-29
2018-08-30,149.1130004230668,mcd,2018-08-30
2018-08-31,149.33019155589994,mcd,2018-08-31
2018-09-04,149.41366550168146,mcd,2018-09-04
2018-09-05,149.54073017553037,mcd,2018-09-05
