date,close_60_sma,ticker,date
2017-01-03,104.75936889648438,mcd,2017-01-03
2017-01-04,104.69806671142578,mcd,2017-01-04
2017-01-05,104.74185180664062,mcd,2017-01-05
2017-01-06,104.99582099914551,mcd,2017-01-06
2017-01-09,105.0904052734375,mcd,2017-01-09
2017-01-10,105.12718454996745,mcd,2017-01-10
2017-01-11,105.2322758265904,mcd,2017-01-11
2017-01-12,105.44464778900146,mcd,2017-01-12
2017-01-13,105.55144161648221,mcd,2017-01-13
2017-01-17,105.7463478088379,mcd,2017-01-17
2017-01-18,105.90263158624822,mcd,2017-01-18
2017-01-19,105.99418830871582,mcd,2017-01-19
2017-01-20,106.07704984224759,mcd,2017-01-20
2017-01-23,106.09302575247628,mcd,2017-01-23
2017-01-24,106.08760477701823,mcd,2017-01-24
2017-01-25,106.12336587905884,mcd,2017-01-25
2017-01-26,106.1595557717716,mcd,2017-01-26
2017-01-27,106.2394061618381,mcd,2017-01-27
2017-01-30,106.31822525827508,mcd,2017-01-30
2017-01-31,106.36945762634278,mcd,2017-01-31
2017-02-01,106.40955498105004,mcd,2017-02-01
2017-02-02,106.47785290804777,mcd,2017-02-02
2017-02-03,106.57905014701511,mcd,2017-02-03
2017-02-06,106.67947737375896,mcd,2017-02-06
2017-02-07,106.77677551269531,mcd,2017-02-07
2017-02-08,106.86928382286659,mcd,2017-02-08
2017-02-09,106.94877652768736,mcd,2017-02-09
2017-02-10,107.06450353349958,mcd,2017-02-10
2017-02-13,107.16379310344827,mcd,2017-02-13
2017-02-14,107.26434555053712,mcd,2017-02-14
2017-02-15,107.37733853247857,mcd,2017-02-15
2017-02-16,107.48928999900818,mcd,2017-02-16
2017-02-17,107.62364913478042,mcd,2017-02-17
2017-02-21,107.75628617230583,mcd,2017-02-21
2017-02-22,107.87659040178572,mcd,2017-02-22
2017-02-23,108.00042809380426,mcd,2017-02-23
2017-02-24,108.12656588167758,mcd,2017-02-24
2017-02-27,108.22934943751285,mcd,2017-02-27
2017-02-28,108.34179139748598,mcd,2017-02-28
2017-03-01,108.47948913574218,mcd,2017-03-01
2017-03-02,108.59282554068217,mcd,2017-03-02
2017-03-03,108.6938333057222,mcd,2017-03-03
2017-03-06,108.79281012956486,mcd,2017-03-06
2017-03-07,108.88809030706233,mcd,2017-03-07
2017-03-08,108.97952762179905,mcd,2017-03-08
2017-03-09,109.06794854869013,mcd,2017-03-09
2017-03-10,109.14960349874293,mcd,2017-03-10
2017-03-13,109.22105566660564,mcd,2017-03-13
2017-03-14,109.2930129693479,mcd,2017-03-14
2017-03-15,109.36350311279297,mcd,2017-03-15
2017-03-16,109.43295856550628,mcd,2017-03-16
2017-03-17,109.51094011160043,mcd,2017-03-17
2017-03-20,109.58830937799418,mcd,2017-03-20
2017-03-21,109.65856537995515,mcd,2017-03-21
2017-03-22,109.73556990189986,mcd,2017-03-22
2017-03-23,109.80824906485421,mcd,2017-03-23
2017-03-24,109.88364035623115,mcd,2017-03-24
2017-03-27,109.95871366303543,mcd,2017-03-27
2017-03-28,110.03064365710242,mcd,2017-03-28
2017-03-29,110.09120686848958,mcd,2017-03-29
