date,boll_ub,ticker,date
2018-01-05,,mmm,2018-01-05
2018-01-08,208.3393461096672,mmm,2018-01-08
2018-01-09,208.99049436307166,mmm,2018-01-09
2018-01-10,209.0006346645259,mmm,2018-01-10
2018-01-11,209.71694640286026,mmm,2018-01-11
2018-01-12,211.43345816115408,mmm,2018-01-12
2018-01-16,212.2930809676628,mmm,2018-01-16
2018-01-17,214.45058602928376,mmm,2018-01-17
2018-01-18,214.7822597131289,mmm,2018-01-18
2018-01-19,215.70517892583916,mmm,2018-01-19
2018-01-22,216.0644278683889,mmm,2018-01-22
2018-01-23,216.11021301751282,mmm,2018-01-23
2018-01-24,216.39231480694514,mmm,2018-01-24
2018-01-25,217.84225386491073,mmm,2018-01-25
2018-01-26,220.91798559477297,mmm,2018-01-26
2018-01-29,222.24736435253072,mmm,2018-01-29
2018-01-30,222.44145659327165,mmm,2018-01-30
2018-01-31,222.4610846191165,mmm,2018-01-31
2018-02-01,222.25106668235816,mmm,2018-02-01
2018-02-02,221.96259674708085,mmm,2018-02-02
2018-02-05,223.19204557047803,mmm,2018-02-05
2018-02-06,223.7966418262244,mmm,2018-02-06
2018-02-07,224.4050887947353,mmm,2018-02-07
2018-02-08,226.44045267627735,mmm,2018-02-08
2018-02-09,227.51651793631615,mmm,2018-02-09
2018-02-12,227.8088407485755,mmm,2018-02-12
2018-02-13,227.80381157770307,mmm,2018-02-13
2018-02-14,227.40570668203787,mmm,2018-02-14
2018-02-15,227.0294503435065,mmm,2018-02-15
2018-02-16,226.41857702159766,mmm,2018-02-16
2018-02-20,225.82879612412717,mmm,2018-02-20
2018-02-21,225.28258833593765,mmm,2018-02-21
2018-02-22,224.558854195706,mmm,2018-02-22
2018-02-23,223.13933233322487,mmm,2018-02-23
2018-02-26,220.82629918310525,mmm,2018-02-26
2018-02-27,218.50354610706563,mmm,2018-02-27
2018-02-28,216.56022018565162,mmm,2018-02-28
2018-03-01,214.4465131754365,mmm,2018-03-01
2018-03-02,212.597452863503,mmm,2018-03-02
2018-03-05,211.16285738083735,mmm,2018-03-05
2018-03-06,211.2573188130868,mmm,2018-03-06
2018-03-07,211.45427677303476,mmm,2018-03-07
2018-03-08,211.72026292207477,mmm,2018-03-08
2018-03-09,211.7285128623672,mmm,2018-03-09
2018-03-12,211.48931519695586,mmm,2018-03-12
