date,dx_30,ticker,date
2018-01-02,,mmm,2018-01-02
2018-01-03,,mmm,2018-01-03
2018-01-04,100.0,mmm,2018-01-04
2018-01-05,100.0,mmm,2018-01-05
2018-01-08,100.0,mmm,2018-01-08
2018-01-09,100.0,mmm,2018-01-09
2018-01-10,100.0,mmm,2018-01-10
2018-01-11,89.9336140539621,mmm,2018-01-11
2018-01-12,94.09002400766747,mmm,2018-01-12
2018-01-16,94.83171242683981,mmm,2018-01-16
2018-01-17,95.50998333380895,mmm,2018-01-17
2018-01-18,79.01711336662879,mmm,2018-01-18
2018-01-19,79.01711336662879,mmm,2018-01-19
2018-01-22,69.36967164657166,mmm,2018-01-22
2018-01-23,69.36967164657165,mmm,2018-01-23
2018-01-24,73.40152225200116,mmm,2018-01-24
2018-01-25,84.24399057860855,mmm,2018-01-25
2018-01-26,88.29377630876795,mmm,2018-01-26
2018-01-29,88.29377630876793,mmm,2018-01-29
2018-01-30,48.3238285294937,mmm,2018-01-30
2018-01-31,36.06831025631156,mmm,2018-01-31
2018-02-01,16.607506178920477,mmm,2018-02-01
2018-02-02,10.203185135446267,mmm,2018-02-02
2018-02-05,40.50156773943486,mmm,2018-02-05
2018-02-06,40.50156773943487,mmm,2018-02-06
2018-02-07,29.83049554992355,mmm,2018-02-07
2018-02-08,45.175450423424394,mmm,2018-02-08
2018-02-09,50.28363290728402,mmm,2018-02-09
2018-02-12,39.64243154496212,mmm,2018-02-12
2018-02-13,34.89552728155979,mmm,2018-02-13
2018-02-14,32.176862598104016,mmm,2018-02-14
2018-02-15,26.051577746815173,mmm,2018-02-15
2018-02-16,16.028358533470975,mmm,2018-02-16
2018-02-20,16.02835853347098,mmm,2018-02-20
2018-02-21,19.75631537376309,mmm,2018-02-21
2018-02-22,19.75631537376308,mmm,2018-02-22
2018-02-23,18.03599624839387,mmm,2018-02-23
2018-02-26,2.1119162987610163,mmm,2018-02-26
2018-02-27,2.1119162987610136,mmm,2018-02-27
