date,macd,ticker,date
2018-01-02,0.0,mrk,2018-01-02
2018-01-03,-0.0014874018155524027,mrk,2018-01-03
2018-01-04,0.021490203583468315,mrk,2018-01-04
2018-01-05,0.029619187110547784,mrk,2018-01-05
2018-01-08,0.022530571347303407,mrk,2018-01-08
2018-01-09,0.022806780783035663,mrk,2018-01-09
2018-01-10,0.041361767639934044,mrk,2018-01-10
2018-01-11,0.06496268952423634,mrk,2018-01-11
2018-01-12,0.12389934053380358,mrk,2018-01-12
2018-01-16,0.3094655261792596,mrk,2018-01-16
2018-01-17,0.43745272983623806,mrk,2018-01-17
2018-01-18,0.48436505067930824,mrk,2018-01-18
2018-01-19,0.5197525692530149,mrk,2018-01-19
2018-01-22,0.5380497269465252,mrk,2018-01-22
2018-01-23,0.5671132607737235,mrk,2018-01-23
2018-01-24,0.5559028971839481,mrk,2018-01-24
2018-01-25,0.546608380754904,mrk,2018-01-25
2018-01-26,0.5714456154153282,mrk,2018-01-26
2018-01-29,0.5617862395213464,mrk,2018-01-29
2018-01-30,0.4946231717625409,mrk,2018-01-30
2018-01-31,0.36004576479030703,mrk,2018-01-31
2018-02-01,0.2854723048002228,mrk,2018-02-01
2018-02-02,0.15106232040157863,mrk,2018-02-02
2018-02-05,-0.07817229520657065,mrk,2018-02-05
2018-02-06,-0.3096582328638178,mrk,2018-02-06
2018-02-07,-0.4617897635875181,mrk,2018-02-07
2018-02-08,-0.642477499990477,mrk,2018-02-08
2018-02-09,-0.767580568425366,mrk,2018-02-09
2018-02-12,-0.8228101877003056,mrk,2018-02-12
2018-02-13,-0.888276338803891,mrk,2018-02-13
2018-02-14,-0.9291156840961321,mrk,2018-02-14
2018-02-15,-0.883785417223315,mrk,2018-02-15
2018-02-16,-0.8197349429369893,mrk,2018-02-16
2018-02-20,-0.8410360467355602,mrk,2018-02-20
2018-02-21,-0.8746715255398314,mrk,2018-02-21
2018-02-22,-0.8896636267928102,mrk,2018-02-22
2018-02-23,-0.872380814324849,mrk,2018-02-23
2018-02-26,-0.7740395385791317,mrk,2018-02-26
2018-02-27,-0.772720262977252,mrk,2018-02-27
2018-02-28,-0.7944707252039152,mrk,2018-02-28
2018-03-01,-0.8354078903323128,mrk,2018-03-01
2018-03-02,-0.8158357359217376,mrk,2018-03-02
2018-03-05,-0.7886071106144854,mrk,2018-03-05
2018-03-06,-0.7646576436328019,mrk,2018-03-06
2018-03-07,-0.7262358310728985,mrk,2018-03-07
2018-03-08,-0.6691790553058041,mrk,2018-03-08
2018-03-09,-0.592343350585061,mrk,2018-03-09
2018-03-12,-0.5111842561967634,mrk,2018-03-12
2018-03-13,-0.44112910680508577,mrk,2018-03-13
2018-03-14,-0.3871003864465479,mrk,2018-03-14
2018-03-15,-0.31089980569816333,mrk,2018-03-15
2018-03-16,-0.2201288325104258,mrk,2018-03-16
2018-03-19,-0.21477794411675433,mrk,2018-03-19
2018-03-20,-0.20747591788644826,mrk,2018-03-20
2018-03-21,-0.1960978576723491,mrk,2018-03-21
2018-03-22,-0.22248243582426142,mrk,2018-03-22
2018-03-23,-0.28741030404196977,mrk,2018-03-23
2018-03-26,-0.2934281307563822,mrk,2018-03-26
2018-03-27,-0.313940369755187,mrk,2018-03-27
2018-03-28,-0.23788689422686105,mrk,2018-03-28
2018-03-29,-0.21658726293581765,mrk,2018-03-29
2018-04-02,-0.2768235285263998,mrk,2018-04-02
2018-04-03,-0.2665697471123849,mrk,2018-04-03
2018-04-04,-0.22568966432934445,mrk,2018-04-04
2018-04-05,-0.19175190333734093,mrk,2018-04-05
2018-04-06,-0.24054872708907027,mrk,2018-04-06
2018-04-09,-0.0903134089740405,mrk,2018-04-09
2018-04-10,0.05031181122696893,mrk,2018-04-10
2018-04-11,0.140657751510318,mrk,2018-04-11
2018-04-12,0.2456905168250998,mrk,2018-04-12
2018-04-13,0.3537376424892784,mrk,2018-04-13
2018-04-16,0.5326879161147531,mrk,2018-04-16
2018-04-17,0.7080163396913406,mrk,2018-04-17
2018-04-18,0.8140367953431209,mrk,2018-04-18
2018-04-19,0.8691987335792462,mrk,2018-04-19
2018-04-20,0.9151411092490846,mrk,2018-04-20
2018-04-23,1.0351613273944409,mrk,2018-04-23
2018-04-24,1.106744924694354,mrk,2018-04-24
2018-04-25,1.1196001725960087,mrk,2018-04-25
2018-04-26,1.1022666161550632,mrk,2018-04-26
2018-04-27,1.080114795350056,mrk,2018-04-27
2018-04-30,1.0105035158946052,mrk,2018-04-30
2018-05-01,0.8851902271893906,mrk,2018-05-01
2018-05-02,0.7316409578810124,mrk,2018-05-02
2018-05-03,0.6183190486687451,mrk,2018-05-03
2018-05-04,0.5371404485055038,mrk,2018-05-04
2018-05-07,0.4427721114214265,mrk,2018-05-07
2018-05-08,0.3224899059196886,mrk,2018-05-08
2018-05-09,0.3038548939688397,mrk,2018-05-09
2018-05-10,0.2931206622738216,mrk,2018-05-10
2018-05-11,0.3899766535604243,mrk,2018-05-11
2018-05-14,0.46074833283343253,mrk,2018-05-14
2018-05-15,0.4789581839763386,mrk,2018-05-15
2018-05-16,0.5244187834051814,mrk,2018-05-16
2018-05-17,0.5087417254027784,mrk,2018-05-17
2018-05-18,0.4953255196863182,mrk,2018-05-18
2018-05-21,0.4411790183998576,mrk,2018-05-21
2018-05-22,0.3857297239359454,mrk,2018-05-22
2018-05-23,0.3858828649432908,mrk,2018-05-23
2018-05-24,0.37893890012742304,mrk,2018-05-24
2018-05-25,0.3665136306253842,mrk,2018-05-25
2018-05-29,0.30660453832084755,mrk,2018-05-29
2018-05-30,0.34416943972484404,mrk,2018-05-30
2018-05-31,0.3570119874164064,mrk,2018-05-31
2018-06-01,0.431670927614185,mrk,2018-06-01
2018-06-04,0.582580348177359,mrk,2018-06-04
2018-06-05,0.6521729112859447,mrk,2018-06-05
2018-06-06,0.7352662676127721,mrk,2018-06-06
2018-06-07,0.7959888087097298,mrk,2018-06-07
2018-06-08,0.8738289266119068,mrk,2018-06-08
2018-06-11,0.9081877678393226,mrk,2018-06-11
2018-06-12,0.9320920154616843,mrk,2018-06-12
2018-06-13,0.9501983648734509,mrk,2018-06-13
2018-06-14,0.916600677375591,mrk,2018-06-14
2018-06-15,0.9114122900559423,mrk,2018-06-15
2018-06-18,0.8270795278532717,mrk,2018-06-18
2018-06-19,0.7542696060164005,mrk,2018-06-19
2018-06-20,0.7054271261057963,mrk,2018-06-20
2018-06-21,0.6524023601025633,mrk,2018-06-21
2018-06-22,0.6229096029890044,mrk,2018-06-22
2018-06-25,0.5664981044196935,mrk,2018-06-25
2018-06-26,0.4916541219507806,mrk,2018-06-26
2018-06-27,0.3709683052511821,mrk,2018-06-27
2018-06-28,0.3004095098244832,mrk,2018-06-28
2018-06-29,0.26858327241313873,mrk,2018-06-29
2018-07-02,0.22445947436978742,mrk,2018-07-02
2018-07-03,0.2041311667821546,mrk,2018-07-03
2018-07-05,0.24837290884558882,mrk,2018-07-05
2018-07-06,0.3178353826493705,mrk,2018-07-06
2018-07-09,0.3565397691840033,mrk,2018-07-09
2018-07-10,0.40161598908721174,mrk,2018-07-10
2018-07-11,0.4054759273185411,mrk,2018-07-11
2018-07-12,0.4549511178955399,mrk,2018-07-12
2018-07-13,0.5039846082718782,mrk,2018-07-13
2018-07-16,0.5164967689135764,mrk,2018-07-16
2018-07-17,0.5163835854082208,mrk,2018-07-17
2018-07-18,0.5379610890221898,mrk,2018-07-18
2018-07-19,0.5198402362162184,mrk,2018-07-19
2018-07-20,0.5003910638136091,mrk,2018-07-20
2018-07-23,0.49087467818530683,mrk,2018-07-23
2018-07-24,0.5268805253867441,mrk,2018-07-24
2018-07-25,0.6209895260666869,mrk,2018-07-25
2018-07-26,0.6553891431452286,mrk,2018-07-26
2018-07-27,0.6399264380888567,mrk,2018-07-27
2018-07-30,0.7092241968788855,mrk,2018-07-30
2018-07-31,0.8266682455962382,mrk,2018-07-31
2018-08-01,0.8837264853592472,mrk,2018-08-01
2018-08-02,0.9002139620665446,mrk,2018-08-02
2018-08-03,0.9505855779645671,mrk,2018-08-03
2018-08-06,0.9987061297658926,mrk,2018-08-06
2018-08-07,1.0492176741716577,mrk,2018-08-07
2018-08-08,1.0842271785346398,mrk,2018-08-08
2018-08-09,1.0529320487182616,mrk,2018-08-09
2018-08-10,1.021117772112845,mrk,2018-08-10
2018-08-13,1.0282364583491628,mrk,2018-08-13
2018-08-14,1.0046234089585937,mrk,2018-08-14
2018-08-15,1.0358269194706082,mrk,2018-08-15
2018-08-16,1.1479278938800803,mrk,2018-08-16
2018-08-17,1.236786925543015,mrk,2018-08-17
2018-08-20,1.36690293580466,mrk,2018-08-20
2018-08-21,1.386067801128604,mrk,2018-08-21
2018-08-22,1.37655227252597,mrk,2018-08-22
2018-08-23,1.348705616711861,mrk,2018-08-23
2018-08-24,1.316222822056126,mrk,2018-08-24
2018-08-27,1.272414110383977,mrk,2018-08-27
2018-08-28,1.1993973919849594,mrk,2018-08-28
2018-08-29,1.1406180544468683,mrk,2018-08-29
2018-08-30,1.0634228385102844,mrk,2018-08-30
2018-08-31,0.9941842271118162,mrk,2018-08-31
2018-09-04,0.8855986620685457,mrk,2018-09-04
2018-09-05,0.8354566841690954,mrk,2018-09-05
2018-09-06,0.8377239522460229,mrk,2018-09-06
2018-09-07,0.8494428570740382,mrk,2018-09-07
2018-09-10,0.8415512647261494,mrk,2018-09-10
2018-09-11,0.7935213300958353,mrk,2018-09-11
2018-09-12,0.7992647624615827,mrk,2018-09-12
2018-09-13,0.8598418613444352,mrk,2018-09-13
2018-09-14,0.8724700468909319,mrk,2018-09-14
2018-09-17,0.9021911998165919,mrk,2018-09-17
2018-09-18,0.9151956204250098,mrk,2018-09-18
2018-09-19,0.8851847280600609,mrk,2018-09-19
