date,boll_lb,ticker,date
2017-01-03,,msft,2017-01-03
2017-01-04,57.43436405592894,msft,2017-01-04
2017-01-05,57.45842957503794,msft,2017-01-05
2017-01-06,57.38079260926917,msft,2017-01-06
2017-01-09,57.45537829553209,msft,2017-01-09
2017-01-10,57.508727062492184,msft,2017-01-10
2017-01-11,57.41026130019291,msft,2017-01-11
2017-01-12,57.449242350355846,msft,2017-01-12
2017-01-13,57.488686791760465,msft,2017-01-13
2017-01-17,57.50230031932807,msft,2017-01-17
2017-01-18,57.509784612758494,msft,2017-01-18
2017-01-19,57.47424282584647,msft,2017-01-19
2017-01-20,57.498305795973955,msft,2017-01-20
2017-01-23,57.505443705413214,msft,2017-01-23
2017-01-24,57.40899673545382,msft,2017-01-24
2017-01-25,57.33232137871184,msft,2017-01-25
2017-01-26,57.170460819048145,msft,2017-01-26
2017-01-27,56.713505089412386,msft,2017-01-27
2017-01-30,56.62028921112772,msft,2017-01-30
2017-01-31,56.62816954314738,msft,2017-01-31
2017-02-01,56.68772702407304,msft,2017-02-01
2017-02-02,56.773270756995956,msft,2017-02-02
2017-02-03,56.88311044511589,msft,2017-02-03
2017-02-06,56.9311742829818,msft,2017-02-06
2017-02-07,56.9988416987443,msft,2017-02-07
2017-02-08,57.06814288378324,msft,2017-02-08
2017-02-09,57.09605309796277,msft,2017-02-09
2017-02-10,57.196687137162236,msft,2017-02-10
2017-02-13,57.27349636213464,msft,2017-02-13
2017-02-14,57.38578989874352,msft,2017-02-14
2017-02-15,57.538802302088115,msft,2017-02-15
2017-02-16,57.774789950728255,msft,2017-02-16
2017-02-17,57.94541089364454,msft,2017-02-17
2017-02-21,58.10705933478488,msft,2017-02-21
2017-02-22,58.190284999276294,msft,2017-02-22
2017-02-23,58.25471369304433,msft,2017-02-23
2017-02-24,58.26678427281975,msft,2017-02-24
2017-02-27,58.339946948466064,msft,2017-02-27
2017-02-28,58.34874128449516,msft,2017-02-28
2017-03-01,58.31678494310731,msft,2017-03-01
2017-03-02,58.40216304834457,msft,2017-03-02
2017-03-03,58.59412652609683,msft,2017-03-03
2017-03-06,58.69540905603626,msft,2017-03-06
2017-03-07,58.82012213333086,msft,2017-03-07
2017-03-08,58.99902225090138,msft,2017-03-08
2017-03-09,59.28846717655414,msft,2017-03-09
2017-03-10,59.387795412128376,msft,2017-03-10
2017-03-13,59.54735705778923,msft,2017-03-13
2017-03-14,59.55489390915888,msft,2017-03-14
2017-03-15,59.55415445887888,msft,2017-03-15
2017-03-16,59.55685890178938,msft,2017-03-16
2017-03-17,59.55405254634515,msft,2017-03-17
2017-03-20,59.54583400202705,msft,2017-03-20
2017-03-21,59.51536852938925,msft,2017-03-21
2017-03-22,59.51924021409433,msft,2017-03-22
2017-03-23,59.51903840753866,msft,2017-03-23
2017-03-24,59.515118051424636,msft,2017-03-24
2017-03-27,59.54676030909844,msft,2017-03-27
2017-03-28,59.62522082606611,msft,2017-03-28
2017-03-29,59.58204608058344,msft,2017-03-29
2017-03-30,59.629070003570654,msft,2017-03-30
2017-03-31,59.63333843881698,msft,2017-03-31
2017-04-03,59.70143483487698,msft,2017-04-03
2017-04-04,59.745447362527536,msft,2017-04-04
2017-04-05,59.744366277948124,msft,2017-04-05
2017-04-06,59.761783913612,msft,2017-04-06
2017-04-07,59.77074116871798,msft,2017-04-07
2017-04-10,59.81795714800648,msft,2017-04-10
2017-04-11,59.930073551917346,msft,2017-04-11
2017-04-12,59.981251308703506,msft,2017-04-12
2017-04-13,60.03042553164714,msft,2017-04-13
2017-04-17,60.07753011292403,msft,2017-04-17
2017-04-18,60.11811773075538,msft,2017-04-18
2017-04-19,60.32883056901056,msft,2017-04-19
2017-04-20,60.37084138619942,msft,2017-04-20
2017-04-21,60.35175516983262,msft,2017-04-21
2017-04-24,60.07403863881753,msft,2017-04-24
2017-04-25,59.85165165876389,msft,2017-04-25
2017-04-26,59.73941627522302,msft,2017-04-26
2017-04-27,59.60041564327195,msft,2017-04-27
2017-04-28,59.479006128925626,msft,2017-04-28
2017-05-01,59.25699140131492,msft,2017-05-01
2017-05-02,59.17373716650532,msft,2017-05-02
2017-05-03,59.15879711219084,msft,2017-05-03
2017-05-04,59.2277298333977,msft,2017-05-04
2017-05-05,59.29602925659119,msft,2017-05-05
2017-05-08,59.40721251407152,msft,2017-05-08
2017-05-09,59.566651747338646,msft,2017-05-09
2017-05-10,59.75691781704571,msft,2017-05-10
2017-05-11,60.057055189172374,msft,2017-05-11
2017-05-12,60.46216249072123,msft,2017-05-12
2017-05-15,60.80188718910444,msft,2017-05-15
2017-05-16,61.18333364030454,msft,2017-05-16
2017-05-17,61.76192699578495,msft,2017-05-17
2017-05-18,62.34503584516277,msft,2017-05-18
2017-05-19,62.731485393277985,msft,2017-05-19
2017-05-22,62.889298071183745,msft,2017-05-22
2017-05-23,62.98322290791287,msft,2017-05-23
2017-05-24,63.109561537040996,msft,2017-05-24
2017-05-25,63.09265110214145,msft,2017-05-25
2017-05-26,63.0322735730781,msft,2017-05-26
2017-05-30,62.88207759798209,msft,2017-05-30
2017-05-31,62.843238299347036,msft,2017-05-31
2017-06-01,62.79865771622562,msft,2017-06-01
2017-06-02,62.53595004125732,msft,2017-06-02
2017-06-05,62.28002847896762,msft,2017-06-05
2017-06-06,62.10074198305413,msft,2017-06-06
2017-06-07,62.01689960064363,msft,2017-06-07
2017-06-08,62.00784079724094,msft,2017-06-08
2017-06-09,62.18036868296062,msft,2017-06-09
2017-06-12,62.36253623209634,msft,2017-06-12
