date,cci_30,ticker,date
2017-01-03,,msft,2017-01-03
2017-01-04,-66.66666666666667,msft,2017-01-04
2017-01-05,-80.05350091291383,msft,2017-01-05
2017-01-06,111.8628337047687,msft,2017-01-06
2017-01-09,102.59965878953273,msft,2017-01-09
2017-01-10,48.8178793254166,msft,2017-01-10
2017-01-11,131.88237348867352,msft,2017-01-11
2017-01-12,17.14599251137022,msft,2017-01-12
2017-01-13,10.018030025567361,msft,2017-01-13
2017-01-17,-81.80272693273407,msft,2017-01-17
2017-01-18,-64.54771974113218,msft,2017-01-18
2017-01-19,-36.05660139560222,msft,2017-01-19
2017-01-20,28.865842114588485,msft,2017-01-20
2017-01-23,127.01472364040521,msft,2017-01-23
2017-01-24,269.60913275232866,msft,2017-01-24
2017-01-25,258.76155587145513,msft,2017-01-25
2017-01-26,243.07333458129565,msft,2017-01-26
2017-01-27,310.6009802139738,msft,2017-01-27
2017-01-30,206.68318818647464,msft,2017-01-30
2017-01-31,131.38605972259032,msft,2017-01-31
2017-02-01,59.7815037708887,msft,2017-02-01
2017-02-02,-7.105229318499672,msft,2017-02-02
2017-02-03,25.060202163887126,msft,2017-02-03
2017-02-06,24.0523412154892,msft,2017-02-06
2017-02-07,24.40732024531674,msft,2017-02-07
2017-02-08,22.018605934904798,msft,2017-02-08
2017-02-09,65.4216765632421,msft,2017-02-09
2017-02-10,77.02975900741903,msft,2017-02-10
2017-02-13,114.2078250810685,msft,2017-02-13
2017-02-14,107.0902710000905,msft,2017-02-14
2017-02-15,98.35385288346637,msft,2017-02-15
2017-02-16,116.5566370369364,msft,2017-02-16
2017-02-17,91.04656087966131,msft,2017-02-17
2017-02-21,92.10973303572786,msft,2017-02-21
2017-02-22,56.66105920318581,msft,2017-02-22
2017-02-23,72.73634004835573,msft,2017-02-23
2017-02-24,68.77199098969885,msft,2017-02-24
2017-02-27,44.28169607025071,msft,2017-02-27
2017-02-28,14.151560766604094,msft,2017-02-28
2017-03-01,73.5864226646324,msft,2017-03-01
2017-03-02,26.816103572413468,msft,2017-03-02
