date,close_60_sma,ticker,date
2018-01-02,60.78749465942383,nke,2018-01-02
2018-01-03,60.78270721435547,nke,2018-01-03
2018-01-04,60.768348693847656,nke,2018-01-04
2018-01-05,60.890421867370605,nke,2018-01-05
2018-01-08,61.072810363769534,nke,2018-01-08
2018-01-09,61.12099965413412,nke,2018-01-09
2018-01-10,61.17320360456194,nke,2018-01-10
2018-01-11,61.22073268890381,nke,2018-01-11
2018-01-12,61.29812452528212,nke,2018-01-12
2018-01-16,61.24035911560058,nke,2018-01-16
2018-01-17,61.227041417902164,nke,2018-01-17
2018-01-18,61.23988056182861,nke,2018-01-18
2018-01-19,61.47905525794396,nke,2018-01-19
2018-01-22,61.62798418317522,nke,2018-01-22
2018-01-23,61.804927062988284,nke,2018-01-23
2018-01-24,62.01121473312378,nke,2018-01-24
2018-01-25,62.1768996294807,nke,2018-01-25
2018-01-26,62.34173032972548,nke,2018-01-26
2018-01-29,62.466027912340664,nke,2018-01-29
2018-01-30,62.56592864990235,nke,2018-01-30
2018-01-31,62.69689251127697,nke,2018-01-31
2018-02-01,62.79114359075373,nke,2018-02-01
2018-02-02,62.8592993694803,nke,2018-02-02
2018-02-05,62.808878103892006,nke,2018-02-05
2018-02-06,62.79427795410156,nke,2018-02-06
2018-02-07,62.79589814406175,nke,2018-02-07
2018-02-08,62.68605253431532,nke,2018-02-08
2018-02-09,62.68663501739502,nke,2018-02-09
2018-02-12,62.70335453954236,nke,2018-02-12
2018-02-13,62.71544914245605,nke,2018-02-13
2018-02-14,62.791312802222464,nke,2018-02-14
2018-02-15,62.87230861186981,nke,2018-02-15
2018-02-16,62.94868619514234,nke,2018-02-16
2018-02-20,62.99776088490206,nke,2018-02-20
2018-02-21,63.031995173863,nke,2018-02-21
2018-02-22,63.06645531124539,nke,2018-02-22
2018-02-23,63.12570592519399,nke,2018-02-23
2018-02-26,63.21937932466206,nke,2018-02-26
2018-02-27,63.268478686992935,nke,2018-02-27
2018-02-28,63.29118700027466,nke,2018-02-28
2018-03-01,63.2962078001441,nke,2018-03-01
2018-03-02,63.29573031834194,nke,2018-03-02
2018-03-05,63.276515073554464,nke,2018-03-05
2018-03-06,63.26232008500533,nke,2018-03-06
2018-03-07,63.225921630859375,nke,2018-03-07
2018-03-08,63.21072976485543,nke,2018-03-08
2018-03-09,63.2204989981144,nke,2018-03-09
2018-03-12,63.240265130996704,nke,2018-03-12
2018-03-13,63.246485262501,nke,2018-03-13
2018-03-14,63.25303268432617,nke,2018-03-14
2018-03-15,63.26290138095033,nke,2018-03-15
2018-03-16,63.263525816110466,nke,2018-03-16
2018-03-19,63.260502725277306,nke,2018-03-19
2018-03-20,63.27697591428404,nke,2018-03-20
2018-03-21,63.28499277288263,nke,2018-03-21
2018-03-22,63.25962625231062,nke,2018-03-22
2018-03-23,63.238687883343616,nke,2018-03-23
2018-03-26,63.239499651152514,nke,2018-03-26
2018-03-27,63.24467849731445,nke,2018-03-27
2018-03-28,63.238000806172685,nke,2018-03-28
2018-03-29,63.288281504313154,nke,2018-03-29
2018-04-02,63.30158913930257,nke,2018-04-02
2018-04-03,63.35682913462321,nke,2018-04-03
2018-04-04,63.43098208109538,nke,2018-04-04
2018-04-05,63.51476548512777,nke,2018-04-05
2018-04-06,63.57323805491129,nke,2018-04-06
2018-04-09,63.62371400197347,nke,2018-04-09
2018-04-10,63.67019201914469,nke,2018-04-10
2018-04-11,63.707885551452634,nke,2018-04-11
2018-04-12,63.78057072957357,nke,2018-04-12
2018-04-13,63.83870951334635,nke,2018-04-13
2018-04-16,63.889020411173504,nke,2018-04-16
2018-04-17,63.89706624348958,nke,2018-04-17
2018-04-18,63.897229512532554,nke,2018-04-18
2018-04-19,63.877902603149415,nke,2018-04-19
2018-04-20,63.85061403910319,nke,2018-04-20
2018-04-23,63.84059791564941,nke,2018-04-23
2018-04-24,63.82675577799479,nke,2018-04-24
2018-04-25,63.815452829996744,nke,2018-04-25
2018-04-26,63.830226516723634,nke,2018-04-26
2018-04-27,63.85496660868327,nke,2018-04-27
2018-04-30,63.87007586161295,nke,2018-04-30
2018-05-01,63.88740539550781,nke,2018-05-01
2018-05-02,63.95245443979899,nke,2018-05-02
2018-05-03,63.98249155680339,nke,2018-05-03
2018-05-04,64.02519315083822,nke,2018-05-04
2018-05-07,64.13784694671631,nke,2018-05-07
2018-05-08,64.18854414621988,nke,2018-05-08
2018-05-09,64.2232597986857,nke,2018-05-09
2018-05-10,64.25925019582112,nke,2018-05-10
2018-05-11,64.27005303700766,nke,2018-05-11
2018-05-14,64.2821522394816,nke,2018-05-14
2018-05-15,64.30465539296468,nke,2018-05-15
2018-05-16,64.36953423817953,nke,2018-05-16
2018-05-17,64.43503195444742,nke,2018-05-17
2018-05-18,64.50533517201741,nke,2018-05-18
2018-05-21,64.5601624170939,nke,2018-05-21
2018-05-22,64.59009304046631,nke,2018-05-22
2018-05-23,64.64635473887125,nke,2018-05-23
2018-05-24,64.73201885223389,nke,2018-05-24
2018-05-25,64.83013261159262,nke,2018-05-25
2018-05-29,64.9106403986613,nke,2018-05-29
2018-05-30,65.02556031545004,nke,2018-05-30
2018-05-31,65.13055674235027,nke,2018-05-31
2018-06-01,65.27129694620768,nke,2018-06-01
2018-06-04,65.41416568756104,nke,2018-06-04
2018-06-05,65.54151922861735,nke,2018-06-05
2018-06-06,65.67178490956624,nke,2018-06-06
2018-06-07,65.81261450449625,nke,2018-06-07
2018-06-08,65.95521125793456,nke,2018-06-08
2018-06-11,66.0897907892863,nke,2018-06-11
2018-06-12,66.2272382736206,nke,2018-06-12
2018-06-13,66.3649980545044,nke,2018-06-13
2018-06-14,66.49478092193604,nke,2018-06-14
2018-06-15,66.65006376902262,nke,2018-06-15
