date,boll_lb,ticker,date
2018-01-02,,pg,2018-01-02
2018-01-03,79.48892974816262,pg,2018-01-03
2018-01-04,79.19550827272671,pg,2018-01-04
2018-01-05,79.26531857082715,pg,2018-01-05
2018-01-08,79.1962539462289,pg,2018-01-08
2018-01-09,79.28285726846701,pg,2018-01-09
2018-01-10,79.16924095360038,pg,2018-01-10
2018-01-11,78.97458120747235,pg,2018-01-11
2018-01-12,78.62851694024422,pg,2018-01-12
2018-01-16,78.60929067724821,pg,2018-01-16
2018-01-17,78.67115168445724,pg,2018-01-17
2018-01-18,78.72878723934588,pg,2018-01-18
2018-01-19,78.7222360631487,pg,2018-01-19
2018-01-22,78.58881490718008,pg,2018-01-22
2018-01-23,78.45356447919019,pg,2018-01-23
2018-01-24,78.16647734488583,pg,2018-01-24
2018-01-25,77.9593801272167,pg,2018-01-25
2018-01-26,77.65748617312842,pg,2018-01-26
2018-01-29,77.21209834708066,pg,2018-01-29
2018-01-30,76.8937835924039,pg,2018-01-30
2018-01-31,76.42925639677514,pg,2018-01-31
2018-02-01,75.92760139006977,pg,2018-02-01
2018-02-02,75.13932792483575,pg,2018-02-02
2018-02-05,73.64245334575669,pg,2018-02-05
2018-02-06,72.83008095410828,pg,2018-02-06
2018-02-07,72.01790122633251,pg,2018-02-07
2018-02-08,70.97468654201968,pg,2018-02-08
2018-02-09,70.03063761513388,pg,2018-02-09
2018-02-12,69.463260557298,pg,2018-02-12
2018-02-13,69.01870088588294,pg,2018-02-13
2018-02-14,68.59785677108688,pg,2018-02-14
2018-02-15,68.47982332111654,pg,2018-02-15
2018-02-16,68.5685633009664,pg,2018-02-16
2018-02-20,68.81229152158684,pg,2018-02-20
2018-02-21,68.66880711487087,pg,2018-02-21
2018-02-22,68.63922125069456,pg,2018-02-22
2018-02-23,68.75672664010814,pg,2018-02-23
2018-02-26,68.96938623767349,pg,2018-02-26
2018-02-27,69.06479738037949,pg,2018-02-27
2018-02-28,69.00585211208126,pg,2018-02-28
2018-03-01,69.05816384141089,pg,2018-03-01
2018-03-02,69.35669294793368,pg,2018-03-02
2018-03-05,69.57936764621431,pg,2018-03-05
2018-03-06,69.51087079428127,pg,2018-03-06
2018-03-07,69.38752310297306,pg,2018-03-07
2018-03-08,69.35695010429504,pg,2018-03-08
2018-03-09,69.3616460938028,pg,2018-03-09
2018-03-12,69.35577317268762,pg,2018-03-12
2018-03-13,69.2901608096952,pg,2018-03-13
2018-03-14,69.15204816266353,pg,2018-03-14
2018-03-15,68.96601928453269,pg,2018-03-15
2018-03-16,68.972571898954,pg,2018-03-16
2018-03-19,69.04587195164339,pg,2018-03-19
2018-03-20,68.9274345833917,pg,2018-03-20
2018-03-21,68.4985205379262,pg,2018-03-21
2018-03-22,68.02081711312127,pg,2018-03-22
2018-03-23,67.53789735365395,pg,2018-03-23
2018-03-26,67.33896547019576,pg,2018-03-26
2018-03-27,67.29958058490661,pg,2018-03-27
2018-03-28,67.31348251378094,pg,2018-03-28
2018-03-29,67.32706151620323,pg,2018-03-29
2018-04-02,67.20469689743118,pg,2018-04-02
2018-04-03,67.22909552387088,pg,2018-04-03
2018-04-04,67.26053270125229,pg,2018-04-04
2018-04-05,67.25876846837077,pg,2018-04-05
2018-04-06,67.28416271638179,pg,2018-04-06
2018-04-09,67.34740019521419,pg,2018-04-09
2018-04-10,67.39702779001307,pg,2018-04-10
2018-04-11,67.44630598902017,pg,2018-04-11
2018-04-12,67.42933203443893,pg,2018-04-12
2018-04-13,67.4300381916606,pg,2018-04-13
2018-04-16,67.44131210653241,pg,2018-04-16
2018-04-17,67.44341336161594,pg,2018-04-17
2018-04-18,67.44132604787093,pg,2018-04-18
2018-04-19,67.16487474422422,pg,2018-04-19
2018-04-20,66.69991436683767,pg,2018-04-20
2018-04-23,66.1524253591788,pg,2018-04-23
2018-04-24,65.49021830239955,pg,2018-04-24
2018-04-25,64.79951601700145,pg,2018-04-25
2018-04-26,64.31182383989496,pg,2018-04-26
2018-04-27,63.92974520786052,pg,2018-04-27
2018-04-30,63.48443331207989,pg,2018-04-30
2018-05-01,63.03949940701471,pg,2018-05-01
2018-05-02,62.51124368902302,pg,2018-05-02
2018-05-03,62.14087007939436,pg,2018-05-03
2018-05-04,61.97229626924308,pg,2018-05-04
2018-05-07,61.781026659265294,pg,2018-05-07
2018-05-08,61.59315616392033,pg,2018-05-08
2018-05-09,61.576514007629804,pg,2018-05-09
2018-05-10,61.63204734239676,pg,2018-05-10
2018-05-11,61.8233887134417,pg,2018-05-11
2018-05-14,62.15059538559567,pg,2018-05-14
2018-05-15,62.59815607897874,pg,2018-05-15
2018-05-16,63.29723197602095,pg,2018-05-16
2018-05-17,63.448411693228465,pg,2018-05-17
2018-05-18,63.47483428554117,pg,2018-05-18
2018-05-21,63.41151294181599,pg,2018-05-21
2018-05-22,63.38469790343467,pg,2018-05-22
2018-05-23,63.3792385106372,pg,2018-05-23
2018-05-24,63.3833354221177,pg,2018-05-24
2018-05-25,63.35828856276468,pg,2018-05-25
2018-05-29,63.40227118044205,pg,2018-05-29
2018-05-30,63.449956320447015,pg,2018-05-30
2018-05-31,63.78996785845468,pg,2018-05-31
2018-06-01,64.08688829844004,pg,2018-06-01
2018-06-04,64.19058584091029,pg,2018-06-04
2018-06-05,64.4098909150052,pg,2018-06-05
2018-06-06,64.84786794170901,pg,2018-06-06
2018-06-07,64.86784250951072,pg,2018-06-07
2018-06-08,64.5012503774304,pg,2018-06-08
2018-06-11,64.238117717937,pg,2018-06-11
2018-06-12,64.16637069493663,pg,2018-06-12
2018-06-13,64.29417880946737,pg,2018-06-13
2018-06-14,64.40041220941839,pg,2018-06-14
2018-06-15,64.37584179509412,pg,2018-06-15
2018-06-18,64.54212030116551,pg,2018-06-18
2018-06-19,64.63642358083175,pg,2018-06-19
2018-06-20,64.75466496817631,pg,2018-06-20
2018-06-21,64.86179801309164,pg,2018-06-21
2018-06-22,65.00099249165513,pg,2018-06-22
2018-06-25,65.0728135632773,pg,2018-06-25
2018-06-26,65.20904166006578,pg,2018-06-26
2018-06-27,65.28932881987106,pg,2018-06-27
2018-06-28,65.69858786411962,pg,2018-06-28
2018-06-29,66.13016558259734,pg,2018-06-29
2018-07-02,66.46114560115475,pg,2018-07-02
2018-07-03,66.9455823073801,pg,2018-07-03
2018-07-05,67.30604443204892,pg,2018-07-05
2018-07-06,67.38520373047264,pg,2018-07-06
2018-07-09,67.40844447230154,pg,2018-07-09
2018-07-10,67.270900647806,pg,2018-07-10
2018-07-11,67.26172894096361,pg,2018-07-11
2018-07-12,67.3729420401765,pg,2018-07-12
2018-07-13,67.57165987107116,pg,2018-07-13
2018-07-16,67.58598699826045,pg,2018-07-16
2018-07-17,67.83947787484563,pg,2018-07-17
2018-07-18,68.07418746488948,pg,2018-07-18
2018-07-19,68.5099473983636,pg,2018-07-19
2018-07-20,68.8707055717055,pg,2018-07-20
2018-07-23,69.0448956318567,pg,2018-07-23
2018-07-24,69.15954555201057,pg,2018-07-24
2018-07-25,69.2261125371888,pg,2018-07-25
2018-07-26,69.31332034388076,pg,2018-07-26
2018-07-27,69.3124866596648,pg,2018-07-27
2018-07-30,69.41944531167242,pg,2018-07-30
2018-07-31,69.4740307045897,pg,2018-07-31
2018-08-01,69.66874782404217,pg,2018-08-01
2018-08-02,69.49282532895027,pg,2018-08-02
2018-08-03,69.34811763115903,pg,2018-08-03
2018-08-06,69.50531970444958,pg,2018-08-06
2018-08-07,69.42046353101311,pg,2018-08-07
2018-08-08,69.50534939905116,pg,2018-08-08
2018-08-09,69.73495569149284,pg,2018-08-09
2018-08-10,69.92592613385057,pg,2018-08-10
2018-08-13,70.1069116514854,pg,2018-08-13
2018-08-14,70.23816333522237,pg,2018-08-14
2018-08-15,70.40828332008391,pg,2018-08-15
2018-08-16,70.54589117509596,pg,2018-08-16
2018-08-17,70.77756711071463,pg,2018-08-17
2018-08-20,71.14233489683907,pg,2018-08-20
2018-08-21,71.45567496883587,pg,2018-08-21
2018-08-22,71.77925588395034,pg,2018-08-22
2018-08-23,72.0317005540466,pg,2018-08-23
2018-08-24,72.22239875698922,pg,2018-08-24
2018-08-27,72.53502711681975,pg,2018-08-27
2018-08-28,72.7428468473687,pg,2018-08-28
2018-08-29,73.0489859449254,pg,2018-08-29
2018-08-30,73.12571857861124,pg,2018-08-30
2018-08-31,73.16733238974466,pg,2018-08-31
2018-09-04,73.18042625215742,pg,2018-09-04
2018-09-05,73.20387765602014,pg,2018-09-05
2018-09-06,73.23080850933277,pg,2018-09-06
2018-09-07,73.32713146407552,pg,2018-09-07
2018-09-10,73.49144035536452,pg,2018-09-10
2018-09-11,73.59215736513245,pg,2018-09-11
2018-09-12,73.89708601035113,pg,2018-09-12
2018-09-13,73.99775561902925,pg,2018-09-13
2018-09-14,74.00088829587345,pg,2018-09-14
2018-09-17,73.9519853248724,pg,2018-09-17
2018-09-18,73.93272316471439,pg,2018-09-18
2018-09-19,73.92576025217863,pg,2018-09-19
2018-09-20,73.7168526008799,pg,2018-09-20
2018-09-21,73.50852927660623,pg,2018-09-21
