date,cci_30,ticker,date
2018-01-02,,pg,2018-01-02
2018-01-03,-66.66666666666667,pg,2018-01-03
2018-01-04,73.86638527470794,pg,2018-01-04
2018-01-05,13.714736179273956,pg,2018-01-05
2018-01-08,132.78672645535576,pg,2018-01-08
2018-01-09,46.84858946577466,pg,2018-01-09
2018-01-10,-152.0263619578113,pg,2018-01-10
2018-01-11,-139.867268567211,pg,2018-01-11
2018-01-12,-151.9013463019755,pg,2018-01-12
2018-01-16,-75.93499586731153,pg,2018-01-16
2018-01-17,51.27505110160301,pg,2018-01-17
2018-01-18,-53.93343585038105,pg,2018-01-18
2018-01-19,45.67058183911516,pg,2018-01-19
2018-01-22,128.89480773339653,pg,2018-01-22
2018-01-23,-156.87766945995332,pg,2018-01-23
2018-01-24,-208.7252158179677,pg,2018-01-24
2018-01-25,-167.253844814972,pg,2018-01-25
2018-01-26,-192.8845293722047,pg,2018-01-26
2018-01-29,-194.80258861121902,pg,2018-01-29
2018-01-30,-166.88977114069792,pg,2018-01-30
2018-01-31,-161.3832756563354,pg,2018-01-31
2018-02-01,-167.2002514287696,pg,2018-02-01
2018-02-02,-191.08812262973072,pg,2018-02-02
2018-02-05,-246.82953737893266,pg,2018-02-05
2018-02-06,-214.49247120326532,pg,2018-02-06
2018-02-07,-169.21698073067665,pg,2018-02-07
2018-02-08,-182.8288248962626,pg,2018-02-08
2018-02-09,-183.2148870352406,pg,2018-02-09
2018-02-12,-139.02505915659466,pg,2018-02-12
2018-02-13,-123.92109231735292,pg,2018-02-13
2018-02-14,-124.82539253229086,pg,2018-02-14
2018-02-15,-95.99069849069835,pg,2018-02-15
2018-02-16,-72.52508989401817,pg,2018-02-16
2018-02-20,-86.00034926261591,pg,2018-02-20
2018-02-21,-92.87385312825435,pg,2018-02-21
2018-02-22,-86.26278549221432,pg,2018-02-22
2018-02-23,-78.55437428393242,pg,2018-02-23
2018-02-26,-63.94638321800094,pg,2018-02-26
2018-02-27,-67.41561054899691,pg,2018-02-27
2018-02-28,-94.39336131473566,pg,2018-02-28
2018-03-01,-102.73186241702761,pg,2018-03-01
2018-03-02,-88.59490399575287,pg,2018-03-02
2018-03-05,-71.24212922418485,pg,2018-03-05
2018-03-06,-70.20812426436841,pg,2018-03-06
2018-03-07,-86.9560725743691,pg,2018-03-07
2018-03-08,-74.74416489218454,pg,2018-03-08
2018-03-09,-53.23580527642104,pg,2018-03-09
2018-03-12,-59.76853629525062,pg,2018-03-12
2018-03-13,-71.48015715351517,pg,2018-03-13
2018-03-14,-94.19624094412026,pg,2018-03-14
2018-03-15,-118.17590476785344,pg,2018-03-15
2018-03-16,-98.5466419417099,pg,2018-03-16
2018-03-19,-108.73046076201157,pg,2018-03-19
2018-03-20,-125.58952220270913,pg,2018-03-20
2018-03-21,-180.12025749604229,pg,2018-03-21
2018-03-22,-203.9607517176538,pg,2018-03-22
2018-03-23,-206.90083740995254,pg,2018-03-23
2018-03-26,-175.34339921147807,pg,2018-03-26
2018-03-27,-109.4280516585672,pg,2018-03-27
2018-03-28,-46.291452650059725,pg,2018-03-28
2018-03-29,10.890736165377561,pg,2018-03-29
2018-04-02,-77.83695654287867,pg,2018-04-02
2018-04-03,-63.867557114783786,pg,2018-04-03
2018-04-04,-24.74797406197235,pg,2018-04-04
2018-04-05,-10.154113000118421,pg,2018-04-05
2018-04-06,-27.19215772127436,pg,2018-04-06
2018-04-09,-49.2791606995817,pg,2018-04-09
2018-04-10,-30.3350879429608,pg,2018-04-10
2018-04-11,-29.057068713478106,pg,2018-04-11
2018-04-12,-45.38747561283527,pg,2018-04-12
2018-04-13,-37.886104037908105,pg,2018-04-13
2018-04-16,-8.545688551484385,pg,2018-04-16
2018-04-17,-5.330015648497028,pg,2018-04-17
2018-04-18,-18.439183580399323,pg,2018-04-18
2018-04-19,-268.3531701339776,pg,2018-04-19
2018-04-20,-278.116329736502,pg,2018-04-20
2018-04-23,-277.0432814750621,pg,2018-04-23
2018-04-24,-253.10989709669212,pg,2018-04-24
2018-04-25,-225.05366388580168,pg,2018-04-25
2018-04-26,-177.41474921531355,pg,2018-04-26
2018-04-27,-154.7723561709648,pg,2018-04-27
2018-04-30,-144.0417518596143,pg,2018-04-30
2018-05-01,-142.87095150857584,pg,2018-05-01
2018-05-02,-147.91936442139203,pg,2018-05-02
2018-05-03,-130.64474048682533,pg,2018-05-03
2018-05-04,-97.3934687797624,pg,2018-05-04
2018-05-07,-83.34609650923295,pg,2018-05-07
2018-05-08,-95.15076317299271,pg,2018-05-08
2018-05-09,-74.14869908970697,pg,2018-05-09
2018-05-10,-50.94304884354671,pg,2018-05-10
2018-05-11,-36.9709967686918,pg,2018-05-11
2018-05-14,-37.287200871675005,pg,2018-05-14
2018-05-15,-44.39455846974588,pg,2018-05-15
2018-05-16,-29.04134196211196,pg,2018-05-16
2018-05-17,-17.38707633192056,pg,2018-05-17
2018-05-18,-21.09306848386313,pg,2018-05-18
2018-05-21,-6.033203718893654,pg,2018-05-21
2018-05-22,12.288286315808591,pg,2018-05-22
2018-05-23,10.428006744385534,pg,2018-05-23
2018-05-24,10.65870171955563,pg,2018-05-24
2018-05-25,35.430588350151474,pg,2018-05-25
2018-05-29,45.998075020089075,pg,2018-05-29
2018-05-30,92.14456622155392,pg,2018-05-30
2018-05-31,33.51396106004485,pg,2018-05-31
2018-06-01,21.330846837807833,pg,2018-06-01
2018-06-04,84.71098738924265,pg,2018-06-04
2018-06-05,72.26301820182589,pg,2018-06-05
2018-06-06,81.22557963355402,pg,2018-06-06
2018-06-07,169.87435699464157,pg,2018-06-07
2018-06-08,243.09394951134757,pg,2018-06-08
2018-06-11,256.2385373311327,pg,2018-06-11
2018-06-12,227.8927889948178,pg,2018-06-12
2018-06-13,167.9023471921032,pg,2018-06-13
