date,cci_30,ticker,date
2018-01-02,,trv,2018-01-02
2018-01-03,-66.66666666666576,trv,2018-01-03
2018-01-04,12.227445496647675,trv,2018-01-04
2018-01-05,-78.36378798565694,trv,2018-01-05
2018-01-08,-93.92969998426246,trv,2018-01-08
2018-01-09,58.30171946257745,trv,2018-01-09
2018-01-10,-20.917398802473624,trv,2018-01-10
2018-01-11,-24.367397293240412,trv,2018-01-11
2018-01-12,149.9682666807701,trv,2018-01-12
2018-01-16,206.1167069847606,trv,2018-01-16
2018-01-17,198.9916859377967,trv,2018-01-17
2018-01-18,162.07610034653314,trv,2018-01-18
2018-01-19,142.21096273477326,trv,2018-01-19
2018-01-22,146.866929503466,trv,2018-01-22
2018-01-23,248.82732866006359,trv,2018-01-23
2018-01-24,219.4325177916793,trv,2018-01-24
2018-01-25,186.16766398982958,trv,2018-01-25
2018-01-26,168.3873835671051,trv,2018-01-26
2018-01-29,140.15398943178863,trv,2018-01-29
2018-01-30,122.37915160183064,trv,2018-01-30
2018-01-31,111.31073019132211,trv,2018-01-31
2018-02-01,105.48499751220147,trv,2018-02-01
2018-02-02,88.75747605892815,trv,2018-02-02
2018-02-05,31.434208156470135,trv,2018-02-05
2018-02-06,-4.82797796440419,trv,2018-02-06
2018-02-07,21.80243187146205,trv,2018-02-07
2018-02-08,-27.145751162739877,trv,2018-02-08
2018-02-09,-41.87243015087193,trv,2018-02-09
2018-02-12,-21.393044276979246,trv,2018-02-12
2018-02-13,-18.562320774678525,trv,2018-02-13
2018-02-14,-1.751233560560041,trv,2018-02-14
2018-02-15,11.199749634900414,trv,2018-02-15
2018-02-16,9.882363660597726,trv,2018-02-16
2018-02-20,-16.062516643958432,trv,2018-02-20
2018-02-21,-21.490343035848227,trv,2018-02-21
2018-02-22,-39.27094301201554,trv,2018-02-22
2018-02-23,-33.94357184545564,trv,2018-02-23
2018-02-26,6.699344576490853,trv,2018-02-26
2018-02-27,2.241828735002209,trv,2018-02-27
