date,dx_30,ticker,date
2018-01-05,,trv,2018-01-05
2018-01-08,100.0,trv,2018-01-08
2018-01-09,75.2694629248704,trv,2018-01-09
2018-01-10,46.196261509868656,trv,2018-01-10
2018-01-11,36.03910274800023,trv,2018-01-11
2018-01-12,67.68643851558997,trv,2018-01-12
2018-01-16,74.36847331077018,trv,2018-01-16
2018-01-17,80.14890788478647,trv,2018-01-17
2018-01-18,81.14431051072344,trv,2018-01-18
2018-01-19,82.07320390379228,trv,2018-01-19
2018-01-22,85.62352658312155,trv,2018-01-22
2018-01-23,93.4191957882663,trv,2018-01-23
2018-01-24,93.92367800281649,trv,2018-01-24
2018-01-25,94.2805704151817,trv,2018-01-25
2018-01-26,94.79623720027358,trv,2018-01-26
2018-01-29,94.79623720027358,trv,2018-01-29
2018-01-30,95.07876904937498,trv,2018-01-30
2018-01-31,90.83064152282017,trv,2018-01-31
2018-02-01,91.05377292114729,trv,2018-02-01
2018-02-02,75.94996199680313,trv,2018-02-02
2018-02-05,3.295222905072718,trv,2018-02-05
2018-02-06,11.981538288916333,trv,2018-02-06
2018-02-07,1.1818499026669946,trv,2018-02-07
2018-02-08,17.90133021520702,trv,2018-02-08
2018-02-09,24.391156801180646,trv,2018-02-09
2018-02-12,19.59667732978507,trv,2018-02-12
2018-02-13,19.596677329785074,trv,2018-02-13
2018-02-14,9.827558492930311,trv,2018-02-14
2018-02-15,3.8414691302296666,trv,2018-02-15
2018-02-16,3.841469130229666,trv,2018-02-16
2018-02-20,12.09410464643438,trv,2018-02-20
2018-02-21,11.495369930107396,trv,2018-02-21
2018-02-22,16.162758437498105,trv,2018-02-22
2018-02-23,16.162758437498123,trv,2018-02-23
2018-02-26,1.7935495248728954,trv,2018-02-26
2018-02-27,1.8392845149421844,trv,2018-02-27
2018-02-28,8.163237712343845,trv,2018-02-28
2018-03-01,15.121618449149471,trv,2018-03-01
2018-03-02,16.777187465321266,trv,2018-03-02
2018-03-05,8.333521609253019,trv,2018-03-05
2018-03-06,2.528862508542498,trv,2018-03-06
2018-03-07,10.425475348761925,trv,2018-03-07
2018-03-08,10.425475348761926,trv,2018-03-08
2018-03-09,2.658712145180283,trv,2018-03-09
2018-03-12,6.439812546995132,trv,2018-03-12
2018-03-13,4.37850829296897,trv,2018-03-13
2018-03-14,3.319328257217754,trv,2018-03-14
2018-03-15,2.564582074205633,trv,2018-03-15
2018-03-16,0.9875749526662634,trv,2018-03-16
2018-03-19,3.6459291854822022,trv,2018-03-19
2018-03-20,1.3538086945260677,trv,2018-03-20
2018-03-21,4.4409628030049655,trv,2018-03-21
2018-03-22,9.071819861014095,trv,2018-03-22
2018-03-23,24.149125479780952,trv,2018-03-23
2018-03-26,24.149125479780956,trv,2018-03-26
2018-03-27,18.79324671684492,trv,2018-03-27
2018-03-28,17.693958779592748,trv,2018-03-28
2018-03-29,13.28173734759607,trv,2018-03-29
2018-04-02,35.99853716958866,trv,2018-04-02
2018-04-03,35.99853716958865,trv,2018-04-03
2018-04-04,25.682881296670583,trv,2018-04-04
2018-04-05,18.050446222868874,trv,2018-04-05
2018-04-06,24.553913153811152,trv,2018-04-06
2018-04-09,24.55391315381115,trv,2018-04-09
2018-04-10,23.585409458839717,trv,2018-04-10
2018-04-11,29.757625318026783,trv,2018-04-11
2018-04-12,21.267892518094392,trv,2018-04-12
2018-04-13,26.13276000377071,trv,2018-04-13
2018-04-16,26.132760003770716,trv,2018-04-16
2018-04-17,21.064459487485873,trv,2018-04-17
2018-04-18,29.352858621882376,trv,2018-04-18
2018-04-19,29.352858621882376,trv,2018-04-19
2018-04-20,26.6947557458662,trv,2018-04-20
2018-04-23,26.6947557458662,trv,2018-04-23
2018-04-24,47.05356598424485,trv,2018-04-24
2018-04-25,47.05356598424484,trv,2018-04-25
2018-04-26,46.60957735133706,trv,2018-04-26
2018-04-27,42.471477435846026,trv,2018-04-27
2018-04-30,37.22687737834931,trv,2018-04-30
2018-05-01,44.0964088681899,trv,2018-05-01
2018-05-02,51.90376955272726,trv,2018-05-02
2018-05-03,57.27504843793111,trv,2018-05-03
2018-05-04,36.64843795069093,trv,2018-05-04
2018-05-07,36.64843795069092,trv,2018-05-07
2018-05-08,39.67348541372634,trv,2018-05-08
2018-05-09,35.12751470270208,trv,2018-05-09
2018-05-10,27.91494199915966,trv,2018-05-10
2018-05-11,21.01032508005285,trv,2018-05-11
2018-05-14,25.102105700074834,trv,2018-05-14
2018-05-15,28.990052172650994,trv,2018-05-15
2018-05-16,27.463056125465307,trv,2018-05-16
2018-05-17,25.047555859037047,trv,2018-05-17
2018-05-18,25.87592413858797,trv,2018-05-18
2018-05-21,15.708176591003967,trv,2018-05-21
2018-05-22,14.874720678225964,trv,2018-05-22
2018-05-23,17.786959074345614,trv,2018-05-23
2018-05-24,22.529359085017212,trv,2018-05-24
2018-05-25,16.73357641179752,trv,2018-05-25
2018-05-29,31.439062914583467,trv,2018-05-29
2018-05-30,26.359662194303134,trv,2018-05-30
2018-05-31,32.34828928029444,trv,2018-05-31
2018-06-01,31.965956713622873,trv,2018-06-01
2018-06-04,26.777747662058697,trv,2018-06-04
2018-06-05,34.28175993952373,trv,2018-06-05
2018-06-06,25.142263008695558,trv,2018-06-06
2018-06-07,25.142263008695558,trv,2018-06-07
2018-06-08,11.100971192919108,trv,2018-06-08
2018-06-11,11.100971192919113,trv,2018-06-11
2018-06-12,19.92024601152995,trv,2018-06-12
2018-06-13,19.920246011529947,trv,2018-06-13
2018-06-14,23.04512461818276,trv,2018-06-14
2018-06-15,29.141386982544837,trv,2018-06-15
2018-06-18,34.827594324001865,trv,2018-06-18
2018-06-19,35.905634560284945,trv,2018-06-19
2018-06-20,43.97891329787863,trv,2018-06-20
2018-06-21,52.19304591139069,trv,2018-06-21
2018-06-22,48.06487012274269,trv,2018-06-22
2018-06-25,52.596950687907174,trv,2018-06-25
2018-06-26,52.596950687907174,trv,2018-06-26
2018-06-27,56.95914815514196,trv,2018-06-27
2018-06-28,58.758600279953164,trv,2018-06-28
2018-06-29,44.76096796038183,trv,2018-06-29
2018-07-02,47.6626120336361,trv,2018-07-02
2018-07-03,30.866260322493627,trv,2018-07-03
2018-07-05,34.968218001614005,trv,2018-07-05
2018-07-06,31.844886907950215,trv,2018-07-06
2018-07-09,15.286064128422455,trv,2018-07-09
2018-07-10,10.822508675921041,trv,2018-07-10
2018-07-11,16.337000678434393,trv,2018-07-11
2018-07-12,9.916164699944751,trv,2018-07-12
2018-07-13,6.9279146854966625,trv,2018-07-13
2018-07-16,4.20754279695407,trv,2018-07-16
2018-07-17,12.463530323417892,trv,2018-07-17
2018-07-18,18.66698468691693,trv,2018-07-18
2018-07-19,7.274284229936851,trv,2018-07-19
2018-07-20,8.816704034783355,trv,2018-07-20
2018-07-23,13.162918284223323,trv,2018-07-23
2018-07-24,13.162918284223316,trv,2018-07-24
2018-07-25,5.313616413623692,trv,2018-07-25
2018-07-26,16.62137032067728,trv,2018-07-26
2018-07-27,23.583728910448464,trv,2018-07-27
2018-07-30,25.132668960623803,trv,2018-07-30
2018-07-31,22.404591326320116,trv,2018-07-31
2018-08-01,15.949334917165507,trv,2018-08-01
2018-08-02,3.0474761059751323,trv,2018-08-02
2018-08-03,7.867020951916732,trv,2018-08-03
2018-08-06,12.410643806587018,trv,2018-08-06
2018-08-07,15.715928718803946,trv,2018-08-07
2018-08-08,10.806512041140198,trv,2018-08-08
2018-08-09,7.179018818397946,trv,2018-08-09
2018-08-10,0.16825819265605307,trv,2018-08-10
2018-08-13,1.4771840749256937,trv,2018-08-13
2018-08-14,5.03739882000656,trv,2018-08-14
2018-08-15,2.8483186988507074,trv,2018-08-15
2018-08-16,14.566401143660299,trv,2018-08-16
2018-08-17,14.566401143660304,trv,2018-08-17
2018-08-20,19.46677042927736,trv,2018-08-20
2018-08-21,22.99371935263027,trv,2018-08-21
2018-08-22,9.220945733673643,trv,2018-08-22
2018-08-23,6.771980149739762,trv,2018-08-23
2018-08-24,12.104721175391617,trv,2018-08-24
2018-08-27,21.840130161741122,trv,2018-08-27
2018-08-28,24.232370349262006,trv,2018-08-28
2018-08-29,26.84345018590944,trv,2018-08-29
2018-08-30,19.161422863191046,trv,2018-08-30
2018-08-31,15.338931631504213,trv,2018-08-31
2018-09-04,18.709810093525263,trv,2018-09-04
2018-09-05,25.255784163545297,trv,2018-09-05
2018-09-06,25.793049355372418,trv,2018-09-06
2018-09-07,6.513777746613926,trv,2018-09-07
2018-09-10,13.749063645560227,trv,2018-09-10
2018-09-11,20.256917936934517,trv,2018-09-11
2018-09-12,20.25691793693451,trv,2018-09-12
2018-09-13,10.783554393305582,trv,2018-09-13
2018-09-14,5.567370695907865,trv,2018-09-14
2018-09-17,2.0933160603992076,trv,2018-09-17
2018-09-18,5.778485830616157,trv,2018-09-18
2018-09-19,16.414484192525514,trv,2018-09-19
2018-09-20,22.325754602880252,trv,2018-09-20
2018-09-21,22.32575460288025,trv,2018-09-21
2018-09-24,18.278515837080143,trv,2018-09-24
2018-09-25,5.7101215868830195,trv,2018-09-25
2018-09-26,7.2287321368682615,trv,2018-09-26
2018-09-27,11.581868783832627,trv,2018-09-27
2018-09-28,13.075063946354366,trv,2018-09-28
2018-10-01,7.486672964651624,trv,2018-10-01
2018-10-02,10.06041612521865,trv,2018-10-02
2018-10-03,4.1817562058232385,trv,2018-10-03
2018-10-04,0.014515732035279725,trv,2018-10-04
2018-10-05,4.231941635947034,trv,2018-10-05
2018-10-08,11.610612346439725,trv,2018-10-08
2018-10-09,11.610612346439737,trv,2018-10-09
2018-10-10,6.7932821030997905,trv,2018-10-10
2018-10-11,30.30066467125012,trv,2018-10-11
2018-10-12,38.28150877992994,trv,2018-10-12
2018-10-15,38.28150877992994,trv,2018-10-15
2018-10-16,37.01306743725679,trv,2018-10-16
2018-10-17,18.835451889690567,trv,2018-10-17
2018-10-18,22.945124552007936,trv,2018-10-18
2018-10-19,22.945124552007943,trv,2018-10-19
2018-10-22,23.096805533259733,trv,2018-10-22
2018-10-23,31.203884401594568,trv,2018-10-23
2018-10-24,35.528449769782696,trv,2018-10-24
2018-10-25,39.320444509560055,trv,2018-10-25
2018-10-26,42.0622866613217,trv,2018-10-26
2018-10-29,21.95075458781449,trv,2018-10-29
2018-10-30,11.308399155024544,trv,2018-10-30
2018-10-31,5.137891773851098,trv,2018-10-31
2018-11-01,10.760207977028646,trv,2018-11-01
2018-11-02,0.7150561450810957,trv,2018-11-02
2018-11-05,1.9745376778900998,trv,2018-11-05
2018-11-06,9.336460196129194,trv,2018-11-06
2018-11-07,18.11828494010783,trv,2018-11-07
2018-11-08,23.405466730552167,trv,2018-11-08
2018-11-09,24.77194242237261,trv,2018-11-09
2018-11-12,2.329855867841117,trv,2018-11-12
2018-11-13,0.09844139689541576,trv,2018-11-13
