date,macd,ticker,date
2018-01-02,0.0,unh,2018-01-02
2018-01-03,0.0486807211851783,unh,2018-01-03
2018-01-04,0.0901591036451066,unh,2018-01-04
2018-01-05,0.2513334569895278,unh,2018-01-05
2018-01-08,0.18587995371268562,unh,2018-01-08
2018-01-09,0.1878293785302958,unh,2018-01-09
2018-01-10,0.11466637313040451,unh,2018-01-10
2018-01-11,0.1166961266756914,unh,2018-01-11
2018-01-12,0.26712550460109696,unh,2018-01-12
2018-01-16,0.575168091632321,unh,2018-01-16
2018-01-17,1.0652271991532132,unh,2018-01-17
2018-01-18,1.6530168474289155,unh,2018-01-18
2018-01-19,2.077046927983872,unh,2018-01-19
2018-01-22,2.3788449410122894,unh,2018-01-22
2018-01-23,2.6676654852293495,unh,2018-01-23
2018-01-24,2.832871233439107,unh,2018-01-24
2018-01-25,2.9428060746235474,unh,2018-01-25
2018-01-26,3.1848712188694037,unh,2018-01-26
2018-01-29,3.2685685037071153,unh,2018-01-29
2018-01-30,2.6376829451304786,unh,2018-01-30
2018-01-31,2.1266725909621016,unh,2018-01-31
2018-02-01,1.6078416422340354,unh,2018-02-01
2018-02-02,0.9741875670054299,unh,2018-02-02
2018-02-05,-0.2919806819604389,unh,2018-02-05
2018-02-06,-0.9377481836766037,unh,2018-02-06
2018-02-07,-1.3874262004348452,unh,2018-02-07
2018-02-08,-2.342060762692739,unh,2018-02-08
2018-02-09,-2.7581911299984085,unh,2018-02-09
2018-02-12,-2.7319105854177224,unh,2018-02-12
2018-02-13,-2.615158061765669,unh,2018-02-13
2018-02-14,-2.347290918783017,unh,2018-02-14
2018-02-15,-2.30084741025766,unh,2018-02-15
2018-02-16,-2.0059666521982535,unh,2018-02-16
2018-02-20,-1.9409916533055025,unh,2018-02-20
2018-02-21,-1.9748995620776668,unh,2018-02-21
2018-02-22,-1.8408424564085806,unh,2018-02-22
2018-02-23,-1.4979167941066294,unh,2018-02-23
2018-02-26,-0.9357476580195794,unh,2018-02-26
2018-02-27,-0.5946792963315772,unh,2018-02-27
2018-02-28,-0.7752695995754664,unh,2018-02-28
2018-03-01,-1.0303065316356594,unh,2018-03-01
2018-03-02,-1.1649533596834942,unh,2018-03-02
2018-03-05,-1.0270677695547192,unh,2018-03-05
2018-03-06,-1.0663339439112463,unh,2018-03-06
2018-03-07,-1.0059072740760087,unh,2018-03-07
2018-03-08,-1.0774634967903864,unh,2018-03-08
