date,rsi_30,ticker,date
2017-01-03,,unh,2017-01-03
2017-01-04,100.0,unh,2017-01-04
2017-01-05,100.0,unh,2017-01-05
2017-01-06,100.0,unh,2017-01-06
2017-01-09,65.92799288526214,unh,2017-01-09
2017-01-10,51.36912591155596,unh,2017-01-10
2017-01-11,59.18244563052988,unh,2017-01-11
2017-01-12,67.39834592098198,unh,2017-01-12
2017-01-13,54.00091240485521,unh,2017-01-13
2017-01-17,38.0660928330478,unh,2017-01-17
2017-01-18,21.362618644054507,unh,2017-01-18
2017-01-19,31.574402596004703,unh,2017-01-19
2017-01-20,31.398664548826574,unh,2017-01-20
2017-01-23,35.222019794044,unh,2017-01-23
2017-01-24,45.62114572147462,unh,2017-01-24
2017-01-25,50.51576233495471,unh,2017-01-25
2017-01-26,57.83469944253741,unh,2017-01-26
2017-01-27,58.83591860639835,unh,2017-01-27
2017-01-30,53.87387326776222,unh,2017-01-30
2017-01-31,53.91885381022493,unh,2017-01-31
2017-02-01,56.57241668408536,unh,2017-02-01
2017-02-02,47.52189822382075,unh,2017-02-02
2017-02-03,52.040027741413226,unh,2017-02-03
2017-02-06,46.920031878267366,unh,2017-02-06
2017-02-07,46.999455568152904,unh,2017-02-07
2017-02-08,46.21352953652444,unh,2017-02-08
2017-02-09,46.75755871741112,unh,2017-02-09
2017-02-10,48.05424118753054,unh,2017-02-10
2017-02-13,52.80966059144749,unh,2017-02-13
2017-02-14,56.58937104877579,unh,2017-02-14
2017-02-15,59.964736627431066,unh,2017-02-15
2017-02-16,57.41660734261501,unh,2017-02-16
2017-02-17,40.60133657341481,unh,2017-02-17
2017-02-21,48.26874688124995,unh,2017-02-21
2017-02-22,48.26874688124996,unh,2017-02-22
2017-02-23,52.75938684747571,unh,2017-02-23
2017-02-24,53.701441336498675,unh,2017-02-24
2017-02-27,58.06489588430166,unh,2017-02-27
2017-02-28,58.06489588430166,unh,2017-02-28
2017-03-01,62.26450286333214,unh,2017-03-01
