date,dx_30,ticker,date
2017-01-03,,v,2017-01-03
2017-01-04,100.0,v,2017-01-04
2017-01-05,100.0,v,2017-01-05
2017-01-06,100.0,v,2017-01-06
2017-01-09,100.0,v,2017-01-09
2017-01-10,61.017472698139585,v,2017-01-10
2017-01-11,47.97402788269614,v,2017-01-11
2017-01-12,27.845177798074516,v,2017-01-12
2017-01-13,36.602797279824486,v,2017-01-13
2017-01-17,35.217823748707524,v,2017-01-17
2017-01-18,42.30486807604603,v,2017-01-18
2017-01-19,42.69897026622122,v,2017-01-19
2017-01-20,50.47517973669904,v,2017-01-20
2017-01-23,45.09080304335899,v,2017-01-23
2017-01-24,61.16181332269108,v,2017-01-24
2017-01-25,67.77111933118223,v,2017-01-25
2017-01-26,54.44407244661801,v,2017-01-26
2017-01-27,48.97361424837348,v,2017-01-27
2017-01-30,40.33926517183405,v,2017-01-30
2017-01-31,23.81624438557656,v,2017-01-31
2017-02-01,22.4405016179551,v,2017-02-01
2017-02-02,9.90725198646683,v,2017-02-02
2017-02-03,53.54114791550112,v,2017-02-03
2017-02-06,53.54114791550113,v,2017-02-06
2017-02-07,55.05062898678048,v,2017-02-07
2017-02-08,43.30456843675648,v,2017-02-08
2017-02-09,39.47569035115382,v,2017-02-09
2017-02-10,42.51313807988243,v,2017-02-10
2017-02-13,46.830205506631934,v,2017-02-13
2017-02-14,48.81146398177288,v,2017-02-14
2017-02-15,52.782019279979274,v,2017-02-15
2017-02-16,53.724441301639004,v,2017-02-16
2017-02-17,53.724441301639004,v,2017-02-17
2017-02-21,56.2879995179157,v,2017-02-21
2017-02-22,57.06488973008293,v,2017-02-22
2017-02-23,59.446290002337356,v,2017-02-23
2017-02-24,45.03035528285667,v,2017-02-24
2017-02-27,45.03035528285666,v,2017-02-27
2017-02-28,41.19164073031548,v,2017-02-28
2017-03-01,48.56504586705973,v,2017-03-01
2017-03-02,40.62903112362903,v,2017-03-02
2017-03-03,40.62903112362903,v,2017-03-03
2017-03-06,44.443980728296886,v,2017-03-06
2017-03-07,44.76024497335865,v,2017-03-07
2017-03-08,44.76024497335866,v,2017-03-08
2017-03-09,47.05573109927515,v,2017-03-09
2017-03-10,50.97566048624411,v,2017-03-10
2017-03-13,55.38903639271232,v,2017-03-13
2017-03-14,43.99529043465726,v,2017-03-14
2017-03-15,44.81362876033004,v,2017-03-15
2017-03-16,47.50767989325574,v,2017-03-16
2017-03-17,50.85283757240627,v,2017-03-17
2017-03-20,62.83622985323032,v,2017-03-20
2017-03-21,38.22593950639425,v,2017-03-21
2017-03-22,34.85674969256188,v,2017-03-22
2017-03-23,38.59017898098515,v,2017-03-23
2017-03-24,40.86731382959707,v,2017-03-24
2017-03-27,21.212062157776405,v,2017-03-27
2017-03-28,26.453152566652484,v,2017-03-28
2017-03-29,26.453152566652477,v,2017-03-29
2017-03-30,26.453152566652477,v,2017-03-30
2017-03-31,29.770885639725535,v,2017-03-31
2017-04-03,18.984169790924724,v,2017-04-03
2017-04-04,18.984169790924724,v,2017-04-04
2017-04-05,31.09817879815267,v,2017-04-05
2017-04-06,27.127642920741373,v,2017-04-06
2017-04-07,21.129737533158064,v,2017-04-07
2017-04-10,21.282462718072075,v,2017-04-10
2017-04-11,12.224704920025749,v,2017-04-11
2017-04-12,18.249162009293034,v,2017-04-12
2017-04-13,26.7574846452992,v,2017-04-13
2017-04-17,28.433740526241223,v,2017-04-17
2017-04-18,28.7243087416948,v,2017-04-18
2017-04-19,38.125050568582395,v,2017-04-19
2017-04-20,47.440722888805695,v,2017-04-20
2017-04-21,57.536540030762794,v,2017-04-21
2017-04-24,57.28824441505036,v,2017-04-24
2017-04-25,57.28824441505036,v,2017-04-25
2017-04-26,58.265940917111315,v,2017-04-26
2017-04-27,45.40319731104476,v,2017-04-27
2017-04-28,37.763774952644084,v,2017-04-28
2017-05-01,39.131170488458324,v,2017-05-01
2017-05-02,49.75272420328537,v,2017-05-02
2017-05-03,49.75272420328537,v,2017-05-03
2017-05-04,52.389731076465964,v,2017-05-04
2017-05-05,39.598219328617034,v,2017-05-05
2017-05-08,33.72119988752237,v,2017-05-08
2017-05-09,33.721199887522374,v,2017-05-09
2017-05-10,37.12401904301475,v,2017-05-10
2017-05-11,35.4719046817688,v,2017-05-11
2017-05-12,41.385613041357,v,2017-05-12
2017-05-15,48.284458314065176,v,2017-05-15
2017-05-16,51.16461805191761,v,2017-05-16
