date,macd,ticker,date
2018-01-05,0.0,v,2018-01-05
2018-01-08,0.010463421161347242,v,2018-01-08
2018-01-09,0.006402840192251347,v,2018-01-09
2018-01-10,-0.0001616403362731944,v,2018-01-10
2018-01-11,0.029524330257018505,v,2018-01-11
2018-01-12,0.05719945341803623,v,2018-01-12
2018-01-16,0.08716746576085654,v,2018-01-16
2018-01-17,0.17933187256176097,v,2018-01-17
2018-01-18,0.2948958365439154,v,2018-01-18
2018-01-19,0.3520633019519579,v,2018-01-19
2018-01-22,0.4728074354057554,v,2018-01-22
2018-01-23,0.5719768677875834,v,2018-01-23
2018-01-24,0.6324485492141747,v,2018-01-24
2018-01-25,0.7072259770707916,v,2018-01-25
2018-01-26,0.8180157596326723,v,2018-01-26
2018-01-29,0.8045900565248587,v,2018-01-29
2018-01-30,0.7068041738362325,v,2018-01-30
2018-01-31,0.6648955475726979,v,2018-01-31
2018-02-01,0.7174649663397048,v,2018-02-01
2018-02-02,0.44469922013290386,v,2018-02-02
2018-02-05,-0.06963277382051558,v,2018-02-05
2018-02-06,-0.2258747979010849,v,2018-02-06
2018-02-07,-0.36549186183270876,v,2018-02-07
2018-02-08,-0.8563476471387332,v,2018-02-08
2018-02-09,-1.0618609183325276,v,2018-02-09
2018-02-12,-1.0627233022994176,v,2018-02-12
2018-02-13,-1.0592425006386748,v,2018-02-13
2018-02-14,-0.8718892742458877,v,2018-02-14
2018-02-15,-0.5991064817121412,v,2018-02-15
2018-02-16,-0.40959771730349814,v,2018-02-16
2018-02-20,-0.2454509413577739,v,2018-02-20
2018-02-21,-0.227551732769399,v,2018-02-21
2018-02-22,-0.21453663754516583,v,2018-02-22
2018-02-23,-0.017082031387786856,v,2018-02-23
2018-02-26,0.258454159680241,v,2018-02-26
2018-02-27,0.38171779326218314,v,2018-02-27
2018-02-28,0.4421519766853237,v,2018-02-28
2018-03-01,0.2968769791157655,v,2018-03-01
2018-03-02,0.20718567280712819,v,2018-03-02
2018-03-05,0.21713486809338178,v,2018-03-05
2018-03-06,0.16126783540808276,v,2018-03-06
2018-03-07,0.1747837942588859,v,2018-03-07
2018-03-08,0.21112032687716464,v,2018-03-08
2018-03-09,0.4093878134009117,v,2018-03-09
2018-03-12,0.5395961402561795,v,2018-03-12
2018-03-13,0.5568051411282511,v,2018-03-13
2018-03-14,0.5169724463474523,v,2018-03-14
2018-03-15,0.5428195518801004,v,2018-03-15
2018-03-16,0.6419556204110535,v,2018-03-16
2018-03-19,0.6118031423860799,v,2018-03-19
2018-03-20,0.7107660073205722,v,2018-03-20
2018-03-21,0.6511710912031248,v,2018-03-21
2018-03-22,0.3502144256347606,v,2018-03-22
2018-03-23,-0.11829144587019869,v,2018-03-23
2018-03-26,-0.20512515103411033,v,2018-03-26
2018-03-27,-0.5192165765953547,v,2018-03-27
2018-03-28,-0.7907949623051138,v,2018-03-28
2018-03-29,-0.7925006013974354,v,2018-03-29
2018-04-02,-0.8793408720814426,v,2018-04-02
2018-04-03,-0.8750237431821262,v,2018-04-03
2018-04-04,-0.8146978121958313,v,2018-04-04
2018-04-05,-0.6518423102369155,v,2018-04-05
2018-04-06,-0.7858155010702745,v,2018-04-06
2018-04-09,-0.7977476226011788,v,2018-04-09
2018-04-10,-0.6490869672048802,v,2018-04-10
2018-04-11,-0.5977794042380538,v,2018-04-11
2018-04-12,-0.45114597212734964,v,2018-04-12
2018-04-13,-0.35584681563329923,v,2018-04-13
2018-04-16,-0.18979750884692237,v,2018-04-16
2018-04-17,0.09088884712011236,v,2018-04-17
2018-04-18,0.3623398534034976,v,2018-04-18
2018-04-19,0.5306466950667215,v,2018-04-19
2018-04-20,0.6750249393132606,v,2018-04-20
2018-04-23,0.8005652195838167,v,2018-04-23
2018-04-24,0.642835704718081,v,2018-04-24
2018-04-25,0.5072880701998628,v,2018-04-25
2018-04-26,0.8499257984069999,v,2018-04-26
2018-04-27,1.0257923933693434,v,2018-04-27
2018-04-30,1.219285646826549,v,2018-04-30
2018-05-01,1.4057968675014507,v,2018-05-01
2018-05-02,1.44832054104009,v,2018-05-02
2018-05-03,1.5271354437211926,v,2018-05-03
2018-05-04,1.6474441171780683,v,2018-05-04
2018-05-07,1.8082025694327086,v,2018-05-07
2018-05-08,1.9631617275186244,v,2018-05-08
2018-05-09,2.135081656689948,v,2018-05-09
2018-05-10,2.2578475173279884,v,2018-05-10
2018-05-11,2.3918928053044795,v,2018-05-11
2018-05-14,2.422338339129084,v,2018-05-14
2018-05-15,2.410046397071085,v,2018-05-15
2018-05-16,2.356657021960899,v,2018-05-16
2018-05-17,2.2296904997035085,v,2018-05-17
2018-05-18,2.1048036800396517,v,2018-05-18
2018-05-21,2.039700677333002,v,2018-05-21
2018-05-22,1.9693330747281408,v,2018-05-22
2018-05-23,1.9826873908506286,v,2018-05-23
2018-05-24,1.9713308128411313,v,2018-05-24
2018-05-25,1.8925566813574903,v,2018-05-25
2018-05-29,1.6856784255826227,v,2018-05-29
2018-05-30,1.5782315765917474,v,2018-05-30
2018-05-31,1.4822809029555373,v,2018-05-31
2018-06-01,1.40031854124706,v,2018-06-01
2018-06-04,1.492724981240599,v,2018-06-04
2018-06-05,1.5862031234266993,v,2018-06-05
2018-06-06,1.8528223801714887,v,2018-06-06
2018-06-07,1.8508989963544593,v,2018-06-07
2018-06-08,1.8982703633106581,v,2018-06-08
2018-06-11,1.849218754764152,v,2018-06-11
2018-06-12,1.8635775596711284,v,2018-06-12
2018-06-13,1.8178232392605764,v,2018-06-13
2018-06-14,1.8079096102951837,v,2018-06-14
2018-06-15,1.7873170008895158,v,2018-06-15
2018-06-18,1.8363380041011794,v,2018-06-18
2018-06-19,1.769069195434696,v,2018-06-19
2018-06-20,1.7265281678551503,v,2018-06-20
2018-06-21,1.5980990504042154,v,2018-06-21
2018-06-22,1.5414723092029874,v,2018-06-22
2018-06-25,1.1374108131132914,v,2018-06-25
