date,dx_30,ticker,date
2018-01-02,,vz,2018-01-02
2018-01-03,100.0,vz,2018-01-03
2018-01-04,100.0,vz,2018-01-04
2018-01-05,100.0,vz,2018-01-05
2018-01-08,100.0,vz,2018-01-08
2018-01-09,100.0,vz,2018-01-09
2018-01-10,100.0,vz,2018-01-10
2018-01-11,58.58411808742686,vz,2018-01-11
2018-01-12,54.0376368651027,vz,2018-01-12
2018-01-16,61.17632064236124,vz,2018-01-16
2018-01-17,64.6043429077097,vz,2018-01-17
2018-01-18,1.030985115288444,vz,2018-01-18
2018-01-19,7.31729659346341,vz,2018-01-19
2018-01-22,26.66994971004736,vz,2018-01-22
2018-01-23,40.831784507622956,vz,2018-01-23
2018-01-24,40.83178450762294,vz,2018-01-24
2018-01-25,44.47471081959851,vz,2018-01-25
2018-01-26,44.4747108195985,vz,2018-01-26
2018-01-29,20.35536006781985,vz,2018-01-29
2018-01-30,20.355360067819838,vz,2018-01-30
2018-01-31,14.323036620724455,vz,2018-01-31
2018-02-01,19.778281777295252,vz,2018-02-01
2018-02-02,2.5351887809322444,vz,2018-02-02
2018-02-05,31.869887874724835,vz,2018-02-05
2018-02-06,42.82947684035111,vz,2018-02-06
2018-02-07,28.463190344246115,vz,2018-02-07
2018-02-08,39.03561789802408,vz,2018-02-08
2018-02-09,42.82906610707195,vz,2018-02-09
2018-02-12,37.59909595283955,vz,2018-02-12
2018-02-13,40.262152442202634,vz,2018-02-13
2018-02-14,40.262152442202634,vz,2018-02-14
2018-02-15,42.780266815611874,vz,2018-02-15
2018-02-16,31.860510014697148,vz,2018-02-16
2018-02-20,38.7130342010777,vz,2018-02-20
2018-02-21,44.019247749503016,vz,2018-02-21
2018-02-22,45.01225425325608,vz,2018-02-22
2018-02-23,46.53297981876372,vz,2018-02-23
2018-02-26,32.64461923353383,vz,2018-02-26
2018-02-27,35.78291234784457,vz,2018-02-27
2018-02-28,38.18582961506666,vz,2018-02-28
2018-03-01,39.76694131453286,vz,2018-03-01
2018-03-02,39.76694131453286,vz,2018-03-02
2018-03-05,28.82941299655939,vz,2018-03-05
2018-03-06,28.8294129965594,vz,2018-03-06
2018-03-07,23.05683419989388,vz,2018-03-07
2018-03-08,24.636111575773583,vz,2018-03-08
2018-03-09,20.848217570281204,vz,2018-03-09
2018-03-12,20.262189177057586,vz,2018-03-12
2018-03-13,22.537670722405277,vz,2018-03-13
2018-03-14,24.43599146235573,vz,2018-03-14
2018-03-15,27.42368863798859,vz,2018-03-15
2018-03-16,27.179399553054466,vz,2018-03-16
2018-03-19,28.64205740478341,vz,2018-03-19
2018-03-20,36.05575916080414,vz,2018-03-20
2018-03-21,39.888307428727764,vz,2018-03-21
2018-03-22,45.518289527319425,vz,2018-03-22
2018-03-23,51.09951466460396,vz,2018-03-23
2018-03-26,51.09951466460395,vz,2018-03-26
2018-03-27,31.400147046611725,vz,2018-03-27
2018-03-28,16.696360157902273,vz,2018-03-28
2018-03-29,20.44519692316764,vz,2018-03-29
2018-04-02,31.256308043277276,vz,2018-04-02
2018-04-03,31.373617587478396,vz,2018-04-03
2018-04-04,21.205202733983686,vz,2018-04-04
2018-04-05,13.83431083176396,vz,2018-04-05
2018-04-06,19.77398671234452,vz,2018-04-06
2018-04-09,26.022902278889653,vz,2018-04-09
2018-04-10,0.015033732302181198,vz,2018-04-10
2018-04-11,0.015033732302186147,vz,2018-04-11
2018-04-12,2.367089649802064,vz,2018-04-12
2018-04-13,2.3670896498020686,vz,2018-04-13
2018-04-16,10.100217033138357,vz,2018-04-16
2018-04-17,18.444071185497805,vz,2018-04-17
2018-04-18,18.72214146952611,vz,2018-04-18
2018-04-19,14.74910482523159,vz,2018-04-19
2018-04-20,5.96554878522793,vz,2018-04-20
2018-04-23,4.246154610380783,vz,2018-04-23
2018-04-24,19.167387701492743,vz,2018-04-24
2018-04-25,19.167387701492753,vz,2018-04-25
2018-04-26,19.167387701492753,vz,2018-04-26
2018-04-27,36.4053553153474,vz,2018-04-27
2018-04-30,22.524494185624167,vz,2018-04-30
2018-05-01,6.921996225078919,vz,2018-05-01
2018-05-02,2.1588369897692674,vz,2018-05-02
2018-05-03,3.674660168838565,vz,2018-05-03
2018-05-04,2.0644061222965737,vz,2018-05-04
2018-05-07,2.0644061222965884,vz,2018-05-07
2018-05-08,8.504240498436392,vz,2018-05-08
2018-05-09,15.620411230719366,vz,2018-05-09
2018-05-10,13.99150120331219,vz,2018-05-10
2018-05-11,8.344665378035808,vz,2018-05-11
2018-05-14,8.344665378035806,vz,2018-05-14
2018-05-15,0.039307232915386875,vz,2018-05-15
2018-05-16,0.03930723291540682,vz,2018-05-16
2018-05-17,0.0393072329154139,vz,2018-05-17
2018-05-18,4.564196819344179,vz,2018-05-18
2018-05-21,3.9156025801329513,vz,2018-05-21
2018-05-22,13.834331395867986,vz,2018-05-22
2018-05-23,13.834331395867986,vz,2018-05-23
2018-05-24,14.084570906215541,vz,2018-05-24
2018-05-25,10.152103374040022,vz,2018-05-25
2018-05-29,3.8310834428302956,vz,2018-05-29
2018-05-30,7.704812287657502,vz,2018-05-30
2018-05-31,3.7695137715776137,vz,2018-05-31
2018-06-01,3.7695137715776204,vz,2018-06-01
2018-06-04,1.0362409300827817,vz,2018-06-04
2018-06-05,0.5056602457250506,vz,2018-06-05
2018-06-06,3.9860201772112274,vz,2018-06-06
2018-06-07,16.992843555414296,vz,2018-06-07
2018-06-08,16.992843555414296,vz,2018-06-08
2018-06-11,25.43818284447144,vz,2018-06-11
2018-06-12,13.133856205104655,vz,2018-06-12
2018-06-13,7.547143842444294,vz,2018-06-13
2018-06-14,8.662673974905125,vz,2018-06-14
2018-06-15,5.763888082141892,vz,2018-06-15
2018-06-18,12.92123252958423,vz,2018-06-18
2018-06-19,0.002478191542737848,vz,2018-06-19
2018-06-20,0.0024781915427400775,vz,2018-06-20
2018-06-21,5.395544850285857,vz,2018-06-21
2018-06-22,18.28196125955283,vz,2018-06-22
2018-06-25,19.665522055855693,vz,2018-06-25
2018-06-26,15.48528737752591,vz,2018-06-26
2018-06-27,14.321007310381429,vz,2018-06-27
2018-06-28,30.741317742197438,vz,2018-06-28
2018-06-29,30.741317742197445,vz,2018-06-29
2018-07-02,22.987654933126578,vz,2018-07-02
2018-07-03,30.52182954425213,vz,2018-07-03
2018-07-05,32.792528755442355,vz,2018-07-05
2018-07-06,36.590198219186576,vz,2018-07-06
2018-07-09,25.050180480037977,vz,2018-07-09
2018-07-10,28.68058163130512,vz,2018-07-10
2018-07-11,32.40631621061025,vz,2018-07-11
2018-07-12,28.28177536018333,vz,2018-07-12
2018-07-13,27.610867830531237,vz,2018-07-13
2018-07-16,31.07883462183873,vz,2018-07-16
2018-07-17,33.83952029189373,vz,2018-07-17
2018-07-18,21.110798874489916,vz,2018-07-18
2018-07-19,15.046134601450964,vz,2018-07-19
2018-07-20,9.798518850884063,vz,2018-07-20
2018-07-23,8.111710893247178,vz,2018-07-23
2018-07-24,22.30647478926558,vz,2018-07-24
2018-07-25,24.8173932852577,vz,2018-07-25
2018-07-26,24.8173932852577,vz,2018-07-26
2018-07-27,35.07416044310509,vz,2018-07-27
2018-07-30,41.89686178486854,vz,2018-07-30
2018-07-31,28.19342741112293,vz,2018-07-31
2018-08-01,27.302433282926188,vz,2018-08-01
2018-08-02,26.831272502024035,vz,2018-08-02
2018-08-03,32.68984570094194,vz,2018-08-03
2018-08-06,36.048682955558164,vz,2018-08-06
2018-08-07,36.17475742347533,vz,2018-08-07
2018-08-08,38.13082672627844,vz,2018-08-08
2018-08-09,42.98703533759306,vz,2018-08-09
2018-08-10,31.91844670956394,vz,2018-08-10
2018-08-13,29.98783817604464,vz,2018-08-13
2018-08-14,32.40491755016651,vz,2018-08-14
2018-08-15,38.50416200030597,vz,2018-08-15
2018-08-16,50.22712907038748,vz,2018-08-16
2018-08-17,56.84377079244073,vz,2018-08-17
2018-08-20,56.843770792440715,vz,2018-08-20
2018-08-21,56.84377079244071,vz,2018-08-21
2018-08-22,41.43578974899285,vz,2018-08-22
2018-08-23,41.43578974899286,vz,2018-08-23
2018-08-24,44.71448656687983,vz,2018-08-24
2018-08-27,47.30489278198378,vz,2018-08-27
2018-08-28,41.45211704279398,vz,2018-08-28
2018-08-29,42.226950026611476,vz,2018-08-29
2018-08-30,34.01135249186634,vz,2018-08-30
2018-08-31,27.93461962510412,vz,2018-08-31
2018-09-04,0.8897949384389229,vz,2018-09-04
2018-09-05,3.930568843973118,vz,2018-09-05
2018-09-06,12.83429722841892,vz,2018-09-06
2018-09-07,12.834297228418915,vz,2018-09-07
2018-09-10,17.878585104774167,vz,2018-09-10
2018-09-11,22.507049119053637,vz,2018-09-11
2018-09-12,29.4864416537075,vz,2018-09-12
2018-09-13,22.076840938952618,vz,2018-09-13
2018-09-14,19.802559646832332,vz,2018-09-14
2018-09-17,20.331397010469896,vz,2018-09-17
2018-09-18,16.499003550179058,vz,2018-09-18
2018-09-19,4.799804085528147,vz,2018-09-19
2018-09-20,5.800312743136259,vz,2018-09-20
2018-09-21,7.863143039870951,vz,2018-09-21
2018-09-24,3.9858350915784926,vz,2018-09-24
2018-09-25,14.380753179937663,vz,2018-09-25
2018-09-26,14.380753179937667,vz,2018-09-26
2018-09-27,8.02729683947951,vz,2018-09-27
2018-09-28,8.027296839479508,vz,2018-09-28
2018-10-01,0.1371565712996205,vz,2018-10-01
2018-10-02,10.011467624303897,vz,2018-10-02
2018-10-03,18.501184136647506,vz,2018-10-03
2018-10-04,14.349657573550667,vz,2018-10-04
2018-10-05,21.081559426176792,vz,2018-10-05
2018-10-08,13.412188658467624,vz,2018-10-08
2018-10-09,4.4142083884186105,vz,2018-10-09
2018-10-10,17.13168583547482,vz,2018-10-10
2018-10-11,7.8680315358154855,vz,2018-10-11
2018-10-12,8.157060841374367,vz,2018-10-12
2018-10-15,2.0001971651201558,vz,2018-10-15
2018-10-16,7.326197791531315,vz,2018-10-16
