date,rsi_30,ticker,date
2018-01-02,,vz,2018-01-02
2018-01-03,0.0,vz,2018-01-03
2018-01-04,13.783337471383447,vz,2018-01-04
2018-01-05,12.522842847067025,vz,2018-01-05
2018-01-08,11.693176216338387,vz,2018-01-08
2018-01-09,10.200529404188671,vz,2018-01-09
2018-01-10,14.931045876203086,vz,2018-01-10
2018-01-11,33.85328810225647,vz,2018-01-11
2018-01-12,29.77505136797481,vz,2018-01-12
2018-01-16,27.075854248919285,vz,2018-01-16
2018-01-17,29.071097515749514,vz,2018-01-17
2018-01-18,26.912430435911133,vz,2018-01-18
2018-01-19,37.13831699869814,vz,2018-01-19
2018-01-22,61.27171126700292,vz,2018-01-22
2018-01-23,57.86185487966783,vz,2018-01-23
2018-01-24,66.23048344093907,vz,2018-01-24
2018-01-25,66.71390069688844,vz,2018-01-25
2018-01-26,69.49000237802395,vz,2018-01-26
2018-01-29,62.134641586509865,vz,2018-01-29
2018-01-30,59.59087782987251,vz,2018-01-30
2018-01-31,60.81734752926299,vz,2018-01-31
2018-02-01,62.41406919193526,vz,2018-02-01
2018-02-02,50.255611242752416,vz,2018-02-02
2018-02-05,36.45372602428164,vz,2018-02-05
2018-02-06,38.76851606427103,vz,2018-02-06
2018-02-07,40.00165764745456,vz,2018-02-07
2018-02-08,32.57393352020701,vz,2018-02-08
2018-02-09,37.678504921576554,vz,2018-02-09
2018-02-12,38.98677617913204,vz,2018-02-12
2018-02-13,38.87665561106582,vz,2018-02-13
2018-02-14,36.83177311600262,vz,2018-02-14
2018-02-15,38.18886889670368,vz,2018-02-15
2018-02-16,40.54446357057433,vz,2018-02-16
2018-02-20,36.25639820591412,vz,2018-02-20
2018-02-21,33.40394350191322,vz,2018-02-21
2018-02-22,33.151025398613385,vz,2018-02-22
2018-02-23,35.508549413792664,vz,2018-02-23
2018-02-26,39.69890292348917,vz,2018-02-26
2018-02-27,36.4805590153827,vz,2018-02-27
2018-02-28,35.62687989847893,vz,2018-02-28
2018-03-01,36.74968868764165,vz,2018-03-01
2018-03-02,38.268662298855425,vz,2018-03-02
2018-03-05,40.48636247671731,vz,2018-03-05
2018-03-06,41.35811420459923,vz,2018-03-06
2018-03-07,41.18477460536895,vz,2018-03-07
2018-03-08,42.039240499980785,vz,2018-03-08
2018-03-09,42.039240499980785,vz,2018-03-09
2018-03-12,41.247073591372306,vz,2018-03-12
2018-03-13,40.68064040148561,vz,2018-03-13
2018-03-14,39.924383661836195,vz,2018-03-14
2018-03-15,39.319454206897454,vz,2018-03-15
2018-03-16,40.88312556895989,vz,2018-03-16
2018-03-19,39.89834539475228,vz,2018-03-19
2018-03-20,37.57618491575766,vz,2018-03-20
2018-03-21,36.13737279109964,vz,2018-03-21
2018-03-22,34.792830739556265,vz,2018-03-22
2018-03-23,32.92369515720627,vz,2018-03-23
2018-03-26,37.51459317507332,vz,2018-03-26
2018-03-27,38.84689461069025,vz,2018-03-27
2018-03-28,42.49352290066666,vz,2018-03-28
2018-03-29,41.820499174580384,vz,2018-03-29
2018-04-02,39.4506184065692,vz,2018-04-02
2018-04-03,41.22553048374691,vz,2018-04-03
2018-04-04,43.39639043772365,vz,2018-04-04
2018-04-05,44.913819231495395,vz,2018-04-05
2018-04-06,42.054580483042564,vz,2018-04-06
2018-04-09,42.20670182575448,vz,2018-04-09
2018-04-10,48.500767317239465,vz,2018-04-10
2018-04-11,45.860007746285945,vz,2018-04-11
2018-04-12,46.55801519750497,vz,2018-04-12
2018-04-13,46.249621259462465,vz,2018-04-13
2018-04-16,49.41290666632263,vz,2018-04-16
2018-04-17,51.2818738049236,vz,2018-04-17
2018-04-18,50.32023735408709,vz,2018-04-18
2018-04-19,49.526628581597826,vz,2018-04-19
2018-04-20,47.37063392905289,vz,2018-04-20
2018-04-23,50.56302629068262,vz,2018-04-23
2018-04-24,54.368250207670975,vz,2018-04-24
2018-04-25,55.86443888797547,vz,2018-04-25
2018-04-26,54.40523290331158,vz,2018-04-26
2018-04-27,60.138940832472194,vz,2018-04-27
2018-04-30,51.8637506543241,vz,2018-04-30
2018-05-01,50.159166550438876,vz,2018-05-01
2018-05-02,46.937297270305415,vz,2018-05-02
2018-05-03,47.23224786855647,vz,2018-05-03
2018-05-04,48.38629188165245,vz,2018-05-04
2018-05-07,46.98903693024906,vz,2018-05-07
2018-05-08,44.918021535762925,vz,2018-05-08
2018-05-09,43.14478521294935,vz,2018-05-09
2018-05-10,45.97177579459275,vz,2018-05-10
2018-05-11,50.39068332447758,vz,2018-05-11
2018-05-14,50.00334785595671,vz,2018-05-14
2018-05-15,47.950334976714316,vz,2018-05-15
2018-05-16,48.170495066319056,vz,2018-05-16
2018-05-17,48.14038891229395,vz,2018-05-17
2018-05-18,47.80063112608113,vz,2018-05-18
2018-05-21,50.08660143463665,vz,2018-05-21
2018-05-22,51.30155828915294,vz,2018-05-22
2018-05-23,50.564426062296974,vz,2018-05-23
2018-05-24,50.73081501607764,vz,2018-05-24
2018-05-25,50.31027302784841,vz,2018-05-25
2018-05-29,49.185437676371635,vz,2018-05-29
2018-05-30,50.613277548867906,vz,2018-05-30
2018-05-31,47.40922571658402,vz,2018-05-31
2018-06-01,47.922686286204105,vz,2018-06-01
2018-06-04,47.960210716123434,vz,2018-06-04
2018-06-05,48.53584260259009,vz,2018-06-05
2018-06-06,50.207146969704326,vz,2018-06-06
2018-06-07,52.3882784901803,vz,2018-06-07
2018-06-08,52.99182686344173,vz,2018-06-08
2018-06-11,53.42295475306246,vz,2018-06-11
2018-06-12,51.43040817001728,vz,2018-06-12
2018-06-13,46.29086696087498,vz,2018-06-13
2018-06-14,47.895361173573285,vz,2018-06-14
2018-06-15,48.79949761959612,vz,2018-06-15
2018-06-18,46.703540855090125,vz,2018-06-18
2018-06-19,50.51465007024021,vz,2018-06-19
2018-06-20,49.08323625328705,vz,2018-06-20
2018-06-21,50.97598043205861,vz,2018-06-21
2018-06-22,54.6270494178065,vz,2018-06-22
2018-06-25,54.037612025628164,vz,2018-06-25
2018-06-26,52.929693102555525,vz,2018-06-26
2018-06-27,52.96295042009787,vz,2018-06-27
2018-06-28,57.7491226343282,vz,2018-06-28
2018-06-29,55.669770046130225,vz,2018-06-29
2018-07-02,55.997572825931776,vz,2018-07-02
2018-07-03,56.83799285444629,vz,2018-07-03
2018-07-05,58.53505969433164,vz,2018-07-05
2018-07-06,59.10855904821764,vz,2018-07-06
2018-07-09,58.473794827317036,vz,2018-07-09
2018-07-10,60.24059909758882,vz,2018-07-10
2018-07-11,60.24059909758882,vz,2018-07-11
2018-07-12,59.786910680604166,vz,2018-07-12
2018-07-13,60.312608465455824,vz,2018-07-13
2018-07-16,60.87281599585803,vz,2018-07-16
2018-07-17,60.09278580317175,vz,2018-07-17
2018-07-18,58.6828679504968,vz,2018-07-18
2018-07-19,56.82792751181269,vz,2018-07-19
2018-07-20,56.21525384053297,vz,2018-07-20
2018-07-23,56.698197679081204,vz,2018-07-23
2018-07-24,59.406292157123865,vz,2018-07-24
2018-07-25,56.5195033640068,vz,2018-07-25
2018-07-26,57.481369856468255,vz,2018-07-26
2018-07-27,60.275803405469425,vz,2018-07-27
2018-07-30,61.778622861379844,vz,2018-07-30
2018-07-31,57.77463378576115,vz,2018-07-31
2018-08-01,58.072302891319886,vz,2018-08-01
2018-08-02,58.90472410086049,vz,2018-08-02
2018-08-03,59.8609874726614,vz,2018-08-03
2018-08-06,60.548693134659004,vz,2018-08-06
2018-08-07,60.446657569586286,vz,2018-08-07
2018-08-08,61.257138858342486,vz,2018-08-08
2018-08-09,62.28963369827696,vz,2018-08-09
2018-08-10,59.43538382161518,vz,2018-08-10
2018-08-13,58.15902203882,vz,2018-08-13
2018-08-14,60.443734193746785,vz,2018-08-14
2018-08-15,61.67604630227519,vz,2018-08-15
2018-08-16,64.83115695455103,vz,2018-08-16
2018-08-17,66.2809476187425,vz,2018-08-17
2018-08-20,65.52861596754725,vz,2018-08-20
2018-08-21,66.26431362318792,vz,2018-08-21
2018-08-22,62.19750135566136,vz,2018-08-22
2018-08-23,62.6288997956817,vz,2018-08-23
2018-08-24,64.14076293724474,vz,2018-08-24
2018-08-27,64.3496191795357,vz,2018-08-27
2018-08-28,63.26053535459668,vz,2018-08-28
2018-08-29,62.820533475057594,vz,2018-08-29
2018-08-30,63.412834504994684,vz,2018-08-30
2018-08-31,61.280809003806645,vz,2018-08-31
2018-09-04,55.307594706476735,vz,2018-09-04
2018-09-05,57.59071330820067,vz,2018-09-05
2018-09-06,59.19930185546746,vz,2018-09-06
2018-09-07,57.799911807582475,vz,2018-09-07
2018-09-10,58.22263230558789,vz,2018-09-10
2018-09-11,60.280647347180064,vz,2018-09-11
2018-09-12,61.10646542553406,vz,2018-09-12
2018-09-13,60.94919799709086,vz,2018-09-13
2018-09-14,58.909615712536755,vz,2018-09-14
2018-09-17,59.44951668931382,vz,2018-09-17
2018-09-18,57.82517211476895,vz,2018-09-18
2018-09-19,53.48496353595745,vz,2018-09-19
2018-09-20,55.24213165426093,vz,2018-09-20
2018-09-21,56.99730574482048,vz,2018-09-21
2018-09-24,52.97367252524881,vz,2018-09-24
2018-09-25,50.90370684292432,vz,2018-09-25
2018-09-26,51.26557342881501,vz,2018-09-26
2018-09-27,53.05504534152567,vz,2018-09-27
2018-09-28,52.17422155182909,vz,2018-09-28
2018-10-01,53.95363844820399,vz,2018-10-01
2018-10-02,56.12987095565444,vz,2018-10-02
2018-10-03,55.521444937799735,vz,2018-10-03
2018-10-04,58.15626700913678,vz,2018-10-04
2018-10-05,57.76834682875859,vz,2018-10-05
2018-10-08,58.05776161289588,vz,2018-10-08
2018-10-09,60.10614781298022,vz,2018-10-09
2018-10-10,56.800716695955636,vz,2018-10-10
2018-10-11,52.293334438921974,vz,2018-10-11
2018-10-12,53.81003383302105,vz,2018-10-12
2018-10-15,53.24095243777926,vz,2018-10-15
2018-10-16,53.6311778855332,vz,2018-10-16
2018-10-17,54.64916170435538,vz,2018-10-17
2018-10-18,57.227126040022824,vz,2018-10-18
2018-10-19,58.11944156853321,vz,2018-10-19
2018-10-22,58.40664174383006,vz,2018-10-22
2018-10-23,65.27450864853085,vz,2018-10-23
2018-10-24,65.8242581858338,vz,2018-10-24
2018-10-25,61.106579319368336,vz,2018-10-25
2018-10-26,57.16769285731674,vz,2018-10-26
2018-10-29,59.981232734416054,vz,2018-10-29
2018-10-30,64.2399762451047,vz,2018-10-30
2018-10-31,60.0044921880718,vz,2018-10-31
2018-11-01,56.338191667847774,vz,2018-11-01
2018-11-02,57.824877087275084,vz,2018-11-02
2018-11-05,59.259901614992614,vz,2018-11-05
2018-11-06,59.25990161499261,vz,2018-11-06
2018-11-07,60.3550570057958,vz,2018-11-07
2018-11-08,61.8499056794859,vz,2018-11-08
2018-11-09,62.300571800994284,vz,2018-11-09
2018-11-12,62.92060196968906,vz,2018-11-12
2018-11-13,62.674504184866386,vz,2018-11-13
2018-11-14,63.366174644226916,vz,2018-11-14
2018-11-15,63.71397204680728,vz,2018-11-15
2018-11-16,66.37909848795181,vz,2018-11-16
2018-11-19,67.28109020481284,vz,2018-11-19
2018-11-20,62.382631917537175,vz,2018-11-20
2018-11-21,61.19076281061384,vz,2018-11-21
2018-11-23,59.163851839165666,vz,2018-11-23
2018-11-26,60.541957994771636,vz,2018-11-26
2018-11-27,64.04692359298909,vz,2018-11-27
2018-11-28,61.7836608606128,vz,2018-11-28
2018-11-29,59.53355006454599,vz,2018-11-29
2018-11-30,61.55196989912073,vz,2018-11-30
2018-12-03,54.475251089217664,vz,2018-12-03
2018-12-04,54.26411540927229,vz,2018-12-04
2018-12-06,54.233045832396655,vz,2018-12-06
2018-12-07,52.97829557507801,vz,2018-12-07
2018-12-10,54.58169001333987,vz,2018-12-10
2018-12-11,56.10394636615711,vz,2018-12-11
2018-12-12,51.2062792002821,vz,2018-12-12
2018-12-13,50.747995571414215,vz,2018-12-13
2018-12-14,50.718677853171314,vz,2018-12-14
2018-12-17,47.50705578435904,vz,2018-12-17
2018-12-18,46.69498166575676,vz,2018-12-18
2018-12-19,47.346722532300554,vz,2018-12-19
2018-12-20,45.19617959922446,vz,2018-12-20
2018-12-21,44.79653145107552,vz,2018-12-21
2018-12-24,40.210863277055665,vz,2018-12-24
2018-12-26,44.57369074982052,vz,2018-12-26
2018-12-27,46.63151006151962,vz,2018-12-27
2018-12-28,46.975721119418374,vz,2018-12-28
2018-12-31,49.63584107090009,vz,2018-12-31
2019-01-02,49.09940757095451,vz,2019-01-02
2019-01-03,49.66218686092495,vz,2019-01-03
2019-01-04,50.062063274258676,vz,2019-01-04
2019-01-07,51.09539770305722,vz,2019-01-07
2019-01-08,55.48888271251694,vz,2019-01-08
2019-01-09,53.2969743449174,vz,2019-01-09
2019-01-10,54.69751495832227,vz,2019-01-10
2019-01-11,55.74584162291038,vz,2019-01-11
2019-01-14,55.771056742874585,vz,2019-01-14
2019-01-15,55.952783590749824,vz,2019-01-15
2019-01-16,52.68989763887491,vz,2019-01-16
2019-01-17,51.92217894425804,vz,2019-01-17
2019-01-18,52.66420115076835,vz,2019-01-18
2019-01-22,52.34278225867944,vz,2019-01-22
2019-01-23,54.55224209516181,vz,2019-01-23
2019-01-24,52.30436871158492,vz,2019-01-24
2019-01-25,50.22542222671598,vz,2019-01-25
2019-01-28,46.43533657522228,vz,2019-01-28
2019-01-29,42.02058252302488,vz,2019-01-29
2019-01-30,44.227000887029156,vz,2019-01-30
2019-01-31,47.28238312379682,vz,2019-01-31
2019-02-01,46.02736753870887,vz,2019-02-01
2019-02-04,44.79733221060995,vz,2019-02-04
2019-02-05,45.094983065710416,vz,2019-02-05
2019-02-06,44.23152765051231,vz,2019-02-06
2019-02-07,43.68760204806706,vz,2019-02-07
2019-02-08,44.89834319667167,vz,2019-02-08
2019-02-11,45.21898644134227,vz,2019-02-11
2019-02-12,46.412556915328814,vz,2019-02-12
2019-02-13,46.607720537026694,vz,2019-02-13
2019-02-14,45.327008117426686,vz,2019-02-14
2019-02-15,48.96959399960799,vz,2019-02-15
2019-02-19,49.826454875455,vz,2019-02-19
2019-02-20,50.80310769336175,vz,2019-02-20
2019-02-21,51.9815488140851,vz,2019-02-21
2019-02-22,54.22119939965741,vz,2019-02-22
2019-02-25,53.74966895649393,vz,2019-02-25
2019-02-26,53.2704473369193,vz,2019-02-26
2019-02-27,53.51544857345637,vz,2019-02-27
2019-02-28,54.13730456513161,vz,2019-02-28
2019-03-01,54.26392380353414,vz,2019-03-01
2019-03-04,51.61123602133414,vz,2019-03-04
2019-03-05,51.0376667197712,vz,2019-03-05
2019-03-06,49.611788179756,vz,2019-03-06
2019-03-07,51.77221308152072,vz,2019-03-07
2019-03-08,52.5529116843769,vz,2019-03-08
2019-03-11,55.92259472203517,vz,2019-03-11
2019-03-12,55.34175325185404,vz,2019-03-12
2019-03-13,56.065563200540026,vz,2019-03-13
2019-03-14,56.97513437884353,vz,2019-03-14
2019-03-15,58.329215168947265,vz,2019-03-15
2019-03-18,56.980039929503384,vz,2019-03-18
2019-03-19,54.650743599416394,vz,2019-03-19
2019-03-20,55.21556487515049,vz,2019-03-20
2019-03-21,57.22564635560715,vz,2019-03-21
2019-03-22,61.46752380276845,vz,2019-03-22
2019-03-25,62.309247284404215,vz,2019-03-25
2019-03-26,63.71841902755349,vz,2019-03-26
2019-03-27,64.34524323865651,vz,2019-03-27
2019-03-28,57.00921785665144,vz,2019-03-28
2019-03-29,57.14961993379155,vz,2019-03-29
2019-04-01,56.99557659868922,vz,2019-04-01
2019-04-02,54.85445676466304,vz,2019-04-02
2019-04-03,55.89507898511379,vz,2019-04-03
2019-04-04,56.263189649319656,vz,2019-04-04
2019-04-05,56.57561832474009,vz,2019-04-05
2019-04-08,56.703611569301884,vz,2019-04-08
2019-04-09,56.15445296120321,vz,2019-04-09
2019-04-10,56.86898635890335,vz,2019-04-10
2019-04-11,56.64163208712763,vz,2019-04-11
2019-04-12,57.277709601907794,vz,2019-04-12
2019-04-15,57.13317496892661,vz,2019-04-15
2019-04-16,57.429480234333944,vz,2019-04-16
2019-04-17,52.674440542218285,vz,2019-04-17
2019-04-18,53.69544040885372,vz,2019-04-18
2019-04-22,54.970894369672926,vz,2019-04-22
2019-04-23,49.731813780480515,vz,2019-04-23
2019-04-24,49.45205482394139,vz,2019-04-24
2019-04-25,44.86460191567069,vz,2019-04-25
2019-04-26,47.83559268206405,vz,2019-04-26
2019-04-29,48.85113305026315,vz,2019-04-29
2019-04-30,50.20113767170602,vz,2019-04-30
2019-05-01,47.70753591004274,vz,2019-05-01
2019-05-02,49.526886591024876,vz,2019-05-02
2019-05-03,50.47503191136091,vz,2019-05-03
2019-05-06,49.21267937647213,vz,2019-05-06
2019-05-07,48.155555505882745,vz,2019-05-07
2019-05-08,47.21875749663301,vz,2019-05-08
2019-05-09,47.64022981423169,vz,2019-05-09
2019-05-10,49.43640239776466,vz,2019-05-10
2019-05-13,48.792111956389114,vz,2019-05-13
2019-05-14,47.983494299295145,vz,2019-05-14
2019-05-15,49.117560598408154,vz,2019-05-15
2019-05-16,51.51488182469844,vz,2019-05-16
2019-05-17,54.28998745766942,vz,2019-05-17
2019-05-20,57.54709452736448,vz,2019-05-20
2019-05-21,59.150854098950475,vz,2019-05-21
2019-05-22,57.99450980873759,vz,2019-05-22
2019-05-23,56.264964899303045,vz,2019-05-23
2019-05-24,57.806451754442456,vz,2019-05-24
2019-05-28,55.169138413354766,vz,2019-05-28
2019-05-29,52.84411057094782,vz,2019-05-29
2019-05-30,47.735966714397826,vz,2019-05-30
2019-05-31,40.32776557940975,vz,2019-05-31
2019-06-03,47.25864054923932,vz,2019-06-03
2019-06-04,46.815269124173014,vz,2019-06-04
2019-06-05,49.305937529384956,vz,2019-06-05
2019-06-06,50.80644466055805,vz,2019-06-06
2019-06-07,49.90750880615745,vz,2019-06-07
2019-06-10,46.79550842824791,vz,2019-06-10
2019-06-11,48.85373198362368,vz,2019-06-11
2019-06-12,50.40080785577967,vz,2019-06-12
2019-06-13,51.15064783758669,vz,2019-06-13
2019-06-14,53.01593350869704,vz,2019-06-14
2019-06-17,51.03073416349909,vz,2019-06-17
2019-06-18,50.134351949612245,vz,2019-06-18
2019-06-19,51.02430134246197,vz,2019-06-19
2019-06-20,50.12968368703427,vz,2019-06-20
2019-06-21,51.43575102835107,vz,2019-06-21
2019-06-24,52.91896638621869,vz,2019-06-24
2019-06-25,52.03126602964072,vz,2019-06-25
2019-06-26,48.85960255165898,vz,2019-06-26
2019-06-27,49.676509038220566,vz,2019-06-27
2019-06-28,49.30051071317168,vz,2019-06-28
2019-07-01,47.83360436924143,vz,2019-07-01
2019-07-02,52.41468729842204,vz,2019-07-02
2019-07-03,52.414687298422045,vz,2019-07-03
2019-07-05,52.95604798224133,vz,2019-07-05
