date,macd,ticker,date
2018-01-02,0.0,wba,2018-01-02
2018-01-03,0.010736954517852837,wba,2018-01-03
2018-01-04,-0.08993395129458293,wba,2018-01-04
2018-01-05,-0.09279036044942757,wba,2018-01-05
2018-01-08,-0.06076362436004956,wba,2018-01-08
2018-01-09,-0.05608228177901253,wba,2018-01-09
2018-01-10,-0.026562943436047703,wba,2018-01-10
2018-01-11,0.0464934605259657,wba,2018-01-11
2018-01-12,0.1256310611398277,wba,2018-01-12
2018-01-16,0.17818078914572055,wba,2018-01-16
2018-01-17,0.20227351446506958,wba,2018-01-17
2018-01-18,0.22751241736064287,wba,2018-01-18
2018-01-19,0.2659002385837539,wba,2018-01-19
2018-01-22,0.33724100330985607,wba,2018-01-22
2018-01-23,0.36746933138319093,wba,2018-01-23
2018-01-24,0.401854745982277,wba,2018-01-24
2018-01-25,0.4728027563662067,wba,2018-01-25
2018-01-26,0.5687471416617456,wba,2018-01-26
2018-01-29,0.6969613205041867,wba,2018-01-29
2018-01-30,0.5567552315906141,wba,2018-01-30
2018-01-31,0.39256835413958413,wba,2018-01-31
2018-02-01,0.3066320356574863,wba,2018-02-01
2018-02-02,0.091207142074893,wba,2018-02-02
2018-02-05,-0.2610694242526108,wba,2018-02-05
2018-02-06,-0.45116290649632873,wba,2018-02-06
2018-02-07,-0.6094547188990518,wba,2018-02-07
2018-02-08,-0.9261638595798019,wba,2018-02-08
2018-02-09,-1.1476512850347262,wba,2018-02-09
2018-02-12,-1.3071166043757358,wba,2018-02-12
2018-02-13,-1.4269853225006273,wba,2018-02-13
2018-02-14,-1.4663514337502974,wba,2018-02-14
2018-02-15,-1.3985220311577748,wba,2018-02-15
2018-02-16,-1.2567838769513031,wba,2018-02-16
2018-02-20,-1.1321048654121952,wba,2018-02-20
2018-02-21,-1.1039024690643018,wba,2018-02-21
2018-02-22,-1.0665461176541768,wba,2018-02-22
2018-02-23,-0.9802508218847095,wba,2018-02-23
2018-02-26,-0.885811663246372,wba,2018-02-26
2018-02-27,-0.8972654154708266,wba,2018-02-27
2018-02-28,-0.9123475360552789,wba,2018-02-28
2018-03-01,-0.8273864674326603,wba,2018-03-01
2018-03-02,-0.7262793397631171,wba,2018-03-02
2018-03-05,-0.6407822454158634,wba,2018-03-05
2018-03-06,-0.6169845175279178,wba,2018-03-06
2018-03-07,-0.6105933858723134,wba,2018-03-07
2018-03-08,-0.6339669297508763,wba,2018-03-08
2018-03-09,-0.5360261015552439,wba,2018-03-09
2018-03-12,-0.48333691042614646,wba,2018-03-12
2018-03-13,-0.45600624484040964,wba,2018-03-13
2018-03-14,-0.5174398502531474,wba,2018-03-14
2018-03-15,-0.6384037732570178,wba,2018-03-15
2018-03-16,-0.7130457103362744,wba,2018-03-16
2018-03-19,-0.8274845586433628,wba,2018-03-19
2018-03-20,-0.9461904462219834,wba,2018-03-20
2018-03-21,-1.013486524165323,wba,2018-03-21
2018-03-22,-1.0844234358795006,wba,2018-03-22
2018-03-23,-1.1547215681436427,wba,2018-03-23
2018-03-26,-1.0582180834565236,wba,2018-03-26
2018-03-27,-1.0730605555643464,wba,2018-03-27
2018-03-28,-0.9616950509367683,wba,2018-03-28
2018-03-29,-1.0076148509566707,wba,2018-03-29
2018-04-02,-1.1933288404841846,wba,2018-04-02
2018-04-03,-1.3204361356096683,wba,2018-04-03
2018-04-04,-1.24557120151551,wba,2018-04-04
2018-04-05,-1.2313166874385004,wba,2018-04-05
2018-04-06,-1.286552334741657,wba,2018-04-06
2018-04-09,-1.3574371174051905,wba,2018-04-09
2018-04-10,-1.3353971386879167,wba,2018-04-10
2018-04-11,-1.2790102259981069,wba,2018-04-11
2018-04-12,-1.2250297166606074,wba,2018-04-12
2018-04-13,-1.183796532043523,wba,2018-04-13
2018-04-16,-0.9740210903264952,wba,2018-04-16
2018-04-17,-0.8156534789749657,wba,2018-04-17
2018-04-18,-0.6624582057920421,wba,2018-04-18
2018-04-19,-0.6018916058146218,wba,2018-04-19
2018-04-20,-0.6405869222058413,wba,2018-04-20
2018-04-23,-0.6170864934964229,wba,2018-04-23
2018-04-24,-0.5642738284977469,wba,2018-04-24
2018-04-25,-0.45146051442068824,wba,2018-04-25
2018-04-26,-0.3038638561704232,wba,2018-04-26
2018-04-27,-0.1594381635838218,wba,2018-04-27
2018-04-30,-0.0896516773604148,wba,2018-04-30
2018-05-01,-0.1044727636081717,wba,2018-05-01
2018-05-02,-0.2360915353367261,wba,2018-05-02
2018-05-03,-0.4337602511495646,wba,2018-05-03
2018-05-04,-0.4754732408063731,wba,2018-05-04
2018-05-07,-0.6061596243472138,wba,2018-05-07
2018-05-08,-0.6975280625004174,wba,2018-05-08
2018-05-09,-0.7214293293496183,wba,2018-05-09
2018-05-10,-0.67232949243067,wba,2018-05-10
2018-05-11,-0.6070144583920154,wba,2018-05-11
2018-05-14,-0.47971995073549323,wba,2018-05-14
2018-05-15,-0.4080974704748357,wba,2018-05-15
2018-05-16,-0.2698971699168595,wba,2018-05-16
2018-05-17,-0.11372820375442672,wba,2018-05-17
2018-05-18,-0.10385030513345583,wba,2018-05-18
2018-05-21,-0.08389484194234598,wba,2018-05-21
2018-05-22,-0.08592250724215234,wba,2018-05-22
