date,boll_lb,ticker,date
2017-01-03,,xom,2017-01-03
2017-01-04,67.08025611862071,xom,2017-01-04
2017-01-05,65.91370857281682,xom,2017-01-05
2017-01-06,65.70681731775676,xom,2017-01-06
2017-01-09,64.8609560501048,xom,2017-01-09
2017-01-10,63.96758883522454,xom,2017-01-10
2017-01-11,63.85400454463432,xom,2017-01-11
2017-01-12,63.67564282180204,xom,2017-01-12
2017-01-13,63.57665066988011,xom,2017-01-13
2017-01-17,63.68346988161375,xom,2017-01-17
2017-01-18,63.61423050313949,xom,2017-01-18
2017-01-19,63.22691013291517,xom,2017-01-19
2017-01-20,63.17698215975454,xom,2017-01-20
2017-01-23,62.98996370170933,xom,2017-01-23
2017-01-24,62.86919628953231,xom,2017-01-24
2017-01-25,62.81207162089713,xom,2017-01-25
2017-01-26,62.79945957354667,xom,2017-01-26
2017-01-27,62.78372776420456,xom,2017-01-27
2017-01-30,62.70180889385683,xom,2017-01-30
2017-01-31,62.5055560978312,xom,2017-01-31
2017-02-01,62.43489006438973,xom,2017-02-01
2017-02-02,62.43381003513358,xom,2017-02-02
2017-02-03,62.354823606530914,xom,2017-02-03
2017-02-06,62.31537443721477,xom,2017-02-06
2017-02-07,62.0904966213475,xom,2017-02-07
2017-02-08,61.767287398027854,xom,2017-02-08
2017-02-09,61.59493432190139,xom,2017-02-09
2017-02-10,61.51799963926349,xom,2017-02-10
2017-02-13,61.5102057214341,xom,2017-02-13
2017-02-14,61.64360695034317,xom,2017-02-14
2017-02-15,61.71347234531123,xom,2017-02-15
2017-02-16,61.63479053591031,xom,2017-02-16
2017-02-17,61.58269843703896,xom,2017-02-17
2017-02-21,61.50424185233307,xom,2017-02-21
2017-02-22,61.31810926061728,xom,2017-02-22
2017-02-23,61.31375143089038,xom,2017-02-23
2017-02-24,61.30072305323176,xom,2017-02-24
2017-02-27,61.41228207517819,xom,2017-02-27
2017-02-28,61.457967952417896,xom,2017-02-28
2017-03-01,61.46600173548526,xom,2017-03-01
2017-03-02,61.43383238416261,xom,2017-03-02
2017-03-03,61.43519919929663,xom,2017-03-03
2017-03-06,61.433684654656794,xom,2017-03-06
2017-03-07,61.43375603726348,xom,2017-03-07
2017-03-08,61.328506555106564,xom,2017-03-08
2017-03-09,61.34698104601585,xom,2017-03-09
2017-03-10,61.32829035036496,xom,2017-03-10
2017-03-13,61.27150857461222,xom,2017-03-13
2017-03-14,61.18946008907734,xom,2017-03-14
2017-03-15,61.19796310730915,xom,2017-03-15
2017-03-16,61.24305097817896,xom,2017-03-16
2017-03-17,61.24149532199919,xom,2017-03-17
2017-03-20,61.25025938786376,xom,2017-03-20
2017-03-21,61.2478965858928,xom,2017-03-21
2017-03-22,61.33399379345295,xom,2017-03-22
2017-03-23,61.33796202824405,xom,2017-03-23
2017-03-24,61.35796433159003,xom,2017-03-24
2017-03-27,61.32814069889629,xom,2017-03-27
2017-03-28,61.370057036850014,xom,2017-03-28
2017-03-29,61.41232300531837,xom,2017-03-29
2017-03-30,61.343244935814404,xom,2017-03-30
2017-03-31,61.345632788452775,xom,2017-03-31
2017-04-03,61.37571868303663,xom,2017-04-03
2017-04-04,61.382492832693536,xom,2017-04-04
2017-04-05,61.459311271108064,xom,2017-04-05
2017-04-06,61.4382805448743,xom,2017-04-06
2017-04-07,61.4556677005412,xom,2017-04-07
2017-04-10,61.47894757613842,xom,2017-04-10
2017-04-11,61.60803010442115,xom,2017-04-11
2017-04-12,61.61443330790853,xom,2017-04-12
2017-04-13,61.58236175352795,xom,2017-04-13
2017-04-17,61.54372608033129,xom,2017-04-17
2017-04-18,61.43324361435387,xom,2017-04-18
