date,boll_ub,ticker,date
2018-01-02,,xom,2018-01-02
2018-01-03,69.04754908983095,xom,2018-01-03
2018-01-04,69.01454375057568,xom,2018-01-04
2018-01-05,68.91273971780979,xom,2018-01-05
2018-01-08,68.9904272059492,xom,2018-01-08
2018-01-09,68.90342481054846,xom,2018-01-09
2018-01-10,68.78288504966686,xom,2018-01-10
2018-01-11,68.77658640016477,xom,2018-01-11
2018-01-12,68.92170195423166,xom,2018-01-12
2018-01-16,68.89653160170815,xom,2018-01-16
2018-01-17,69.11498472950944,xom,2018-01-17
2018-01-18,69.13726259332714,xom,2018-01-18
2018-01-19,69.11356166323162,xom,2018-01-19
2018-01-22,69.29085761006095,xom,2018-01-22
2018-01-23,69.43243636757823,xom,2018-01-23
2018-01-24,69.58643340910771,xom,2018-01-24
2018-01-25,69.67683316007155,xom,2018-01-25
2018-01-26,69.86069785297379,xom,2018-01-26
2018-01-29,69.86689210600204,xom,2018-01-29
2018-01-30,69.81814357540355,xom,2018-01-30
2018-01-31,69.6413165200173,xom,2018-01-31
2018-02-01,69.82788748056808,xom,2018-02-01
2018-02-02,70.10144750673417,xom,2018-02-02
2018-02-05,71.33624880605562,xom,2018-02-05
2018-02-06,72.22572039659917,xom,2018-02-06
2018-02-07,72.99782007911465,xom,2018-02-07
2018-02-08,73.63283912149082,xom,2018-02-08
2018-02-09,73.93165030131519,xom,2018-02-09
2018-02-12,73.9742975944944,xom,2018-02-12
2018-02-13,73.96567291917778,xom,2018-02-13
2018-02-14,73.75409856494656,xom,2018-02-14
2018-02-15,73.52510158106992,xom,2018-02-15
2018-02-16,73.22791734797251,xom,2018-02-16
2018-02-20,72.75150751329296,xom,2018-02-20
2018-02-21,72.19958831851832,xom,2018-02-21
2018-02-22,71.45648676377806,xom,2018-02-22
2018-02-23,70.6060307841343,xom,2018-02-23
2018-02-26,69.54437712410254,xom,2018-02-26
2018-02-27,68.49745485341444,xom,2018-02-27
2018-02-28,67.53759969355029,xom,2018-02-28
2018-03-01,66.25801475213781,xom,2018-03-01
2018-03-02,63.8254375652113,xom,2018-03-02
2018-03-05,62.1883025543728,xom,2018-03-05
2018-03-06,61.81981932301291,xom,2018-03-06
2018-03-07,61.77722509877722,xom,2018-03-07
2018-03-08,61.84965935933131,xom,2018-03-08
2018-03-09,61.88035211400732,xom,2018-03-09
2018-03-12,61.87769289266749,xom,2018-03-12
2018-03-13,61.86350885126956,xom,2018-03-13
2018-03-14,61.91310162654126,xom,2018-03-14
2018-03-15,61.86531132964809,xom,2018-03-15
2018-03-16,61.81855216212656,xom,2018-03-16
2018-03-19,61.75141713950922,xom,2018-03-19
2018-03-20,61.742171616945164,xom,2018-03-20
2018-03-21,61.74427148263487,xom,2018-03-21
2018-03-22,61.74261399276986,xom,2018-03-22
2018-03-23,61.54301653136097,xom,2018-03-23
2018-03-26,60.86634163866904,xom,2018-03-26
2018-03-27,60.43279407961609,xom,2018-03-27
2018-03-28,60.38318317554596,xom,2018-03-28
2018-03-29,60.33595496451225,xom,2018-03-29
2018-04-02,60.24050462727268,xom,2018-04-02
2018-04-03,60.031717986152046,xom,2018-04-03
2018-04-04,59.797670410141926,xom,2018-04-04
2018-04-05,60.03877762093559,xom,2018-04-05
2018-04-06,60.083730763573044,xom,2018-04-06
2018-04-09,60.10813574453231,xom,2018-04-09
2018-04-10,60.468931393318286,xom,2018-04-10
2018-04-11,60.901083525568836,xom,2018-04-11
2018-04-12,61.221431815641225,xom,2018-04-12
2018-04-13,61.61624600034841,xom,2018-04-13
2018-04-16,62.07472178491663,xom,2018-04-16
