date,close_60_sma,ticker,date
2018-01-02,66.5457534790039,xom,2018-01-02
2018-01-03,67.19923782348633,xom,2018-01-03
2018-01-04,67.44837188720703,xom,2018-01-04
2018-01-05,67.55924224853516,xom,2018-01-05
2018-01-08,67.68680572509766,xom,2018-01-08
2018-01-09,67.72358703613281,xom,2018-01-09
2018-01-10,67.67271641322544,xom,2018-01-10
2018-01-11,67.71771812438965,xom,2018-01-11
2018-01-12,67.80402289496527,xom,2018-01-12
2018-01-16,67.83002319335938,xom,2018-01-16
2018-01-17,67.9245771928267,xom,2018-01-17
2018-01-18,67.9661979675293,xom,2018-01-18
2018-01-19,67.98455869234525,xom,2018-01-19
2018-01-22,68.06178828648159,xom,2018-01-22
2018-01-23,68.13132985432942,xom,2018-01-23
2018-01-24,68.20342779159546,xom,2018-01-24
2018-01-25,68.25967900893268,xom,2018-01-25
2018-01-26,68.33707088894315,xom,2018-01-26
2018-01-29,68.36553794459293,xom,2018-01-29
2018-01-30,68.3430274963379,xom,2018-01-30
2018-01-31,68.342039562407,xom,2018-01-31
2018-02-01,68.40410683371805,xom,2018-02-01
2018-02-02,68.30629531196927,xom,2018-02-02
2018-02-05,68.05978616078694,xom,2018-02-05
2018-02-06,67.79011047363281,xom,2018-02-06
2018-02-07,67.49873645489032,xom,2018-02-07
2018-02-08,67.20372856987848,xom,2018-02-08
2018-02-09,66.94334629603794,xom,2018-02-09
2018-02-12,66.71836918797986,xom,2018-02-12
2018-02-13,66.50522842407227,xom,2018-02-13
2018-02-14,66.30991941882718,xom,2018-02-14
2018-02-15,66.12064051628113,xom,2018-02-15
2018-02-16,65.9507389646588,xom,2018-02-16
2018-02-20,65.77246104969697,xom,2018-02-20
2018-02-21,65.58494415283204,xom,2018-02-21
2018-02-22,65.42914772033691,xom,2018-02-22
2018-02-23,65.31745725064664,xom,2018-02-23
2018-02-26,65.23890083714535,xom,2018-02-26
2018-02-27,65.13720830281575,xom,2018-02-27
2018-02-28,65.00581293106079,xom,2018-02-28
2018-03-01,64.87041361738996,xom,2018-03-01
2018-03-02,64.74805096217564,xom,2018-03-02
2018-03-05,64.64461783475654,xom,2018-03-05
2018-03-06,64.54426938837224,xom,2018-03-06
