date,macd,ticker,date
2018-01-02,0.0,xom,2018-01-02
2018-01-03,0.029322673112915254,xom,2018-01-03
2018-01-04,0.04027505592922864,xom,2018-01-04
2018-01-05,0.042292149050695116,xom,2018-01-05
2018-01-08,0.0546427121283557,xom,2018-01-08
2018-01-09,0.04865796072677142,xom,2018-01-09
2018-01-10,0.01951812222046101,xom,2018-01-10
2018-01-11,0.031303342278278024,xom,2018-01-11
2018-01-12,0.06189738091698871,xom,2018-01-12
2018-01-16,0.060526821695759736,xom,2018-01-16
2018-01-17,0.10163297649638992,xom,2018-01-17
2018-01-18,0.10588306236229528,xom,2018-01-18
2018-01-19,0.09525341611704619,xom,2018-01-19
2018-01-22,0.13595259112148028,xom,2018-01-22
2018-01-23,0.16723381650588465,xom,2018-01-23
2018-01-24,0.19978390369955434,xom,2018-01-24
2018-01-25,0.2143802639222514,xom,2018-01-25
2018-01-26,0.25401316728842005,xom,2018-01-26
2018-01-29,0.23168058037295225,xom,2018-01-29
2018-01-30,0.1489230617092261,xom,2018-01-30
2018-01-31,0.1101220966193921,xom,2018-01-31
2018-02-01,0.1716864871976469,xom,2018-02-01
2018-02-02,-0.02399218814245785,xom,2018-02-02
2018-02-05,-0.4344773446684371,xom,2018-02-05
2018-02-06,-0.8230995769294935,xom,2018-02-06
2018-02-07,-1.1934585803053324,xom,2018-02-07
2018-02-08,-1.516338081068966,xom,2018-02-08
2018-02-09,-1.7232859163799006,xom,2018-02-09
2018-02-12,-1.8282379900881267,xom,2018-02-12
2018-02-13,-1.8958408671141314,xom,2018-02-13
2018-02-14,-1.9174240779293257,xom,2018-02-14
2018-02-15,-1.926656379357567,xom,2018-02-15
2018-02-16,-1.89229604115053,xom,2018-02-16
2018-02-20,-1.89010479268957,xom,2018-02-20
2018-02-21,-1.917496959745435,xom,2018-02-21
2018-02-22,-1.8591740069725589,xom,2018-02-22
2018-02-23,-1.6924304929376675,xom,2018-02-23
2018-02-26,-1.463952088284934,xom,2018-02-26
2018-02-27,-1.3489753306209664,xom,2018-02-27
2018-02-28,-1.3497950147415452,xom,2018-02-28
2018-03-01,-1.36767085631746,xom,2018-03-01
2018-03-02,-1.3447129082136584,xom,2018-03-02
2018-03-05,-1.2674512504320958,xom,2018-03-05
2018-03-06,-1.1979355153251063,xom,2018-03-06
2018-03-07,-1.247368179393348,xom,2018-03-07
2018-03-08,-1.2803924416125056,xom,2018-03-08
2018-03-09,-1.264544398388331,xom,2018-03-09
2018-03-12,-1.1957689244044545,xom,2018-03-12
2018-03-13,-1.172054030615243,xom,2018-03-13
2018-03-14,-1.197573930460635,xom,2018-03-14
2018-03-15,-1.1531057282886792,xom,2018-03-15
2018-03-16,-1.061698549499333,xom,2018-03-16
2018-03-19,-1.038187454154631,xom,2018-03-19
2018-03-20,-1.0178556850387963,xom,2018-03-20
2018-03-21,-0.9249756205063733,xom,2018-03-21
2018-03-22,-0.9375718269602302,xom,2018-03-22
2018-03-23,-0.9747630691247338,xom,2018-03-23
2018-03-26,-0.923510512240135,xom,2018-03-26
2018-03-27,-0.8915540259401666,xom,2018-03-27
2018-03-28,-0.9119617183956805,xom,2018-03-28
2018-03-29,-0.8049816186743683,xom,2018-03-29
2018-04-02,-0.7989654721155617,xom,2018-04-02
2018-04-03,-0.6724393340791366,xom,2018-04-03
2018-04-04,-0.5750435024280662,xom,2018-04-04
2018-04-05,-0.4201067992308367,xom,2018-04-05
2018-04-06,-0.36604510153152603,xom,2018-04-06
2018-04-09,-0.31951712680388056,xom,2018-04-09
2018-04-10,-0.14135690345960938,xom,2018-04-10
2018-04-11,0.022429869860978613,xom,2018-04-11
2018-04-12,0.137301363074684,xom,2018-04-12
2018-04-13,0.2646803055327638,xom,2018-04-13
2018-04-16,0.40544262413947507,xom,2018-04-16
2018-04-17,0.49789893962512366,xom,2018-04-17
2018-04-18,0.6206114255433164,xom,2018-04-18
2018-04-19,0.7222530154688513,xom,2018-04-19
2018-04-20,0.7672312392901759,xom,2018-04-20
2018-04-23,0.8295832283423366,xom,2018-04-23
2018-04-24,0.7922065802660327,xom,2018-04-24
2018-04-25,0.8262688931460431,xom,2018-04-25
2018-04-26,0.9291401725948774,xom,2018-04-26
2018-04-27,0.8058744993696862,xom,2018-04-27
2018-04-30,0.6975971800503444,xom,2018-04-30
2018-05-01,0.5544371536862585,xom,2018-05-01
2018-05-02,0.4265107349762616,xom,2018-05-02
2018-05-03,0.3050462668885814,xom,2018-05-03
2018-05-04,0.2290839888616958,xom,2018-05-04
2018-05-07,0.2198756036189593,xom,2018-05-07
2018-05-08,0.23220562373506937,xom,2018-05-08
2018-05-09,0.35515391397407825,xom,2018-05-09
2018-05-10,0.5602216971954164,xom,2018-05-10
2018-05-11,0.738689356562233,xom,2018-05-11
2018-05-14,0.9051061070215596,xom,2018-05-14
2018-05-15,1.0226267464465906,xom,2018-05-15
2018-05-16,1.117687912610151,xom,2018-05-16
2018-05-17,1.17051327697299,xom,2018-05-17
2018-05-18,1.1616304569855913,xom,2018-05-18
2018-05-21,1.203832646918336,xom,2018-05-21
2018-05-22,1.1824241300320608,xom,2018-05-22
2018-05-23,1.1846506206949527,xom,2018-05-23
2018-05-24,1.0531730403182848,xom,2018-05-24
2018-05-25,0.8388152555053026,xom,2018-05-25
2018-05-29,0.6428432371017649,xom,2018-05-29
2018-05-30,0.6781344632882309,xom,2018-05-30
2018-05-31,0.6814968917934721,xom,2018-05-31
2018-06-01,0.7139416718498666,xom,2018-06-01
2018-06-04,0.6764502814149509,xom,2018-06-04
2018-06-05,0.6208959230166116,xom,2018-06-05
2018-06-06,0.6581928654750087,xom,2018-06-06
2018-06-07,0.7321434575638506,xom,2018-06-07
2018-06-08,0.827598368416588,xom,2018-06-08
2018-06-11,0.8611047932957234,xom,2018-06-11
2018-06-12,0.8342289932111839,xom,2018-06-12
2018-06-13,0.7457003645745743,xom,2018-06-13
2018-06-14,0.6920475557497383,xom,2018-06-14
2018-06-15,0.5637743122893966,xom,2018-06-15
2018-06-18,0.4670423753988331,xom,2018-06-18
2018-06-19,0.3782877103746358,xom,2018-06-19
2018-06-20,0.28851331072598896,xom,2018-06-20
2018-06-21,0.16647715131510665,xom,2018-06-21
2018-06-22,0.17662577503735122,xom,2018-06-22
2018-06-25,0.07808990115762526,xom,2018-06-25
2018-06-26,0.057333748173604704,xom,2018-06-26
2018-06-27,0.10858119743177497,xom,2018-06-27
2018-06-28,0.1640590088928775,xom,2018-06-28
2018-06-29,0.2540688378698661,xom,2018-06-29
2018-07-02,0.25990194789014254,xom,2018-07-02
2018-07-03,0.2920876930681402,xom,2018-07-03
2018-07-05,0.31843485448966646,xom,2018-07-05
2018-07-06,0.3367220597977081,xom,2018-07-06
2018-07-09,0.383524888518906,xom,2018-07-09
2018-07-10,0.46424058852035444,xom,2018-07-10
2018-07-11,0.45402240560746066,xom,2018-07-11
2018-07-12,0.4472139914721964,xom,2018-07-12
2018-07-13,0.476279203158569,xom,2018-07-13
2018-07-16,0.44138520731837616,xom,2018-07-16
2018-07-17,0.39754938672386686,xom,2018-07-17
2018-07-18,0.35294099877533824,xom,2018-07-18
2018-07-19,0.3005904538274251,xom,2018-07-19
2018-07-20,0.2172879990493044,xom,2018-07-20
2018-07-23,0.1495463352114399,xom,2018-07-23
2018-07-24,0.19733823992292798,xom,2018-07-24
2018-07-25,0.2694826336543912,xom,2018-07-25
2018-07-26,0.3643455572644143,xom,2018-07-26
2018-07-27,0.28671312364483015,xom,2018-07-27
2018-07-30,0.21115588965709264,xom,2018-07-30
2018-07-31,0.13490073429791494,xom,2018-07-31
2018-08-01,0.002265793450916931,xom,2018-08-01
2018-08-02,-0.13225691731729228,xom,2018-08-02
2018-08-03,-0.21766890262526317,xom,2018-08-03
2018-08-06,-0.2833803707919742,xom,2018-08-06
2018-08-07,-0.26219399785398423,xom,2018-08-07
2018-08-08,-0.2770079769038176,xom,2018-08-08
2018-08-09,-0.3115772232294205,xom,2018-08-09
2018-08-10,-0.3402606931603742,xom,2018-08-10
2018-08-13,-0.41421159876986735,xom,2018-08-13
2018-08-14,-0.4835194713017046,xom,2018-08-14
2018-08-15,-0.6204914314287393,xom,2018-08-15
2018-08-16,-0.6525069224631679,xom,2018-08-16
2018-08-17,-0.6534205711305461,xom,2018-08-17
2018-08-20,-0.6112877565947414,xom,2018-08-20
2018-08-21,-0.5700251738421045,xom,2018-08-21
2018-08-22,-0.4584671009297665,xom,2018-08-22
2018-08-23,-0.42248122913666464,xom,2018-08-23
2018-08-24,-0.35471510913451,xom,2018-08-24
2018-08-27,-0.24737412398302183,xom,2018-08-27
2018-08-28,-0.1681798679740325,xom,2018-08-28
2018-08-29,-0.0668849060122767,xom,2018-08-29
2018-08-30,-0.009287067215097977,xom,2018-08-30
2018-08-31,0.014059004442458445,xom,2018-08-31
2018-09-04,0.039914974831958716,xom,2018-09-04
2018-09-05,0.12858872449412218,xom,2018-09-05
2018-09-06,0.13866757573256905,xom,2018-09-06
2018-09-07,0.233164391016345,xom,2018-09-07
2018-09-10,0.2968193189421129,xom,2018-09-10
2018-09-11,0.4173294483208281,xom,2018-09-11
2018-09-12,0.5243692363814318,xom,2018-09-12
2018-09-13,0.5501192438984646,xom,2018-09-13
2018-09-14,0.6026452785545047,xom,2018-09-14
2018-09-17,0.6684698959218593,xom,2018-09-17
2018-09-18,0.7265839670167793,xom,2018-09-18
2018-09-19,0.8282003789800712,xom,2018-09-19
2018-09-20,0.9106050390073932,xom,2018-09-20
2018-09-21,0.9873188265612924,xom,2018-09-21
2018-09-24,1.1282129823320446,xom,2018-09-24
2018-09-25,1.2193063275840927,xom,2018-09-25
2018-09-26,1.2304365242210906,xom,2018-09-26
2018-09-27,1.224491999203451,xom,2018-09-27
2018-09-28,1.157605756982747,xom,2018-09-28
2018-10-01,1.1428594826564051,xom,2018-10-01
2018-10-02,1.1601187194776656,xom,2018-10-02
2018-10-03,1.1404668278214984,xom,2018-10-03
2018-10-04,1.075384897070208,xom,2018-10-04
2018-10-05,0.9966924883283781,xom,2018-10-05
2018-10-08,0.9745295368727511,xom,2018-10-08
2018-10-09,0.970517352789031,xom,2018-10-09
2018-10-10,0.8282271133744956,xom,2018-10-10
2018-10-11,0.5193596035446149,xom,2018-10-11
2018-10-12,0.2572907826291271,xom,2018-10-12
2018-10-15,0.012989041742173413,xom,2018-10-15
2018-10-16,-0.15410455764227038,xom,2018-10-16
2018-10-17,-0.2639521093482955,xom,2018-10-17
2018-10-18,-0.3244798188424056,xom,2018-10-18
2018-10-19,-0.3604795267406189,xom,2018-10-19
2018-10-22,-0.4373558889875966,xom,2018-10-22
2018-10-23,-0.5769221668498687,xom,2018-10-23
2018-10-24,-0.8225868534910745,xom,2018-10-24
2018-10-25,-0.9612708635491174,xom,2018-10-25
2018-10-26,-1.1091771397300079,xom,2018-10-26
2018-10-29,-1.2433135402456372,xom,2018-10-29
2018-10-30,-1.2228858863858818,xom,2018-10-30
2018-10-31,-1.1350151090728104,xom,2018-10-31
2018-11-01,-0.989515313382995,xom,2018-11-01
2018-11-02,-0.7818541107105688,xom,2018-11-02
2018-11-05,-0.6302011512173777,xom,2018-11-05
2018-11-06,-0.48167454528511655,xom,2018-11-06
2018-11-07,-0.2928782912569261,xom,2018-11-07
2018-11-08,-0.2265850695375633,xom,2018-11-08
2018-11-09,-0.17336254906317095,xom,2018-11-09
2018-11-12,-0.197308259161332,xom,2018-11-12
2018-11-13,-0.3328031706430181,xom,2018-11-13
2018-11-14,-0.4748295926832924,xom,2018-11-14
2018-11-15,-0.5286779158063695,xom,2018-11-15
2018-11-16,-0.5147783897407976,xom,2018-11-16
2018-11-19,-0.4811184194843605,xom,2018-11-19
2018-11-20,-0.5955533013390664,xom,2018-11-20
2018-11-21,-0.6400627765535347,xom,2018-11-21
2018-11-23,-0.8022293122087589,xom,2018-11-23
2018-11-26,-0.8232626017276843,xom,2018-11-26
2018-11-27,-0.8258079506265759,xom,2018-11-27
2018-11-28,-0.7273653181016897,xom,2018-11-28
2018-11-29,-0.6022882878047824,xom,2018-11-29
2018-11-30,-0.46882194126305166,xom,2018-11-30
2018-12-03,-0.2470796230083181,xom,2018-12-03
2018-12-04,-0.18691733756377005,xom,2018-12-04
2018-12-06,-0.20527083285060144,xom,2018-12-06
2018-12-07,-0.26607495549775706,xom,2018-12-07
2018-12-10,-0.38220152399127727,xom,2018-12-10
2018-12-11,-0.4597249813764108,xom,2018-12-11
2018-12-12,-0.5581357634142066,xom,2018-12-12
2018-12-13,-0.5664605217819698,xom,2018-12-13
2018-12-14,-0.6575524007695037,xom,2018-12-14
2018-12-17,-0.8215555543177828,xom,2018-12-17
2018-12-18,-1.0733220766461642,xom,2018-12-18
2018-12-19,-1.3376660781345464,xom,2018-12-19
2018-12-20,-1.669318343981658,xom,2018-12-20
2018-12-21,-1.943294727156598,xom,2018-12-21
2018-12-24,-2.305499814945371,xom,2018-12-24
2018-12-26,-2.359498845866142,xom,2018-12-26
2018-12-27,-2.3554105628988538,xom,2018-12-27
2018-12-28,-2.3754302931360627,xom,2018-12-28
2018-12-31,-2.362744535297381,xom,2018-12-31
2019-01-02,-2.2283522464369767,xom,2019-01-02
2019-01-03,-2.167233807479249,xom,2019-01-03
2019-01-04,-1.9301553377281877,xom,2019-01-04
2019-01-07,-1.6983576970661218,xom,2019-01-07
2019-01-08,-1.4635850957456356,xom,2019-01-08
2019-01-09,-1.2382620015362846,xom,2019-01-09
2019-01-10,-1.0716709815800343,xom,2019-01-10
2019-01-11,-0.9503948165876324,xom,2019-01-11
2019-01-14,-0.8503986745382761,xom,2019-01-14
2019-01-15,-0.7597626681900067,xom,2019-01-15
2019-01-16,-0.6820432830682606,xom,2019-01-16
2019-01-17,-0.5815213194660487,xom,2019-01-17
2019-01-18,-0.44022178709774096,xom,2019-01-18
2019-01-22,-0.3960204575740107,xom,2019-01-22
2019-01-23,-0.3952366762191417,xom,2019-01-23
2019-01-24,-0.383616367397174,xom,2019-01-24
2019-01-25,-0.34933532057591066,xom,2019-01-25
2019-01-28,-0.3497040573778918,xom,2019-01-28
2019-01-29,-0.32845320280154766,xom,2019-01-29
2019-01-30,-0.2573470528848034,xom,2019-01-30
2019-01-31,-0.13433628335440773,xom,2019-01-31
2019-02-01,0.13521760445813413,xom,2019-02-01
2019-02-04,0.27334722752459584,xom,2019-02-04
2019-02-05,0.4285172435792006,xom,2019-02-05
2019-02-06,0.5237491664476508,xom,2019-02-06
2019-02-07,0.5546818664776154,xom,2019-02-07
