,id,ticker,title,category,content,date,provider,url,article_id
105194,326709,A,Agilent Technologies Earnings  Revenue beat in Q1,news,"Investing com   Agilent Technologies  NYSE A  reported first quarter earnings  that beat analysts  expectations on Wednesday and revenue that topped forecasts 
The firm reported earnings per share of  0 76 on revenue of  1 28B  Analysts polled by Investing com forecast EPS of  0 73 on revenue of  1 27B  That compared to EPS of  0 66 on revenue of  1 21B in the same period a year earlier  The company had reported EPS of  0 81 on revenue of  1 28B in the previous quarter 
Agilent Technologies shares lost 2 74  to trade at  76 41 in after hours trade following the report 
Agilent Technologies follows other major Technology sector earnings this month
 On January 30  Microsoft reported second quarter EPS of  1 1 on revenue of  32 47B  compared to forecasts of EPS of  1 09 on revenue of  32 47B 
Apple earnings beat analyst s expectations on January 29  with first quarter EPS of  4 18 on revenue of  84 31B  Investing com analysts expected EPS of  4 17 on revenue of  83 97B
Stay up to date on all of the upcoming earnings reports by visiting Investing com s earnings calendar",2019-02-20,Investing.com,https://www.investing.com/news/stock-market-news/agilent-technologies-earnings-revenue-beat-in-q1-1785333,1785333
105195,326710,A,Agilent Technologies Earnings  Revenue Miss in Q2,news,"Investing com   Agilent Technologies  NYSE A  reported second quarter earnings  that missed analysts  expectations on Tuesday and revenue that fell short of forecasts 
The firm reported earnings per share of  0 71 on revenue of  1 24B  Analysts polled by Investing com forecast EPS of  0 72 on revenue of  1 27B  That compared to EPS of  0 65 on revenue of  1 21B in the same period a year earlier  The company had reported EPS of  0 76 on revenue of  1 26B in the previous quarter 
Agilent Technologies shares lost 8 84  to trade at  69 30 in after hours trade following the report 
Agilent Technologies follows other major Technology sector earnings this month
 On April 24  Microsoft reported third quarter EPS of  1 14 on revenue of  30 57B  compared to forecasts of EPS of  1 on revenue of  29 88B 
Apple earnings Beat analysts  expectations on April 30  with second quarter EPS of  2 46 on revenue of  58 02B  Investing com analysts expected EPS of  2 36 on revenue of  57 54B
Stay up to date on all of the upcoming earnings reports by visiting Investing com s earnings calendar",2019-05-14,Investing.com,https://www.investing.com/news/stock-market-news/agilent-technologies-earnings-revenue-miss-in-q2-1868010,1868010
105196,326711,A,Agilent Technologies Earnings  Revenue Beat in Q3,news,"Investing com   Agilent Technologies  NYSE A  reported third quarter earnings  that beat analysts  expectations on Wednesday and revenue that topped forecasts 
The firm reported earnings per share of  0 76 on revenue of  1 27B  Analysts polled by Investing com expected EPS of  0 72 on revenue of  1 24B  That compared to EPS of  0 67 on revenue of  1 2B in the same period a year earlier  The company had reported EPS of  0 71 on revenue of  1 24B in the previous quarter 
Agilent Technologies shares gained 4 50  to trade at  68 53 in after hours trade following the report 
Agilent Technologies follows other major Technology sector earnings this monthOn July 18  Microsoft reported fourth quarter EPS of  1 37 on revenue of  33 72B  compared to forecasts of EPS of  1 21 on revenue of  32 77B 
Apple earnings beat analysts  expectations on July 30  with third quarter EPS of  2 18 on revenue of  53 81B  Investing com analysts expected EPS of  2 09 on revenue of  53 32B
Stay up to date on all of the upcoming earnings reports by visiting Investing com s earnings calendar",2019-08-14,Investing.com,https://www.investing.com/news/stock-market-news/agilent-technologies-earnings-revenue-beat-in-q3-1955424,1955424
105197,326712,A,Agilent Technologies Earnings Beat  Revenue Misses In Q4,news,"Investing com   Agilent Technologies  NYSE A  reported fourth quarter earnings  that beat analysts  expectations on Monday and revenue that fell short of forecasts 
The firm reported earnings per share of  0 89 on revenue of  1 32B  Analysts polled by Investing com anticipated EPS of  0 86 on revenue of  1 33B  That compared to EPS of  0 81 on revenue of  1 28B in the same period a year earlier  The company had reported EPS of  0 76 on revenue of  1 27B in the previous quarter 
Agilent Technologies follows other major Technology sector earnings this monthOn October 30  Apple reported fourth quarter EPS of  3 03 on revenue of  64 04B  compared to forecasts of EPS of  2 83 on revenue of  63 01B 
Alphabet C earnings missed analysts  expectations on October 28  with third quarter EPS of  10 12 on revenue of  40 5B  Investing com analysts expected EPS of  12 32 on revenue of  40 31B
Stay up to date on all of the upcoming earnings reports by visiting Investing com s earnings calendar",2019-11-25,Investing.com,https://www.investing.com/news/stock-market-news/agilent-technologies-earnings-beat-revenue-misses-in-q4-2027883,2027883
105198,326713,A,Ackman s Pershing Square makes new bet on Agilent Technologies,news,By Svea Herbst Bayliss BOSTON  Reuters    Billionaire investor William Ackman s hedge fund Pershing Square  NYSE SQ  Capital Management said Monday it bought shares in testing equipment company Agilent Technologies Inc  NYSE A   only its second new investment this year as the fund has reported a 51  return   Agilent Technologies  stock price jumped nearly 5  in after hours trading after Ackman s investment was made public in a regulatory filing  Ackman s  7 billion fund earlier in the year bought Berkshire Hathaway  NYSE BRKa  Inc shares  The filing did not say whether the Agilent investment will be active or passive  and Ackman s spokesman declined to comment  The filing showed that Pershing Square owned 2 9 million shares at the end of September and did not say how big the position is currently  At Monday s stock price  that stake would be worth  246 million  Ackman  who cemented his reputation as one of the world s most widely followed activist investors with bets on Canadian Pacific and Chipotle Mexican Grill  NYSE CMG   among others  told investors last month that he had a new position but declined to name it  That hint sparked heavy speculation about the possible target with guesses ranging from Adobe  NASDAQ ADBE  Inc to Yum Brands  but the name was successfully kept under wraps  The new position was announced at the end of a banner year for Ackman when his publicly traded fund has gained 51   Agilent  which serves the life sciences  diagnostics and applied chemical markets  was created two decades ago when it was spun off from Hewlett Packard  In the last year  its stock price has climbed 15 63  while the Standard   Poors 500 index has gained 19   The company s biggest investors include index funds Vanguard Group  BlackRock  NYSE BLK  and  State Street   NYSE STT  as well as T Rowe Price Associates and Wellington Management  Ackman s firm has not yet made a so called 13D filing which is required if an owner s stake exceeds 5   For roughly two years  Ackman has kept a lower profile and worked to recapture his reputation as a skillful investor after certain bets  including a 2015 investment in Valeant Pharmaceuticals  NYSE BHC   soured  leaving the firm with heavy losses that sparked investor exits  He stopped jetting around the world to visit investors  Instead he concentrated on finding new ideas and promised to update investors at periodic dinners and on conference calls  The Berkshire bet sparked questions about how active Ackman still is and what he is doing to prod management to perform better  He acknowledged that he has not spoken Berkshire s founder Warren Buffett following his recent investment ,2019-12-09,Reuters,https://www.investing.com/news/stock-market-news/ackmans-pershing-square-makes-new-bet-on-agilent-technologies-2037309,2037309
105220,326735,A,Premarket Losers as of 9 05 am  5 15 2018 ,news,VIPS  18  on Q1 earnings KOOL  15  on Q1 earnings BOXL  14  on acquiring Cohuborate Ltd SBGL  10  on announcing Lonmin s takeover SWCH  8  on Q1 earnings A  7  on Q2 earnings HEAR  5   Now read ,2018-05-15,Seeking Alpha,https://www.investing.com/news/stock-market-news/premarket-losers-as-of-905-am-5152018-1447875,1447875
105221,326736,A,Flustered Champion Ostapenko falls at first French Open hurdle,news,"By Ossian Shine PARIS  Reuters    A flustered Jelena Ostapenko became only the sixth female Grand Slam champion to fall at the first hurdle of her title defense on Sunday when she lost to Kateryna Kozlova at the French Open  Never at ease on the Roland Garros main show court  the world number five slumped to a 7 5 6 3 defeat to a Ukrainian opponent who had won both the pair s previous meetings  Not since Anastasia Myskina went down in the opening round of the 2005 tournament has the French Open lost its women s champion so early  and the 20 year old slipped off court  her head bowed  ruing what she called a  terrible day   By losing  Ostapenko joins a ignominious group including  as well as Myskina  Steffi Graf  Jennifer Capriati  Svetlana Kuznetsova and Angelique Kerber who all lost as Grand Slam champions on the first run of their defenses  Kozlova  competing with a large  weeping blister on her heel which caused her to take a medical break at the end of the first set  was well worth the victory  playing with power and composure  in contrast to the flustered champion   Obviously  it feels great    I didn t expect anything from the match  I just went to enjoy every moment on the court because  before  I was not sure if I will be able to play in  the  French Open   Kozlova said  citing a knee injury which had sidelined her   So I was just happy to be on court  back on court  and compete  So it was very important for me  And  in the end  the result comes up and it s just amazing   Amazing for Kozlova  dismal for Ostapenko  whose eyes searched the coach s box at every opportunity  Last year  she had lit up Paris by lifting the title with an exciting  powerful style and smiling  jaunty demeanor  Where in 2017 she made a habit of coming back from the dead to win seemingly lost matches  this year she showed little grit  She seemed unable to find any answers to the questions Kozlova was posing  and checked out early with barely a whimper   It was terrible day   she told reporters afterwards  her pink cap pulled low over her eyes   Honestly today began not in a nice way and I knew something like that could happen  so I tried to stay positive  But     I just woke up here and my mood was not amazing   A  few things go wrong and you are pissed off  but you try to stay positive  Then you lose a match  and it is no longer possible to be positive   Ostapenko said she might have had a better chance had she been scheduled on Monday or Tuesday but that it had simply not been her day on Sunday   When I went on court today I had this unbelievable pressure  and felt I was not myself on court    I will just try to forget this as soon as I can   
It might appear lower ranked players are becoming something of an Achilles  heel to the Latvian   already this year she had lost to two players outside the world s top 50  Kozlova  ranked 66  makes it an unhappy hat trick for the 20 year old ",2018-05-27,Reuters,https://www.investing.com/news/general-news/champion-ostapenko-dumped-in-round-one-of-french-open-1464523,1464523
105222,326737,A,Agilent Technologies Earnings  Revenue beat in Q4,news,"Investing com   Agilent Technologies  NYSE A  reported fourth quarter earnings  that beat analysts  expectations on Monday and revenue that topped forecasts 
The firm reported earnings per share of  0 81 on revenue of  1 29B  Analysts polled by Investing com forecast EPS of  0 74 on revenue of  1 26B  That compared to EPS of  0 67 on revenue of  1 19B in the same period a year earlier  The company had reported EPS of  0 67 on revenue of  1 2B in the previous quarter 
For the year  Agilent Technologies shares are up 26 28   outperforming the S P 500 which is up 0 26  year to date 
Agilent Technologies follows other major Technology sector earnings this month
 On November 1  Apple reported fourth quarter EPS of  2 91 on revenue of  62 9B  compared to forecasts of EPS of  2 78 on revenue of  61 46B 
Microsoft earnings beat analyst s expectations on October 24  with first quarter EPS of  1 14 on revenue of  29 08B  Investing com analysts expected EPS of  0 96 on revenue of  27 88B
Stay up to date on all of the upcoming earnings reports by visiting Investing com s earnings calendar",2018-11-19,Investing.com,https://www.investing.com/news/stock-market-news/agilent-technologies-earnings-revenue-beat-in-q4-1694225,1694225
105223,326738,A,Urban Outfitters  Agilent  Jack in the Box Shrug off Market Rout ,news,"Investing com   Urban Outfitters  Agilent Technologies and Jack in the Box rallied heading into close Tuesday  shrugging off steep selling across Wall Street 
Diagnostics firm Agilent  NYSE A  reported fiscal fourth quarter earnings and revenue that topped Wall Street expectations  sending its shares soaring 7 5  
The Diagnostics firm guided its full year 2019 earnings at least  0 03 per share above than the Wall Street estimates for  2 97 a share and approved a  1 75 billion share buyback  giving investors further reason to remain in the stock 
In the retailer sector  meanwhile  Urban Outfitters  NASDAQ URBN  rose 3  after it beat analysts  expectations on revenue and earnings 
The company reported earnings of 70 cents a share on revenue of  974 million  That was above analysts  expectations for earnings of 63 cents a share on revenue of  968 million 
Starving off weakness in the consumer discretionary stocks  fast food chain Jack In The Box  NASDAQ JACK  popped 5  despite reporting mixed fiscal fourth quarter results as earnings missed  but revenue beat analysts  expectations 
The results come as the fast food chain has recently restructured operations  moving to an almost 100  franchisee owned model ",2018-11-20,Investing.com,https://www.investing.com/news/stock-market-news/urban-outfitters-agilent-jack-in-the-box-shrug-off-market-rout-1695668,1695668
105247,326762,A,Premarket Gainers as of 9 05 am,news,URBN  21  on Q2 result RADA  15  on receiving  8M order for U S  military IDXG  14  on buy rating from Maxim group PSTI  11  on pilot study of Pluristem s PLX R18 cell therapy for radiation exposure A  5  on Q3 result Now read ,2017-08-16,Seeking Alpha,https://www.investing.com/news/stock-market-news/premarket-gainers-as-of-905-am-519198,519198
