,id,ticker,title,category,content,date,provider,url,article_id
14688,236203,AEP,Top Stock Reports For JPMorgan  Sanofi   General Electric,opinion,"Tuesday  January 7  2020
The Zacks Research Daily presents the best research output of our analyst team  Today s Research Daily features new research reports on 16 major stocks  including JPMorgan  JPM   Sanofi  PA SASY   SNY  andGeneral Electric  GE   These research reports have been hand picked from the roughly 70 reports published by our analyst team today 
You can see 
JPMorgan s shares have outperformed the Zacks Major Regional Banks industry over the past year   37 5  vs   29 2    The Zacks analyst believes that decent loan demand  acquisition of InstaMed  opening of new branches and focus on strengthening credit card business will aid financials 
The company has an impressive earnings surprise history  The bank has surpassed the Zacks Consensus Estimate in three of the trailing four quarters  Also  enhanced capital deployment plan reflects strong balance sheet position and will enhance shareholder value  However  the Fed s accommodative policy will likely hamper top line growth to some extent 
The company s significant dependence on capital markets revenues makes us apprehensive  given the several geopolitical concerns  Further  the company is likely to face challenges in expanding mortgage operations  Hence  these matters are expected to hamper fee revenue growth 
 You can  
Shares of Sanofi have gained  13 9  in the past three months against the Zacks Large Cap Pharmaceuticals industry s rise of  13 1   The Zacks analyst believes that Sanofi s focus on streamlining operations and pursuing business development deals is encouraging 
The company s Specialty Care segment is on a strong footing  particularly with regular label expansion of Dupixent  Dupixent is now annualizing at around  2 billion in sales after just around two years in the market and could prove to be key long term driver  The performance of the Vaccines and Consumer Healthcare franchises also improved of late 
Sanofi s R D pipeline is strong and has delivered important results with several positive data read outs and the achievement of regulatory milestones in 2019  However  headwinds include weak performance of the Diabetes unit  generic competition for many drugs and slower than expected uptake of core products like Praluent 
 You can  
General Electric s shares have gained  19 0  over the past six months against the Zacks Diversified Operations industry s rise of  9 0   The Zacks analyst believes that the company is poised to gain from its portfolio restructuring program  debt reduction efforts and international commercial presence 
It expects adjusted earnings per share of 55 65 cents for 2019  Healthy business in Aviation  Healthcare and Renewable Energy segments as well as steps to improve the Power segment and asset dispositions in GE Capital are likely to benefit it  However  internal and external challenges weigh on the Power business 
The company expects Power s organic revenues to decline in a high single digit in 2019  Also  weak margin in Renewable Energy  forex woes and tariffs might adversely impact its performance  In the past 60 days  the company s earnings estimates have been lowered for 2020 
 You can  
Other noteworthy reports we are featuring today include S P Global  NYSE SPGI   SPGI   American Electric Power  AEP  and Shopify  SHOP  
Just Released  Zacks  7 Best Stocks for Today
Experts extracted 7 stocks from the list of 220 Zacks Rank  1 Strong Buys that has beaten the market more than 2X over with a stunning average gain of  24 6  per year 
These 7 were selected because of their superior potential for immediate breakout 

Mark VickerySenior Editor
Note  Sheraz Mian heads the Zacks Equity Research department and is a well regarded expert of aggregate earnings  He is frequently quoted in the print and electronic media and publishes the weekly and reports  If you want an email notification each time Sheraz publishes a new article  please 
Today s Must Read
Loans  Branch Expansion Aid JPMorgan  JPM   Fee Income a Woe


Sanofi  SNY  Diabetes Sales Weak  Specialty Care Unit Strong


Aviation Segment Aids General Electric  GE   High Costs Ail


Featured Reports
S P Global  SPGI  Benefits From Buyouts Amid Weak Issuance
The Zacks analyst likes S P Global s acquisition strategy to innovate  increase differentiated content and develop new products 

Growing Merchant Base Benefits Shopify s  SHOP  Prospects
Per the Zacks analyst  Shopify is gaining from growing adoption of applications such as Shopify Shipping 

Permian Focus  Strategic Initiatives to Aid Occidental  NYSE OXY 
Per Zacks analyst Occidental s expansion of Permian operation through acquisition of Anadarko and initiatives to lower debts by selling non core assets will boost its operation over the long run 

Dollar General s  NYSE DG  Sturdy Comps Run to Propel Top Line
Dollar General boasts impressive comparable sales run  Per the Zacks analyst  the company s better price management  merchandise  cost containment and operational initiatives should drive sales 

Pioneer Natural  PXD  to Grow on Strong Permian Presence
Per the Zacks analyst  strong focus on the prolific Permian Basin is likely to boost Pioneer Natural s oil volumes 

Loan Growth Aid First Republic  FRC   Increasing Costs a Woe
Per Zacks Analyst  First Republic benefits from rise in loan balances driven by increased loan origination volumes 

Concho Buoyed by RSP Permian Acquisition Amid Gas Price Woes
While RSP Permian buyout bolstered Concho s  CXO  scale and presence in the region  the Zacks analyst is worried about weak natural gas prices that are likely to dent its earnings in the near future 

New Upgrades
Investment Aids American Electric  AEP   Rate Dependency Hurts
Per the Zacks Analyst  it plans to invest  33 billion over 2019 2023 period in regulated operations to boost earnings 

Boyd Gaming  BYD  Rides on Buyouts   Strategic Initiatives
Per the Zacks analyst  strengthening of current operations  increasing capital investment and buyouts of Valley Forge Casino Resort and the Pinnacle Assets are driving top and bottom line growth 

Luminex  LMNX  Continues to Gain Ground on ARIES Platform
Per the Zacks analyst  Luminex s flagship ARIES system has been making significant progress and continues to boost the company s top line 

New Downgrades
Aptiv  APTV  Grapples With Weak Global Vehicle Production
The Zacks analyst believes that weak global demand environment continues to weigh on Aptiv s performance  Automotive vehicle production has been declining over the past few years 

Qorvo s  QRVO  High Reliance on Apple  NASDAQ AAPL  and Huawei is a Threat
Per the Zacks analyst  a significant portion of Qorvo s revenue comes from a handful of customers including Apple and Huawei  Furthermore  the US government s banning of Huawei remains a headwind 

Intense Price Wars Hurt U S  Cellular s  USM  Profitability
Per the Zacks analyst  cut throat competition and aggressive pricing by major telecom behemoths  backed by high churn rate  weigh on U S  Cellular s performance 
undefined undefined",2020-01-07,Zacks Investment Research,https://www.investing.com/analysis/top-stock-reports-for-jpmorgan-sanofi--general-electric-200497070,200497070
14689,236204,AEP,The Zacks Analyst Blog Highlights  JPMorgan  Sanofi  General Electric  American Electric Power And Shopify,opinion,For Immediate ReleaseChicago  IL   January 8  2020   Zacks com announces the list of stocks featured in the Analyst Blog  Every day the Zacks Equity Research analysts discuss the latest news and events impacting stocks and the financial markets  Stocks recently featured in the blog include  JPMorgan   NYSE JPM    Sanofi   NASDAQ SNY    General Electric   NYSE GE    American Electric Power   NYSE AEP   and Shopify   NYSE SHOP   Here are highlights from Tuesday s Analyst Blog  Top Stock Reports for JPMorgan  Sanofi and General ElectricThe Zacks Research Daily presents the best research output of our analyst team  Today s Research Daily features new research reports on 16 major stocks  including JPMorgan  Sanofi andGeneral Electric  These research reports have been hand picked from the roughly 70 reports published by our analyst team today You can see all of today s research reports here    JPMorgan s shares have outperformed the Zacks Major Regional Banks industry over the past year   37 5  vs   29 2    The Zacks analyst believes that decent loan demand  acquisition of InstaMed  opening of new branches and focus on strengthening credit card business will aid financials The company has an impressive earnings surprise history  The bank has surpassed the Zacks Consensus Estimate in three of the trailing four quarters  Also  enhanced capital deployment plan reflects strong balance sheet position and will enhance shareholder value  However  the Fed s accommodative policy will likely hamper top line growth to some extent The company s significant dependence on capital markets revenues makes us apprehensive  given the several geopolitical concerns  Further  the company is likely to face challenges in expanding mortgage operations  Hence  these matters are expected to hamper fee revenue growth Shares of Sanofi have gained  13 9  in the past three months against the Zacks Large Cap Pharmaceuticals industry s rise of  13 1   The Zacks analyst believes that Sanofi s focus on streamlining operations and pursuing business development deals is encouraging The company s Specialty Care segment is on a strong footing  particularly with regular label expansion of Dupixent  Dupixent is now annualizing at around  2 billion in sales after just around two years in the market and could prove to be key long term driver  The performance of the Vaccines and Consumer Healthcare franchises also improved of late Sanofi s R D pipeline is strong and has delivered important results with several positive data read outs and the achievement of regulatory milestones in 2019  However  headwinds include weak performance of the Diabetes unit  generic competition for many drugs and slower than expected uptake of core products like Praluent General Electric s shares have gained  19 0  over the past six months against the Zacks Diversified Operations industry s rise of  9 0   The Zacks analyst believes that the company is poised to gain from its portfolio restructuring program  debt reduction efforts and international commercial presence It expects adjusted earnings per share of 55 65 cents for 2019  Healthy business in Aviation  Healthcare and Renewable Energy segments as well as steps to improve the Power segment and asset dispositions in GE Capital are likely to benefit it  However  internal and external challenges weigh on the Power business The company expects Power s organic revenues to decline in a high single digit in 2019  Also  weak margin in Renewable Energy  forex woes and tariffs might adversely impact its performance  In the past 60 days  the company s earnings estimates have been lowered for 2020 Other noteworthy reports we are featuring today include American Electric Power and Shopify Just Released  Zacks  7 Best Stocks for TodayExperts extracted 7 stocks from the list of 220 Zacks Rank  1 Strong Buys that has beaten the market more than 2X over with a stunning average gain of  24 6  per year These 7 were selected because of their superior potential for immediate breakout See these time sensitive tickers now   Media ContactZacks Investment Research800 767 3771 ext  9339  Past performance is no guarantee of future results  Inherent in any investment is the potential for loss  This material is being provided for informational purposes only and nothing herein constitutes investment  legal  accounting or tax advice  or a recommendation to buy  sell or hold a security  No recommendation or advice is being given as to whether any investment is suitable for a particular investor  It should not be assumed that any investments in securities  companies  sectors or markets identified and described were or will be profitable  All information is current as of the date of herein and is subject to change without notice  Any views or opinions expressed may not reflect those of the firm as a whole  Zacks Investment Research does not engage in investment banking  market making or asset management activities of any securities  These returns are from hypothetical portfolios consisting of stocks with Zacks Rank   1 that were rebalanced monthly with zero transaction costs  These are not the returns of actual portfolios of stocks  The S P 500 is an unmanaged index  Visit  for information about the performance numbers displayed in this press release ,2020-01-07,Zacks Investment Research,https://www.investing.com/analysis/the-zacks-analyst-blog-highlights-jpmorgan-sanofi-general-electric-american-electric-power-and-shopify-200497277,200497277
14699,236214,AEP,U S  Northeast grids say power sufficient to handle this week s heat,news,Northeastern utilities should be able to keep up with power demand even as homes and businesses crank up air conditioners to escape scorching temperatures expected this week  the region s power grid operators say  PJM Interconnection   the biggest U S  grid operator  serving 65M people in 13 states from New Jersey to Illinois   says it expects to have more than 165K MW of power resources available while forecasting electric demand of  148 5K MW today  exceeding yesterday s peak of 145 9K MW before declining tomorrow as many businesses close for the Fourth of July holiday  The New York Independent System Operator  which operates that state s power grid  forecasts demand today of  30 5K MW  just shy of Monday s interim peak of nearly 31 5K MW  ISO New England  which operates the grid for the six New England states  says it has at least 28 2K MW of resources available while anticipating peak demand reaching 23 8K MW today Relevant tickers include AEP  D  ED  EXC  FE  PEG  UGIETFs  XLU  UTG  VPU  GUT  IDU  BUI  FUTY  RYU  UPW  FXU  SDP  FUGAX  JHMU  UTLFNow read ,2018-07-03,Seeking Alpha,https://www.investing.com/news/stock-market-news/us-northeast-grids-say-power-sufficient-to-handle-this-weeks-heat-1517447,1517447
14700,236215,AEP,MarketPulse  Utilities in Demand as Sentiment Turns Defensive ,news,"Investing com   Utilities were in favor Friday as skittish investors turned defensive even as the broader market rebounded from a selloff the day earlier 
Investors seemingly shrugged of the risk that raising government bond yield pose to bond proxies and piled into the utilities  a defensive corner of the market as it provides a constant dividends and stable earnings irrespective of the state of the overall stock market 
 American Electric  Power  NYSE AEP  rose 2  ahead of its earnings next week  which is expected to reveal a year over year increase in profit on higher revenues 
 Pinnacle West  Capital  NYSE PNW  rose 2  a day after the company said it would raise its quarterly dividend by 6 1   or 17 cents a share annually 
Dominion Resources  NYSE D  rose 2   adding to gains for month  which had followed an upbeat reports from JPMorgan  NYSE JPM  in early October on expectations for a  modest upside  from company s tie up with Scana Corporation  NYSE SCG  
 We see modest upside earnings potential from the Scana Corporation deal  any Blue Racer sale or successful conclusion of the CT clean energy procurement next year   JPMorgan said 
The S P 500 utilities rose 1 60  ",2018-10-19,Investing.com,https://www.investing.com/news/stock-market-news/marketpulse-utilities-in-demand-as-sentiment-turns-defensive-1651841,1651841
14701,236216,AEP,Another U S  Utility Giant Blames Trade Wars for Pinching Sales,news," Bloomberg     Add   Southern Co     NYSE SO  to the list of electric utilities seeing sales hurt by President Donald Trump s trade wars 
Southern s electricity sales to industrial customers dropped 2  during the first half of the year due in part to trade disputes and a strong U S  dollar  the company reported Wednesday  It was a rare down note in an otherwise positive quarter for the utility owner  which beat analysts  revenue expectations by 2 6  
FirstEnergy Corp   NYSE FE  and   American Electric   Power Co   NYSE AEP  have already reported seeing sales drop to industrial customers  AEP Chief Executive Officer Nick Akins  chief executive officer of AEP  called trade disputes the  biggest economic headwind  facing his company 
 Trade skirmishes are a vacuum to good capital deployment   Southern Chief Financial Officer Andrew Evans told analysts on a conference call Wednesday ",2019-07-31,Bloomberg,https://www.investing.com/news/stock-market-news/another-us-utility-giant-blames-trade-wars-for-pinching-sales-1940834,1940834
14702,236217,AEP,Europe slow to standardise electric car charging  ChargePoint,news,"By Victoria Waldersee
LISBON  Reuters    Inconsistent requirements for charging stations across Europe are keeping the infrastructure for electric cars from growing as fast as it could  the CEO of ChargePoint  one of the world s largest charging network operators  said on Tuesday 
Speaking in Lisbon at the Web Summit  Europe s largest technology conference  Pasquale Romano said the European Union was the  only governing body  able to tackle the issue 
 Germany has very specific metering requirements  Some Southern  NYSE SO  European countries require shuttered sockets  That s crazy  It s creating noise in a way that s not adding value to the drivers   he said 
 Companies like us can work around this  but it makes doing business here messier than it needs to be   he said 
ChargePoint  which operates 103 600 charging points globally  aims to increase that to 2 5 million by 2025  with the increase split evenly between Europe and the United States 
The company entered the European market in 2016  with its headquarters located in Amsterdam  joining a crowded field of oil majors  carmakers and utilities fighting to dominate the industry of electric vehicle infrastructure 
Since then  ChargePoint has hired 70 staff across the continent  with one facility in Munich and another in Reading  England  due to come into operation by the end of this year 
Most of the growth has been in Europe rather than the United States  Romano said   with the U S  climate the way it is  
The U S  government filed paperwork on Monday to withdraw the country from the Paris Agreement  the first formal step in a one year process to exit the global pact to fight climate change by cutting emissions of greenhouse gases 
ChargePoint has raised  530 million from investors in 10 funding rounds since it was founded in 2007  including  Daimler   DE DAIGn   BMW  DE BMWG  and  Siemens   DE SIEGn  in Germany  as well as U S  energy firms  Chevron   N CVX  and America Electric Power  N AEP  
 Investing in electric vehicles is the last growth opportunity the utilities industry will have for decades   Romano said ",2019-11-05,Reuters,https://www.investing.com/news/technology-news/europe-slow-to-standardise-electric-car-charging-chargepoint-2012648,2012648
14703,236218,AEP,American Electric Power  AEP  Outpaces Stock Market Gains  What You Should Know,opinion,"American Electric Power  AEP  closed the most recent trading day at  98 56  moving  1 28  from the previous trading session  The stock outpaced the S P 500 s daily gain of 0 39   At the same time  the Dow added 0 17   and the tech heavy Nasdaq gained 0 34  
Prior to today s trading  shares of the utility had gained 3 55  over the past month  This has outpaced the Utilities sector s gain of 3 12  and lagged the S P 500 s gain of 4 73  in that time 
Wall Street will be looking for positivity from AEP as it approaches its next earnings report date  This is expected to be February 20  2020  On that day  AEP is projected to report earnings of  0 62 per share  which would represent a year over year decline of 13 89   Meanwhile  the Zacks Consensus Estimate for revenue is projecting net sales of  4 06 billion  up 6 87  from the year ago period 
Investors might also notice recent changes to analyst estimates for AEP  These recent revisions tend to reflect the evolving nature of short term business trends  With this in mind  we can consider positive estimate revisions a sign of optimism about the company s business outlook 
Research indicates that these estimate revisions are directly correlated with near term share price momentum  Investors can capitalize on this by using the Zacks Rank  This model considers these estimate changes and provides a simple  actionable rating system 
Ranging from  1  Strong Buy  to  5  Strong Sell   the Zacks Rank system has a proven  outside audited track record of outperformance  with  1 stocks returning an average of  25  annually since 1988  The Zacks Consensus EPS estimate has moved 0 04  higher within the past month  AEP is holding a Zacks Rank of  3  Hold  right now 
Investors should also note AEP s current valuation metrics  including its Forward P E ratio of 22 09  This represents a premium compared to its industry s average Forward P E of 19 82 
It is also worth noting that AEP currently has a PEG ratio of 3 91  This metric is used similarly to the famous P E ratio  but the PEG ratio also takes into account the stock s expected earnings growth rate  Utility   Electric Power stocks are  on average  holding a PEG ratio of 3 91 based on yesterday s closing prices 
The Utility   Electric Power industry is part of the Utilities sector  This group has a Zacks Industry Rank of 176  putting it in the bottom 31  of all 250  industries 
The Zacks Industry Rank includes is listed in order from best to worst in terms of the average Zacks Rank of the individual companies within each of these sectors  Our research shows that the top 50  rated industries outperform the bottom half by a factor of 2 to 1 
Make sure to utilize Zacks  Com to follow all of these stock moving metrics  and more  in the coming trading sessions ",2020-01-17,Zacks Investment Research,https://www.investing.com/analysis/american-electric-power-aep-outpaces-stock-market-gains-what-you-should-know-200499784,200499784
14704,236219,AEP,Dominion  D  Starts Electric Bus Initiative To Cut Emissions,opinion,Dominion Energy   NYSE D   moves ahead with the plan of deployment of electric school buses on the roads of Virginia  This initiative of Dominion is aimed at gradually replacing the fossil fuel based school bus fleet with electric buses  Initially  50 buses will be operational in 16 localities in 2020 Benefits From the Electric School BusThe electric school buses deployed in the roads of Virginia will help in lowering emissions  and serve as a grid resource by creating additional energy storage technology to support the company s integration of distributed renewables such as solar and wind The  vehicle to grid  technology will enable the bus batteries to store and inject energy onto the grid during periods of high demand  when the buses are not needed for transportation  In addition  operation and maintenance cost will be nearly 60  lower than the conventional fossil fuel driven school buses Future Plans Dominion has a long term vision relating to usage of electric school buses  Post successful implementation of this first phase  the company will bring at least 1 000 additional electric school buses online  with the state s approval  by 2025  Completion of the first two phases will provide enough clean energy to distribute power to more than 10 000 homes  In phase three of the plan  Dominion aims to replace 50  of all diesel bus in its service territories with electric buses by 2025 and 100  within 2030 Dominion aims at cutting down carbon emissions in its power generation by 55  in 2030 and further by 80  in 2050 from 2005 levels  The company is making systematic investments to increase its clean power generation facilities Utilities are Focusing on Clean EnergyA gradual transition could be noticed in the Utility space as companies operating in this space are focusing to lower the usage of coal in power generation  Utilities like NextEra Energy   NYSE NEE    Xcel Energy   NASDAQ XEL   and American Electric Power   NYSE AEP    among others  have plans to lower emissions over the long run Zacks Rank   Price PerformanceDominion currently carries a Zacks Rank  3  Hold   You can see  In the past six months  shares of Dominion have gained 7 9  compared with the  s 7 1  growth 7 Best Stocks for the Next 30 DaysJust released  Experts distill 7 elite stocks from the current list of 220 Zacks Rank  1 Strong Buys  They deem these tickers  Most Likely for Early Price Pops  Since 1988  the full list has beaten the market more than 2X over with an average gain of  24 6  per year  So be sure to give these hand picked 7 your immediate attention ,2020-01-17,Zacks Investment Research,https://www.investing.com/analysis/dominion-d-starts-electric-bus-initiative-to-cut-emissions-200499550,200499550
14705,236220,AEP,Pinnacle West Capital  PNW  To Cut 100  Emission By 2050,opinion,Pinnacle West Capital Corporation   NYSE PNW   announced that its subsidiary Arizona Public Service Company   APS   has set a target to deliver 100  clean electricity to customers by 2050  The company s nearer term target will be to supply 65  of its total electricity from clean sources by 2030  with 45  being generated from renewable sources  Pinnacle West Capital operates through its wholly owned subsidiary APS Initiatives to Attain GoalPinnacle West Capital s unit APS aims to achieve this renewable target through focusing on clean sources like natural gas  energy storage solutions that support development and usage of more renewable sources  as well as modernization of the electric grid that supports more renewables and lowers the possibility of outages  In addition  planned electrification of Arizona s different economic sectors  particularly the transportation sector and specific building applications  will increase the demand and usage of clean energy Production of 100  clean electricity will require a transition from the polluting sources of energy to cleaner and renewable sources  By the end of 2018  the company produced 23 2  of its electricity from coal  It has plans to shut all coal fired generation by 2031  seven years sooner than the previous projection Rising Use of Clean SourcesThe U S  Energy Information Administration   EIA   release indicated that clean renewable energy will account for the majority of global power generation by 2050  Per EIA  nearly 28  of the world s power came from renewables in 2018  courtesy of improved technology and increasing awareness about emissions  Renewable sources are expected to account for 49  of global power generation by 2050 The same trend can be noticed in the United States as well  with utilities setting targets to cut emissions from their production portfolio  Utilities like Dominion Energy   NYSE D    Xcel Energy   NASDAQ XEL    and American Electric Power   NYSE AEP   have laid out plans to reduce carbon emissions from their electric generation by 80   100  and 80   respectively  by 2050   The above development is hurting the companies belonging to the U S  coal industry  as demand for coal continues to decline in the United States  The latest report from EIA forecasts 2020 coal consumption in the United States to fall 11  to 531 million short tons  MMst  from the 2019 level of 596 MMst  Coal consumption is estimated to further drop to 513 MMst in 2021 Price PerformanceIn the past 12 months  Pinnacle West s shares have underperformed its  Zacks RankPinnacle West currently carries a Zacks Rank  4  Sell   You can see  The Hottest Tech Mega Trend of AllLast year  it generated  24 billion in global revenues  By 2020  it s predicted to blast through the roof to  77 6 billion  Famed investor Mark Cuban says it will produce  the world s first trillionaires   but that should still leave plenty of money for regular investors who make the right trades early ,2020-01-22,Zacks Investment Research,https://www.investing.com/analysis/pinnacle-west-capital-pnw-to-cut-100-emission-by-2050-200500897,200500897
14706,236221,AEP,The Keys To Successfully Timing The Markets   January 24  2020,opinion,"Being that unique investor who has the power to consistently time the market and always make a profit is the dream for most people who trade their own accounts 
Indeed  even among those investors who don t try to consistently time the markets  many think they can still call a top and act opportunistically  It s at these times when an investor who speculates often sits on the sidelines and looks for better opportunities to put money into the market 
Individual investors who focus their efforts on timing the market typically miss chances  For example  many investors have overlooked chances to benefit from buying the Utilities stocks at the first opportunity  by attempting to buy them during a pullback only to see these stocks accomplish new unsurpassed highs  ADOMANI  Inc   ADOM   American Electric Power Company  Inc   NYSE AEP   The AES Corporation  NYSE AES   Atlantica Yield PLC  AY   Avangrid  Inc   AGR 
Fear and greed often lead investors into behavioral traps since most investors are followers who react  rather than anticipate market moves 
Successful market timing requires three key ingredients  1  A reliable signal to tell you when to get in and out of stocks  or bonds  gold or other types of investments   2  The ability to interpret the signal correctly  3  The discipline to act on it 
Many investors think of market timing success as a win or lose proposition  But there is a less notable  rather straightforward  successful market timing approach that has been utilized effectively time after time by astute investors like Warren Buffet 
Rule 1  Attempting to time tops and bottoms is lose lose situation 
Surrendering the objective to time the tops and bottoms gives you the adaptability to benefit and increase your odds to secure profits over the long term  even if your calls aren t always right 
Rule 2  Make an effort not to sell in the midst of little crashes  Muster the courage to trust your gut and buy best in class stocks at a discount 
Warren Buffett has made his fortune based off this simple rule  He cautions not to sell during little crashes  and encourages enduring them by concentrating on the long haul 
There is a big difference between a stock market crash and small correction  If you own shares of a company that is well   established and has strong fundamentals  they are probably going to rebound to their pre   crash prices eventually  thereby rendering holding on a wise decision  Warren Buffett takes this thought one step further by often buying outsized positions in value stocks he likes across the board when markets turn  essentially leveraging his bottoms up analysis and stock picking acumen 
When It Comes to Trading Your Retirement  A Risk Adjusted Trading Strategy Should be Followed
It s just human that many surrender to emotions and attempt and game the framework by timing the market  But  think about this  Nobel Laureate William Sharpe found in 1975 that a market timer would need to be precise 74  of the time to beat a passive portfolio  Indeed  even a slight outperformance most likely wouldn t justify the efforts   and given that even the specialists for the most part come up short at it  market timing shouldn t be your exclusive methodology for investing  particularly when it comes to building your retirement nest egg 
Actively trading for alpha  outsized  short   term gains through market timing and other high   risk trading strategies is fine with a small portion of your investable assets  but for your longer   term retirement assets  a  risk  adjusted focused  investment solution generally makes more sense 
If you d like to learn how to  super charge  your retirement assets  get our free report 
Will You Retire as a Multi Millionaire  7 Things You Can Do Now This report can help you maximize your retirement nest egg without the high risk of attempting to successfully time the markets  Click here for free report  ",2020-01-23,Zacks Investment Research,https://www.investing.com/analysis/the-keys-to-successfully-timing-the-markets--january-24-2020-200501377,200501377
