,id,ticker,title,category,content,date,provider,url,article_id
5775,227290,AFSIM,Activist investor Icahn sues Dell over IPO plans,news," Reuters    Activist investor Carl Icahn sued Dell Technologies on Thursday  alleging that the computer maker did not disclose financial information related to its plans to go public by buying back its tracking stock  N DVMT   Icahn  who owns 9 3 percent of Dell  called the proposed deal a  conflicted transaction that benefits the controlling stockholders  at the expense of the DVMT stockholders   Dell said in July it would pay  21 7 billion in cash and stock to buy back shares tied to its interest in software company VMware Inc  N VMW   returning it to the stock market without an initial public offering  Icahn and other hedge fund investors have resisted the plan  saying the proposed deal massively undervalues the tracking stock   We believe this is a threat blatantly deployed in an attempt to coerce DVMT stockholders to vote in favor of the merger  or else risk the unknown consequences of the forced IPO conversion   Icahn said on Thursday  Dell will hold a shareholder meeting on Dec  11 to vote on the deal  A Dell spokesman said Icahn s allegations were  unfounded   adding that the company would file a response later in the day  Icahn is no stranger to lawsuits  He sued  AmTrust Financial  Services  O AFSI  earlier this year over its go private plans  The investor also turned legal arguments against Dell in the past  having alleged that Michael Dell and Silver Lake undervalued the company s go private deal several years ago  Icahn  along with investor Darwin Deason  also urged  Xerox Corp   N XRX  shareholders earlier this year to oppose a sale to Japan s Fujifilm Holdings  T 4901   
Carl Icahn did not immediately respond to request for comment ",2018-11-01,Reuters,https://www.investing.com/news/stock-market-news/carl-icahn-sues-dell-over-plans-to-go-public-1669713,1669713
5776,227291,AFSIM,AmTrust Financial Services  AFSI  In Focus  Stock Moves 5 4  Higher,opinion,AmTrust Financial Services  Inc    NASDAQ AFSI   was a big mover last session  as the company saw its shares rise more than 5  on the day  The move came on solid volume too with far more shares changing hands than in a normal session  The stock picked up sharply from the near flat trend of  13 98 to  14 40 in the past one month time frame The move came after the company received all necessary regulatory approvals for completing the merger transaction with Evergreen Parent  L P The company has seen no changes when it comes to estimate revision over the past few weeks  while the Zacks Consensus Estimate for the current quarter has also remained unchanged  The recent price action is encouraging though  so make sure to keep a close watch on this firm in the near future AmTrust Financial Services currently has a Zacks Rank  3  Hold  while its  is 0 00  AmTrust Financial Services  Inc  Price   Investors interested in the Insurance   Property and Casualty industry may consider a better ranked stock like Mercury General Corporation   NYSE MCY    which carries a Zacks Rank  1  Strong Buy   You can see  Is AFSI going up  Or down  Predict to see what others think Up or DownThe Hottest Tech Mega Trend of AllLast year  it generated  8 billion in global revenues  By 2020  it s predicted to blast through the roof to  47 billion  Famed investor Mark Cuban says it will produce  the world s first trillionaires   but that should still leave plenty of money for regular investors who make the right trades early ,2018-11-28,Zacks Investment Research,https://www.investing.com/analysis/amtrust-financial-services-afsi-in-focus-stock-moves-54-higher-200363484,200363484
5777,227292,AFSIM,Midday Gainers   Losers,news,Gainers  LEDS  81   KODK  59   NVAX  40   BMRA  34   TSRI  31   AFSI  27   TNDM  26   DPW  25   PAVM  24   HMNY  21  Losers  APHB  27   MYSZ  14   SVU  13   NTCT  13   CGG  11   SIMO  11   KLDX  11   KOOL  10   BHVN  10   MOSY  9   Now read ,2018-01-10,Seeking Alpha,https://www.investing.com/news/stock-market-news/midday-gainers--losers-1088392,1088392
5778,227293,AFSIM,AmTrust up 27   and through proposed buyout price,news,AmTrust  NASDAQ AFSI  has formed a special committee of the board to study the  12 25 per share buyout proposal by the Karfunkel Zyskind family Shares are up 26 75  to  12 86 Judging by the comment stream on first news of the bid and a stock price that was nearly  28 last February  and spent almost all of 2017 above  15  investors have clear concerns that Zyskind and associates are underpaying Now read ,2018-01-10,Seeking Alpha,https://www.investing.com/news/stock-market-news/amtrust-up-27-and-through-proposed-buyout-price-1088382,1088382
5779,227294,AFSIM,Financials   Top 5 Gainers   Losers as of 1 00 PM  1 10 18 ,news,Gainers  AFSI  26   MFIN  21  MHLD  18   NHLD  15   OPHC  13  Losers  LMFA  4  Now read ,2018-01-10,Seeking Alpha,https://www.investing.com/news/stock-market-news/financials--top-5-gainers--losers-as-of-100-pm-11018-1088539,1088539
5780,227295,AFSIM,AmTrust agrees to buyout at  13 50 per share,news,The buyout group s initial offer of  12 25 per share didn t sit well with a lot of shareholders given a far loftier stock price just a few months back  But said group   the CEO  the Karfunkel family  and Stone Point Capital   already holds most of the stock in AmTrust  NASDAQ AFSI  There s now a signed agreement in place  and it s for  13 50 per share in cash The deal is expected to close in H2 Source  Press ReleaseShares  12 8  to  13 50 premarket Now read ,2018-03-01,Seeking Alpha,https://www.investing.com/news/stock-market-news/amtrust-agrees-to-buyout-at-1350-per-share-1319303,1319303
5781,227296,AFSIM,Icahn takes stake in insurer AmTrust  opposes go private deal,news," Reuters    Billionaire investor Carl Icahn disclosed a 9 38 pct stake in insurer  AmTrust Financial  Services Inc  O AFSI  on Thursday  Icahn in a letter to AmTrust s board said he strongly opposed the going private deal  which was announced by the company on March 1  The company s shares jumped more than 10 pct in after market trading after the stake was disclosed  Icahn also said that he wants AmTrust to change the date for the special meeting  which was originally scheduled for June 4   
AmTrust said on March 1 it would be acquired in a  2 7 billion deal by a group of shareholders including its founding family  chief executive officer and private equity funds ",2018-05-17,Reuters,https://www.investing.com/news/stock-market-news/icahn-takes-stake-in-insurer-amtrust-opposes-goprivate-deal-1452742,1452742
5782,227297,AFSIM,Carl Icahn files lawsuit against AmTrust  controlling family,news," Reuters    Activist investor Carl Icahn filed a lawsuit on Monday against  AmTrust Financial  Services Inc  O AFSI  and the family that controls the company  accusing them of trying to take the insurer private at the wrong time and at the wrong price  The lawsuit filed in the Court of Delaware accuses Karfunkel Zyskind family of engaging in a transaction which will transfer  huge amounts of value  belonging to the company s public stockholders to the controlling family   https    Earlier on Monday Czech based Arca Capital  which own 2 4 percent of total outstanding shares of AmTrust  said it plans to work with Carl Icahn and other minority shareholders in opposing the proposed privatization transaction  Icahn had disclosed a 9 38 percent stake in AmTrust on May 17     
On March 1  AmTrust said it would be acquired in a  2 7 billion deal by a group of shareholders including its founding family  chief executive officer and private equity funds   a move that Icahn has strongly opposed ",2018-05-21,Reuters,https://www.investing.com/news/stock-market-news/carl-icahn-files-lawsuit-against-amtrust-controlling-family-1456038,1456038
5783,227298,AFSIM,AmTrust Financial s Exposure To Cat Loss Raises Concern,opinion,As a property and casualty  P C  insurer  AmTrust Financial Services  Inc    NASDAQ AFSI   is exposed to both natural and man made catastrophe events  The company has been incurring inclement weather related losses over a considerable period of time  In the first nine months of 2017 catastrophe loss amounted to  103 3 million  mainly stemming from the hurricanes Harvey  Irma  Maria and two major earthquakes in Mexico  Given the unpredictable nature of such calamities  the Zacks Rank  5  Strong Sell  P C insurer might experience catastrophe loss in the near term as well It is important to note that being a P C insurer  AmTrust Financial cannot avoid the aftermath of such catastrophe events  which in turn pose a threat to weigh on the company s underwriting profitability  Irrespective of catastrophe mitigation techniques deployed by the company  exposure to weather oriented disasters inevitably makes its earnings volatile This apart  the company has been experiencing escalating expenses  primarily due to higher losses and loss adjustment expenses  interest expenses  acquisition and other underwriting expenses  This in turn will restrict the operating margin expansion  thereby hampering the company s overall results and limiting its growth Moreover  high level of debt has led to an increase in interest burden  which in turn has weighed on the margin expansion Southbound Estimates  The stock has seen the Zacks Consensus Estimate for current year earnings being revised 32 3  downward over the last 60 days  While the same for 2018 has declined nearly 21 5  over the same time frame  This is reflected in the company s Zacks Rank as well An Underperformer  Shares of AmTrust Financial have plunged 66 2  year to date  significantly underperforming the  s 11 7  rally  We also apprehend substantial catastrophe loss as well as rising expenses to throw tough at the company s overall functioning  Weak Surprise History  AmTrust Financial has missed the Zacks Consensus Estimate in the last three quarters with an average negative surprise of 0 72  Style Score  AmTrust Financial has a  of F  The Growth Style Score analyzes the growth prospects for a company  and also evaluates its corporate financial statements  Therefore  the P C insurer s Growth Score does not raise too much optimism amongst the investors Stocks to ConsiderSome better ranked stocks from the insurance industry include Radian Group Inc    NYSE RDN    Prudential Financial  Inc    NYSE PRU   and NMI Holdings  Inc    NASDAQ NMIH    each holding a Zacks Rank  2  Buy   You can see     Radian Group offers mortgage and real estate products plus services in the United States  The company delivered positive surprises in three of the last four quarters with an average beat of 4 52  Prudential Financial provides insurance  investment management  and other financial products and services in the United States and internationally  The company delivered positive surprises in three of the last four quarters with an average beat of 0 16    NMI Holdings provides private mortgage guaranty insurance services in the United States  The company delivered positive surprises in one of the last four quarters with an average beat of 11 72  Zacks  Hidden TradesWhile we share many recommendations and ideas with the public  certain moves are hidden from everyone but selected members of our portfolio services  Would you like to peek behind the curtain today and view them Starting now  for the next month  I invite you to follow all Zacks  private buys and sells in real time from value to momentum   from stocks under  10 to ETF to option movers   from insider trades to companies that are about to report positive earnings surprises  we ve called them with 80   accuracy   You can even look inside portfolios so exclusive that they are normally closed to new investors ,2017-11-20,Zacks Investment Research,https://www.investing.com/analysis/amtrust-financials-exposure-to-cat-loss-raises-concern-200267208,200267208
5793,227308,AFSIM,AmTrust agrees to sweetened  2 95 billion buyout offer,news,"By Aparajita Saxena  Reuters    U S  insurer  AmTrust Financial  Services Inc  O AFSI  on Thursday agreed to be acquired by a group of investors for a sweetened  2 95 billion deal that also helped secure the support of dissenting shareholder Carl Icahn  Evergreen Parent  an entity formed by AmTrust s founding family  its chief executive officer and some private equity funds  will pay  14 75 per share in cash  up from its earlier offer of  13 50 per share  the insurer said  Billionaire investor Icahn  who owns a 9 4 percent stake in the company  had strongly opposed the go private deal and sued AmTrust and the controlling family  accusing them of trying to take the insurer private at the wrong time and the wrong price   By raising the merger price to  14 75  over  100 million of incremental value has been created for public stockholders   Icahn said on Thursday  AmTrust s shares were up 2 7 percent at  14 48 in early trading  still trading below the latest offer  The revised offer  however  failed to appease another shareholder opposed to the deal   Arca Capital  The firm reiterated that it sees  22 per share as the  fair value  for AmTrust   We are still opposed to the  14 75 shr deal value   we think this still undervalues the company and it s still not enough   said Pavol Kr pa  chairman of the Czech based investment firm told Reuters   The increased offer is just a cosmetic change to sway some shareholder s view   Arca holds a 2 4 percent stake in the company  It said in a press release that AmTrust s long term price target lies between  25 and  31  but it was ready to negotiate with the founding family  
 If no deal can be reached  we are very happy for AmTrust to remain public   Kr pa said ",2018-06-07,Reuters,https://www.investing.com/news/stock-market-news/amtrust-agrees-to-sweetened-295-billion-buyout-offer-1484499,1484499
