,id,ticker,title,category,content,date,provider,url,article_id
104148,325663,AGN,AbbVie Allergan  63 billion deal aided by Nestle  AstraZeneca buys,news,"By John Miller ZURICH  Reuters    U S  drugmaker AbbVie s  N ABBV   63 billion tie up with Allergan  N AGN  is getting help from Nestle  S NESN  and AstraZeneca  L AZN  buying up products the Irish domiciled company is shedding to placate regulators  AbbVie is swallowing Allergan to give it control of the lucrative wrinkle treatment Botox and to diversify a portfolio heavily dependent on its  19 billion per year arthritis drug Humira  the world s best selling medicine that is advancing toward U S  patent expiration  Swiss food group Nestle bulked up its medical nutrition business with Allergan s Zenpep  a product with 2018 sales of  237 million which treats people whose pancreases do not provide enough enzymes to digest fats  proteins and sugars  Nestle did not give financial details  but analysts from Zuercher Kantonalbank estimated the takeover could have cost the Vevey  Switzerland based company more than  1 billion  Meanwhile  AstraZeneca is regaining rights to brazikumab  Allergan s experimental drug against Crohn s Disease and ulcerative colitis  The European Commission said this month the immunology medicine must be divested because of the risk its development would be halted after AbbVie s takeover because of competing medicines   These definitive agreements represent significant progress toward the completion of our acquisition of Allergan   Richard Gonzalez  AbbVie s chairman and chief executive  said  With regulators wary of the deal s anti competitive potential  rivals are getting a chance to stock their own product shelves  Nestle Chief Executive Mark Schneider  who also gets Allergan s Viokace  another pancreatic enzyme product  in Monday s deal  is bulking up on nutrition products that combine properties of medicine and food as the Swiss company expands in areas where growth may outpace its mainstream food business   This is a significant opportunity for our business in the United States   Greg Behar  head of Nestle Health Science  said in a statement   AstraZeneca s pact for brazikumab marks a return of the inflammation medicine to the British drugmaker s portfolio  In 2016  Astra had struck a licensing deal with Allergan worth up to  1 5 billion for the medicine  With its return to AstraZeneca  Allergan has agreed to fund development costs for brazikumab in Crohn s disease and ulcerative colitis  including the creation of a companion diagnostic  AstraZeneca said in a separate statement   This agreement creates an opportunity for us to complete the full development program and bring this potential new treatment option to patients as quickly as possible   Mene Pangalos  Astra s biopharmaceuticals research head  Even if Allergan must foot the development bill  analysts appeared underwhelmed  in part because AbbVie s Skyrizi  or risankizumab  a similar medicine  has a head start  
 This could be another autoimmune product to add to Astra s portfolio  although it will be somewhat late to the market   Liberum s Alistair Campbell wrote in a note to investors ",2020-01-27,Reuters,https://www.investing.com/news/stock-market-news/abbvieallergan-63-billion-deal-aided-by-nestle-astrazeneca-buys-2068141,2068141
104149,325664,AGN,AbbVie and Allergan to divest Brazikumab and Zenpep,news,"AbbVie  NYSE ABBV  and Allergan  NYSE AGN  announce that the latter has entered into definitive agreements to divest brazikumab  IL 23 inhibitor  and Zenpep  pancrelipase   These agreements are in conjunction with the ongoing merger process of both the companies  AstraZeneca  NYSE AZN  will acquire brazikumab  an investigational IL 23 inhibitor and Nestle  OTCPK NSRGF  will acquire Zenpep  Nestle also will be acquiring Viokace  as part of the same transaction  The closings of the acquisitions are contingent upon receipt of U S  Federal Trade Commission and European Commission approval  AbbVie and Allergan expect to close their pending transaction in Q1 
ABBV and AGN shares are up 1  premarket 
AZN is down 1  premarket ",2020-01-27,Seeking Alpha,https://invst.ly/pnc2k,2068217
104150,325665,AGN,AbbVie s Acquisition of Allergan Gets Help From Nestle and AstraZeneca,news,"Some unlikely good Samaritans are going out of their way to help AbbVie  NYSE ABBV  and Allergan  NYSE AGN  complete the  63 billion merger deal the giant drugmakers announced last June  To appease antitrust regulators  AstraZeneca  NYSE AZN  will take back control of an experimental psoriasis drug  and Nestle will acquire a gastrointestinal medication from Allergan    
Hello again 
Allergan was developing a monoclonal antibody that inhibits interleukin 23  IL 23  called brazikumab for the treatment of Crohn s disease and ulcerative colitis  AbbVie recently launched its own IL 23 inhibitor  risankizumab  under the brand name Skyrizi for the treatment of psoriasis 

Allergan had licensed brazikumab from AstraZeneca  now  it will return the antibody to the big British pharmaceutical company  At the moment  brazikumab and Skyrizi are both in late stage clinical trials for the treatment of Crohn s disease and ulcerative colitis 
More than just cocoa 
You re probably more familiar with the Swiss food conglomerate s packaged food brands  but Nestle is also a leading player in the growing medical nutrition space 
Nestle will acquire Zenpep from Allergan for an undisclosed sum  adding it to its growing line of nutritional therapies designed for specific medical conditions  Zenprep is a collection of pancreatic enzymes that is especially useful for cystic fibrosis  CF  patients  Since Nestle already markets nutritional therapies for CF and a wide range of other disorders  Zenprep should fit comfortably in its portfolio ",2020-01-27,The Motley Fool,https://invst.ly/pnh9f,2068590
104151,325666,AGN,What to Expect From Pfizer  Biogen and Allergan Earnings Tuesday Morning,news,"This is already a huge week for earnings  as nearly half of the Dow Jones industrial average is reporting  and roughly 150 companies in the S P 500 as well  Needless to say  this will be a huge week for companies in the health care sector  with a few big names coming out The Chinese coronavirus is already bringing a lot of attention to the sector  and quite a few companies stand to gain from this  While this coronavirus scare may be over relatively quickly  earnings and fundamentals will be a driving force for companies in the sector in the months to come All three of the following companies included are reporting earnings on Tuesday morning  but there will be even more coming out later this week  We have included what analysts are calling for  as well as a recent trading history and consensus targets div connatix margin bottom  1 5em   div connatix img  margin  unset  Pfizer Inc   NYSE  PFE  shares are up about 8  over the past quarter  but the stock is actually down nearly 3  in the past 52 weeks  If Pfizer wants to break out from here  it will have to top the consensus estimates of  0 57 in earnings per share  EPS  and  12 61 billion in revenue  The same period of last year reportedly had  0 64 in EPS and  13 98 billion in revenue Here s what a few analysts have said about Pfizer 
RBC has an Outperform rating and a  46 price target 
Credit Suisse has a Hold rating 
JPMorgan has a Neutral rating 
Merrill Lynch has a Neutral rating and a  37 price target 
Pfizer stock was last seen trading at  39 92  in a 52 week range of  33 97 to  44 56  The consensus price target is  42 33 Allergan PLC  NYSE  AGN  is in the process of being acquired by AbbVie  but before then it will report its fourth quarter results  The consensus estimates are  4 57 in EPS and  4 09 billion in revenue  In the same period of last year  it said it had  4 29 in EPS and  4 08 billion in revenue Allergan stock has underperformed the broad markets with a gain of only 19  in the past 52 weeks  In the past quarter  the stock is up closer to 7 5  A few analysts have weighed in on Allergan 
Wells Fargo rates it as Equal Weight with a  198 price target 
UBS Group has a Neutral rating and a  203 price target 
RBC has a Hold rating with a  178 price target 
Allergan traded at  189 44 a share  in a 52 week range of  114 27 to  194 61  The consensus price target is  190 14 Biogen Inc   NASDAQ  BIIB  will share its most recent report on Tuesday morning too  The analysts expect to see  7 94 in EPS and  3 53 billion in revenue  In the fourth quarter of last year  it posted  6 99 in EPS and  3 53 billion in revenue Overall  Biogen has performed the worst out of this group  with its stock down 16  in the past 52 weeks  In the past quarter  the stock is flat Analysts had this to say about Biogen 
RBC s Hold rating comes with a  285 price target 
Canaccord Genuity has a Buy rating and a  360 price target 
Credit Suisse has a Hold rating with a  300 target price 
Robert Baird s Sell rating comes with a  250 price target 
Morgan Stanley has an Underweight rating and a  270 target 
Cowen has a Buy rating with a  325 price target 
Biogen stock traded at  278 71 a share  The 52 week range is  215 78 to  338 87  and the consensus analyst target is  304 57  


				ALSO READ  Intel s Strong Quarter Is Huge for Data Center Stocks  4 to Buy Now				


By Chris Lange",2020-01-27,247wallst,https://invst.ly/pnh94,2068588
104179,325694,AGN,AbbVie Lays Out Plans to Integrate Allergan,news,"As AbbVie  NYSE ABBV  gets closer to completing its  63 billion acquisition of Allergan  NYSE AGN   the company is laying out its plan for the integration  When the deal closes  which is scheduled to happen this quarter  AbbVie will keep Allergan s aesthetics as a separate unit with its own research and development function 
The unit will remain in Irvine  Calif  and be led by Carrie Strom  who currently serves as the senior vice president of U S  medical aesthetics at Allergan  Strom  who will become president of Allergan Aesthetics as well as being a vice president of AbbVie  will report directly to AbbVie s CEO Richard Gonzalez 
The rest of Allergan  including its eye care and treatments for central nervous system  women s health  and gastrointestinal diseases  will be integrated into AbbVie  In the deal  AbbVie gets antispychotic Vraylar  irritable bowel syndrome treatments Linzess and Viberzi  and oral contraceptive Lo Loestrin  among other drugs  as well as a pipeline of potential new therapies 

The health company plans to split the Botox franchise  People supporting its use as a cosmetic for reducing wrinkles will stay with Allergan Aesthetics  while Botox therapeutics will be integrated into AbbVie  The drug is approved for nine different indications that can benefit from the muscle relaxing neurotoxin  including overactive bladder  migraines  and spasticity  where muscles continually contract 
AbbVie expects the acquisition to immediately improve its bottom line with earning per share  EPS  expected to increase 10  over the first full year following the close of the transaction  The company estimates at its peak  the deal will add more than 20  to EPS ",2020-01-08,The Motley Fool,https://invst.ly/pfkbw,2055319
104180,325695,AGN,AbbVie Allergan tie up conditionally OK d in Europe,news,"The European Commission has signed off on AbbVie s  ABBV  0 3   planned merger with Allergan  AGN  0 3   with the proviso that Allergan sell IL 23 inhibitor brazikumab to a third party 
AbbVie planned to terminate development of brazikumab in favor of risankizumab  a move deemed anticompetitive by the EC ",2020-01-10,Seeking Alpha,https://invst.ly/pggab,2056919
104181,325696,AGN,Should You Buy Allergan Before the AbbVie Acquisition Closes ,news,"Allergan s  NYSE AGN  days as a standalone company are numbered  We don t know exactly when AbbVie s  NYSE ABBV  pending acquisition of Allergan will close  but it should happen sometime in the first quarter of 2020 
This deal certainly lit a fire beneath Allergan stock  with the drugmaker s shares soaring 45  since the transaction was first announced  But is Allergan still a stock to buy with the AbbVie acquisition likely to close so soon 

Understanding the deal
It s first important to understand the terms of AbbVie s acquisition offer  Allergan shareholders stand to receive 0 866 AbbVie shares plus  120 30 in cash for each Allergan share that they own 
When the deal was announced in June 2019  this translated to a total transaction value of around  63 billion  Based on AbbVie s share price at the time  the acquisition valued Allergan at  188 24 per share 
Today  though  AbbVie s shares are trading more than 10  higher than they were seven months ago  And Allergan s share price is now around  192  a little higher than its valuation when AbbVie s plan to buy the drugmaker was disclosed 
Joined at the hip
These transaction terms should be at the forefront of investors  minds when considering whether or not to buy Allergan stock  The reality is that AbbVie and Allergan are already joined at the hip even before the deal is finalized 
If you re hoping to make a quick profit  Allergan s share price will depend largely on whether AbbVie s shares go up  Even if Allergan announces wonderful news over the next few weeks  shareholders will still only receive  120 30 in cash for each Allergan share they own  But any significant good news for Allergan should push AbbVie s share price higher  which in turn will benefit Allergan shareholders when the transaction closes 
Long term investors thinking about buying Allergan stock should focus even more on AbbVie s prospects  This isn t a merger of equals  AbbVie is a much bigger company than Allergan is  AbbVie s shareholders will own 83  of the combined entity 
It s important to remember the main reason why AbbVie is buying Allergan  Sales are declining for AbbVie s top selling drug  Humira  in the face of competition from biosimilars in Europe  Biosimilars will enter the U S  market in 2023    and that s when the pain will really intensify for AbbVie  The Allergan acquisition is being made to reduce AbbVie s dependence on Humira  but the immunology drug will still contribute close to 40  of the company s total revenue even after the Allergan transaction closes 
Buy Allergan if   
Basically  there are only three reasons to buy Allergan right now 

You expect some big catalyst for Allergan or AbbVie in the very near future and plan to sell on any major jump in Allergan s share price 
You think that AbbVie will be able to deliver solid returns over the long run with Allergan s products and pipeline in its lineup 
You re seeking income from dividends 

If the first reason is your primary motivation for buying Allergan  my view is that you re making a mistake  There s no guarantee that either AbbVie or Allergan stocks will pop over the next few weeks before the acquisition closes 
However  I think that the second reason listed to buy Allergan right now makes sense  Although Humira s best days are behind it  AbbVie has other drugs that should drive growth  especially including cancer drugs Imbruvica and Venclexta and new immunology drugs Rinvoq and Skyrizi  Allergan s Botox and antipsychotic drug Vraylar should also boost AbbVie s sales 
If you re an income seeking investor  buying Allergan before the AbbVie acquisition closes seems like a pretty astute move  You ll get a lot of your cash back relatively quickly thanks to the cash portion of AbbVie s acquisition offer  You ll also own shares of one of the more attractive dividend stocks on the market  with AbbVie s dividend currently yielding nearly 5 4  
All this  of course  assumes that AbbVie s acquisition of Allergan will wrap up as expected  Could something derail the deal  It s possible but very unlikely at this point  If you re considering buying Allergan  your fortunes are almost certainly linked to AbbVie  too ",2020-01-26,The Motley Fool,https://invst.ly/pm-ut,2067917
104193,325708,AGN,AbbVie boosts 2019 profit outlook as Humira helps beat revenue estimates,news, Reuters     AbbVie Inc   N ABBV  posted quarterly sales above estimates on Friday and raised the lower end of its 2019 profit forecast  getting a boost from strong demand for cancer medicine Imbruvica and a lower than expected drop in bestseller Humira s revenue   Shares of the Chicago  Illinois based drugmaker rose nearly one percent to  80 before the bell  In June  AbbVie announced a  63 billion deal for Botox maker Allergan Plc  N AGN   in a bid to diversify its drug pipeline amid growing threats to Humira s longevity  The world s top selling drug  which treats rheumatoid arthritis and psoriasis  has come under pressure from cheaper rivals in Europe and faces patent expiration in the United States   its biggest market  in 2023  Humira sales was about  20 billion last year and the drug has accounted for the bulk of AbbVie s revenue for years   In the quarter ended Sept  30  Humira sales dipped 3 7  to  4 94 billion  hurt by biosimilar competition outside the United States  but beat estimates of  4 89 billion  according to five analysts polled by Refinitiv IBES  Sales of cancer drug Imbruvica rose nearly 30  to  1 26 billion  ahead of estimates of  1 19 billion  AbbVie raised the lower end of its 2019 adjusted earnings per share forecast by 8 cents to  8 90  while maintaining the top end at  8 92   Net earnings fell to  1 88 billion  or  1 26 per share  from  2 75 billion  or  1 81 per share  a year earlier  as research and development costs soared and the company took a charge related to assets acquired as part of an acquisition in 2016   Excluding items  AbbVie earned  2 33 per share  above the average analyst estimate of  2 30  Total revenue rose nearly 3  to  8 48 billion  beating estimates of  8 38 billion  AbbVie said it still expects the deal for Allergan to close early next year and that both companies were cooperating with regulators after receiving a request for more information from the U S  Federal Trade Commission in September ,2019-11-01,Reuters,https://www.investing.com/news/stock-market-news/abbvie-lifts-2019-profit-forecast-as-humira-helps-beat-revenue-estimates-2009896,2009896
104194,325709,AGN,Day Ahead  Top 3 Things to Watch,news,"Investing com   Here s a preview of the top 3 things that could rock markets tomorrow  
1  U S  Services  Trade and Labor Data Due
U S  trade data due Tuesday will offer clues on President Donald Trump s efforts to reduce the deficit between the U S  and its trading partners at a time when trade tensions continue to cool amid reports that phase one of the U S  China trade deal is nearing the end game   
The Commerce Department will release the latest trade balance figures at 8 30 AM ET  13 30 GMT  
On average  economists expect that the U S  trade deficit narrowed to  52 50 billion in September  according to forecasts compiled by Investing com 
With manufacturing activity on the wane   largely due to the U S China trade war   the services sector  which makes about two thirds of U S  economic growth  has picked the slack 
The ISM survey on service sector activity is due at 10 AM ET  15 00 GMT   Economists predict ISM nonmanufacturing data for October to show an uptick to a reading of 53 5 from the prior reading of 52 6 
On the heels of the services data  the Labor Department will release its September Job Openings and Labor Turnover Survey  JOLTs  
On average  economists expect that job openings fell to 7 028 million in September from 7 051 million the prior month  according to forecasts compiled by Investing com 
2  API Crude Inventories in Spotlight 
Oil prices got the week off to a winning start  buoyed by hopes that the U S  and China are closing in on a partial trade deal that some hope could steady global growth and support oil demand   
Late Tuesday  domestic crude supply will come into focus as American Petroleum Institute is set to release its weekly petroleum inventory numbers 
The API data often serves as a snapshot of the Energy Department s petroleum data slated for a day later on Wednesday 
Crude oil futures rose 0 6  to settle at  56 54 a barrel 
3  Peloton Rolls Out Earnings 
Peloton  NASDAQ PTON   seller of connected exercise machines that are paired with on demand fitness classes  is scheduled to report fiscal first quarter earnings on Tuesday before the opening bell 
Ahead of its earnings  Peloton  NASDAQ PTON  has struggled to find its footing  Shares have fallen about 15  since going public at  29 in September as traders have ditched loss making entities 
The company said it sold 577 000 fitness machines and scooped up 511 000 subscribers to its core streaming offering in fiscal 2019  which costs  40 a month 
Its net loss widened to  245 7 million in the fiscal year ended June  from a net loss of  47 9 million a year earlier  largely driven by a surge in spending on sales and marketing 
But with its ability to generate repeat revenue from subscribers  Peloton has won the backing of many on Wall Street  who believe the company will be able to cash in on efforts to create a new market in connected fitneso 
New York based Peloton is expected to report a loss of 36 cents a share on revenue of  199 06 million 
Among other notable earnings  Allergan  NYSE AGN  and Mylan  NASDAQ MYL  both release quarterly earnings before the U S  stock market opens 
Allergan  NYSE AGN  is expected to generate earnings of  4 23 a share on revenue of  3 89 billion  while Mylan  NASDAQ MYL  is forecast to report earnings of  1 13 a share on revenue of  3 01 billion ",2019-11-04,Investing.com,https://www.investing.com/news/stock-market-news/day-ahead-top-3-things-to-watch-2011618,2011618
104197,325712,AGN,J J Seeks Label Expansion For Spravato Nasal Spray In EU,opinion,Johnson   Johnson s   NYSE JNJ   submitted a type II variation application to the European Medicines Agency  EMA   seeking label expansion of Spravato  esketamine  nasal spray in patients with major depressive disorder  MDD  who have current suicidal ideation with intent in Europe A supplemental new drug application seeking a similar label expansion was filed in the United States in October this year  The application was based on data from two phase III studies  ASPIRE I   II  which demonstrated that Spravato combined with comprehensive standard of care led to rapid reduction of depressive symptoms in adult MDD patients who have active suicidal ideation with intent J J s shares have performed in line with the large cap pharma  in the past year  The stock has returned 14 9  in the said timeframe   Spravato was approved by the FDA in March last year for treatment resistant depression  TRD  in adults  With the approval  Spravato  which was thought to work differently than currently approved therapies  was the first new medicine in 30 years to treat depression  a difficult to treat mental disease  J J claimed that while most antidepressants take a couple of weeks or months to show effects  Spravato works in hoursTo avoid misuse and abuse of the drug  Spravato was approved with a boxed warning on its label regarding a Risk Evaluation and Mitigation Strategy  REMS  and the risk of suicidal thoughts and behaviors in pediatric patients and young adults  Spravato was approved in Europe in December last year On the third quarter conference call  J J had said that the drug was off to a strong start and patient demand was strong J J s another new drug approved last year was Balversa  erdafitinib  for metastatic urothelial cancer  J J believes that both Spravato and Balversa have the potential for more than  1 billion of peak revenues The depression market is quite large and has many players including biggies like Allergan   NYSE AGN   with products like Vraylar and Viibryd and Eli Lilly   NYSE LLY   with Cymbalta and Zyprexa J J currently carries a Zacks Rank  2  Buy   You can see  Another top ranked stock in the space is Bristol Myers   NYSE BMY   with a Zacks Rank  2  Bristol Myers  earnings estimates have increased 9  for 2020 over the past 60 days  The stock has risen 35 6  in the past year Free  Zacks  Single Best Stock Set to DoubleToday you are invited to download our latest Special Report that reveals 5 stocks with the most potential to gain  100  or more in 2020  From those 5  Zacks Director of Research  Sheraz Mian hand picks one to have the most explosive upside of all This pioneering tech ticker had soared to all time highs and then subsided to a price that is irresistible  Now a pending acquisition could super charge the company s drive past competitors in the development of true Artificial Intelligence  The earlier you get in to this stock  the greater your potential gain ,2020-01-15,Zacks Investment Research,https://www.investing.com/analysis/jj-seeks-label-expansion-for-spravato-nasal-spray-in-eu-200499276,200499276
