,id,ticker,title,category,content,date,provider,url,article_id
19449,240964,ALOT,Moving Average Crossover Alert  AstroNova,opinion,AstroNova  Inc    NASDAQ ALOT   could be a stock to avoid from a technical perspective  as the firm is seeing unfavorable trends on the moving average crossover front  Recently  the 50 Day Moving Average for ALOT broke out below the 200 Day Simple Moving Average  suggesting short term bearishness This has already started to take place  as the stock has moved lower by 16 7  in the past four weeks  And with the recent moving average crossover  investors have to think that more unfavorable trading is ahead for ALOT stock If that wasn t enough  ALOT isn t looking too great from an earnings estimate revision perspective either  It appears as though many analysts have been reducing their earnings expectations for the stock lately  which is usually not a good sign of things to come Consider that in the last 30 days  1 estimate has been reduced  while none has moved higher  Add this in to a similar move lower in the consensus estimate  and there is plenty of reason to be bearish here That is why we currently have a Zacks Rank  5  Strong Sell  on this stock and are looking for it to underperform in the weeks ahead  So  either avoid this stock or consider jumping ship until the estimates and technical factors turn around for ALOT  You can see  7 Best Stocks for the Next 30 DaysJust released  Experts distill 7 elite stocks from the current list of 220 Zacks Rank  1 Strong Buys  They deem these tickers  Most Likely for Early Price Pops  Since 1988  the full list has beaten the market more than 2X over with an average gain of  24 6  per year  So be sure to give these hand picked 7 your immediate attention ,2019-09-16,Zacks Investment Research,https://www.investing.com/analysis/moving-average-crossover-alert-astronova-200464896,200464896
19462,240977,ALOT,Veritone  VERI  Catches Eye  Stock Jumps 9 8 ,opinion,Veritone  Inc    NASDAQ VERI   was a big mover last session  as the company saw its shares rise nearly 10  on the day  The move came on solid volume too with far more shares changing hands than in a normal session  This stock  which remained volatile and traded within the range of  3 80   6 31 in the past one month time frame  witnessed a sharp increase yesterday The company has seen no changes when it comes to estimate revision over the past month  while the Zacks Consensus Estimate for the current quarter has also remained unchanged  The recent price action is encouraging though  so make sure to keep a close watch on this firm in the near future Veritone currently has a Zacks Rank  2  Buy  while its  is 0 00  Veritone  Inc  Price   Investors interested in the Technology Services industry may consider AstroNova  Inc    NASDAQ ALOT    which has a Zacks Rank  1  Strong Buy   You can see the complete list of today s Zacks  1 Rank stocks here Is VERI going up  Or down  Predict to see what others think Up or DownMore Stock News  This Is Bigger than the iPhone It could become the mother of all technological revolutions  Apple  NASDAQ AAPL  sold a mere 1 billion iPhones in 10 years but a new breakthrough is expected to generate more than 27 billion devices in just 3 years  creating a  1 7 trillion market Zacks has just released a Special Report that spotlights this fast emerging phenomenon and 6 tickers for taking advantage of it  If you don t buy now  you may kick yourself in 2020 ,2019-01-10,Zacks Investment Research,https://www.investing.com/analysis/veritone-veri-catches-eye-stock-jumps-98-200374732,200374732
19463,240978,ALOT,6 Reasons To Add Waste Connections Stock To Your Portfolio,opinion,A wise investment decision involves buying well performing stocks at the right time and selling those that are at risk  A rise in share price and strong fundamentals indicate a stock s bullish run Waste Connections  Inc    NYSE WCN   is a waste management stock that has performed well in the past year and has the potential to sustain the momentum  going forward  If you haven t taken advantage of the share price appreciation yet  it s time you add the stock to your portfolio What Makes Waste Connections an Attractive Pick An Outperformer  A glimpse at the company s price trend reveals that the stock has had an impressive run on the bourse in the past year  Waste Connection s shares have returned 9 7  compared with the  s rise of 2 9  Solid Rank   VGM Score  Waste Connections has a Zacks Rank  2  Buy  and a Value Growth Momentum  VGM  Score of B  Our research shows that stocks with a VGM Score of A or B when combined with a Zacks Rank  1  Strong Buy  or  2 offer the best investment opportunities for investors  Thus  the company is a compelling investment proposition at the moment  You can see  Northward Estimate Revisions  Two estimates for 2018 moved north in the past 60 days versus no southward revision  reflecting analysts  confidence in the company  Over the same period  the Zacks Consensus Estimate for 2018 inched up 0 4  Positive Earnings Surprise History  Waste Connections has an impressive earnings surprise history  The company outpaced the consensus mark in three of the trailing four quarters  delivering a positive average earnings surprise of 2 7  Waste Connections  Inc  Price and EPS Surprise     Strong Growth Prospects  The Zacks Consensus Estimate for 2018 earnings is currently pegged at  2 52  reflecting year over year growth of 16 7   Moreover  earnings are expected to register 14  growth in 2019  The stock has long term expected earnings per share growth rate of 11 7  Growth Factors  Waste Connections is gaining momentum on the back of higher demand for advanced waste collection and recycling techniques  To enhance market opportunities  the company consistently undertakes municipal solid waste and non hazardous industrial waste recycling measures Buyouts are a key growth catalyst for Waste Connections  The company pursues a strategic combination of financial  market and management criteria to evaluate opportunities from acquisitions  Additionally  Waste Connections is focused about  tuck in  acquisition of other waste management companies  which is likely to boost the top line  In the first nine months of 2018  Waste Connections completed the purchase of 15 individually immaterial non hazardous solid waste collection  recycling  transfer and disposal businesses Finally  Waste Connections has a highly efficient operational structure  which enables it to meet customers  needs on a real time basis and at a low cost  Apart from boosting bottom line growth  an efficient structure also enables the company to pursue expansion endeavors Other Stocks to ConsiderA few other top ranked stocks in the Zacks  sector are AstroNova  Inc    NASDAQ ALOT    SPS Commerce  Inc    NASDAQ SPSC   and MAXIMUS  Inc    NYSE MMS    each sporting a Zacks Rank  1 The long term expected EPS  three to five years  growth rate for AstroNova  SPS Commerce and MAXIMUS is 12   20   and 10   respectively Today s Stocks from Zacks  Hottest StrategiesIt s hard to believe  even for us at Zacks  But while the market gained  21 9  in 2017  our top stock picking screens have returned  115 0    109 3    104 9    98 6   and  67 1  And this outperformance has not just been a recent phenomenon  Over the years it has been remarkably consistent  From 2000   2017  the composite yearly average gain for these strategies has beaten the market more than 19X over  Maybe even more remarkable is the fact that we re willing to share their latest stocks with you without cost or obligation ,2019-01-16,Zacks Investment Research,https://www.investing.com/analysis/6-reasons-to-add-waste-connections-stock-to-your-portfolio-200376604,200376604
19464,240979,ALOT,Strength Seen In Yext  YEXT   Stock Soars 10 1 ,opinion,Yext Inc    NYSE YEXT   was a big mover last session  as the company saw its shares rise more than 10  on the day  The move came on solid volume too with far more shares changing hands than in a normal session  This continues the recent uptrend for the company as the stock is now up 28 8  in the past one month time frame The upmove came after the company reported solid fourth quarter fiscal 2019  ended Jan 31  2019  results The company has seen no changes when it comes to estimate revision over the past few weeks  while the Zacks Consensus Estimate for the current quarter has also remained unchanged  The recent price action is encouraging though  so make sure to keep a close watch on this firm in the near future Yext currently has a Zacks Rank  1  Strong Buy  while its  is 0 00  Yext Inc  Price   Another stock worth considering in the Technology Services industry is AstroNova  Inc    NASDAQ ALOT   which carries a Zacks Rank  2  Buy   You can see  Is YEXT going up  Or down  Predict to see what others think Up or DownToday s Best Stocks from ZacksWould you like to see the updated picks from our best market beating strategies  From 2017 through 2018  while the S P 500 gained  15 8   five of our screens returned  38 0    61 3    61 6    68 1   and  98 3  This outperformance has not just been a recent phenomenon  From 2000   2018  while the S P averaged  4 8  per year  our top strategies averaged up to  56 2  per year ,2019-03-07,Zacks Investment Research,https://www.investing.com/analysis/strength-seen-in-yext-yext-stock-soars-101-200395886,200395886
19466,240981,ALOT,AstroNova reports Q1 results,news,AstroNova  NASDAQ ALOT   Q1 EPS of  0 07Revenue of  24 46M   1 5  Y Y Press ReleaseNow read ,2017-05-16,Seeking Alpha,https://www.investing.com/news/stock-market-news/astronova-reports-q1-results-484800,484800
19467,240982,ALOT,AstroNova declares  0 07 dividend,news,AstroNova  NASDAQ ALOT  declares  0 07 share quarterly dividend  in line with previous Forward yield 2 01 Payable June 27  for shareholders of record June 9  ex div June 7 Now read ,2017-05-18,Seeking Alpha,https://www.investing.com/news/stock-market-news/astronova-declares-$0.07-dividend-485931,485931
19468,240983,ALOT,AstroNova reports Q2 results,news,AstroNova  NASDAQ ALOT   Q2 EPS of  0 11Revenue of  27 48M   8 4  Y Y Press ReleaseNow read ,2017-08-23,Seeking Alpha,https://www.investing.com/news/stock-market-news/astronova-reports-q2-results-521468,521468
19469,240984,ALOT,AstroNova reports Q3 results,news,AstroNova  NASDAQ ALOT   Q3 EPS of  0 21Revenue of  28 76M   23 2  Y Y Press ReleaseNow read ,2017-11-22,Seeking Alpha,https://www.investing.com/news/stock-market-news/astronova-reports-q3-results-900190,900190
19470,240985,ALOT,Premarket Gainers as of 9 05 am  03 14 2018 ,news,RFIL  51  on Q1 result  RKDA  44  on achieving key resistant starch wheat technology milestones  prepares for commercial launch  TYME  22  as FDA has accepted its investigational new drug application allowing to initiate the planned Phase II clinical trial for SM 88 in pancreatic cancer  KOOL  9  as Cesca inks deal in Asia for CAR T cell processing services  OTIV  6  on new purchase order to deliver 8 000 of OTI s Uno advanced 8 secure contactless NFC readers to the Smart ATM market  EXPR  5  on Q4 result  ALOT  5  on Q4 result  Now read ,2018-03-14,Seeking Alpha,https://www.investing.com/news/stock-market-news/premarket-gainers-as-of-905-am-03142018-1341256,1341256
19471,240986,ALOT,AstroNova down 3  post Q1 results,news,AstroNova  ALOT  3   reported Q1 revenue growth of 28 7  Y Y to  31 5M  with domestic revenue  19 2M   23  Y Y  and international revenue  12 3M   40  Y Y  Q1 Overall gross margin improved by 50 bps to 38 5  and operating margin improved 110 bps to 4  Segment results  Product identification revenue  20M   7  Y Y  and operating margin was down by 510 bps to 8 3   Test   management revenue  11 5M   98  Y Y  reflecting the impact of the Honeywell asset purchase and licensing agreement  and operating margin improved by 1 840 bps to 19 6  Bookings increased 29  Y Y to  33 3M from  25 8M Backlog was at  23 9M   31  Y Y  as of April 28  2018  We continue to be positive on our expectations for fiscal 2019 with comparable sales and earnings in the second quarter and improving performance in the second half of the year as we wind down the Transition Services Agreement with Honeywell for our new Aerospace printer line as well as increased revenue contributions from our new TrojanLabel product lines   commented Greg Woods President and CEO Previously  AstroNova reports Q1 results  June 5 Now read ,2018-06-05,Seeking Alpha,https://www.investing.com/news/stock-market-news/astronova-down-3-post-q1-results-1481242,1481242
106763,328278,ALOT,AstroNova and TESSCO Technologies among Tech gainers  Intellicheck and SolarEdge Technologies among losers,news,"Gainers  AstroNova  NASDAQ ALOT   12   TESSCO Technologies  NASDAQ TESS   10   iCAD  NASDAQ ICAD   8   ACM Research  NASDAQ ACMR   7   Oi  NYSE OIBR C   6  
Losers  Intellicheck  NYSEMKT IDN   12   SolarEdge Technologies  NASDAQ SEDG   11   MoSys  NASDAQ MOSY   10   Pintec Technology  NASDAQ PT   10   Fang  NYSE SFUN   10  ",2020-01-27,Seeking Alpha,https://invst.ly/pnjuz,2068758
