,id,ticker,title,category,content,date,provider,url,article_id
205981,427497,AMX,Mexico stocks lower at close of trade  IPC down 0 21 ,news,"Investing com   Mexico stocks were lower after the close on Thursday  as losses in the Materials  Consumer Goods   Services and Financial Services sectors led shares lower 
At the close in Mexico  the IPC fell 0 21  
The best performers of the session on the IPC were Grupo Financiero Santander Mexico  MX SANMEXB   which rose 3 16  or 1 070 points to trade at 34 940 at the close  Meanwhile   America Movil L   S A B  De C V   MX AMXL  added 1 76  or 0 250 points to end at 14 420 and  VOLARIS A   MX VOLARA  was up 1 70  or 0 41 points to 24 54 in late trade 
The worst performers of the session were Industrias  Penoles  Sab De CV  MX PENOLES   which fell 4 07  or 17 95 points to trade at 422 75 at the close   Grupo Financiero Inbursa   SAB De CV  MX GFINBURO  declined 3 19  or 1 050 points to end at 31 820 and El Puerto De Liverpool Sab De CV  MX LIVEPOLC1  was down 3 01  or 4 37 points to 140 65 
Rising stocks outnumbered declining ones on the Mexico Stock Exchange by 154 to 119 and 5 ended unchanged 
Gold Futures for June delivery was down 1 47  or 18 39 to  1230 11 a troy ounce  Elsewhere in commodities trading  Crude oil for delivery in June fell 4 94  or 2 36 to hit  45 46 a barrel  while the July Brent oil contract fell 4 73  or 2 40 to trade at  48 39 a barrel 
USD MXN was up 0 97  to 19 0505  while EUR MXN rose 1 89  to 20 9254 
The US Dollar Index Futures was down 0 67  at 98 59 ",2017-05-04,Investing.com,https://www.investing.com/news/stock-market-news/mexico-stocks-lower-at-close-of-trade;-ipc-down-0.21-480365,480365
205982,427498,AMX,Mexico s America Movil gets approval to buy spectrum from Grupo MVS,news,"MEXICO CITY  Reuters    Mexican billionaire Carlos Slim s America Movil  MX AMXL  has received a green light from the telecoms regulator IFT to buy rights to 60 megahertz of spectrum from Grupo MVS  the telecoms giant said on Thursday  The company also said it expects to complete the acquisition  which boosts its offer of high speed data services  in the second quarter of 2017   In November  America Movil said its wireless subsidiary had agreed to purchase 60 MHz of spectrum in the 2 5 GHz band  It did not disclose the terms of the deal   Mexico s president  Enrique Pena Nieto  pushed through reforms designed to curb Slim s dominance of the local telecommunications market  
The profit margin of America Movil  Latin America s largest phone company  has shrunk to less than 30 percent  from more than 45 percent  since the reform ",2017-05-05,Reuters,https://www.investing.com/news/stock-market-news/mexico's-america-movil-gets-approval-to-buy-spectrum-from-grupo-mvs-480447,480447
205983,427499,AMX,Mexico stocks higher at close of trade  IPC up 0 51 ,news,"Investing com   Mexico stocks were higher after the close on Monday  as gains in the Telecoms Services  Financial Services and Industrials sectors led shares higher 
At the close in Mexico  the IPC rose 0 51  
The best performers of the session on the IPC were  Nemak SAB de CV   MX NEMAKA   which rose 4 22  or 0 82 points to trade at 20 23 at the close  Meanwhile  Ohl Mexico  S A B  De C V   MX OHLMEX  added 2 93  or 0 650 points to end at 22 840 and  America Movil L   S A B  De C V   MX AMXL  was up 2 56  or 0 370 points to 14 820 in late trade 
The worst performers of the session were Industrias  Penoles  Sab De CV  MX PENOLES   which fell 2 39  or 10 34 points to trade at 422 25 at the close  Grupo  Elektra   S A B  De C V   MX ELEKTRA  declined 2 16  or 15 09 points to end at 682 88 and  Arca Continental   S A B  De C V   MX AC  was down 0 78  or 1 04 points to 131 90 
Falling stocks outnumbered advancing ones on the Mexico Stock Exchange by 161 to 158 and 10 ended unchanged 
Shares in America Movil L  S A B  De C V   MX AMXL  rose to 52 week highs  up 2 56  or 0 370 to 14 820  
Gold Futures for June delivery was up 0 21  or 2 58 to  1230 28 a troy ounce  Elsewhere in commodities trading  Crude oil for delivery in June rose 1 92  or 0 92 to hit  48 76 a barrel  while the July Brent oil contract rose 1 69  or 0 86 to trade at  51 70 a barrel 
USD MXN was down 0 62  to 18 7045  while EUR MXN fell 0 08  to 20 5342 
The US Dollar Index Futures was down 0 25  at 98 80 ",2017-05-15,Investing.com,https://www.investing.com/news/stock-market-news/mexico-stocks-higher-at-close-of-trade;-ipc-up-0.51-484537,484537
205984,427500,AMX,Mexico stocks higher at close of trade  IPC up 1 54 ,news,"Investing com   Mexico stocks were higher after the close on Friday  as gains in the Telecoms Services  Financial Services and Materials sectors led shares higher 
At the close in Mexico  the IPC added 1 54  
The best performers of the session on the IPC were Grupo Mexico  S A B  De C V   MX GMEXICOB   which rose 4 86  or 2 470 points to trade at 53 250 at the close  Meanwhile   America Movil L   S A B  De C V   MX AMXL  added 4 30  or 0 610 points to end at 14 790 and Grupo Aeroportuario del Pacifico SAB De CV Class B  MX GAPB  was up 4 02  or 7 76 points to 200 56 in late trade 
The worst performers of the session were Grupo  Elektra   S A B  De C V   MX ELEKTRA   which fell 5 06  or 33 60 points to trade at 630 00 at the close   VOLARIS A   MX VOLARA  declined 2 07  or 0 53 points to end at 25 13 and  Grupo LALA SA de CV   MX LALAB  was down 1 87  or 0 64 points to 33 53 
Rising stocks outnumbered declining ones on the Mexico Stock Exchange by 158 to 121 and 8 ended unchanged 
Gold Futures for June delivery was up 0 17  or 2 11 to  1254 91 a troy ounce  Elsewhere in commodities trading  Crude oil for delivery in June rose 2 15  or 1 06 to hit  50 41 a barrel  while the July Brent oil contract rose 2 23  or 1 17 to trade at  53 68 a barrel 
USD MXN was down 0 76  to 18 6936  while EUR MXN rose 0 14  to 20 9466 
The US Dollar Index Futures was down 0 78  at 97 01 ",2017-05-19,Investing.com,https://www.investing.com/news/stock-market-news/mexico-stocks-higher-at-close-of-trade;-ipc-up-1.54-486640,486640
205985,427501,AMX,America Movil SA de CV reports Q3 results,news,America Movil  SA de CV  NYSE AMX   Q3 EPADR of   0 16Revenue of MEX 244 19B   2 2  Y Y Press ReleaseNow read ,2017-10-25,Seeking Alpha,https://www.investing.com/news/stock-market-news/america-movil-sa-de-cv-reports-q3-results-547250,547250
205986,427502,AMX,America Movil SA de CV approves buyback plan,news,Am rica M vil  S A B  de C V   AMX  0 6   announces that its shareholders have approved a buyback program equal to MXP 3B for the Apr  2018   Apr  2019 period  In addition  the company will pay a ordinary cash dividend of MXP 0 32 share  payable in two installments of MXP 0 16 share  on July 16th and Nov  12th   2018 to each of the shares of its capital stock series  AA    A  and  L  Press Release Now read ,2018-04-17,Seeking Alpha,https://www.investing.com/news/stock-market-news/america-movil-sa-de-cv-approves-buyback-plan-1399238,1399238
205987,427503,AMX,America Movil SA de CV reports Q1 results,news,America Movil  SA de CV  NYSE AMX   Q1 EPS of Ps 0 27Revenue of Ps 254 37B   3 7  Y Y Press ReleaseNow read ,2018-04-25,Seeking Alpha,https://www.investing.com/news/stock-market-news/america-movil-sa-de-cv-reports-q1-results-1412723,1412723
205995,427511,AMX,Mexico stocks higher at close of trade  IPC up 0 25 ,news,"Investing com   Mexico stocks were higher after the close on Wednesday  as gains in the Telecoms Services  Consumer Staples and Financial Services sectors led shares higher 
At the close in Mexico  the IPC gained 0 25  
The best performers of the session on the IPC were  Grupo Financiero Inbursa   SAB De CV  MX GFINBURO   which rose 2 89  or 0 850 points to trade at 30 230 at the close  Meanwhile   America Movil L   S A B  De C V   MX AMXL  added 2 16  or 0 280 points to end at 13 230 and  Arca Continental   S A B  De C V   MX AC  was up 1 99  or 2 28 points to 116 89 in late trade 
The worst performers of the session were Grupo Carso  S A B  De C V   MX GCARSOA1   which fell 3 57  or 3 260 points to trade at 87 940 at the close  Industrias  Penoles  Sab De CV  MX PENOLES  declined 3 15  or 14 69 points to end at 450 92 and Banregio Grupo Financiero SAB De CV  MX GFREGIOO  was down 2 19  or 2 35 points to 105 02 
Falling stocks outnumbered advancing ones on the Mexico Stock Exchange by 142 to 128 and 4 ended unchanged 
Gold Futures for April delivery was down 0 66  or 8 05 to  1208 05 a troy ounce  Elsewhere in commodities trading  Crude oil for delivery in April fell 5 53  or 2 94 to hit  50 20 a barrel  while the May Brent oil contract fell 0 09  or 0 05 to trade at  53 12 a barrel 
USD MXN was down 0 09  to 19 6534  while EUR MXN fell 0 08  to 20 7204 
The US Dollar Index Futures was up 0 29  at 102 11 ",2017-03-08,Investing.com,https://www.investing.com/news/stock-market-news/mexico-stocks-higher-at-close-of-trade;-ipc-up-0.25-464770,464770
205996,427512,AMX,Mexico cranks up antitrust rules against Slim s America Movil,news,"MEXICO CITY  Reuters    Billionaire Carlos Slim s America Movil said on Wednesday that the Mexican telecommunications regulator had stepped up antitrust rules against the company  including ordering it to separate out part of its fixed line infrastructure  America Movil  MX AMXL   controlled by the family of Slim  has been subject to tougher regulations since 2014 as part of a sweeping sector reform aimed at making the market more competitive  It said the Federal Telecommunications Institute  IFT  ordered the company to create an independent entity from fixed line unit Telmex to offer competitors access to infrastructure  confirming a Reuters report from February that the change was being considered  An IFT spokesperson did not immediately respond to requests for comment  The  functional separation  would be based on a plan presented by Telmex to the IFT for its approval  America Movil said in a statement to the Mexican stock exchange  After describing what the resolution requires  the company criticized it  said it was analyzing it and that it will challenge the decision   The modifications and additions to the measures    confirm the lack of legal certainty and regulatory predictability in the sector   the company said  Alexander Elbittar  a researcher with Mexico s CIDE university who specializes in regulation and competition  said he was not surprised that America Movil will challenge the resolution as a means to keep its legal options open  While he emphasized that it remains to be seen how Telex will propose to structure the separation  he said the overarching resolution appears to be sound    This is a drastic measure but one that has had to be taken in markets that have featured very strong concentration  of market power  for many years   said Elbittar   The vote by the IFT was taken last week as part of a periodic review of antitrust rules  
Since the rules came into place  America Movil has seen its home profit margins squeezed from 45 percent to less than 30 percent  but it still holds a wireless market share of almost 70 percent ",2017-03-09,Reuters,https://www.investing.com/news/stock-market-news/mexico-steps-up-antitrust-rules-against-slim's-america-movil-464794,464794
205997,427513,AMX,Mexico s America Movil has 65 days to propose separation plan  IFT,news,MEXICO CITY  Reuters    Mexico s telecoms regulator said on Thursday that billionaire Carlos Slim s America Movil  MX AMXL  has 65 working days to present a proposal for the legal separation of a part of its fixed line unit Telmex   The Federal Telecommunications Institute  IFT  has stepped up antitrust rules against the company  ordering it to create an independent entity from fixed line unit Telmex to offer competitors access to infrastructure ,2017-03-09,Reuters,https://www.investing.com/news/stock-market-news/mexico's-america-movil-has-65-days-to-propose-separation-plan:-ift-464990,464990
205998,427514,AMX,Mexico stocks lower at close of trade  IPC down 0 58 ,news,"Investing com   Mexico stocks were lower after the close on Thursday  as losses in the Telecoms Services  Financial Services and Materials sectors led shares lower 
At the close in Mexico  the IPC fell 0 58  
The best performers of the session on the IPC were  Arca Continental   S A B  De C V   MX AC   which rose 1 33  or 1 55 points to trade at 118 44 at the close  Meanwhile   VOLARIS A   MX VOLARA  added 1 29  or 0 31 points to end at 24 42 and Ohl Mexico  S A B  De C V   MX OHLMEX  was up 1 28  or 0 270 points to 21 300 in late trade 
The worst performers of the session were  America Movil L   S A B  De C V   MX AMXL   which fell 4 54  or 0 600 points to trade at 12 630 at the close  Industrias  Penoles  Sab De CV  MX PENOLES  declined 2 58  or 11 64 points to end at 439 28 and Bolsa Mexicana De Valores SAB De CV  MX BOLSAA  was down 1 76  or 0 510 points to 28 420 
Rising stocks outnumbered declining ones on the Mexico Stock Exchange by 140 to 114 and 8 ended unchanged 
Gold Futures for April delivery was down 0 74  or 8 90 to  1200 50 a troy ounce  Elsewhere in commodities trading  Crude oil for delivery in April fell 1 33  or 0 67 to hit  49 61 a barrel  while the May Brent oil contract rose 0 10  or 0 05 to trade at  52 52 a barrel 
USD MXN was down 0 06  to 19 8255  while EUR MXN fell 0 01  to 20 9801 
The US Dollar Index Futures was down 0 13  at 101 98 ",2017-03-09,Investing.com,https://www.investing.com/news/stock-market-news/mexico-stocks-lower-at-close-of-trade;-ipc-down-0.58-465095,465095
205999,427515,AMX,Mexico stocks lower at close of trade  IPC down 0 21 ,news,"Investing com   Mexico stocks were lower after the close on Wednesday  as losses in the Telecoms Services  Healthcare and Financial Services sectors led shares lower 
At the close in Mexico  the IPC lost 0 21  
The best performers of the session on the IPC were Grupo Bimbo  S A B  De C V   MX BIMBOA   which rose 2 50  or 1 170 points to trade at 47 900 at the close  Meanwhile   PINFRA  SAB De CV  MX PINFRA  added 2 31  or 4 42 points to end at 196 00 and Alpek  S A B  De C V   MX ALPEKA  was up 2 12  or 0 430 points to 20 750 in late trade 
The worst performers of the session were Banregio Grupo Financiero SAB De CV  MX GFREGIOO   which fell 2 54  or 2 81 points to trade at 107 98 at the close   Fomento Economico Mexicano UBD   MX FMSAUBD  declined 1 80  or 3 10 points to end at 168 74 and  America Movil L   S A B  De C V   MX AMXL  was down 1 69  or 0 230 points to 13 340 
Falling stocks outnumbered advancing ones on the Mexico Stock Exchange by 166 to 118 and 10 ended unchanged 
Gold Futures for April delivery was up 0 14  or 1 75 to  1248 25 a troy ounce  Elsewhere in commodities trading  Crude oil for delivery in May fell 0 19  or 0 09 to hit  48 15 a barrel  while the May Brent oil contract fell 0 43  or 0 22 to trade at  50 74 a barrel 
USD MXN was down 0 36  to 19 0234  while EUR MXN fell 0 49  to 20 5456 
The US Dollar Index Futures was down 0 08  at 99 47 ",2017-03-22,Investing.com,https://www.investing.com/news/stock-market-news/mexico-stocks-lower-at-close-of-trade;-ipc-down-0.21-468124,468124
