,id,ticker,title,category,content,date,provider,url,article_id
106919,328434,ARNA,After Hours Gainers   Losers  3 19 2018 ,news,Top gainers  ARNA  24 6   ELGX  8 1   HLIT  6 4   AMTX  6 2   MRNS  6 1  Top losers  PTI  7 3   GLYC  4 6   ORCL  3 6   TVIX  2 8   ADVM  2 3   Now read ,2018-03-19,Seeking Alpha,https://www.investing.com/news/stock-market-news/after-hours-gainers--losers-3192018-1349118,1349118
106920,328435,ARNA,Genkyotex advancing PBC candidate GKT831  Phase 2 data readout in coming months,news,French biotech Genkyotex announces the completion of enrollment 90 subjects necessary for an interim analysis in its Phase 2 clinical trial evaluating lead candidate GKT831 in patients with primary biliary cholangitis  PBC   Preliminary results  expected this fall  will be assessed when patients have completed six weeks of dosing The 24 week  double blind  placebo controlled study will enroll a total of102 PBC patients who have not responded adequately to ursodeoxycholic acid  UDCA   Participants will be randomized into three arms  UDCA   placebo  UDCA   GKT831 400 mg daily and UDCA   GKT831 400 mg twice daily GKT831 inhibits a family of enzymes called NOX  oxidases that are associated with diseases like atherosclerosis  hypertension  cancer  and endocrine disorders PBG related tickers  CBAY  ICPT  ARNA  ENTA  RTRXNow read ,2018-08-27,Seeking Alpha,https://www.investing.com/news/stock-market-news/genkyotex-advancing-pbc-candidate-gkt831-phase-2-data-readout-in-coming-months-1588338,1588338
106921,328436,ARNA,Arena Pharm s long acting ralinepag shows encouraging action in early stage studies  shares up 2 ,news,Arena Pharmaceuticals  ARNA  1 9   is up on average volume on the heels of its announcement of data from two Phase 1 clinical trials evaluating the pharmacokinetics of its extended release formulation of ralinepag  a prostacyclin receptor agonist in development for the treatment of pulmonary arterial hypertension  PAH   The results were presented at the ESC Congress in Munich The studies showed that the ralinepag XR tablet formulation demonstrated improved pharmacokinetic performance over Actelion Pharmaceuticals   OTCPK ALIOF  OTCPK ALIOY  UPTRAVI  selexipag  and its active metabolite via its extended half life of 28 29 hours and low peak trough fluctuation with once daily dosing According to CMO Preston Klassen  M D   MHS  the pharmacokinetics of ralinepag XR is on par with infused intravenous prostacyclin Now read ,2018-08-28,Seeking Alpha,https://www.investing.com/news/stock-market-news/arena-pharms-longacting-ralinepag-shows-encouraging-action-in-earlystage-studies-shares-up-2-1590022,1590022
106922,328437,ARNA,Arena Pharma s ralinepag shows durable treatment effect in mid stage PAH extension study  shares up 1  premarket,news,Arena Pharmaceuticals  NASDAQ ARNA  is up 1  premarket  albeit on only 100 shares  on the heels of its announcement of positive long term data from an open label extension of a Phase 2 clinical trial evaluating ralinepag  a prostacyclin receptor agonist  in patients with pulmonary arterial hypertension  PAH  Patients who continued on ralinepag had a median duration of treatment of 1 8 years at the time of right heart catheterization  They showed sustained improvements from baseline pulmonary vascular resistance  PVR   a measure of the extent that pulmonary circulation  resists  cardiac output  and 6 minute walk test distance  The separation from control was statistically significant Patients switching from placebo to ralinepag  median duration of treatment   1 4 years  experienced similar statistically valid sustained treatment benefits Most of the patients were already receiving dual combination PAH background therapy No new safety signals were observed Ralinepag is currently in Phase 3 development Now read ,2018-10-02,Seeking Alpha,https://www.investing.com/news/stock-market-news/arena-pharmas-ralinepag-shows-durable-treatment-effect-in-midstage-pah-extension-study-shares-up-1-premarket-1631668,1631668
106923,328438,ARNA,QURE  ARNA and CSCO among premarket gainers,news,uniQure N V   NASDAQ QURE   26  after AMT 061 shows positive action in mid stage hemophilia B study  Arena Pharmaceuticals  NASDAQ ARNA   19  after out licensing ralinepag to United Therapeutics for up to  1 2B  New Age Beverages  NASDAQ NBEV   17  on Q3 earnings   NewLink Genetics   NASDAQ NLNK   13   Naked Brand Group  NASDAQ NAKD   8  after completing acquisition of FOH Online Corp   Vipshop Holdings   NYSE VIPS   7  on Q3 earnings   Amarin  Corporation  NASDAQ AMRN   5   Cisco Systems  NASDAQ CSCO   5  on Q1 earnings  Now read ,2018-11-15,Seeking Alpha,https://www.investing.com/news/stock-market-news/qure-arna-and-csco-among-premarket-gainers-1689904,1689904
106928,328443,ARNA,United Therapeutics  UTHR  Q4 Earnings   Sales Beat Estimates,opinion,United Therapeutics Corporation   NASDAQ UTHR   reported adjusted earnings of  3 34 per share for the fourth quarter of 2018  which beat the Zacks Consensus Estimate of  2 54  However  the bottom line declined 14 1  year over year Adjusted earnings excluded the impact of share based compensation expenses  impairment charge related to investment in a privately held company  one time license fee and some other items  Including these items  reported earnings came in at  1 48 per share compared with 43 cents in the year ago quarter Revenues for the reported quarter were  381 4 million  beating the Zacks Consensus Estimate of  357 7 million  Revenues  however  fell 17 9  year over year owing to loss of exclusivity for Adcirca Shares of United Therapeutics rose almost 3  on Feb 27 following the impressive fourth quarter results  In fact  the stock has risen 15 3  this year so far Quarter in DetailUnited Therapeutics markets four products for the treatment of PAH   Remodulin  Tyvaso  Adcirca and Orenitram  Please note that United Therapeutics bought exclusive rights to commercialize Adcirca  tadalafil  for the treatment of PAH in the United States from Eli Lilly   NYSE LLY   in November 2008  Eli Lilly markets tadalafil as Cialis for erectile dysfunction Adcirca sales were  41 7 million  down 65  year over year as generic competition resulted in lower volumes in the quarter  Adcirca experienced loss of exclusivity in May this year and a generic formulation was launched by Mylan  NASDAQ MYL  in August and by Dr Reddy s earlier this month  A higher allowance for product returns offset a price increase by Lilly and also hurt Adcirca s sales Orenitram sales amounted to  49 6 million in the reported quarter  up 3 3  year over year due to an increase in the number of patients being treated with the drug and price hikes  Remodulin sales were  159 1 million  down 11 7  year over year owing to lower sales in international markets  which offset higher U S  sales  Tyvaso sales totaled  106 9 million  up 15 7  year Unituxin s  for the treatment of pediatric patients with high risk neuroblastoma  sales of  24 1 million were down 3 2  year over year Research and development  R D  expenses escalated 52 9  to  139 9 million mainly on account of up front payment of  45 0 million made to MannKind related to the acquisition of latter s phase III ready investigational drug device combination product  Treprostinil Technosphere in October General and administrative  G A  expense rose 13  to  58 1 million while sales and marketing  S M  expense declined 4 0  to 16 9 million 2018 ResultsFull year 2018 sales declined 5 7  to  1 63 billion  slightly beating the Zacks Consensus Estimate of  1 60 billion Adjusted earnings for 2018 were  15 36 which surpassed the Zacks Consensus Estimate of  15 14 per share  However  earnings declined 7  year over year Pipeline Update United Therapeutics is working on expanded indications for some of its marketed products like Orenitram and Tyvaso  The company  at present  has six phase III programs in the fields of cardiopulmonary diseases and oncology  A phase III FREEDOM EV study evaluated an oral combination therapy of Orenitram   OreniPlus In August  United Therapeutics announced preliminary data from the study  The study met the primary endpoint  showing that Orenitram in combination with an oral PAH background therapy  delayed disease progression  United Therapeutics has submitted regulatory application in the United States to get FREEDOM EV data included on the label of Orenitram Meanwhile  a phase III BEAT study is evaluating Tysuberprost   esuberaprost in combination with Tyvaso while the phase II III DISTINCT study is evaluating dinutuximab  the active ingredient in Unituxin  for small cell lung cancer  United Therapeutics expects to unblind data from both the studies in March United Therapeutics is working on bringing multiple second generation Remodulin drug delivery systems to drive Romudulin sales growth  In July  United Therapeutics gained FDA approval for Remodulin Injection in the Implantable System for Remodulin   ISR   The company had developed this implantable pump for delivering Remodulin intravenously in collaboration with Medtronic  Inc    NYSE MDT    United Therapeutics and Medtronic pursued parallel regulatory filings related to the device and the drug  The company expects to be ready for commercial launch by early 2019 United Therapeutics also developed RemUnity  a pre filled  semi disposable pump system for subcutaneous delivery of Remodulin  RemUnity  in partnership with DEKA  In February 2018  DEKA filed RemUnity with the FDA  510 k  filing that was accepted for review by the FDA  Further  a regulatory application for Trevyent  the drug device pipeline product for PAH  acquired from the August merger with SteadyMed  is expected to be resubmitted during the first half of 2019  RemUnity and Trevyent  if approved  will provide two expanded options for patients on subcutaneous Remodulin RemoPro  a pain free subcutaneous Remodulin prodrug  is in phase I studies Licensing DealsIn 2018  United Therapeutics signed four major agreements to acquire new product candidates  the latest being the worldwide rights to manufacture and develop commercialize Arena Pharmaceuticals  Inc  s   NASDAQ ARNA   oral  potent  once daily IP receptor agonist ralinepag  Ralinepag is being developed in late stage studies for PAH  The deal  which was the largest for United Therapeutics to date  was announced in November 2018 and concluded last month  Upon closing  United Therapeutics paid Arena  800 million while the latter is also entitled to potential milestone payments of up to  400 million We believe that with the deal United Therapeutics adds a quality PAH asset to its portfolio  Considering the extensive experience it has in the PAH market  it is strongly placed to get this pipeline candidate approved and make it a commercial success  Further  the purchase of ralinepag removes potential completion to United Therapeutics  PAH products United Therapeutics currently carries a Zacks Rank  3  Hold   You can see  Zacks  Top 10 Stocks for 2019In addition to the stocks discussed above  would you like to know about our 10 finest buy and holds for the year Who wouldn t  Our annual Top 10s have beaten the market with amazing regularity  In 2018  while the market dropped  5 2   the portfolio scored well into double digits overall with individual stocks rising as high as  61 5   And from 2012 2017  while the market boomed  126 3  Zacks  Top 10s reached an even more sensational  181 9  ,2019-02-27,Zacks Investment Research,https://www.investing.com/analysis/united-therapeutics-uthr-q4-earnings--sales-beat-estimates-200393549,200393549
106930,328445,ARNA,United Therapeutics  UTHR  Down Despite Q1 Earnings Beat,opinion,"United Therapeutics Corporation   NASDAQ UTHR   reported adjusted earnings of  3 58 per share for the first quarter of 2019  which beat the Zacks Consensus Estimate of  2 64  However  the bottom line declined 5  year over year Adjusted earnings excluded the impact of share based compensation expenses  one time license fee and a tax benefit  Including these items  reported loss per share was  11 32 per share against earnings of  5 57 in the year ago quarter  The one time license fee comprised an  800 0 million upfront payment to Arena Pharmaceuticals  Inc    NASDAQ ARNA   and  12 5 million payment to MannKind Corporation   NASDAQ MNKD   In January this year  United Therapeutics acquired worldwide rights to manufacture and develop commercialize Arena s oral  potent  once daily IP receptor agonist ralinepag  Ralinepag is being developed in late stage studies for pulmonary arterial hypertension  PAH   In October last year  United Therapeutics in licensed MannKind s phase III ready investigational drug device combination product  Treprostinil Technosphere  The product combines MannKind s dry inhalation technology with treprostinil for the treatment of PAH Revenues for the reported quarter were  362 6 million  which beat the Zacks Consensus Estimate of  330 5 million  Revenues  however  fell 7  year over year owing to loss of exclusivity for Adcirca United Therapeutics Corporation Price  Consensus and EPS Surprise
    
Quarter in DetailUnited Therapeutics markets four products for the treatment of PAH   Remodulin  Tyvaso  Adcirca and Orenitram  Please note that United Therapeutics bought exclusive rights to commercialize Adcirca  tadalafil  for the treatment of PAH in the United States from Eli Lilly   NYSE LLY   in November 2008  Eli Lilly markets tadalafil as Cialis for erectile dysfunction Adcirca sales were  20 0 million  down 80  year over year as generic competition resulted in lower volumes in the quarter  Adcirca experienced loss of exclusivity in May last year and a generic formulation was launched by Mylan  NASDAQ MYL  in August Orenitram sales amounted to  58 4 million in the reported quarter  up 12  year over year due to an increase in the number of patients being treated with the drug and price hikes  Remodulin sales were  155 5 million  up 23  year over year due to higher sales in both the United States and international markets  Sales in the United States rose due to an increase in the number of patients and a price increase implemented last year  Tyvaso sales totaled  103 8 million  up 10  year driven by patient growth and price increase Unituxin s  for the treatment of pediatric patients with high risk neuroblastoma  sales of  24 9 million were up 38  year over year due to an increase in the number of vials sold Research and development  R D  expenses were  893 8 million in the quarter million mainly on account of the one time license fee compared to  58 2 million in the previous quarter General and administrative  G A  expense rose 2  to  53 9 million  Sales and marketing  S M  expense rose 2  to 13 6 million Pipeline UpdateUnited Therapeutics is working on expanded indications for some of its marketed products like Orenitram and Tyvaso  A phase III FREEDOM EV study evaluated an oral combination therapy of Orenitram   OreniPlus  In August 2018  United Therapeutics announced preliminary data from the study  The study met the primary endpoint  showing that Orenitram in combination with an oral PAH background therapy delayed disease progression  United Therapeutics has submitted regulatory application in the United States to get FREEDOM EV data included on the label of Orenitram However  in April  United Therapeutics announced that a phase III BEAT study did not meet its primary endpoint  The study was evaluating pipeline candidate esuberaprost in combination with Tyvaso as Tysuberprost in patients with PAH who showed signs of deterioration on Tyvaso or had a less than optimal response to Tyvaso treatment  The primary endpoint of delayed time to first clinical worsening event was not successfully met in the study  As a result  United Therapeutics decided to discontinue further development of esuberaprost Other phase III programs include Tyvaso ILD  Tyvaso being evaluated in patients with PAH associated with idiopathic pulmonary fibrosis   phase III INCREASE study   OreniLeft  Orenitram for PAH with left ventricular diastolic dysfunction   phase III SOUTHPAW study   gene therapy  Aurora GT  for PAH  phase II III SAPPHIRE study  and inhaled treprostinil in PAH patients who have COPD  phase III PERFECT study  The company is also working on bringing multiple second generation Remodulin drug delivery systems to drive Romudulin sales growth  In July last year  United Therapeutics gained FDA approval for Remodulin Injection in the Implantable System for Remodulin  ISR   United Therapeutics had developed this implantable pump for delivering Remodulin intravenously in collaboration with Medtronic  NYSE MDT   United Therapeutics and Medtronic pursued parallel regulatory filings related to the device and the drug  On the first quarter conference call  the company said it expects to be ready for commercial launch by the second half of this year  delayed from earlier expectations of being ready by early 2019 United Therapeutics also developed a pre filled  semi disposable pump system for subcutaneous delivery of Remodulin  RemUnity  in partnership with DEKA  In February 2018  DEKA filed RemUnity with the FDA per a 510 k  filing that was accepted for review by the FDA  An approval is expected soon  RemoPro  a pain free subcutaneous Remodulin prodrug  is in phase I studies Meanwhile  following the August merger with SteadyMed  United Therapeutics added the latter s drug device pipeline product Trevyent for PAH to its portfolio  which could have posed competition to ISR  Trevyent is a single use  pre filled pump that has been developed by SteadyMed to deliver a two day supply of treprostinil subcutaneously using SteadyMed s PatchPump technology to treat PAH  Though SteadyMed received a refuse to file letter from the FDA for want of further information  SteadyMed intends to resubmit it during the first half of 2019  RemUnity and Trevyent  if approved  will provide two expanded options for patients on subcutaneous Remodulin Despite the first quarter earnings and sales beat  shares of United Therapeutics declined more than 3  on May 1 probably due to the delay in the commercial launch timeline of ISR  In fact  the stock has declined 8 8  this year so far against the  s increase of 9 5  United Therapeutics currently carries a Zacks Rank  3  Hold   You can see  Zacks  Top 10 Stocks for 2019In addition to the stocks discussed above  would you like to know about our 10 finest buy and holds for the year Who wouldn t  Our annual Top 10s have beaten the market with amazing regularity  In 2018  while the market dropped  5 2   the portfolio scored well into double digits overall with individual stocks rising as high as  61 5   And from 2012 2017  while the market boomed  126 3  Zacks  Top 10s reached an even more sensational  181 9  ",2019-05-01,Zacks Investment Research,https://www.investing.com/analysis/united-therapeutics-uthr-down-despite-q1-earnings-beat-200415577,200415577
106932,328447,ARNA,Arena Pharmaceuticals   ARNA  Loss Widens In Q1 But Stock Up,opinion,"Arena Pharmaceuticals  Inc    NASDAQ ARNA   reported adjusted loss of  1 07 per share for the first quarter of 2019  which was wider than the Zacks Consensus Estimate of a loss of 82 cents The adjusted loss excludes an income tax provision of  110 million and revenues of  785 5 million  net of costs  received from United Therapeutics  Inc    NASDAQ UTHR   as upfront payment  The company had incurred loss of 80 cents per share in the year ago quarter In January 2019  Arena out licensed the global rights to its pulmonary arterial hypertension  PAH   candidate  ralinepag to United Therapeutics  The company received an upfront payment of  800 million and is eligible to receive up to  400 million in potential milestone payments and tiered low double digit royalties on the net sales of ralinepag from United Therapeutics  which is now responsible for further development and commercialization of the candidate Arena s total revenues came in at  801 1 million  including upfront payment of  800 million from United Therapeutics  Revenues included  0 97 million of royalty revenues and  0 08 million of collaboration revenues  The Zacks Consensus Estimate for revenues was pegged at  6 million  In the year ago quarter  Arena had recorded  1 8 million as collaboration royalty revenues Shares of Arena increased 1 2  in after hours trading on Wednesday  Moreover  the stock has gained 27 1  this year so far  outperforming the  s increase of 3 2    Research   development  R D  expenses soared 110 4  from the prior year level to  45 4 million General and administrative expenses surged 48 7  from the year ago level to  16 6 million Pipeline UpdateArena s pipeline currently consists of two key candidates  namely etrasimod  autoimmune diseases  and olorinab  pain and fibrotic diseases  Etrasimod is presently in mid stage development for ulcerative colitis  In January 2019  the company announced positive data from its open label extension  OLE  of the phase II OASIS study demonstrating sustained clinical response and clinical remission in patients after 46 weeks of treatment  The company is preparing to start phase III study on the candidate for the given indication by mid 2019  Etrasimod has the potential to be developed for additional indications beyond ulcerative colitis  The company is planning to initiate a phase II III study to develop it for Crohn s disease  The company is also planning to start a phase II study in patients with atopic dermatitis Another candidate  olorinab  APD371  was successful in a phase IIa study evaluating it as a treatment for pain associated with Crohn s disease  A phase IIb study is being planned for the treatment of gastrointestinal pain Zacks Rank   Key PicksArena currently carries a Zacks Rank  3  Hold   Some better ranked stocks in the biotech sector include Celsion Corporation   NASDAQ CLSN   and Fibrocell Science Inc   NASDAQ FCSC    both sporting a Zacks Rank  1  Strong Buy   You can see  Arena Pharmaceuticals  Inc  Price  Consensus and EPS Surprise
     
Celsion s loss estimates narrowed from 94 cents to 78 cents for both 2019 and 2020 over the past 60 days  Its shares have risen 55 3  this year so far Fibrocell s loss estimates narrowed from  2 68 to  1 15 for 2019 and from  2 55 to 97 cents for 2020 over the past 60 days  The stock has gone up 52  this year so far This Could Be the Fastest Way to Grow Wealth in 2019Research indicates one sector is poised to deliver a crop of the best performing stocks you ll find anywhere in the market  Breaking news in this space frequently creates quick double  and triple digit profit opportunities These companies are changing the world   and owning their stocks could transform your portfolio in 2019 and beyond  Recent trades from this sector have generated  98    119  and  164  gains in as little as 1 month ",2019-05-08,Zacks Investment Research,https://www.investing.com/analysis/arena-pharmaceuticals-arna-loss-widens-in-q1-but-stock-up-200419517,200419517
106934,328449,ARNA,United Therapeutics  Trevyent NDA For PAH Accepted By FDA,opinion,United Therapeutics Corporation s   NASDAQ UTHR   new drug application for its drug device combination product  Trevyent  was accepted for review by the FDA  The FDA is expected to give its decision on Trevyent NDA on Apr 27  2020 Trevyent is a single use  pre filled pump that has been developed by SteadyMed to deliver a two day supply of treprostinil subcutaneously using SteadyMed s PatchPump technology to treat pulmonary arterial hypertension  PAH   Trevyent was added to United Therapeutics  portfolio following the August 2018 merger with SteadyMed In 2017  SteadyMed received a refuse to file letter from the FDA for Trevyent NDA for want of further information  United Therapeutics resubmitted the NDA in June 2019 United Therapeutics markets treprostinil under the trade name Remodulin as an injectable formulation  Orenitram for oral use  and Tyvaso as an inhaled formulation to treat PAH Shares of United Therapeutics have declined 23 9  this year so far against the  s increase of 5 4    United Therapeutics has developed another pre filled  semi disposable pump system  RemUnity for subcutaneous delivery of Remodulin in partnership with DEKA  In February 2018  DEKA filed RemUnity with the FDA  510 k  filing  that was cleared by the FDA in May 2019  United Therapeutics intends to launch the product after it gets an FDA clearance for a special 510 k  filing  which DEKA plans to submit to the FDA shortly RemUnity and Trevyent  if approved  will provide two expanded options for patients on subcutaneous Remodulin United Therapeutics has also developed Remodulin Injection in the Implantable System for Remodulin  ISR  in collaboration with Medtronic   NYSE MDT    It gained FDA approval for this implantable pump for delivering Remodulin intravenously in July 2018 United Therapeutics and Medtronic pursued parallel regulatory filings related to the device and the drug  The system has been developed to eliminate two biggest problems with Remodulin  subcutaneous pain and life threatening sepsis risk  The company expects to launch ISR in 2020  RemoPro  a pain free subcutaneous Remodulin prodrug  is in phase I studies In 2018 early 2019  United Therapeutics signed four major agreements to acquire new product candidates including Trevyent In January 2019  United Therapeutics acquired worldwide rights to manufacture and develop commercialize Arena Pharmaceuticals    NASDAQ ARNA   oral  potent  once daily IP receptor agonist ralinepag  Ralinepag is being developed in late stage studies for PAH In October 2018  United Therapeutics in licensed MannKind s   NASDAQ MNKD   phase III ready investigational drug device combination product  Treprostinil Technosphere  The product combines MannKind s dry inhalation technology with treprostinil for the treatment of PAH  In September  it in licensed the U S  and Canadian rights to Samumed s SM04646  a phase I development stage oral Wnt pathway inhibitor  to treat idiopathic pulmonary fibrosis United Therapeutics currently carries a Zacks Rank  3  Hold   You can see  Breakout Biotech Stocks with Triple Digit Profit PotentialThe biotech sector is projected to surge beyond  775 billion by 2024 as scientists develop treatments for thousands of diseases  They re also finding ways to edit the human genome to literally erase our vulnerability to these diseases Zacks has just released Century of Biology  7 Biotech Stocks to Buy Right Now to help investors profit from 7 stocks poised for outperformance  Our recent biotech recommendations have produced gains of  98    119  and  164  in as little as 1 month  The stocks in this report could perform even better ,2019-09-11,Zacks Investment Research,https://www.investing.com/analysis/united-therapeutics-trevyent-nda-for-pah-accepted-by-fda-200464155,200464155
106935,328450,ARNA,Premarket analyst action   healthcare,news,Advanced Accelerator Applications   NASDAQ AAAP  initiated with Overweight rating and  50 price target by JPMorgan  NYSE JPM  Achaogen  NASDAQ AKAO  initiated with Buy rating and  29  31  upside  price target by H C  Wainwright  Shares are down a fraction premarket Arena Pharmaceuticals  NASDAQ ARNA  initiated with Overweight rating and  4  196  upside  price target by Cantor Fitzgerald  Shares are down 7  premarket on increased volume HealthSouth  NYSE HLS  initiated with Sector Weight rating  Sector Perform   rating by Keybanc  Healthcare Realty Trust   NYSE HR  downgraded to Hold with a  36  1  upside  price target by Jefferies Source  BloombergNow read ,2017-06-15,Seeking Alpha,https://www.investing.com/news/stock-market-news/premarket-analyst-action---healthcare-495798,495798
