,id,ticker,title,category,content,date,provider,url,article_id
6674,228189,ASR,Moving Average Crossover Alert  Grupo Aeroportuario Del Sureste,opinion,Grupo Aeroportuario del Sureste  S  A  B  de C  V    NYSE ASR   is looking like an interesting pick from a technical perspective  as the company is seeing favorable trends on the moving average crossover front  Recently  the 50 Day Moving Average for ASR broke out above the 200 Day Simple Moving Average  suggesting a short term bullish trend This has already started to take place  as the stock has moved higher by 10 1  in the past four weeks  Plus  the company currently has a Zacks Rank  2  Buy  suggesting that now could definitely be the time for this breakout candidate More bullishness may especially be the case when investors consider what has been happening for ASR on the earnings estimate revision front lately  No estimate has gone lower in the past two months  compared to 3 higher  while the consensus estimate has also moved higher too So given this move in estimates  and the positive technical factors  investors may want to watch this breakout candidate closely for more gains in the near future  You can see  Just Released  Zacks  7 Best Stocks for TodayExperts extracted 7 stocks from the list of 220 Zacks Rank  1 Strong Buys that has beaten the market more than 2X over with a stunning average gain of  24 5  per year These 7 were selected because of their superior potential for immediate breakout ,2019-11-20,Zacks Investment Research,https://www.investing.com/analysis/moving-average-crossover-alert-grupo-aeroportuario-del-sureste-200486957,200486957
6678,228193,ASR,C H  Robinson Closes APC Logistics Buyout  Expands Base,opinion,C H  Robinson Worldwide Inc    NASDAQ CHRW   recently announced that it has completed the acquisition of APC Logistics  The acquired company is one of the top providers of freight forwarding and customer brokerage services in Australia and New Zealand  The company serves more than 3000 suppliers and customers in these regions C H  Robinson will be setting up a new region to the its Global Forwarding division called Oceania which will include APC Logistics  The company shall also onboard APC Logistics to its global technology platform  Navisphere  The deal has been valued at AUD 300 million  The acquisition  related fees and expenses were funded with cash and funds drawn from the acquirer s current revolving credit facility  C H  Robinson believes that the transaction will be modestly accretive to its earnings Benefits of the AcquisitionThe deal is expected to benefit both the acquirer and the acquired company   The buyout has helped C H  Robinson to expand its global operations as well as add more capabilities and expertise to its services  The company expects to gain from APC Logistics  commendable customer and carrier relationships in the region Zacks Rank and Stocks to ConsiderC H  Robinson currently carries a Zacks Ranks  3  Hold   A better ranked stock in the transportation services sector includesGreen Plains Partners LP   NASDAQ GPP   which saw earning estimate improving by 2 cents over the past 60 days with a Zacks Rank  1  Strong Buy   You can see   Green Plains Partners provides ethanol and fuel storage  terminal and transportation services and is based out of Omaha  Nebraska Investors can also consider other stocks in the broad transportation sector such as Mexican airport operatorGrupo Aeroportuario del Sureste  SAB de CV   NYSE ASR   which saw earnings estimates being increased by 1 cent over the past 60 days and low cost U S  airline JetBlue Airways Corp    NASDAQ JBLU   which also saw earnings estimate being increased by 1 cent over the past week  Both stocks carry a Zacks Rank  2  Buy  Confidential from ZacksBeyond this Analyst Blog  would you like to see Zacks  best recommendations that are not available to the public  Our Executive VP  Steve Reitmeister  knows when key trades are about to be triggered and which of our experts has the hottest hand ,2016-10-03,Zacks Investment Research,"https://www.investing.com/analysis/c.h.-robinson-closes-apc-logistics-buyout,-expands-base-200157029",200157029
6679,228194,ASR,6 Stocks   ETFs To Avoid On Trump s Win ,opinion,"Now that the U S  citizens have elected Republican Donald Trump as their president  the whole world is busy speculating and analyzing the impact of his economic plans on several asset classes  The initial shock resulted in a crash in market futures  though investors nerves soothed in the key trading session following Trump s  acceptance speech 
In fact  several corners of the ETF world saw bountiful gains and hit 52 week highs  But some corners of the investing world are likely to be hit hard  Below we highlight 5 ETFs and stocks that are in a high risk zone now 
Technology
Trump is expected to take stricter steps on immigration and outsourcing   the both pillars that the tech sector stands on  Several technology companies like Apple   NASDAQ AAPL   outsource their manufacturing activities to low cost countries like China and Taiwan  Speculation is rife that  tax will be levied on products manufactured outside the U S  Technology Select Sector SPDR ETF  NYSE XLK   will thus likely come under pressure and lost over 0 1  on November 9  read    
Auto 
The same logic is applicable for the automotive sector too  Companies like Ford Motors   NYSE F   and General Motors   NYSE GM   get their  outsourced from Mexico  So  these companies may also bear the brunt of outsourcing  Moreover  Ford and General Motors normally enjoy huge U S  government  which they might lose in the outsourcing practice  In any case  U S  auto sales declined for the third consecutive month in October  So  the underlying trend for the sector is definitely not upbeat  First Trust NASDAQ Global Auto ETF   NASDAQ Z   was down about 1 9  on November 9  read    
Mexico
Trump s win has by now become synonymous with Mexico s loss  Mexico is a Trump unfriendly investment due to his plans of building a wall along the border as part of his immigration strategy and making Mexico pay for it  read    
Mexico peso slumped over  to a record low on cues of Trump s victory and Mexico ETF iShares MSCI Mexico Capped  was down over 8 5  on November 9  Several Mexican stocks like Grupo Aeroportuario del Sureste  SAB de CV   NYSE ASR   and CEMEX  S A B  de C V    NYSE CX   are now in danger  ASR and CX were down 6 8  and 7 1  respectively on November 9 
Emerging Market
Yet again  the overall emerging market bloc may fall prey to Trump s international policies and trade plans  Already Trump has raised questions over the longevity of trade agreements with Mexico and Canada and has opposed the  trade deal  And since several emerging markets including China are low cost producers and known for outsourcing  migration of services and production back to America may weigh on emerging market growth 
Emerging market ETFs like iShares MSCI Emerging Markets   down over 3 2  on November 9   Asia ETFs like iShares Asia 50   down about 2 8   or stocks like Kandi Technologies Group Inc    NASDAQ KNDI    down 12 4    ZTO EXPRESS  CAYMAN  INC    NASDAQ Z    down about 7 3   and AU Optronics Corp    NYSE AUO    down over 6 1  maythus feel the pinch 
Alternative Energy
With Trump pledging to boost fossil fuel  alternative energy ETFs like PowerShares WilderHill Clean Energy Portfolio ETF   First Trust NASDAQ Clean Edge Green Energy Index Fund  and Guggenheim Solar ETF   LON TAN   will likely be hit hard  PBW  QCLN and TAN lost about 2 1   1 1  and 5 6   respectively  read    
Solar stocks like Vivint Solar  Inc    NYSE VSLR    down 6 3  on November 9   Yingli Green Energy Holding Co  Ltd    NYSE YGE    down 5 3   and JinkoSolar Holding Co  Ltd    NYSE JKS    down over 8 4   are at knifepoint now 
Hospital
As Trump has already vowed to repeal  Obamacare  and launch  Trumpcare    beneficiaries of the Affordable Care Act like Hospital stocks may be under the gun  Hospital stock HCA Holdings  Inc    NYSE HCA   plunged about 10 8  on November 9 On the ETF front healthcare providers fund iShares US Healthcare Providers   NYSE F   ormedical devices fundiShares US Medical Devices  lost about 1 5  and over 1 1   respectively on November 9 
Want key ETF info delivered straight to your inbox  
Zacks  free Fund Newsletter will brief you on top news and analysis  as well as top performing ETFs  each week ",2016-11-10,Zacks Investment Research,https://www.investing.com/analysis/6-stocks---etfs-to-avoid-on-trump's-win-200163998,200163998
6680,228195,ASR,Mexico stocks higher at close of trade  IPC up 1 00 ,news,"Investing com   Mexico stocks were higher after the close on Friday  as gains in the Industrials  Healthcare and Financial Services sectors led shares higher 
At the close in Mexico  the IPC added 1 00  
The best performers of the session on the IPC were Grupo Aeroportuario Del Sureste  MX ASURB   which rose 3 54  or 12 95 points to trade at 378 53 at the close  Meanwhile   Grupo Financiero Inbursa   SAB De CV  MX GFINBURO  added 3 15  or 1 000 points to end at 32 720 and  PINFRA  SAB De CV  MX PINFRA  was up 2 58  or 5 05 points to 201 11 in late trade 
The worst performers of the session were Industrias  Penoles  Sab De CV  MX PENOLES   which fell 1 66  or 7 01 points to trade at 414 84 at the close  Ohl Mexico  S A B  De C V   MX OHLMEX  declined 1 16  or 0 260 points to end at 22 100 and  Nemak SAB de CV   MX NEMAKA  was down 0 91  or 0 18 points to 19 60 
Rising stocks outnumbered declining ones on the Mexico Stock Exchange by 181 to 83 and 8 ended unchanged 
Gold Futures for June delivery was up 0 12  or 1 51 to  1230 11 a troy ounce  Elsewhere in commodities trading  Crude oil for delivery in June rose 2 00  or 0 91 to hit  46 43 a barrel  while the July Brent oil contract rose 2 03  or 0 98 to trade at  49 36 a barrel 
USD MXN was down 0 34  to 18 9851  while EUR MXN fell 0 33  to 20 8701 
The US Dollar Index Futures was down 0 17  at 98 44 ",2017-05-05,Investing.com,https://www.investing.com/news/stock-market-news/mexico-stocks-higher-at-close-of-trade;-ipc-up-1.00-480731,480731
6681,228196,ASR,Mexico stocks lower at close of trade  IPC down 0 80 ,news,"Investing com   Mexico stocks were lower after the close on Thursday  as losses in the Telecoms Services  Financial Services and Industrials sectors led shares lower 
At the close in Mexico  the IPC fell 0 80  
The best performers of the session on the IPC were  Grupo LALA SA de CV   MX LALAB   which rose 2 58  or 0 90 points to trade at 35 83 at the close  Meanwhile  Industrias  Penoles  Sab De CV  MX PENOLES  added 2 45  or 10 67 points to end at 445 60 and Grupo Bimbo  S A B  De C V   MX BIMBOA  was up 2 19  or 0 990 points to 46 280 in late trade 
The worst performers of the session were Grupo Aeroportuario Del CentroNorte  MX OMAB   which fell 3 07  or 3 280 points to trade at 103 610 at the close  Grupo Aeroportuario Del Sureste  MX ASURB  declined 3 02  or 11 41 points to end at 367 00 and  America Movil L   S A B  De C V   MX AMXL  was down 2 84  or 0 420 points to 14 350 
Falling stocks outnumbered advancing ones on the Mexico Stock Exchange by 194 to 115 and 9 ended unchanged 
Gold Futures for June delivery was up 0 49  or 5 96 to  1224 86 a troy ounce  Elsewhere in commodities trading  Crude oil for delivery in June rose 1 04  or 0 49 to hit  47 82 a barrel  while the July Brent oil contract rose 1 08  or 0 54 to trade at  50 76 a barrel 
USD MXN was down 0 85  to 18 8548  while EUR MXN fell 0 89  to 20 4803 
The US Dollar Index Futures was up 0 01  at 99 51 ",2017-05-11,Investing.com,https://www.investing.com/news/stock-market-news/mexico-stocks-lower-at-close-of-trade;-ipc-down-0.80-483366,483366
6682,228197,ASR,Grupo Aeroportuario del Sureste updates on traffic,news,Grupo Aeroportuario del Sureste  NYSE ASR  reports domestic passenger traffic increased 11 0  in June at its 9 airports  Traffic at Cancun was up 18  International traffic rose 10 1  during the month  Total traffic was up 10 6  in June  Now read ,2017-07-06,Seeking Alpha,https://www.investing.com/news/stock-market-news/grupo-aeroportuario-del-sureste-updates-on-traffic-502778,502778
6683,228198,ASR,Grupo Aeroportuario misses by  0 15,news,Grupo Aeroportuario  NYSE ASR   Q3 EPADS of  2 02 misses by  0 15 Revenue of Ps  3 23B   36 9  Y Y Press ReleaseNow read ,2017-10-20,Seeking Alpha,https://www.investing.com/news/stock-market-news/grupo-aeroportuario-misses-by-015-544974,544974
6684,228199,ASR,ASUR updates March traffic,news,Grupo Aeroportuario del Sureste  NYSE ASR  reports total passenger traffic rose 4 8  in March Passenger traffic grew 13 6  in Mexico  and fell 13 9  in San Juan and 5 7  in Colombia Domestic traffic up 1 3  and International traffic advanced 9 5  Press releaseNow read ,2018-04-09,Seeking Alpha,https://www.investing.com/news/stock-market-news/asur-updates-march-traffic-1384389,1384389
6685,228200,ASR,Mexico stocks lower at close of trade  IPC down 0 99 ,news,"Investing com   Mexico stocks were lower after the close on Wednesday  as losses in the Industrials  Telecoms Services and Materials sectors led shares lower 
At the close in Mexico  the IPC declined 0 99  
The best performers of the session on the IPC were  Arca Continental   S A B  De C V   MX AC   which rose 1 84  or 2 55 points to trade at 141 27 at the close  Meanwhile   Grupo Financiero Inbursa   SAB De CV  MX GFINBURO  added 0 98  or 0 320 points to end at 32 950 and  Infraestructura Energetica Nova SAB   MX IENOVA  was up 0 81  or 0 72 points to 89 70 in late trade 
The worst performers of the session were Grupo Aeroportuario Del Sureste  MX ASURB   which fell 3 91  or 14 97 points to trade at 367 51 at the close  Grupo Bimbo  S A B  De C V   MX BIMBOA  declined 3 14  or 1 470 points to end at 45 280 and Grupo Aeroportuario Del Pacifico  MX GAPB  was down 3 12  or 6 33 points to 196 59 
Falling stocks outnumbered advancing ones on the Mexico Stock Exchange by 155 to 142 and 5 ended unchanged 
Shares in Arca Continental  S A B  De C V   MX AC  rose to all time highs  gaining 1 84  or 2 55 to 141 27  
Gold Futures for June delivery was down 1 38  or 17 29 to  1239 71 a troy ounce  Elsewhere in commodities trading  Crude oil for delivery in June fell 0 13  or 0 06 to hit  47 60 a barrel  while the July Brent oil contract rose 0 26  or 0 13 to trade at  50 59 a barrel 
USD MXN was up 0 31  to 18 8274  while EUR MXN fell 0 08  to 20 4956 
The US Dollar Index Futures was up 0 45  at 99 22 ",2017-05-03,Investing.com,https://www.investing.com/news/stock-market-news/mexico-stocks-lower-at-close-of-trade;-ipc-down-0.99-479929,479929
6687,228202,ASR,Grupo Aeroportuario reports Q1 results,news,Grupo Aeroportuario  NYSE ASR   Q1 EPADS of  2 6538Revenue of Ps  3 91B   57 7  Y Y Press ReleaseNow read ,2018-04-23,Seeking Alpha,https://www.investing.com/news/stock-market-news/grupo-aeroportuario-reports-q1-results-1409568,1409568
