,id,ticker,title,category,content,date,provider,url,article_id
30557,252072,ATRO,5 High Beta   Momentum Stocks To Buy Right Now ,opinion,"U S  stocks seem to have shrugged off all uncertainties regarding nagging trade tensions between the United States and China  The one month long trade tantrums of the United States  first with China and then with Mexico  have eased as Fed Chair Powell hinted a possible rate cut to keep economic expansion going 
Like   we too believe that the U S  China tariff battle is a threat to the American economy as it could hurt manufacturers and consumers  Against this worrisome environment  central bank s likely intervention came as a relief to investors 
At the current level  according to CME FedWatch tool  there is a 47 2  chance of a 50 bp rate cut in the Sep 18 meeting  followed by a 34 1  probability of 25 bp rate cut  12 6  likelihood of a 75 bp rate cut and only 6 1  probability of a no rate cut scenario 
Thanks to rate cut hopes  the Dow Jones Industrial Average rallied more than 500 points on Jun 4 followed by a 207 point jump on Jun 5  The Nasdaq which slipped into a correction zone to start the month  also recoiled swiftly 
Why High Beta   Momentum Investing Is Intriguing Now
Notably  high beta and high momentum products are expected to lead the market  This is because high beta funds experience larger gains than the broader market counterparts in a bullish market  And momentum investing might be an intriguing to those seeking higher returns in a short spell  It looks to reflect profits from buying stocks that are sizzling on the market 
Below we highlight a few high beta and high momentum stocks that could offer investors some outstanding gains  For this we highlight stocks that have a Momentum Score of A   Zacks Rank  1  Strong Buy  or 2  Buy  and a beta greater than one 
Arconic Inc    NYSE ARNC  
The Zacks Rank  1 company Arconic was carved out of aluminum giant Alcoa  NYSE AA  on Nov 1  2016  The company describes itself as a global leader in multi material  precision engineered products and solutions for a variety of industries 
Metropolitan Bank Holding Corp    NYSE MCB  
The Zacks Rank  1 Metropolitan Bank Holding is the holding company for Metropolitan Commercial Bank R   The Entrepreneurial Bank  The company is a chartered commercial bank which provides deposits  small business lending  trade finance  cash management solutions  speciality markets  personal checking  savings  electronic banking and prepaid cards 
Astronics Corporation   NASDAQ ATRO  
The Zacks Rank  1 company is a manufacturer of specialized lighting and electronics for the cockpit  cabin and exteriors of military  commercial transport and private business jet aircraft 
Oasis Midstream Partners LP   NYSE OMP  
Oasis Midstream Partners LP is a master limited partnership company  It owns  develops  operate and acquire a diversified portfolio of midstream assets primarily in North America  It also has a Zacks Rank  1 
Howard Hughes Corporation   NYSE HHC  
The Zacks Rank  1 company operates as a real estate company engaged in the development of master planned communities and other strategic real estate development opportunities across the United States 
Looking for Stocks with Skyrocketing Upside Zacks has just released a Special Report on the booming investment opportunities of legal marijuana Ignited by new referendums and legislation  this industry is expected to blast from an already robust  6 7 billion to  20 2 billion in 2021  Early investors stand to make a killing  but you have to be ready to act and know just where to look ",2019-06-06,Zacks Investment Research,https://www.investing.com/analysis/5-highbeta--momentum-stocks-to-buy-right-now-200428972,200428972
30558,252073,ATRO,5 Defense Stocks To Gain From UTX Raytheon Merger ,opinion,Defense stocks moved higher on Jun 10 after United Technologies   NYSE UTX   and Raytheon   NYSE RTN   agreed to merge  The new entity is expected to generate annual sales of around  74 billion  Further  it will become the second largest U S  aerospace and defense company after Boeing   NYSE BA   once the merger is completed in 2020  This is only the most recent such agreement for a space witnessing a spate of deals In fact  defense stocks have emerged as power packed performers this year  An end to budget sequestration has proven to be beneficial for the sector  With defense spending likely to remain high even if a change of guard takes place at the White House  it makes sense to add select defense stocks to your portfolio at this point United Technologies Raytheon Deal Extends Spate of MergersFollowing the completion of the merger  the new entity  slated to be called Raytheon Technologies Corp will be valued at around  100 billion  This is significantly lower than the two companies  combined market value of  166 billion  since it takes into account planned spinoffs  The deal will be completed in the first half of 2020 once United Technologies hives off its Carrier climate control and Otis elevator businesses  But the merger of United Technologies and Raytheon is only the latest for a sector  which has been witnessing furious M A activity  Last year  United Technologies bought Rockwell Collins  NYSE COL  for  30 billion in its quest to become a pure play aerospace and defense stock  Further  Northrop Grumman   NYSE NOC   decided to acquire Orbital ATK for  9 2 billion while Harris   NYSE HRS   and L3   NYSE LLL   merged in a deal valued at  33 5 billion Defense Among the Hottest Plays for 2019As of Jun 10  the S P 500 Aerospace and Defense sector was up 23  year to date  taking into account dividends reinvested  In contrast  the broader S P 500 has gained 16  over the same period  The sector has outperformed the broader index on a dividends reinvested basis over the last five  10 and 15 years The reasons for this pattern are not so mysterious  Commercial air travel is a terrific long term bet since its growth remains robust and largely unhindered  And defense spending is likely to remain substantial regardless of who controls the Congress or White House  The sector has received a strong boost ever since the end of sequestration in 2015  a factor which had weighed on sales growth of the sector for quite some time In fact  President Trump has announced a substantial defense budget proposal of  750 billion for 2020  The Republican controlled Senate is likely to approve of this proposal  And while the Democrat heavy Senate will certainly press for a reduction  the final figure is likely to remain significantly large  The House Armed Services Committee is discussing a proposal of around  733 billion  Our ChoicesThe United Technologies Raytheon merger is the latest entrant in the series of M A deals the aerospace and defense sector is witnessing  Such activity is unlikely to die down soon given that defense remains an attractive space following the end of budget sequestration in 2015 Investing in select defense stocks looks prudent at this point  We have narrowed our search to the following stocks based on a good Zacks Rank and other relevant metrics HEICO Corporation   NYSE HEI   is a designer  manufacturer and seller of defense  aerospace and electronic related products and services HEICO Corp flaunts a Zacks Rank  1  Strong Buy   The company s expected earnings growth for the current year is 22 5   The Zacks Consensus Estimate for current year earnings has moved 3 8  north over the past 30 days Astronics Corporation   NASDAQ ATRO   is a designer and manufacturer of aerospace  defense and electronic products Astronics s expected earnings growth for the current year is 35 8   The Zacks Consensus Estimate for current year earnings has improved 17 1  over the past 30 days  It sports a Zacks Rank  1  You can see Curtiss Wright Corporation   NYSE CW   is a diversified multinational company that designs  manufactures and overhauls precision components Curtiss Wright has a Zacks Rank  2  Buy   The company s expected earnings growth for the current year is 11 9   The Zacks Consensus Estimate for current year earnings has moved north by 3 4  over the past 30 days Teledyne Technologies   NYSE TDY   is a provider of digital imaging  instrumentation  defense and aerospace electronics and engineered systems Teledyne has a Zacks Rank  2  The company has expected earnings growth of 6 6  for the current year  The Zacks Consensus Estimate for current year earnings has improved by 1  over the past seven days Wesco Aircraft Holdings  Inc    NYSE WAIR   and provides supply chain management services to the global aerospace industry Wesco Aircraft Holdings has a Zacks Rank  2  The company has expected earnings growth of 12  for the current year  The Zacks Consensus Estimate for current year earnings has moved 3 7  north over the past 60 days Will you retire a millionaire One out of every six people retires a multimillionaire  Get smart tips you can do today to become one of them in a new Special Report   7 Things You Can Do Now to Retire a Multimillionaire  ,2019-06-11,Zacks Investment Research,https://www.investing.com/analysis/5-defense-stocks-to-gain-from-utxraytheon-merger-200430567,200430567
30559,252074,ATRO,The Zacks Analyst Blog Highlights  HEICO  Astronics  Curtiss Wright  Teledyne And Wesco,opinion,For Immediate ReleaseChicago  IL  June 12  2019   Zacks com announces the list of stocks featured in the Analyst Blog  Every day the Zacks Equity Research analysts discuss the latest news and events impacting stocks and the financial markets  Stocks recently featured in the blog include  HEICO Corp    NYSE HEI    Astronics Corp    NASDAQ ATRO    Curtiss Wright Corp    NYSE CW    Teledyne Technologies   NYSE TDY   and Wesco Aircraft Holdings  Inc    NYSE WAIR   Here are highlights from Tuesday s Analyst Blog 5 Defense Stocks to Gain from United Tech Raytheon MergerDefense stocks moved higher on Jun 10 after United Technologies  NYSE UTX  and Raytheon  NYSE RTN  agreed to merge  The new entity is expected to generate annual sales of around  74 billion  Further  it will become the second largest U S  aerospace and defense company after Boeing  NYSE BA  once the merger is completed in 2020  This is only the most recent such agreement for a space witnessing a spate of deals In fact  defense stocks have emerged as power packed performers this year  An end to budget sequestration has proven to be beneficial for the sector  With defense spending likely to remain high even if a change of guard takes place at the White House  it makes sense to add select defense stocks to your portfolio at this point United Technologies Raytheon Deal Extends Spate of MergersFollowing the completion of the merger  the new entity  slated to be called Raytheon Technologies Corp will be valued at around  100 billion  This is significantly lower than the two companies  combined market value of  166 billion  since it takes into account planned spinoffs  The deal will be completed in the first half of 2020 once United Technologies hives off its Carrier climate control and Otis elevator businesses  But the merger of United Technologies and Raytheon is only the latest for a sector  which has been witnessing furious M A activity  Last year  United Technologies bought Rockwell Collins  NYSE COL  for  30 billion in its quest to become a pure play aerospace and defense stock  Further  Northrop Grumman  NYSE NOC  decided to acquire Orbital ATK for  9 2 billion while Harris and L3 merged in a deal valued at  33 5 billion Defense Among the Hottest Plays for 2019As of Jun 10  the S P 500 Aerospace and Defense sector was up 23  year to date  taking into account dividends reinvested  In contrast  the broader S P 500 has gained 16  over the same period  The sector has outperformed the broader index on a dividends reinvested basis over the last five  10 and 15 years The reasons for this pattern are not so mysterious  Commercial air travel is a terrific long term bet since its growth remains robust and largely unhindered  And defense spending is likely to remain substantial regardless of who controls the Congress or White House  The sector has received a strong boost ever since the end of sequestration in 2015  a factor which had weighed on sales growth of the sector for quite some time In fact  President Trump has announced a substantial defense budget proposal of  750 billion for 2020  The Republican controlled Senate is likely to approve of this proposal  And while the Democrat heavy Senate will certainly press for a reduction  the final figure is likely to remain significantly large  The House Armed Services Committee is discussing a proposal of around  733 billion  Our ChoicesThe United Technologies Raytheon merger is the latest entrant in the series of M A deals the aerospace and defense sector is witnessing  Such activity is unlikely to die down soon given that defense remains an attractive space following the end of budget sequestration in 2015 Investing in select defense stocks looks prudent at this point  We have narrowed our search to the following stocks based on a good Zacks Rank and other relevant metrics HEICO Corp  is a designer  manufacturer and seller of defense  aerospace and electronic related products and services HEICO Corp flaunts a Zacks Rank  1  Strong Buy   The company s expected earnings growth for the current year is 22 5   The Zacks Consensus Estimate for current year earnings has moved 3 8  north over the past 30 days Astronics Corp  is a designer and manufacturer of aerospace  defense and electronic products Astronics s expected earnings growth for the current year is 35 8   The Zacks Consensus Estimate for current year earnings has improved 17 1  over the past 30 days  It sports a Zacks Rank  1  You can see Curtiss Wright Corp  is a diversified multinational company that designs  manufactures and overhauls precision components Curtiss Wright has a Zacks Rank  2  Buy   The company s expected earnings growth for the current year is 11 9   The Zacks Consensus Estimate for current year earnings has moved north by 3 4  over the past 30 days Teledyne Technologies is a provider of digital imaging  instrumentation  defense and aerospace electronics and engineered systems Teledyne has a Zacks Rank  2  The company has expected earnings growth of 6 6  for the current year  The Zacks Consensus Estimate for current year earnings has improved by 1  over the past seven days Wesco Aircraft Holdings  Inc  and provides supply chain management services to the global aerospace industry Wesco Aircraft Holdings has a Zacks Rank  2  The company has expected earnings growth of 12  for the current year  The Zacks Consensus Estimate for current year earnings has moved 3 7  north over the past 60 days Will you retire a millionaire One out of every six people retires a multimillionaire  Get smart tips you can do today to become one of them in a new Special Report   7 Things You Can Do Now to Retire a Multimillionaire  Media ContactZacks Investment Research800 767 3771 ext  9339 Past performance is no guarantee of future results  Inherent in any investment is the potential for loss  This material is being provided for informational purposes only and nothing herein constitutes investment  legal  accounting or tax advice  or a recommendation to buy  sell or hold a security  No recommendation or advice is being given as to whether any investment is suitable for a particular investor  It should not be assumed that any investments in securities  companies  sectors or markets identified and described were or will be profitable  All information is current as of the date of herein and is subject to change without notice  Any views or opinions expressed may not reflect those of the firm as a whole  Zacks Investment Research does not engage in investment banking  market making or asset management activities of any securities  These returns are from hypothetical portfolios consisting of stocks with Zacks Rank   1 that were rebalanced monthly with zero transaction costs  These are not the returns of actual portfolios of stocks  The S P 500 is an unmanaged index  Visit  for information about the performance numbers displayed in this press release ,2019-06-11,Zacks Investment Research,https://www.investing.com/analysis/the-zacks-analyst-blog-highlights-heico-astronics-curtisswright-teledyne-and-wesco-200430949,200430949
30560,252075,ATRO,3 Aerospace Stocks To Bolster A Portfolio,opinion,"Aerospace stocks have been in the news a lot recently with the United Technologies   NYSE UTX   and Raytheon   NYSE RTN   merger making major headlines  With that being said  here are some companies that have performed well so far this year and  based on analyst expectations  could continue to perform well 
All stocks in this list are a Zacks Rank   2  Buy  or better 
Lockheed Martin Corp   NYSE LMT  
Zacks Rank   2  Buy 
Lockheed Martin is a global security and aerospace company based in Bethesda  Maryland  Lockheed Martin is a major producer of military aircraft and  partnered with Boeing   NYSE BA    forms the United Launch Alliance which provides spacecraft launch services for the US government  Lockheed Martin has great growth estimates and its earnings estimate revisions for fiscal 2019 and 2020 have trended completely upward in the past 60 days  Zacks Consensus Estimates call for fiscal 2019 earnings to jump 16  on the back of 7  revenue growth  This top and bottom line growth is expected to continue into fiscal 2020 where revenue and earnings are expected to gain 4 5  and 21   respectively  on top of their 2019 numbers  These growth expectations would bring fiscal 2020 s EPS to  24 82  compared to just  17 59 in 2018  Lockheed Martin s expected growth may prove to be a launching pad for the stock to build on its 35  YTD growth 
Astronics Corp   NASDAQ ATRO  
Zacks Rank   1  Strong Buy 
New York based Astronics is a producer of aircraft and aerospace technology  Some of its products include aircraft data systems  electrical power systems  and lighting systems  Zacks Consensus Estimates call for Astonics  earnings to soar 36  in fiscal year 2019  This expected earnings growth comes with an expected revenue decrease of about 2   Looking further ahead into fiscal 2020  revenue and earnings are both expected to increase with revenue growth expectations around 4  and earnings growth expectations currently around 10   Astronics  P E of 20 29 is below the industry average of 24 20  Relatively good value and solid growth expectations may be able to help the stock add to its 28  YTD growth 

Heico Corp   NYSE HEI  
Zacks Rank   1  Strong Buy 
Heico is a Florida headquartered aerospace and electronics company that focuses on niche markets within the aircraft  spacecraft  defense equipment  medical equipment  and telecommunications sectors  Heico has significantly outperformed its peers and the S P 500 for the past 3 years and the company s earnings outlook remains positive  Heico has had 4 upward revisions for its fiscal 2019 and fiscal 2020  Heico s fiscal year ends in October  earnings estimates over the past 60 days compared to 0 downward revisions  Zacks Consensus Estimates call for earnings to surge 22 6  in fiscal 2019 on the back of 12  revenue growth  Fiscal 2020 is expected to bring further growth to both the top and bottom line with expected revenue growth of 7  above its fiscal 2019 estimate and earnings growth of 9  above its fiscal 2019 expectation  Heico s expected earnings growth would bring its EPS to an estimated  2 42 in fiscal 2020   0 61 higher than 2018 s EPS  representing 33  growth over the two years  Similar to Astronics and Lockheed Martin  Heico stock has already had phenomenal YTD growth  64  to be exact  and the positive outlook presented by earnings expectations could further boost the stock s price 
This Could Be the Fastest Way to Grow Wealth in 2019Research indicates one sector is poised to deliver a crop of the best performing stocks you ll find anywhere in the market  Breaking news in this space frequently creates quick double  and triple digit profit opportunities These companies are changing the world   and owning their stocks could transform your portfolio in 2019 and beyond  Recent trades from this sector have generated  98    119  and  164  gains in as little as 1 month ",2019-06-18,Zacks Investment Research,https://www.investing.com/analysis/3-aerospace-stocks-to-bolster-a-portfolio-200432908,200432908
30561,252076,ATRO, Here s Why You Should Add L3 Technologies  LLL  Stock Now,opinion,Earnings estimates for L3 Technologies Inc    NYSE LLL   for 2019 and 2020 have moved up 9 58  and 12 04  on a year over year basis to  11 78 and  13 20  respectively  Revenue estimates for 2019 and 2020 rose 6 86  and 5 85  on a year over year basis to  10 95 billion and  11 59 billion  respectively Let s focus on the factors that make the stock an appropriate pick at the moment Zacks Rank  Surprise HistoryThe stock currently carries a Zacks Rank  2  Buy   You can see The company has an average four quarter positive earnings surprise of 9 65  Price Performance   Long Term GrowthIn the past 12 months  L3 Technologies  shares have rallied 33 2  compared with the  s rise of 22 5  The company s long term  3 to 5 years  earnings growth is pegged at 13 50  Debt Capital  Current RatioL3 Technologies is consistently striving to preserve balance sheet strength  Currently  the company has a current ratio of 2 02  Its financial strength will enable the company to meet near term debt obligation  Its long term debt to capital ratio is 35 19   which is lower than the Zacks S P 500 composite s level of 43 11  Solid BacklogThe company raised 2019 guidance on expectations of 6 5  growth year over year  The upside was backed by high funded backlog of  10 40 billion as of Mar 29  2019  up 7  from  9 70 billion as of Dec 31  2018  An increase in backlog indicates toward the quality of products supplied by the company and willingness of the customers to wait for the same Other Key PicksSome other top ranked stocks from the same sector are Aerojet Rocketdyne Holdings  Inc   NYSE AJRD    Astronics Corporation   NASDAQ ATRO   and HEICO Corporation   NYSE HEI    All the three stocks sport a Zacks Rank of 1 Aerojet Rocketdyne pulled off an average positive earnings surprise of 36 67  in the last four quarters  The company s long term earnings growth is pegged at 5 50 Astronics came up with an average positive earnings surprise of 22 55  in the last four quarters  The company s long term earnings growth is pegged at 10 HEICO pulled off an average positive earnings surprise of 9 47  in the last four quarters  The company s long term earnings growth is pegged at 13 50 Will you Retire a Millionaire One out of every six people retires a multimillionaire  Get smart tips you can do today to become one of them in a new Special Report   7 Things You Can Do Now to Retire a Multimillionaire  ,2019-06-20,Zacks Investment Research,https://www.investing.com/analysis/heres-why-you-should-add-l3-technologies-lll-stock-now-200433187,200433187
30562,252077,ATRO,Astronics   ATRO  To Post Q2 Earnings  What s In The Cards ,opinion,Astronics Corporation   NASDAQ ATRO   is set to report second quarter 2019 financial results on Aug 5  before market open In the last reported quarter  the company delivered a positive earnings surprise of 29 73   Also  it came up with an average trailing four quarter beat of 22 55  Let s take a closer look at the factors influencing Astronics  results in the to be reported quarter Factors to ConsiderWith solid global air traffic growth bolstering the commercial aerospace and enhanced spending by the U S  Department of Defense strengthening the defense market  airframe manufacturers are steadily increasing their production rate  This  in turn  can be expected to favor Astronics  top line growth in the quarter to be reported However  a drastic decline in deliveries of Boeing  NYSE BA  737 Max jets is expected to hurt the company s revenues  The Zacks Consensus Estimate for second quarter revenues is pegged at  187 2 million  suggesting a 10 2  decline from the year ago quarter s reported figure  Per Astronics  management  the second quarter is likely to be the weakest one in 2019  in terms of performance   In terms of innovation  the company launched SRB 406G S type ELT   an upgraded emergency locator transmitter  ELT  for aircraft life rafts  This ELT includes GPS locator technology that will provide satellite based position assistance during search and rescue operations  Astronics also unveiled an expanded line of CorePower power conversion products for use on commercial aircraft  business jets  and rotorcraft applications Astronics Corporation Price and EPS Surprise   Furthermore  Astronics introduced the new ME1000 family of mPCIe avionics interface cards for embedded aerospace applications  Backed by such innovations  the company is expected to usher in solid order growth  which is likely to get reflected in the soon to be reported quarter s results However  the company expects to incur operating loss in the second quarter  which in turn may hurt its earnings growth  Moreover  Astronics anticipates restructuring charges of approximately  2 million to impact its results in the quarter to be reported For second quarter earnings  the Zacks Consensus Estimate is pegged at 35 cents  implying a 28 6  decline from the year ago quarter s reported number Earnings WhispersOur proven model does not show that Astronics is likely to beat on earnings in second quarter 2019  This is because a stock needs to have both   a positive and a Zacks Rank  1  Strong Buy   2  Buy  or 3  Hold    for this to happen  This is not the case here  as you see below  Zacks Rank  4  Sell  or 5  Strong Sell  stocks are best avoided  especially if they have a negative Earnings ESP Earnings ESP  Astronics has an Earnings ESP of 0 00   You can uncover the best stocks to buy or sell before they re reported with our  Zacks Rank  Astronics currently carries a Zacks Rank  3 Recent Defense ReleasesTextron Inc    NYSE TXT   reported second quarter 2019 earnings from continuing operations of 93 cents per share  which surpassed the Zacks Consensus Estimate of 85 cents by 9 4   The company carries a Zacks Rank  3 Lockheed Martin Corp    NYSE LMT   reported second quarter 2019 earnings of  5 per share  which exceeded the Zacks Consensus Estimate of  4 74 by 5 5   It carries a Zacks Rank  2  You can see  Hexcel Corporation   NYSE HXL   reported second quarter 2019 earnings of 94 cents per share  which outpaced the Zacks Consensus Estimate of 88 cents by 6 8   It carries a Zacks Rank of 2 Looking for Stocks with Skyrocketing Upside Zacks has just released a Special Report on the booming investment opportunities of legal marijuana Ignited by new referendums and legislation  this industry is expected to blast from an already robust  6 7 billion to  20 2 billion in 2021  Early investors stand to make a killing  but you have to be ready to act and know just where to look ,2019-07-31,Zacks Investment Research,https://www.investing.com/analysis/astronics-atro-to-post-q2-earnings-whats-in-the-cards-200449228,200449228
30566,252081,ATRO,Kratos  KTOS  Looks Good  Stock Adds 7 5  In Session,opinion,Kratos Defense   Security Solutions  Inc    NASDAQ KTOS   was a big mover last session  as the company saw its shares rise nearly 8  on the day  The move came on solid volume too with far more shares changing hands than in a normal session  This breaks the recent trend of the company  as the stock is now trading above the volatile price range of  14 63 to  17 81 in the past one month time frame The company has seen a mixed track record when it comes to estimate revision of one increase and one decrease over the past few weeks  while the Zacks Consensus Estimate for the current quarter hasn t been in a trend either  The recent price action is encouraging though  so make sure to keep a close watch on this firm in the near future Kratos currently has a Zacks Rank  3  Hold  while its  is negative Kratos Defense   Security Solutions  Inc  Price   Investors interested in the Aerospace   Defense Equipment industry may consider a better ranked stock like Astronics Corporation   NASDAQ ATRO    which carries a Zacks Rank  1  Strong Buy   You can see   Is KTOS going up  Or down  Predict to see what others think Up or DownZacks  Top 10 Stocks for 2019In addition to the stocks discussed above  would you like to know about our 10 finest buy and holds for the year Who wouldn t  Our annual Top 10s have beaten the market with amazing regularity  In 2018  while the market dropped  5 2   the portfolio scored well into double digits overall with individual stocks rising as high as  61 5   And from 2012 2017  while the market boomed  126 3  Zacks  Top 10s reached an even more sensational  181 9  ,2019-05-12,Zacks Investment Research,https://www.investing.com/analysis/kratos-ktos-looks-good-stock-adds-75-in-session-200420742,200420742
30567,252082,ATRO,Will Astronics Continue To Surge Higher ,opinion,As of late  it has definitely been a great time to be an investor Astronics Corporation   NASDAQ ATRO    The stock has moved higher by 7  in the past month  while it is also above its 20 Day SMA too  This combination of strong price performance and favorable technical  could suggest that the stock may be on the right path We certainly think that this might be the case  particularly if you consider ATRO s recent earnings estimate revision activity  From this look  the company s future is quite favorable  as ATRO has earned itself a Zacks Rank  1  Strong Buy   meaning that its recent run may continue for a bit longer  and that this isn t the top for the in focus company  You can see  Zacks  Top 10 Stocks for 2019In addition to the stocks discussed above  would you like to know about our 10 finest buy and holds for the year Who wouldn t  Our annual Top 10s have beaten the market with amazing regularity  In 2018  while the market dropped  5 2   the portfolio scored well into double digits overall with individual stocks rising as high as  61 5   And from 2012 2017  while the market boomed  126 3  Zacks  Top 10s reached an even more sensational  181 9  ,2019-05-13,Zacks Investment Research,https://www.investing.com/analysis/will-astronics-continue-to-surge-higher-200420683,200420683
30580,252095,ATRO,Astronics  ATRO  To Report Q3 Earnings  What s In The Cards ,opinion,Astronics Corporation   NASDAQ ATRO   is set to report third quarter 2019 financial results on Nov 5  before market open In the last reported quarter  the company delivered a negative earnings surprise of 45 71   However  it came up with an average trailing four quarter beat of 0 09  Let s take a closer look at how things have shaped up prior to the announcement Factors to ConsiderA persistent decline in deliveries of Boeing   NYSE BA   737 Max jets is expected to have hurt the company s revenues in the third quarter  With no surety about the return of this jet family to service anytime soon  Boeing slashed its production rate for 737 in April  which is also likely to have impacted Astronics  top line in the soon to be reported quarter  Moreover  the company has been witnessing a slowdown in demand for connectivity hardware  which  in turn  may have hurt its sales growth Considering the aforementioned factors  we remain skeptical about the company s top line performance in the third quarter  The Zacks Consensus Estimate for third quarter revenues is pegged at  168 1 million  indicating 21  decline from the year ago quarter s reported figure Astronics Corporation Price and EPS Surprise   However  the company s restructuring initiatives are expected to have provided approximately  3 million in annual savings for its Aerospace segment during the third quarter of 2019  But Astronics estimates loss on sale of approximately  1 3 million  This loss is on account of the divestiture of the company s intellectual property and certain assets associated with its Airfield Lighting product line in July Moreover  the sale of its semiconductor test business in February is likely to have unfavorably impacted the company s earnings in the third quarter  Further  an unusual satellite failure in the recent past has delayed Astronics  business jet antenna program  which  in turn  is likely to have marred its third quarter performance Cumulatively  these unfavorable factors are expected to have dragged down Astronics  bottom line in the soon to be reported quarter  Currently  the Zacks Consensus Estimate for the company s third quarter earnings  pegged at 28 cents  implies 46 2  decline from the year ago quarter s reported number In September  Astronics announced that its management has approved a new share repurchase program  aggregating up to  50 million of its outstanding common stock  Such capital deployment strategy hints at solid cash generation capacity for the company  which we expect the upcoming quarterly result to duly reflect Earnings WhispersOur proven model does not conclusively predict an earnings beat for Astronics this time around  The combination of a positive  and a Zacks Rank  1  Strong Buy   2  Buy  or 3  Hold  increases the odds of an earnings beat  But that s not the case here Earnings ESP  Astronics has an Earnings ESP of 0 00   You can uncover the best stocks to buy or sell before they re reported with our Zacks Rank  Astronics currently carries a Zacks Rank  4  Sell  Stocks That Warrant a LookHere are some companies in the Zacks  sector that you may want to consider as our model shows that these have the right combination of elements to post an earnings beat this quarter Spirit AeroSystems Holdings  Inc    NYSE SPR   is slated to report third quarter 2019 results on Oct 31  The company has an Earnings ESP of  0 29  and a Zacks Rank  3  You can see  Huntington Ingalls Industries  Inc    NYSE HII   is scheduled to report third quarter 2019 results on Nov 7  The company has an Earnings ESP of  2 09  and a Zacks Rank  3 Today s Best Stocks from ZacksWould you like to see the updated picks from our best market beating strategies  From 2017 through 2018  while the S P 500 gained  15 8   five of our screens returned  38 0    61 3    61 6    68 1   and  98 3  This outperformance has not just been a recent phenomenon  From 2000   2018  while the S P averaged  4 8  per year  our top strategies averaged up to  56 2  per year ,2019-10-29,Zacks Investment Research,https://www.investing.com/analysis/astronics-atro-to-report-q3-earnings-whats-in-the-cards-200480222,200480222
30623,252138,ATRO,Astronics   ATRO  To Post Q1 Earnings  What s In The Cards ,opinion,Astronics Corporation   NASDAQ ATRO   is set to report first quarter 2019 financial results on May 8  before market open  In the last reported quarter  the company delivered a positive earnings surprise of 5 71  Let s take a closer look at the factors influencing Astronics  quarterly results Factors to ConsiderWith solid global air traffic growth bolstering the commercial aerospace and enhanced spending by the U S  Department of Defense strengthening the defense market  airframe manufacturers are steadily increasing their production rate  This  in turn  is favoring the Astronics  Aerospace segment as major airframe manufactures are valued customers of this unit Considering this development  we expect this segment  which contributes around 85  of its total sales  to drive top line growth for Astronics in the first quarter  In line with this  the Zacks Consensus Estimate for this segment s sales  pegged at  176 million  reflects an improvement of 6 7  from the year ago quarter s reported figure Astronics Corporation Price and EPS Surprise   In terms of innovation  the company launched the new CorePower Frequency Converter Unit  FCU  during the first quarter  This unit converts variable frequency power sources to constant 400Hz power for protecting sensitive aircraft electronics from unregulated frequency and power surges  Astronics also unveiled its new NuanciaRGBW Strip Lights to provide flexible illumination options for aircraft seats and cabins  Such innovations are expected to usher in order growth for the company and in turn boost its quarterly results Considering such developments  the Zacks Consensus Estimate for the company s first quarter sales  pegged at  190 8 million  suggest a 6 5  rise from the prior year quarter s reported number As the company continues to make progress with respect to margins in its Aerospace business and expects to witness significant business volumes in the current year  its bottom line can be projected to have benefited immensely in the quarter to be reported In February 2019  Astronics completed a divestiture of its semiconductor test business  within the Test Systems segment  for a total cash of  100 million  Per management s projections  the company will record a pre tax gain on the sale of approximately  80 million in the first quarter  We may expect the bottom line to benefit from these sales proceeds duly in the soon to be reported quarter For first quarter earnings  the Zacks Consensus Estimate is pegged at 37 cents  indicating a 236 4  improvement from the year ago quarter s reported figure Earnings WhispersOur proven model does not conclusively show that Astronics is likely to beat on earnings in first quarter 2019  This is because a stock needs to have both   a positive and a Zacks Rank  1  Strong Buy   2  Buy  or 3  Hold    for this to happen  This is not the case here  as you see below  You can see  Earnings ESP  Astronics has an Earnings ESP of 0 00   You can uncover the best stocks to buy or sell before they re reported with our  Zacks Rank  Astronics currently carries a Zacks Rank  4  Sell  Note that we caution against stocks with a Zacks Rank  4 or 5  Strong Sell  going into the earnings announcement  especially when the company is seeing negative estimate revisions Recent Defense ReleasesTextron Inc    NYSE TXT   reported first quarter 2019 earnings from continuing operations of 76 cents per share  which surpassed the Zacks Consensus Estimate of 70 cents by 8 6  Lockheed Martin Corp    NYSE LMT   delivered first quarter 2019 earnings of  5 99 per share  which surpassed the Zacks Consensus Estimate of  4 29 by 39 6  Spirit AeroSystems Holdings  Inc    NYSE SPR   reported first quarter 2019 adjusted earnings of  1 68 per share  which surpassed the Zacks Consensus Estimate of  1 67 Will you retire a millionaire One out of every six people retires a multimillionaire  Get smart tips you can do today to become one of them in a new Special Report   7 Things You Can Do Now to Retire a Multimillionaire  ,2019-05-05,Zacks Investment Research,https://www.investing.com/analysis/astronics-atro-to-post-q1-earnings-whats-in-the-cards-200417484,200417484
