,id,ticker,title,category,content,date,provider,url,article_id
20197,241712,BANF,Should You Buy BancFirst  BANF  Ahead Of Earnings ,opinion,Investors are always looking for stocks that are poised to beat at earnings season and BancFirst Corporation   NASDAQ BANF   may be one such company  The firm has earnings coming up pretty soon  and events are shaping up quite nicely for their report That is because BancFirst is seeing favorable earnings estimate revision activity as of late  which is generally a precursor to an earnings beat  After all  analysts raising estimates right before earnings   with the most up to date information possible   is a pretty good indicator of some favorable trends underneath the surface for BANF in this report In fact  the Most Accurate Estimate for the current quarter is currently at  1 02 per share for BANF  compared to a broader Zacks Consensus Estimate of  1 00 per share  This suggests that analysts have very recently bumped up their estimates for BANF  giving the stock a Zacks Earnings ESP of  1 67  heading into earnings season BancFirst Corporation Price and EPS Surprise   Why is this Important A positive reading for the Zacks Earnings ESP has proven to be very powerful in producing both positive surprises  and outperforming the market  Our recent 10 year backtest shows that stocks that have a positive Earnings ESP and a Zacks Rank  3  Hold  or better show a positive surprise nearly 70  of the time  and have returned over 28  on average in annual returns  see more   Given that BANF has a Zacks Rank  3 and an ESP in positive territory  investors might want to consider this stock ahead of earnings  You can see  Clearly  recent earnings estimate revisions suggest that good things are ahead for BancFirst  and that a beat might be in the cards for the upcoming report 7 Best Stocks for the Next 30 DaysJust released  Experts distill 7 elite stocks from the current list of 220 Zacks Rank  1 Strong Buys  They deem these tickers  Most Likely for Early Price Pops  Since 1988  the full list has beaten the market more than 2X over with an average gain of  24 50  per year  So be sure to give these hand picked 7 your immediate attention ,2019-10-17,Zacks Investment Research,https://www.investing.com/analysis/should-you-buy-bancfirst-banf-ahead-of-earnings-200474465,200474465
20207,241722,BANF,The Zacks Analyst Blog Highlights  BancFirst  First Bancorp  First Financial  Morgan Stanley And Green Bancorp,opinion,For Immediate ReleaseChicago  IL   January 12  2018   Zacks com announces the list of stocks featured in the Analyst Blog  Every day the Zacks Equity Research analysts discuss the latest news and events impacting stocks and the financial markets  Stocks recently featured in the blog include BancFirst Corporation   NASDAQ BANF    First Bancorp   NASDAQ FBNC    First Financial Bancorp   NASDAQ FFBC    Morgan Stanley   NYSE MS   and Green Bancorp  Inc    NASDAQ GNBC   Here are highlights from Thursday s Analyst Blog  5 Top Bank Stocks to Buy as Q4 Earnings Bells ChimeA steadily growing economy  more confident consumers and record low jobless rate are sure to give banks a lift this Q4 earnings season  These favorable factors will encourage more people to take loans  and with rising interest rates  net interest margins will improve  Reduction in corporate taxes will also boost earnings as banks will be able to retain more of their revenues But  the Trump administration s overhaul of the tax law means that banks will have to re measure the value of deferred tax assets and liabilities and consider one time charges for repatriating overseas earnings  Most of the banking behemoths have already announced such one time charges associated with the accounting changes that will now have to be made Nevertheless  let us focus on banks that are likely to make the most of the Q4 earnings season  Such banks are positioned to report upbeat earnings results  which will eventually lead to an uptick in share price Loans to Grow              The consumer confidence index is at a historically high level  courtesy of a bullish job market  While the unemployment rate remained at a record low of 4 1   workers  pay has increased 2 5  in the December 2016 to December 2017 period  up from 2 4  in the prior month The National Employment Law Project  in fact  showed that the minimum wage is poised to increase in 18 states and around 20 cities in the United States  This will reach employee wages closer to  15 an hour  which is known as  living wage  All these factors will lend consumers the flexibility to take more debt and also reduce loan default risks  which bode well for banks Rising Rates for Borrowers  Not SaversAs widely expected  the Federal Reserve raised interest rates last month  The benchmark lending rate was hiked by a quarter percentage point to a range of 1 25  to 1 5   In fact  Fed officials expect to hike rates at a steady pace  The median expectation for rate hikes this year is pegged at three   at least two in 2019 and two more in 2020 A move toward higher rates is a welcome news for banks  Needless to say  ultra low interest rates have weighed on their margins in the last decade  Then again  higher interest rates can boost bank profits as they increase the spread between what banks earn by funding longer term assets  such as loans  with shorter term liabilities With the Fed hiking rates by a quarter point  the biggest banks by assets also said that they will do the same to its main lending rate  Millions of credit card holders and small business borrowers will have to pay more in terms of interest  But  does that mean there will be higher rates in deposits  Certainly not  Rates for savers will remain unchanged  confirmed JPMorgan Chase  NYSE JPM   Thus  the ability to earn more on assets and limit the cost of liabilities to depositors should keep shareholders of U S  banks cheerful How Will Banks Deal With Tax Reform House Republicans passed a monumental bill to enact  1 5 trillion in tax cuts for businesses and individuals  The bill trims the corporate tax rate from 35  to 21   making it the biggest one time drop in big business tax rates ever Banks face a high tax burden  which makes them big gainers when tax rates go down  As per KBW estimates  JPMorgan Chase  Wells Fargo  NYSE WFC  and Bank of America  NYSE BAC  will enjoy a 20  or more hike in profits if the corporate tax rate is cut to around 20  But  such tax cuts will result in revaluation in deferred tax assets  This in turn will result in one off hits to banks  profits  However  even though it may hamper Q4 earnings  shareholders will be much better off over the long term 5 Bank Stocks to Buy Heading Into Q4Barring one time accounting charges  improving consumer sentiment and rise in interest rates will help banks stay afloat this Q4 earnings season  This calls for investing in five banks  which are expected to report a significant uptick in Q4 earnings These stocks have a positive    our proprietary methodology for determining stocks that have the best chance to surprise with their next earnings announcement  It provides the percentage difference between the Most Accurate estimate and the Zacks Consensus Estimate  These stocks also flaunt a Zacks Rank  1  Strong Buy  or 2  Buy   You can see BancFirst Corporation operates as the holding company for BancFirst that provides a range of commercial banking services to retail customers  and small to medium sized businesses  BancFirst has a Zacks Rank  2  The company is expected to report earnings results for the quarter ending December 2017 on Jan 18  2018  BancFirst has an Earnings ESP of  1 47   The company s expected earnings growth rate for the current year is 23 4   better than the  s expected gain of 13 1   Looking for the Best Stocks for 2018  Be among the first to see our  First Bancorp operates as the bank holding company for First Bank that provides banking products and services for individuals and small to medium sized businesses  primarily in North Carolina and northeastern South Carolina  First Bancorp has a Zacks Rank  1  The company is expected to report earnings results for the quarter ending December 2017 on Jan 25  2018  BancFirst has an Earnings ESP of  6 88   You can uncover the best stocks to buy or sell before they are reported with our  The company s expected earnings growth rate for the current year is 52 6   way higher than the  s expected gain of 6 5  First Financial Bancorp operates as the bank holding company for First Financial Bank that provides commercial banking and other banking  and banking related services to individuals and businesses in Ohio  Indiana  and Kentucky  The stock has a Zacks Rank  1  The company is expected to report earnings results for the quarter ending December 2017 on Jan 18  2018  First Financial has an Earnings ESP of  6 67   The company s expected earnings growth rate for the current year is 9 1   higher than the  s expected gain of 7 2  Morgan Stanley   a Zacks Rank  2 company   provides various financial products and services to corporations  governments  financial institutions and individuals  The company is expected to report earnings results for the quarter ending December 2017 on Jan 18  2018  Morgan Stanley has an Earnings ESP of  1 32   The company s expected earnings growth rate for the current year is 22 3   more than the  s expected gain of 14 3  Green Bancorp  Inc  operates as the holding company for Green Bank  N A  that provides commercial and private banking services primarily in Texas  The stock has a Zacks Rank  2  The company is expected to report earnings results for the quarter ending December 2017 on Jan 25  2018  Green Bancorp has an Earnings ESP of  2 94   The company s expected earnings growth rate for the current year is more than 100   higher than the  s projected gain of 6 5  Wall Street s Next Amazon  NASDAQ AMZN Zacks EVP Kevin Matras believes this familiar stock has only just begun its climb to become one of the greatest investments of all time  It s a once in a generation opportunity to invest in pure genius Join us on Facebook  NASDAQ FB   Zacks Investment Research is under common control with affiliated entities  including a broker dealer and an investment adviser   which may engage in transactions involving the foregoing securities for the clients of such affiliates Media ContactZacks Investment Research800 767 3771 ext  9339Past performance is no guarantee of future results  Inherent in any investment is the potential for loss  This material is being provided for informational purposes only and nothing herein constitutes investment  legal  accounting or tax advice  or a recommendation to buy  sell or hold a security  No recommendation or advice is being given as to whether any investment is suitable for a particular investor  It should not be assumed that any investments in securities  companies  sectors or markets identified and described were or will be profitable  All information is current as of the date of herein and is subject to change without notice  Any views or opinions expressed may not reflect those of the firm as a whole  Zacks Investment Research does not engage in investment banking  market making or asset management activities of any securities  These returns are from hypothetical portfolios consisting of stocks with Zacks Rank   1 that were rebalanced monthly with zero transaction costs  These are not the returns of actual portfolios of stocks  The S P 500 is an unmanaged index  Visit for information about the performance numbers displayed in this press release ,2018-01-11,Zacks Investment Research,https://www.investing.com/analysis/the-zacks-analyst-blog-highlights-bancfirst-first-bancorp-first-financial-morgan-stanley-and-green-bancorp-200279868,200279868
20208,241723,BANF,Signature Bank  SBNY  Rolls Out Online Payments Platform,opinion,"In collaboration with New York based trueDigital Holdings  LLC  Signature Bank   NASDAQ SBNY   recently announced a plan to launch a fresh digital payments platform   Signet   which will provide the bank s commercial clients with a digital platform to make real time payments   Notably  the blockchain technology of trueDigital Holdings will be leveraged by the Signet platform in facilitating payments for its clients  The ability to transmit funds between approved  fully vetted commercial clients of the Bank at all times is very valuable  especially in light of the increasing speed and frequency at which they conduct their business  As we have been stating  Signature Bank has made a commitment to invest in its technology infrastructure  and the Signet Platform is indicative of this investment along with the implementation of new systems for loan operations  credit approvals and foreign exchange  We believe our new Signet program will further differentiate Signature Bank and arm our commercial clients with more of the types of tools and capabilities they need to successfully operate their businesses in our fast changing  technology based economy   explained Joseph J  DePaolo  president and chief executive officer at Signature Bank The Signet Platform  which received the New York State Department of Financial Services  approval  will help its customers in making payments all through the day in dollars from the beginning of 2019  Moreover  the new platform will not charge any transaction fees and demands minimum balance requirement of  250 000 Notably  Signet facilitates transfer of funds in real time between commercial clients of the bank  eliminating third party dependence  Further  deposits held at the platform are entitled to FDIC insurance as permitted The rollout of the Signet Platform service is a commendable move by the bank to retain its digital savvy consumers as well as to bring in new ones  The bank s strategy to expand its presence by investing in technology will bear fruits over the long term Currently  Signature Bank carries a Zack Rank  3  Hold   You can see  Shares of Signature Bank have declined 1 6  over the past three months against a decline of 10 1  recorded by the  
 
Stocks to ConsiderGreenhill   Co   Inc    NYSE GHL   has been witnessing upward estimate revisions for the past 60 days  Moreover  this Zacks  1 Ranked stock has rallied more than 19  year to date TD Ameritrade Holding Corporation   NASDAQ AMTD   has been witnessing upward estimate revisions for the past 60 days  In addition  the company s shares have gained 1 2  year to date  At present  it carries a Zacks Rank of 2  Buy  BancFirst Corporation   NASDAQ BANF   has been witnessing upward estimate revisions for the past 60 days  Additionally  the stock has jumped around 2 9  year to date  It currently holds a Zacks Rank  2 Looking for Stocks with Skyrocketing Upside Zacks has just released a Special Report on the booming investment opportunities of legal marijuana Ignited by new referendums and legislation  this industry is expected to blast from an already robust  6 7 billion to  20 2 billion in 2021  Early investors stand to make a killing  but you have to be ready to act and know just where to look ",2018-12-04,Zacks Investment Research,https://www.investing.com/analysis/signature-bank-sbny-rolls-out-online-payments-platform-200365221,200365221
20209,241724,BANF,LendingTree  TREE  Provides Encouraging Guidance For 2019,opinion,"At the 2018 Analyst and Investor Day  LendingTree  Inc    NASDAQ TREE   unveiled its full year 2019 guidance  Notably  the company also updated its 2018 guidance in November with the third quarter earnings release For 2019  the company expects revenues to be in the range of  990  1 030 million  up 29   34  from full year 2018 revenue guidance of  765  775 million  Further  variable marketing margin is likely to be in the range of  365  385 million  Additionally  the company expects adjusted EBITDA to be in the range of  195  205 million  up 27  34  from full year 2018 adjusted EBITDA figure of  152  155 million  2018 has been another record setting year at LendingTree  and we are thrilled with what we ve accomplished this year despite a difficult environment for the mortgage industry  said Doug Lebda  chairman and CEO    Our diversification over the last several years has enabled us to navigate a challenging period and will continue to be advantageous for us in the years to come   Today  we introduce our outlook for 2019 and I look forward to sharing that and more with analysts and investors throughout the course of the day  LendingTree s expansion strategies are expected to boost its top line further  Also  its focus on expanding non mortgage related product offerings benefited its top line greatly  Further  reduced dependence on mortgage revenues remains a tailwind  However  the company has been witnessing escalating costs for enhancement of products  Its mortgage related product revenues are likely to be affected by falling supplies of homes for sale and rising mortgage rates Currently  LendingTree sports a Zack Rank  1  Strong Buy   You can see  Shares of LendingTree have gained 0 6  over the past three months against a decline of 12 2  recorded by the  
Other Stocks to ConsiderGreenhill   Co   Inc    NYSE GHL   has been witnessing upward estimate revisions for the past 60 days  Moreover  this Zacks  1 Ranked stock has rallied more than 19  year to date  You can see the complete list of today s Zacks  1 Rank stocks here TD Ameritrade Holding Corporation   NASDAQ AMTD   has been witnessing upward estimate revisions for the past 60 days  In addition  the company s shares have gained 1 2  year to date  At present  it carries a Zacks Rank of 2  Buy  BancFirst Corporation   NASDAQ BANF   has been witnessing upward estimate revisions for the past 60 days  Additionally  the stock has jumped around 2 9  year to date  It currently holds a Zacks Rank  2 Looking for Stocks with Skyrocketing Upside Zacks has just released a Special Report on the booming investment opportunities of legal marijuana Ignited by new referendums and legislation  this industry is expected to blast from an already robust  6 7 billion to  20 2 billion in 2021  Early investors stand to make a killing  but you have to be ready to act and know just where to look ",2018-12-04,Zacks Investment Research,https://www.investing.com/analysis/lendingtree-tree-provides-encouraging-guidance-for-2019-200365279,200365279
20210,241725,BANF,Butterfield  NTB  Unveils Share Buyback Plan  Worth A Look ,opinion,"Bank of N T  Butterfield   Son Limited   NYSE NTB   continues to reward its shareholders through dividend hikes or additional share repurchases  The company recently announced a new share buyback plan with authorization to repurchase 2 5 million shares through Feb 29  2020 Recently  Butterfield completed previous authorization by repurchase of 1 million ordinary shares  at a weighted average price of  40 15  Notably  the plan was announced in April 2018 Notably  Butterfield has also been paying quarterly dividends  along with regular hikes  Since 2016  the company has raised its dividend thrice  The dividend was last hiked in February 2018 by 18 75  to 38 cents per share With strong liquidity and balance sheet position  we believe Butterfield will continue to reward its shareholders  moving ahead  So  keeping this in mind  is the company worth considering  Let s dig deeper into its financials and fundamental strengths Revenue Growth  Organic growth is a key driver for Butterfield  with its sales witnessing a compound annual growth rate of 8 4  over the three year period  2015 2017   The company s projected sales growth  F1 F0  of 13 88   against nil industry average  indicates continued improvement in revenues Earnings Strength  Butterfield s long term  three five years  estimated EPS growth rate of 6  promises rewards for investors  over the long run  Also  the company s projected earnings growth of 13 88  for 2019 indicates continued improvement in earnings Superior Return on Equity  Butterfield has a return on equity of 22 33  compared with the industry average of 10 69   This indicates that the company is efficient in utilizing shareholder funds Strong Leverage  Butterfield s debt equity ratio is valued at 0 16 compared with the industry average of 0 90  indicating relative lower debt burden  It highlights the financial stability of the company Butterfield s shares have depreciated around 25 9  on the NYSE  in the past six months  compared with the  s decline of 10 9   Despite a dismal price performance  Butterfield s stock looks overvalued  with respect to its price to earnings  P E  and price to book  P B  ratios  It has a P E  F1  ratio of nearly 9 94 compared with the industry average of 9 65  Furthermore  the company s P B ratio of 2 2 comes in above the industry average of 0 89  The stock currently carries a Zacks Rank  4  Sell  

Stocks to ConsiderGreenhill   Co   Inc    NYSE GHL   has been witnessing upward estimate revisions for the past 60 days  Also  this Zacks  1 Ranked  Strong Buy  stock has rallied more than 28  year to date  You can see  BancFirst Corporation   NASDAQ BANF   has been witnessing upward estimate revisions for the past 60 days  Additionally  the stock has jumped around 3 1   year to date  The stock carries a Zacks Rank of 2  Buy   currently Great Southern  NYSE SO  Bancorp  Inc    NASDAQ GSBC   has been witnessing upward estimate revisions for the past 60 days  In addition  the company s shares have gained 0 4  year to date  At present  it carries a Zacks Rank of 2 Looking for Stocks with Skyrocketing Upside Zacks has just released a Special Report on the booming investment opportunities of legal marijuana Ignited by new referendums and legislation  this industry is expected to blast from an already robust  6 7 billion to  20 2 billion in 2021  Early investors stand to make a killing  but you have to be ready to act and know just where to look ",2018-12-10,Zacks Investment Research,https://www.investing.com/analysis/butterfield-ntb-unveils-share-buyback-plan-worth-a-look-200366580,200366580
20211,241726,BANF,LegacyTexas Financial  LTXB  Unveils Share Buyback Plan,opinion,"LegacyTexas Financial Group  Inc    NASDAQ LTXB   continues to reward its shareholders through dividend hikes or additional share repurchases  The company recently announced a new share buyback plan with authorization to repurchase around 5  of the total shares outstanding as of Dec 7  2018  We are pleased to announce the authorization of the share repurchase program   said Kevin Hanigan  the company s president and chief executive officer   Our strong capital levels and solid operating results allow us to repurchase shares while continuing to invest in opportunities to drive future performance   he added Notably  LegacyTexas Financial has also been paying quarterly dividends  along with regular hikes  Since 2011  the company has raised its dividend seven times  The dividend was last hiked in October 2018  by 37 5   to 22 cents per share With strong liquidity and balance sheet position  we believe LegacyTexas Financial will continue to reward its shareholders  moving ahead  So  keeping this in mind  is the company worth considering  Let s dig deeper into its financials and fundamental strengths Revenue Growth  Organic growth is a key driver for LegacyTexas Financial  with its sales witnessing a compound annual growth rate of 26 7  over the five year period  2013 2017   The company s projected sales growth  F1 F0  of 7 19   against nil industry average  indicates continued improvement in revenues Earnings Strength  LegacyTexas Financial s long term  three five years  estimated EPS growth rate of 10  promises rewards for investors  over the long run  Also  the company s projected earnings growth of 29 8  for 2018 indicates continued improvement in earnings Superior Return on Equity  LegacyTexas Financial has a return on equity of 12 44  compared with the industry average of 8 33   This indicates that the company is efficient in utilizing shareholder funds LegacyTexas Financial s shares have depreciated around 17   in the past six months  compared with the  s decline of 16 7   Despite a dismal price performance  the company s stock looks overvalued  with respect to its price to earnings  P E  and price to book  P B  ratios  It has a P E  F1  ratio of nearly 12 74 compared with the industry average of 12 72  Furthermore  the company s P B ratio of 1 68 comes in above the industry average of 1 2  The stock currently carries a Zacks Rank  3  Hold  
Stocks to ConsiderGreenhill   Co   Inc    NYSE GHL   has been witnessing upward estimate revisions in the past 60 days  Also  this Zacks  1 Ranked  Strong Buy  stock has rallied more than 30  year to date  You can see  BancFirst Corporation   NASDAQ BANF   has been witnessing upward estimate revisions for the past 60 days  Additionally  the stock has jumped around 1 8   year to date  The stock carries a Zacks Rank of 2  Buy   currently Northwest Bancshares  Inc    NASDAQ NWBI   has been witnessing upward estimate revisions in 60 days  time  In addition  the company s shares have gained 2 5  year to date  At present  it carries a Zacks Rank  2 Will You Make a Fortune on the Shift to Electric Cars  Here s another stock idea to consider  Much like petroleum 150 years ago  lithium power may soon shake the world  creating millionaires and reshaping geo politics  Soon electric vehicles  EVs  may be cheaper than gas guzzlers  Some are already reaching 265 miles on a single charge With battery prices plummeting and charging stations set to multiply  one company stands out as the  1 stock to buy according to Zacks research It s not the one you think ",2018-12-10,Zacks Investment Research,https://www.investing.com/analysis/legacytexas-financial-ltxb-unveils-share-buyback-plan-200366994,200366994
20212,241727,BANF,BancFirst declared  0 32 dividend,news,"BancFirst  NASDAQ BANF  had declared  0 32 share quarterly dividend  in line with previous 
Forward yield 2 14 
Payable Jan  15  for shareholders of record Dec  31  ex div Dec  30 
See BANF Dividend Scorecard  Yield Chart    Dividend Growth ",2019-12-10,Seeking Alpha,https://invst.ly/o-pva,2037776
20213,241728,BANF,7 Reasons That Make BancFirst  BANF  Hot Pick For Investors,opinion,Underlying strength and earnings growth prospects make BancFirst Corporation   NASDAQ BANF   a solid bet now  The factors that might drive the stock higher include impressive organic growth  strategic efforts to expand presence  and capital strength Further  a favorable operating backdrop with the higher interest rates  tax reforms and eased regulations should support banks A positive trend in estimate revisions reflect optimism over the company s earnings growth prospects  The Zacks Consensus Estimate for its current year earnings has being revised 14 5  upward over the past 30 days  As a result  the stock currently sports a Zacks Rank  1  Strong Buy  In addition  the stock has gained 1 2  in the past six months compared with the  s 2 5  growth Here s What Might Drive the Stock HigherEarnings Strength  BancFirst s historical earnings per share  EPS  growth rate of 8 2  compares favorably with the industry average of 5 6   However  investors must also consider the projected EPS growth  Its earnings are expected to grow at the rate of 2  for 2019 and 3 1  for 2020 Further  this earnings momentum is likely to continue in the long term  three to five years  as reflected by the company s projected earnings per share growth rate of 7  Balance Sheet Growth  BancFirst s loans and deposits have witnessed a CAGR of 6 6  and 2 2   respectively  over a five year period  ended 2018   Also  both loan and deposit balances are likely to get support from an improving operating environment  Revenue Growth  Organic growth remains strong at BancFirst  Revenues witnessed a CAGR of 8 6  over the last five years  2014 2018   Further  the top line is expected to increase 9 5  in 2017 against no growth for the industry Solid Inorganic Growth Strategies  BancFirst s capital strength has been helping it to grow inorganically  As part of this strategy  the company acquired First Wagoner Corp and First Chandler Corp  along with their subsidiariesin January 2018  Both the deals complement the company s community banking strategy by increasing its banking network in Oklahoma Steady Capital Deployment Activities The company remains committed to enhancing shareholders  value  In August 2018  it raised its quarterly dividend by 42 9  to 30 cents per share Favorable Return on Equity  ROE   BancFirst s ROE supports its growth potential  Its ROE of 14 31  compares favorably with the industry average of 10 59   implying that it is efficient in using its shareholders  funds Strong Leverage  BancFirst s debt equity ratio is 0 03 compared with the industry average of 0 34  The relatively strong financial health of the company will help it perform better than its peers under an unstable business environment Other Stocks to ConsiderOther stocks worth considering in the finance space include OP Bancorp   NASDAQ OPBK    First Internet Bancorp   NASDAQ INBK   and The Bancorp  Inc    NASDAQ TBBK    All these stocks flaunt a Zacks Rank of 1  You can see  The Zacks Consensus Estimate for OP Bancorp s current year earnings has been revised 22 4  upward over the past 30 days  Also  its share price has seen a 14 5  rise in the past three months First Internet s earnings estimates have been revised 12 3  upward for the ongoing year over the past 30 days  Also  in the past three months  its share price has increased 3  Earnings estimates for The Bancorp have moved up 9 1  for 2019 over the past 30 days  Also  its share price has seen a 5 7  rise in the past three months Today s Best Stocks from ZacksWould you like to see the updated picks from our best market beating strategies  From 2017 through 2018  while the S P 500 gained  15 8   five of our screens returned  38 0    61 3    61 6    68 1   and  98 3  This outperformance has not just been a recent phenomenon  From 2000   2018  while the S P averaged  4 8  per year  our top strategies averaged up to  56 2  per year ,2019-05-22,Zacks Investment Research,https://www.investing.com/analysis/7-reasons-that-make-bancfirst-banf-hot-pick-for-investors-200423818,200423818
20214,241729,BANF,Fifth Third Displays Revenue Strength  Expenses Increase,opinion,On Aug 20  we issued an updated research report on Fifth Third Bancorp   NASDAQ FITB    Despite the surging level of expenses  the bank s revenue performance and improving efficiency through the implementation of various strategies seem impressive Notably  the company has been able to gain analysts  confidence over the past 30 days  Its earnings estimates for the current year have been revised slightly upward to  2 82  It carries a Zacks Rank  3  Hold   at present The stock has rallied 8  so far this year compared with 8 6  growth recorded by the  Fifth Third has a diverse revenue base along with growing deposit and loan base  These keep it well poised to undertake inorganic growth strategies  It continues to undertake efforts aimed at expanding non interest income base  which now represents about 43  of total revenues Also  under the North Star initiatives  Fifth Third remains focused on making strategic investments  which are expected to result in revenue growth  expense savings and operational excellence With robust capital levels  the bank continues to focus on core deposit growth in its retail and commercial franchises by improving customer satisfaction  building full relationships and offering competitive rates Notably  a higher interest rate environment supported margin expansion in 2016  2017 and in the first two quarters of 2018  after a declining trend for years  Furthermore  net interest income is expected to continue benefiting from loan growth and improved loan yields However  persistently rising operating expenses remain a major concern for the company  Its ongoing strategic investments in several areas  including technology  may further escalate costs in the near term Also  its significant  exposure to commercial loans  nearly 65  as of Jun 30  2019  indicates concentration risks for the company Stocks to ConsiderBancFirst Corporation   NASDAQ BANF   has been witnessing upward estimate revisions for the past 30 days  Year to date  the company s share price has been up 8   It currently carries a Zacks Rank of 2  Buy   You can see  Bridgewater Bancshares  Inc    NASDAQ BWB   has been witnessing upward estimate revisions for the past 30 days  Additionally  the stock has climbed nearly 8 2   year to date  It carries a Zacks Rank  2  at present First Horizon National Corporation   NYSE FHN   has been witnessing upward estimate revisions for the past 30 days  Also  this Zacks  2 Ranked company s shares have risen nearly 18  year to date Biggest Tech Breakthrough in a GenerationBe among the early investors in the new type of device that experts say could impact society as much as the discovery of electricity  Current technology will soon be outdated and replaced by these new devices  In the process  it s expected to create 22 million jobs and generate  12 3 trillion in activity A select few stocks could skyrocket the most as rollout accelerates for this new tech  Early investors could see gains similar to buying Microsoft  NASDAQ MSFT  in the 1990s  Zacks  just released special report reveals 7 stocks to watch  The report is only available for a limited time ,2019-08-21,Zacks Investment Research,https://www.investing.com/analysis/fifth-third-displays-revenue-strength-expenses-increase-200457073,200457073
20244,241759,BANF,Here s Why It Is Wise To Hold Lazard  LAZ  Stock For Now,opinion,"In the Q2 earnings season  the Finance sector was one of the best performers  Though uncertainty over further interest rate hikes on mixed U S  economic data and increasing signals of rising political commotion are perceived  we can still hold some of the banking stocks in our basket  based on strong fundamentals and solid long term growth opportunity Lazard Ltd    NYSE LAZ   is one such stock  While the investment manager s significant dependence on global markets remains a headwind  its consistent organic growth and cost management initiatives are expected to be key drivers over the long run The company s robust fundamentals have contributed to 18 4  gain in share price over the last year compared with 22  growth recorded by the  
Moreover  the company s Zacks Consensus Estimate for earnings has been revised around 1  upward for the current year  over the last 90 days  It carries a Zacks Rank  3  Hold  Organic growth remains a key strength at Lazard  as highlighted by its revenue growth trend  Though operating revenues descended just 2  year over year in 2016  the figure witnessed a CAGR of 6 8  over the five year period  2011 2015   with the increasing trend continuing in the first half of 2017  Notably  in September 2016  Lazard expanded its financial advisory in North America  with the acquisition of Canada based Verus Partners  an independent boutique  Additionally  in October 2016  the company acquired its remaining 50  stake in MBA Lazard  its financial advisory business in Latin America  to strengthen its operations in Latin America  as well as global markets Lazard has been diligently working on its cost containment measures  In 2012  the company announced cost reduction initiatives for which the full impact of the savings was reflected in 2014 with the positive impact continuing in the current year as well  Further  the company s investment strategies in global  local and emerging markets in both equities and fixed income boosted its AUM  The increasing trend continued in the first half of 2017 and is expected to go ahead in the upcoming quarters as well  with anticipated improvement in the market However  the investment manager s heavy reliance on overseas revenues  which account for nearly 43  of total operating revenues  remains a concern  A plethora of risks stemming from the regulatory and political environment  foreign exchange fluctuations and performance of regional economy can adversely affect the top line Stocks to ConsiderBancFirst Corporation   NASDAQ BANF   has been witnessing upward estimate revisions for the last 60 days  Additionally  the stock jumped more than 24 1  over the past six months  It currently sports a Zacks Rank  1  Strong Buy   You can see  For the past 60 days  Och Ziff Capital Management Group LLC   NYSE OZM   has been witnessing upward estimate revisions  Also  the company s shares have risen nearly 19  over the last six months  It flaunts a Zacks Rank  1  at present The PNC Financial Services Group  Inc    NYSE PNC   has been witnessing upward estimate revisions for the last 60 days  Over the last six months  the company s share price has been up more than 12   It carries a Zacks Rank  2  Buy  Will You Make a Fortune on the Shift to Electric Cars Here s another stock idea to consider  Much like petroleum 150 years ago  lithium power may soon shake the world  creating millionaires and reshaping geo politics  Soon electric vehicles  EVs  may be cheaper than gas guzzlers  Some are already reaching 265 miles on a single charge With battery prices plummeting and charging stations set to multiply  one company stands out as the  1 stock to buy according to Zacks research It s not the one you think ",2017-09-20,Zacks Investment Research,https://www.investing.com/analysis/heres-why-it-is-wise-to-hold-lazard-laz-stock-for-now-200214733,200214733
