,id,ticker,title,category,content,date,provider,url,article_id
159170,380686,BIDU,Better Buy  Baidu vs  Alibaba,news,"Baidu  NASDAQ BIDU  and Alibaba  NYSE BABA  are two of China s most well known tech companies  Baidu owns the country s top search engine  while Alibaba owns its biggest e commerce marketplace and cloud platform 
When I compared these two companies last August  I concluded that Alibaba s stronger revenue and earnings growth  insulation from macro headwinds  and reasonable valuation made it the better investment than Baidu  Both stocks rallied about 30  since that article was published  as the  phase one  trade deal allayed some concerns about Chinese stocks  But will one of these stocks outperform the other through the rest of 2020 

Baidu s strengths and weaknesses
Baidu controls 67  of China s online search engine market  according to StatCounter  Its closest competitors are Sogou and Alibaba s Shenma  which claim 19  and 7  shares  respectively 
Baidu generated 73  of its revenue from online ads last quarter  However  its ad revenue declined annually over the past two quarters as it struggled with slower ad spending amid the economic slowdown in China  as well as competition from Tencent s  OTC TCEHY  WeChat and ByteDance s TikTok and Toutiao 
Baidu partly offset that slowdown with the growth of its video platform iQiyi  NASDAQ IQ   which generates most of its remaining revenue  But iQiyi s growth also weighs down Baidu s operating margins  since the unit still can t generate a profit in China s competitive streaming video market 
Baidu s core turnaround plan is to expand into adjacent markets  including virtual assistants  smart speakers  artificial intelligence  cloud services  and driverless cars  It s also expanding its mobile app into a platform for mini programs  which mirrors Tencent s expansion of WeChat into a mini program ecosystem 
Alibaba s strengths and weaknesses
Alibaba s marketplaces controlled 56  of China s e commerce market last year  according to eMarketer  Its closest rivals were JD com and Pinduoduo  NASDAQ PDD   which claimed 17  and 7  of the market  respectively 
Alibaba s cloud platform controlled 47  of China s cloud platform market last year  according to Canalys  Its rivals Tencent  Amazon  and Baidu controlled 15   9   and 8  of that growing market  respectively 
Alibaba s core commerce business generated 85  of its revenue last quarter  The rest of its revenue came from its cloud  digital media and entertainment  and innovation initiatives businesses  Yet Alibaba only generates profits from its core commerce business    and those profits subsidize the growth of its three other unprofitable units 
Alibaba s core commerce revenue rose 40  annually last quarter  but its growth is decelerating  It s propping up the unit s growth with brick and mortar stores  overseas and cross border marketplaces  and investments in third party logistics  but those newer businesses are eroding the unit s operating margins 

Overlapping interests and shared challenges
Baidu and Alibaba compete across multiple markets  including advertising  cloud services  smart speakers  and AI  Alibaba is actually the largest advertising company in China  since Taobao and Tmall generate ad revenue  via product listing fees  for higher rankings  That business undermines Baidu s online search ads  since merchants could spend their ad budgets on Alibaba s listing fees instead 
However  Baidu overtook Alibaba in China s smart speaker market last year with cheaper speakers  Baidu s AI platform also recently bested Google s in an AI competition  and its Apollo platform for autonomous cars has secured over 100 partnerships from major auto and tech companies  In other words  Baidu is aggressively expanding its ecosystem beyond PCs and mobile devices 
Alibaba and Baidu both face intense competition from Tencent  Tencent s WeChat  the top messaging platform in China with 1 15 billion monthly active users  has evolved into an all in one platform for payments  e commerce  search  ride hailing services  gaming  and more    which gives it a wide moat against both tech giants  Gen Z oriented platforms like ByteDance s TikTok and Toutiao are also expanding their ecosystems in similar ways 
The growth forecasts and valuations
Baidu s prospects could brighten this year as waning macro headwinds allow Chinese companies to ramp up their advertising spending again  Its operating margins could also expand as it dials back discounts on smart speakers and iQiyi narrows its losses 
Alibaba will likely continue expanding its core commerce business with lower margin strategies to counter discount rivals like Pinduoduo  It could also face fresh antitrust scrutiny over allegations that it s forcing merchants into exclusive deals 
Based on those factors  Baidu s revenue and earnings growth could accelerate next year  while Alibaba s growth decelerates  Baidu s stock also looks cheaper relative to its earnings growth potential next year 

Source  Yahoo Finance  Jan  20 
Baidu and Alibaba are both solid long term plays on China s economy  But at current prices  Baidu s accelerating growth  expanding ecosystem  and lower valuation make it a slightly better pick than Alibaba ",2020-01-25,The Motley Fool,https://invst.ly/pmuoe,2067802
159171,380687,BIDU,Baidu  4 2  on raised Q4 outlook,news,"Baidu  NASDAQ BIDU  updates its Q4 revenue guidance from RMB 27 1B 28 7B to RMB 28 3B 28 9B 
The company expects net income attributable to Baidu to come in between RMB 6 2B and 6 7B 
Baidu reschedules its Q4 report due to the coronavirus outbreak to February 27 with the earnings call at 8 15 PM ET 
BIDU shares are up 4 2  after hours to  128 75 ",2020-01-31,Seeking Alpha,https://invst.ly/ppm0g,2073489
159172,380688,BIDU,China s Baidu delays earnings date on coronavirus fears,news," Reuters    China s Baidu Inc  O BIDU  said on Friday it was delaying the announcement of its fourth quarter results and advised its employees in the country to work from home for a time period after the Lunar New Year holiday due to the recent outbreak of a new coronavirus  The company  which postponed the announcement date by more than two weeks to Feb  27  said the revised date would give it more time to observe the business condition for the first quarter of 2020  The virus  which originated in the Chinese city of Wuhan  has spread across the world and prompted many companies to close stores and restrict travel to and from the country  The fast spreading virus has killed over 200 people  Baidu  whose search engine dominates the market in China  said it now expects fourth quarter revenue in a range of 28 3 billion yuan   4 10 billion  to 28 9 billion yuan  compared with its previous forecast of 27 1 billion yuan to 28 7 billion yuan  Shares of Baidu were up about 5  in extended trading  
  1   6 9040 Chinese yuan renminbi ",2020-01-31,Reuters,https://www.investing.com/news/technology-news/chinas-baidu-revises-earnings-date-on-coronavirus-fears-2073492,2073492
159177,380693,BIDU,Here s Why Baidu and iQiyi Soared Today,news,"The outbreak of a novel coronavirus in China has made plenty of headlines  and has affected companies in China and across the global stage in a variety of ways  Many public facilities have been closed  travel restrictions remain in effect  and many consumers have been instructed to stay in their homes and avoid public gatherings 
As the leading Chinese search engine  Baidu  NASDAQ BIDU  has not been immune to the outbreak of that has ravaged the country  nor has its streaming video offspring iQiyi  NASDAQ IQ   In a press release late Friday  the company said that because of the coronavirus  its fourth quarter financial report    initially scheduled for Feb  6    was being postponed until Feb  27   in light of the evolving situation   iQiyi issued a similar statement 
The news wasn t all bad  however  as Baidu issued revised guidance that was surprisingly strong and sent both stocks soaring 

Increased guidance    and confidence
Baidu stock closed up nearly 6   while iQiyi gained more than 7   The catalyst for the move was the release of revised guidance that was much stronger than investors had expected 
Baidu said that for the fourth quarter  it expects revenue to be in the range of 28 3 billion yuan   4 06 billion  to 28 9 billion yuan   4 15 billion   which would represent an increase of between 4  and 6  year over year 
The move came as a surprise to investors  as Baidu s previous guidance range was much more subdued  It forecast revenue in the range of 27 1 billion yuan   3 89 billion  to 28 7 billion yuan   4 12 billion   which would represent a loss of 1  to a gain of 6  year over year  Baidu also indicated that its core revenue would grow between 4  and 6  year over year  compared to its previous guidance for flat to 6  growth 
Baidu also said it expects net income to be in the range of 6 2 billion yuan   890 million  to 6 7 billion yuan   970 million   which is assuming growth in the company s core business of between 83  to 90  year over year  On an adjusted basis  Baidu is forecasting net income in the range of 8 9 billion yuan   1 28 billion  to 9 4 billion yuan   1 36 billion   which would represent growth in Baidu s core of between 50  and 55  year over year 
Regarding the evolving health crisis  Baidu said that in an effort to  help control the epidemic  the Company is taking precautionary measures  including extending its employees  Chinese New Year holiday  which was originally scheduled from January 24  2020 to January 30  2020  and requesting employees to work from home for a time period after the holiday  
It s important to note that iQiyi left its guidance intact  which called for total net revenue to be between 6 86 billion yuan   960 million  and 7 28 billion yuan   1 04 billion   that range runs from a loss of 2  to a gain of 4   compared to the prior year quarter  Since iQiyi makes up such a significant part of Baidu s results  investors are hoping the revision in Baidu s guidance bodes well for both companies 
The turnaround continues
Baidu has been in the midst of a multiyear turnaround  after the stock plunged last year to its lowest level since 2013  The outbreak of coronavirus couldn t have come at a worse time for China stocks  they have already been hit hard by a slowing economy and the trade war with the U S   though the two countries recently reached a preliminary agreement to end trade hostilities 

iQiyi has been fighting to stay above the fray in a three way streaming video battle with Tencent Holdings  Tencent Video and Alibaba Group Holding s Youku Tudou  The company has been spending heavily on original content  impacting not only its results  but that of corporate parent Baidu as well 
Investors will get the latest updates from both Baidu and iQiyi after the market close on Thursday  Feb  27 ",2020-02-03,The Motley Fool,https://invst.ly/pqlhu,2074922
159180,380696,BIDU,Is It Finally Safe to Buy Baidu Stock ,news,"Baidu s  NASDAQ BIDU  stock recently jumped after the Chinese search leader unexpectedly hiked its fourth quarter guidance amid China s economic slowdown and the ongoing coronavirus outbreak 
The company raised the midpoint of its fourth quarter revenue guidance from 2 6  growth to 5 1  growth  and it lifted its revenue forecast for Baidu Core  which excludes its share of video streaming platform iQiyi  NASDAQ IQ  and other non core businesses  from 0  6  growth to 4  6  growth 
Baidu also expects the midpoint of its non GAAP net income  i e   measured without relying on generally accepted accounting principles  to nearly double as Baidu Core s non GAAP earnings rise 50  to 55   Analysts had anticipated just 16  earnings growth 
These rosy numbers suggest that the worst might be over for Baidu  which shed over 25  of its market value over the past 12 months as its core advertising business lost momentum  So is it finally safe to buy shares of this beaten down stock 

Tracking Baidu s decline
Baidu s core advertising business generated 73  of its revenue in the third quarter  It lost momentum over the past year  due to the economic slowdown in China and intense competition from rivals like Tencent  OTC TCEHY  and ByteDance  which overtook Baidu in digital ad revenue last year 

Source  Baidu quarterly reports 
Baidu s traffic acquisition costs  TAC  held steady at less than 16  of its ad revenue last quarter  but that tepid spending suggested that it wasn t aggressively countering its rivals as China s economy grew at its slowest rate in three decades 
Instead  Baidu relied heavily on the growth of iQiyi to offset its declining ad revenue  That strategy was a double edged sword    it boosted Baidu s revenue  but the unprofitable video platform also sapped its earnings growth 

Source  Baidu quarterly reports 
Baidu exacerbated that pressure by investing in the expansion of its ecosystem with its DuerOS virtual assistant  Xiaodu smart speakers  driverless cars  and other next gen technologies to expand beyond PCs and mobile devices 
All those factors caused Baidu s stock to tumble over the past year  as unresolved issues like the trade war  the economic slowdown  and the coronavirus spooked the bulls  However  Baidu s fourth quarter guidance strongly suggests that its declines are finally bottoming out 
Tracking Baidu s recovery
As analysts fretted over Baidu s tumbling revenue and profits  the tech giant planted its seeds for future growth  It divested non core businesses  including its investments in financial technology  meal delivery  and online travel  and invested more cash into the expansion of mini programs on its mobile app  its smart speaker business  its AI services  its Haokan short video app  DuerOS  and its Apollo platform for driverless cars 
The addition of mini programs to Baidu s mobile app  which allowed users to access e commerce  delivery  ride hailing  and other services without leaving the app  counters Tencent s  OTC TCEHY  addition of mini programs to WeChat  the top mobile messaging app in China  over the past three years 
Last quarter  Baidu noted that the total number of daily active users  DAUs  on its mobile app grew 25  annually to 189 million in September  as monthly active users  MAUs  for the app s mini programs jumped 157  to 290 million 
Baidu also overtook Alibaba  NYSE BABA  as the country s top smart speaker maker last year  Last quarter  it noted that monthly voice queries on its voice assistant DuerOS more than quadrupled annually to 4 2 billion  Voice queries on Baidu Maps also doubled 
Baidu s driverless unit also secured 150 autonomous driving licenses across Chinese cities and launched its first robotaxi fleet in Changsha  Hunan  It also recently dealt Alphabet s Google a significant blow when its ERNIE AI model beat Google s BERT AI model in a natural language processing competition 
Baidu s expansion of its ecosystem hasn t generated significant revenue yet  but it ensures its long term survival as online searches move beyond PCs and phones while widening its moat against Tencent  Alibaba  ByteDance  and other tech rivals 
What does Baidu s forecast tell investors 
Baidu didn t highlight any clear catalysts in its revised fourth quarter guidance  Instead  it noted that it would delay its full fourth quarter report till Feb  27 to account for the impact of the coronavirus outbreak 
However  Baidu s guidance suggests that its advertising business is rebounding from a tough 2019  iQiyi s profitability could be improving  and its mini programs and DuerOS are locking in more users  Those improvements could silence the bears  who consider Baidu an also ran in China s evolving tech sector 
Analysts expect Baidu s revenue and earnings to grow 11  and 27   respectively  next year    but those estimates could be raised after Baidu reveals its full report  Either way  Baidu s stock is historically cheap at 18 times forward earnings  so investors should consider buying some shares before the coronavirus fears fade ",2020-02-05,The Motley Fool,https://invst.ly/prgxt,2076881
159181,380697,BIDU,The 4 Biggest Risks Facing Baidu s Stock,news,"Baidu s  NASDAQ BIDU  stock recently rallied after the Chinese tech giant raised its fourth quarter guidance ahead of its full earnings report on Feb  27  It now expects its revenue to rise 5 1  annually at the midpoint  compared to its prior forecast for 2 6  growth 
It expects revenue from its core businesses  which exclude entertainment platform iQiyi  NASDAQ  IQ  and other non core businesses  to grow 4  6   compared to a previous forecast for 0  6  growth  It also expects the midpoint of its non GAAP net income to nearly double 
Those numbers sent analysts scrambling to revise their estimates  and indicated that Baidu s struggling ad business was improving and that its stock was finally bottoming out  But before investors load up on Baidu s stock  they should review the four biggest threats to its long term growth 

1  Tencent s WeChat
Tencent s WeChat  which hit 1 15 billion monthly active users  MAUs  last quarter  is the most popular messaging app in China  It added mini programs    which let users access online marketplaces  ride hailing platforms  and other services without leaving the app    in early 2017 
The platform s total number of mini programs exceeded 1 million in 2018  Last quarter  Tencent stated that its total number of daily active users  DAUs  on mini programs grew 45  annually to 300 million 
WeChat provides its own internal search engine for finding content across its platform  It also integrates Sogou  NYSE  SOGO   the second largest search engine in China after Baidu  into WeChat for external searches 
Baidu is fighting back by launching mini programs for its own mobile app  but that ecosystem still reaches fewer users than WeChat  If Tencent locks more users into WeChat s walled garden  Baidu s core search engine could lose its clout with internet users and advertisers 
2  ByteDance s TikTok and Toutiao
Beijing based ByteDance replaced Baidu as the second largest digital advertising platform in China after Alibaba  NYSE  BABA  last year  according to research firm R3 
ByteDance s entire family of apps reaches over 1 5 billion MAUs  Its meteoric growth was mainly fueled by two of those apps  the short video app Douyin  known as TikTok overseas   and Jinri Toutiao  a news app that aggregates clickable articles 
Douyin locks in Gen Z users with its short musical videos  and its total monthly active users  MAUs     including TikTok    topped 500 million in 2018  Toutiao mainly appeals to younger and lower income users across China with its short articles 
ByteDance launched an internal search engine  which lets users scour older articles and content  for Toutiao last year  This was a clear shot at Baidu  and indicated that ByteDance was following Tencent s  walled garden  strategy of locking users into its ecosystem  Baidu is fighting back against ByteDance with its news app and its short video app Haokan  but neither effort has throttled ByteDance s growth yet 
3  Alibaba s sprawling ecosystem
Baidu surpassed Alibaba as China s top smart speaker maker last year  but it did so by selling its speakers at rock bottom prices  If Alibaba retaliates with even cheaper speakers  a margin crushing price war could erupt between the tech giants 

But that s not all  Alibaba also owns Shenma  the second largest mobile search engine in China  Alibaba already integrates some of its e commerce search results into Shenma  and stronger ties with Taobao and Tmall could help its search engine gain ground against Baidu 
Alibaba also owns the largest cloud infrastructure platform in China  It controls nearly half of that high growth market  according to Canalys  while Baidu ranks fourth with an 8  share  Baidu is trying to stay afloat in this competitive market  but it could struggle to pull customers away from Alibaba Cloud and other rivals without aggressive promotions 
4  The Chinese government
Lastly  the Chinese government frequently throttles Baidu s growth with overbearing regulations  Back in 2016  a cancer stricken student died after trying an experimental treatment advertised on Baidu  In response  Chinese regulators forced Baidu to curb its sales of healthcare ads    which accounted for 20  30  of its revenue at the time 
The government has also tightened its regulations on the fintech and video game markets over the past two years  which caused Baidu s ad revenue from those two high growth markets to plummet  The Cyberspace Administration also temporarily suspended some of Baidu s news services in early 2019 as part of a six month crackdown on  vulgar  content 
The unpredictable nature of those crackdowns is a volatile headwind for Baidu  and it forces the search giant to hire more censors and tighten up its own algorithms  In other words  the government s actions could dent Baidu s revenue growth and cause its operating expenses to rise 
The bottom line
I own shares of Baidu  and I think its updated guidance indicates that the headwinds which battered the stock over the past year are finally waning  However  I m still keeping a close eye on these four long term challenges  since they could derail the tech giant s fragile recovery ",2020-02-09,The Motley Fool,https://invst.ly/pssff,2079852
159207,380723,BIDU,How China s tech trio   Baidu  Alibaba and Tencent   could fare in 2020,news,Baidu  Alibaba and Tencent  known as the BATs  are three of China s most prominent technology firms These companies have faced a barrage of domestic issues against a backdrop of the U S  China trade war  which has morphed into a tech war CNBC looks at where these companies are headed in 2020 ,2020-01-10,CNBC,https://invst.ly/pg6jl,2056570
159208,380724,BIDU,Why Baidu Stock Slumped 20 3  in 2019,news,"What happened
Shares of Baidu  NASDAQ BIDU  sank 20 3  in 2019  according to data from S P Global Market Intelligence   Despite a year of strong gains for the broader Chinese market  the search leader s stock slumped because of weak performance for its advertising business  

GXC data by YCharts
The stock s biggest drop of the year occurred in May  after the company reported miserable first quarter results and an uninspiring outlook  The potential impact of the trade war between China and the U S  was already making shareholders nervous before the release  and the results confirmed that Baidu s advertising business was seeing deteriorating performance and prompted investors to lower their expectations for the stock  

So what
Baidu s advertising business faced multiple headwinds last year  With trade tensions pointing to the possibility that economic growth in China could remain sluggish  businesses were less interested in spending money on marketing  Baidu also took measures to remove ad partners from its platform and increase its overall standards to reduce the possibility of intervention from the Chinese government 
The stock did see some recovery in November after the company reported third quarter results that showed better than expected earnings results and solid sales and membership growth for its streaming video spin off  iQiyi  Shares continued to trend higher through the end of the year but still dramatically underperformed the overall Chinese market 
Now what
Baidu stock has posted significant recovery early in 2019 s trading  Shares are up roughly 14 1  in January s trading so far 

BIDU data by YCharts
Baidu is facing increasing competition  but it retains a leadership position in the Chinese search and advertising market  With signs that progress is being made on resolving the trade disputes between China and the U S   it s possible that the company could be operating against a more favorable backdrop this year  but the business s strong position in fields like artificial intelligence and autonomous driving technology give it avenues to long term success even if more volatility hits in the near term 
Baidu stock is valued at roughly 20 times the average analyst target for this year s earnings ",2020-01-12,The Motley Fool,https://invst.ly/ph2xd,2057616
159209,380725,BIDU,China to frame rules for online only banks this year in boost to foreigners  sources,news,"By Sumeet Chatterjee and Cheng Leng
HONG KONG BEIJING  Reuters    China is working to finalize its first rules to cover online only banking operations in a push to minimize risk in the financial sector and attract players including foreign lenders  three people with direct knowledge of the matter said 
The guidelines could also bolster foreigners with existing China operations such as  Citigroup  Inc  NYSE C    HSBC Holdings   LON HSBA  PLC and  Standard Chartered   LON STAN  PLC by allowing them to set up separate digital banking platforms  two of them said 
The framing of rules come as companies  use of data as well as digital and artificial intelligence technologies have transformed China s financial services landscape  from processing payments to selling investment products 
But foreigners have struggled to make money in mainland retail banking  with many yet to break even despite years of onshore presence as they compete with the vast physical networks of domestic rivals 
About a dozen groups including foreigners are in talks with Chinese regulators over the new rules and have shown interest in launching digital banking operations  said one person who has been involved in such discussions with the banking watchdog 
The rules would allow them to partner tech firms for independent digital banking platforms  the person said 
Banks are expected to be allowed to own majority stakes in online only banking ventures  the people said  as the government pushes ahead with its strategy of easing access for foreigners to China s vast financial markets 
The framework  which will cover the existing online banking units of  Alibaba   NYSE BABA  Group Holding Ltd and Tencent Holdings Ltd among others  will form China s first comprehensive move to standardize oversight of the fast growing digital banking sector 
Other Asian economies including Hong Kong and Singapore are also ushering in digital only banks 
China has licensed four online only banks since 2014 including Tencent backed WeBank  Alibaba offshoot MYbank  and AiBank  backed by search engine operator Baidu Inc  NASDAQ BIDU  and China Citic Bank Corp Ltd 
The People s Bank of China and the China Banking and Insurance Regulatory Commission did not respond to Reuters  faxed requests for comment  The people declined to be identified as the regulatory plans are confidential 
A spokesman for Citi said the bank would review the rules when they are published  and that its own China consumer banking business had already been digitized 
HSBC declined to comment on the rules but said it would welcome any move that continued to open the financial markets in mainland China  and would always look for new opportunities to expand there 
StanChart  AiBank  MYbank and WeBank declined to comment 
In August  the central bank announced it was developing a three year plan for the financial technology sector  It has yet to publish plans or give a timetable for doing so 
So far the online sector has made little inroad into day to day banking  with assets of the four online banks standing at  56 billion at the end of 2018  latest official data showed  accounting for 0 15  of China s total banking assets ",2020-01-14,Reuters,https://www.investing.com/news/technology-news/china-to-frame-rules-for-onlineonly-banks-this-year-in-boost-to-foreigners-sources-2058611,2058611
159233,380749,BIDU,3 Things That Sent Baidu Stock Soaring to Start 2020,news,"Last year was a difficult one for Baidu  NASDAQ BIDU  investors  with a trifecta of issues hitting the Chinese internet search leader  driving its stock down as much as 40  at one point in the year  Increasing competition  a struggling economy in China  and the trade war with the U S  weighed on the stock for much of 2019 
Things started looking up toward year end  however  as Baidu returned to growth  Excluding divested business segments  revenue grew by 3  year over year in the third quarter  helping the stock recoup half of its losses to close out 2019 down about 20   
Baidu has started the year on a high note  as two announcements related to its artificial intelligence  AI  program and one related a long awaited trade agreement sent the stock soaring nearly 8  on the first day of trading in 2020 

1  Autonomous cars  driving  the stock
Word emerged on Tuesday that Baidu had been granted a license to test its Apollo driverless cars in Beijing  one of the most traffic congested cities in the country  Baidu was issued 40 licenses to test its self driving cars while carrying passengers on specially designated roads around China s capital city    making it the first Chinese company to do so  
The company also announced its self driving cars had traversed more than 3 million kilometers  about 1 8 million miles  across 23 cities in China to date  adding more than 1 million kilometers and 10 additional cities to its tally since July  Baidu has been granted a total of 120 permits across China  by far the most of any autonomous driving system in the country  
2  Beating the competition in an AI language test
While Alphabet s  NASDAQ GOOGL   NASDAQ GOOG  Google and Microsoft  NASDAQ MSFT  have been battling for bragging rights in the realm of AI  Baidu has surprised both by winning a competition that tests the ability of AI based algorithms to understand human language  
Baidu recorded the record breaking score of 90 1 on the General Language Understanding Evaluation  GLUE   which is widely regarded as the key benchmark for AI language understanding  The company s ERNIE  Enhanced Representation through kNowledge IntEgration  model beat out both Microsoft and Google  which achieved scores of 89 9 and 89 7  respectively  Baidu became one of only 10 AI systems thus far that have been able to surpass the human understanding baseline score of 87 1 and the first to ever top a score of 90  
3  A cooling of trade tensions
President Donald Trump announced the long awaited signing of a trade deal with China on Tuesday  with the event scheduled in Washington  D C   for Jan  15  The first part of the deal  titled  phase one   marks a significant turning point in a trade war that has raged for more than 18 months  Trump recently halted new tariffs that were scheduled to go into effect in December  while removing some levies that had already been placed on a wide range of goods manufactured in China 
The ongoing trade war has dented China s economy  as the country s gross domestic product grew by just 6 2  in the second half of 2019  marking its slowest rate of growth in more than 25 years  This has hurt China stocks and helped pinch Baidu s results  which caused the company to report a loss in the first quarter  its first since debuting on U S  markets in August 2005  An easing of the trade war will undoubtedly help boost China s declining growth rate    and improve Baidu s fortunes in the process ",2020-01-02,The Motley Fool,https://invst.ly/pcknn,2051464
