,id,ticker,title,category,content,date,provider,url,article_id
2390,223905,BVSN,BroadVision reports Q2 results,news,BroadVision   NASDAQ BVSN   Q2 EPS of   0 48Revenue of  1 62M   15 6  Y Y Press ReleaseNow read ,2017-08-15,Seeking Alpha,https://www.investing.com/news/stock-market-news/broadvision-reports-q2-results-518580,518580
2393,223908,BVSN,Technology   Top Gainers   Losers as of 2 55 pm,news,Gainers  SQNS  24   VERI  17   LOV  13   CYBE  10   UIS  8  Losers  CNTF  14   TNTR  9   WPCS  8   KONE  8   BVSN  6   Now read ,2017-08-23,Seeking Alpha,https://www.investing.com/news/stock-market-news/technology--top-gainers--losers-as-of-255-pm-521657,521657
2394,223909,BVSN,Technology   Top 5 Gainers   Losers as of 3 00 PM,news,Gainers  NETE  269   OPNT  30  MTSL  30   JRJC  24   ELTK  17  Losers  CCIH  38   APDN  26   BVSN  13   TCCO  10   IFON  10  Now read ,2017-12-20,Seeking Alpha,https://www.investing.com/news/stock-market-news/technology--top-5-gainers--losers-as-of-300-pm-1015900,1015900
2395,223910,BVSN,Technology   Top 5 Gainers   Losers as of 3 10 PM,news,Gainers  BVSN  24   TNAV  17  FH  16   CSPI  14   CCIH  13  Losers  LFIN  33   ELTK  14   JRJC  14   BLIN  12   DPW  10  Now read ,2017-12-21,Seeking Alpha,https://www.investing.com/news/stock-market-news/technology--top-5-gainers--losers-as-of-310-pm-1020856,1020856
2396,223911,BVSN,Midday Gainers   Losers  04 13 2018 ,news,Gainers  FTFT  64   HEAR  22   NETE  18   INTT  15   ACER  15   ISNS  14   NCNA  13   PLSE  12   PXLW  12   MYND  10   Losers  ANY  45   LEDS  26   VRML  23   BVSN  14   PIXY  14   ESND  10   CNET  10   CCIH  10   WMLP  10   ZG  9   Now read ,2018-04-13,Seeking Alpha,https://www.investing.com/news/stock-market-news/midday-gainers--losers-04132018-1394308,1394308
2397,223912,BVSN,U S  stocks mixed at close of trade  Dow Jones Industrial Average down 0 28 ,news,"Investing com   U S  stocks were mixed after the close on Wednesday  as gains in the Oil   Gas  Industrials and Financials sectors led shares higher while losses in the Healthcare  Consumer Services and Telecoms sectors led shares lower 
At the close in NYSE  the Dow Jones Industrial Average lost 0 28   while the S P 500 index declined 0 05   and the NASDAQ Composite index gained 0 07  
The best performers of the session on the Dow Jones Industrial Average were  Boeing Co   NYSE BA   which rose 2 03  or 8 67 points to trade at 435 44 at the close  Meanwhile   Caterpillar  Inc  NYSE CAT  added 1 16  or 1 60 points to end at 139 58 and  Exxon Mobil  Corp  NYSE XOM  was up 1 03  or 0 81 points to 79 47 in late trade 
The worst performers of the session were UnitedHealth Group Incorporated  NYSE UNH   which fell 4 91  or 12 90 points to trade at 250 08 at the close   Home Depot  Inc  NYSE HD  declined 2 46  or 4 63 points to end at 183 67 and DowDuPont Inc  NYSE DWDP  was down 1 41  or 0 78 points to 54 72 
The top performers on the S P 500 were  Best Buy  Co Inc  NYSE BBY  which rose 14 11  to 68 82  Chesapeake Energy Corporation  NYSE CHK  which was up 10 27  to settle at 2 900 and  Campbell Soup  Company  NYSE CPB  which gained 10 03  to close at 36 21 
The worst performers were Mylan NV  NASDAQ MYL  which was down 15 06  to 26 01 in late trade  UnitedHealth Group Incorporated  NYSE UNH  which lost 4 91  to settle at 250 08 and  Western Digital  Corporation  NASDAQ WDC  which was down 4 77  to 48 54 at the close 
The top performers on the NASDAQ Composite were Aceto Corporation  NASDAQ ACET  which rose 83 78  to 0 26   Midatech Pharma  PLC  NASDAQ MTP  which was up 54 78  to settle at 0 790 and  BroadVision  Inc  NASDAQ BVSN  which gained 40 50  to close at 1 70 
The worst performers were  Synergy Pharmaceuticals Inc   NASDAQ SGYP  which was down 65 41  to 0 070 in late trade  Weight Watchers International Inc  NASDAQ WTW  which lost 34 49  to settle at 19 37 and Silver Run Acquisition Corporation II  NASDAQ AMR  which was down 32 47  to 0 23 at the close 
Rising stocks outnumbered declining ones on the New York Stock Exchange by 1520 to 1450 and 136 ended unchanged  on the Nasdaq Stock Exchange  1421 rose and 1194 declined  while 103 ended unchanged 
Shares in Mylan NV  NASDAQ MYL  fell to 5 year lows  falling 15 06  or 4 61 to 26 01  Shares in Boeing Co  NYSE BA  rose to all time highs  rising 2 03  or 8 67 to 435 44  Shares in Synergy Pharmaceuticals Inc  NASDAQ SGYP  fell to all time lows  losing 65 41  or 0 131 to 0 070  Shares in Weight Watchers International Inc  NASDAQ WTW  fell to 52 week lows  down 34 49  or 10 20 to 19 37  Shares in Silver Run Acquisition Corporation II  NASDAQ AMR  fell to all time lows  losing 32 47  or 0 11 to 0 23  
The CBOE Volatility Index  which measures the implied volatility of S P 500 options  was down 1 41  to 14 70 
Gold Futures for April delivery was down 0 52  or 6 90 to  1321 60 a troy ounce  Elsewhere in commodities trading  Crude oil for delivery in April rose 2 70  or 1 50 to hit  57 00 a barrel  while the May Brent oil contract unchanged 0 00  or 0 00 to trade at  66 53 a barrel 
EUR USD was up 0 12  to 1 1382  while USD JPY rose 0 00  to 110 98 
The US Dollar Index Futures was up 0 18  at 96 037 ",2019-02-27,Investing.com,https://www.investing.com/news/stock-market-news/us-stocks-mixed-at-close-of-trade-dow-jones-industrial-average-down-028-1793095,1793095
2398,223913,BVSN,U S  stocks lower at close of trade  Dow Jones Industrial Average down 0 26 ,news,"Investing com   U S  stocks were lower after the close on Friday  as losses in the Technology  Industrials and Healthcare sectors led shares lower 
At the close in NYSE  the Dow Jones Industrial Average lost 0 26   while the S P 500 index declined 0 53   and the NASDAQ Composite index fell 1 13  
The best performers of the session on the Dow Jones Industrial Average were  Pfizer  Inc  NYSE PFE   which rose 1 23  or 0 44 points to trade at 36 22 at the close  Meanwhile   Exxon Mobil  Corp  NYSE XOM  added 0 72  or 0 51 points to end at 71 48 and Walgreens Boots Alliance Inc  NASDAQ WBA  was up 0 61  or 0 33 points to 54 41 in late trade 
The worst performers of the session were  Chevron  Corp  NYSE CVX   which fell 1 30  or 1 56 points to trade at 118 60 at the close  Microsoft Corporation  NASDAQ MSFT  declined 1 30  or 1 81 points to end at 137 73 and Merck   Company Inc  NYSE MRK  was down 1 16  or 0 97 points to 82 91 
The top performers on the S P 500 were  Wells Fargo    Company  NYSE WFC  which rose 3 77  to 50 71  Emerson Electric Company  NYSE EMR  which was up 3 44  to settle at 66 40 and Ulta Beauty Inc  NASDAQ ULTA  which gained 3 42  to close at 244 40 
The worst performers were Micron Technology Inc  NASDAQ MU  which was down 11 09  to 43 21 in late trade   Lam Research Corp   NASDAQ LRCX  which lost 5 25  to settle at 230 08 and Applied Materials Inc  NASDAQ AMAT  which was down 5 22  to 49 43 at the close 
The top performers on the NASDAQ Composite were  BroadVision  Inc  NASDAQ BVSN  which rose 29 82  to 1 69   Tetraphase Pharmaceuticals Inc   NASDAQ TTPH  which was up 21 40  to settle at 5 730 and  Tiziana Life Sciences  PLC ADR  NASDAQ TLSA  which gained 16 68  to close at 6 25 
The worst performers were Concert Pharmaceuticals Inc  NASDAQ CNCE  which was down 36 68  to 6 25 in late trade   Histogenics Corp   NASDAQ HSGX  which lost 30 77  to settle at 0 162 and Destination Maternity Corporation  NASDAQ DEST  which was down 24 41  to 0 40 at the close 
Falling stocks outnumbered advancing ones on the New York Stock Exchange by 1634 to 1224 and 107 ended unchanged  on the Nasdaq Stock Exchange  1720 fell and 906 advanced  while 83 ended unchanged 
Shares in Concert Pharmaceuticals Inc  NASDAQ CNCE  fell to all time lows  down 36 68  or 3 62 to 6 25  Shares in Tetraphase Pharmaceuticals Inc  NASDAQ TTPH  rose to 52 week highs  gaining 21 40  or 1 010 to 5 730  Shares in Destination Maternity Corporation  NASDAQ DEST  fell to all time lows  falling 24 41  or 0 13 to 0 40  
The CBOE Volatility Index  which measures the implied volatility of S P 500 options  was up 7 16  to 17 22 
Gold Futures for December delivery was down 0 78  or 11 75 to  1503 45 a troy ounce  Elsewhere in commodities trading  Crude oil for delivery in November fell 0 43  or 0 24 to hit  56 17 a barrel  while the November Brent oil contract fell 1 37  or 0 86 to trade at  61 88 a barrel 
EUR USD was up 0 17  to 1 0940  while USD JPY rose 0 13  to 107 95 
The US Dollar Index Futures was up 0 00  at 98 767 ",2019-09-27,Investing.com,https://www.investing.com/news/stock-market-news/us-stocks-lower-at-close-of-trade-dow-jones-industrial-average-down-026-1988221,1988221
3593,225108,BVSN,Trading Lessons  The Mountain Top Is Lonely,opinion,"This story is part III of my trading lessons series 
I ve been to the top of what is called  trading nirvana   a place where I thought I would have plenty of company  Back in my early trading days  I thought there was nothing bad that could touch me  As you recall from a previous article where I turned a small sum of 7K into a nice amount over half a million in just a few years  This was  it  for me  and while it was far from a fortune I could live on the rest of my days  I certainly believed it was a great start  Perhaps I was lucky and found a winning lottery ticket and cashed it in 
We could certainly say  right place at the right time   a success if we measure the size of our profit loss  But how do we handle this success  Are we just stubborn  greedy and full of hubris  Do we freeze up and panic at the sign of trouble  or just ignore any warnings   believing we can repel any dangers as if we were made of teflon 
When we get caught in a bubble and make a tremendous amount of money  it is tough to leave that party  Who would ever want to get off that ride  But  unfortunately that choice is not often made voluntarily  For me  the ride started to shake at the start of 2000 and came to a rough ending the following summer 
After barely making it out alive from the Spring of 2000  when the markets cratered  Nasdaq dropped 26  one week in April alone  I was determined to move ahead  This bit of a correction was not going to bother me  after all it took me 3  years to earn a nice fortune   how could I lose it in just a few short weeks  The stock BroadVision  NASDAQ BVSN  was one that I tracked for years  and while I had emptied my tank of all things  dotcom  this one still had my eye 
I amassed a good quantity of stock  about 7000 shares in early 2000 and Broadvision started to move nicely higher  I had only a handful of other names left  and after the carnage in the Spring had about 1 3 of my nice account left  That was enough to get back up in my mind  and Broadvision was going to be the horse I would ride to the finish line  Or so I thought 
Come July  the stock was in the low 50s  I was still on margin with this name but feeling quite confident  One Friday morning  I awoke and turned on my computer only to find this stock down 7 bucks  I was horrified  It had to be some mistake  right  I scoured for news  but could find nothing  It was about 90 minutes before the open  on CNBC all i could see was the symbol  BVSN  going across the ticker losing ground every second  I would beside myself  and with no protection on I started to count the losses in my head   Calm down  Bob   it ll come back just be patient  
I could not soothe myself enough  as the stock opened down nine bucks and sold harder the rest of the day  The news  Broadvision lost a contract to competitor Art Technology Group  That was enough to sink the company 20   I held on  and the pain got worse  I ended up selling all the shares end of day when the stock hit the low  down 13 75 on the session  That was a loss of nearly 100K in one day  in one name  It made for a difficult but reflective weekend 
Lesson learned  Too much exposure to one name  no diversification   trading on margin is a no no at all times  and always have some protection on  The lessons learned from this trading experience have made me a better trader today  even though it was more than fifteen years ago ",2016-04-04,Bob Lang,https://www.investing.com/analysis/trading-lessons:--the-mountain-top-is-lonely-200123804,200123804
3599,225114,BVSN,Stocks Close Out Strong Week WIth More Gains,opinion,A series of bullish economic reports nudged the Dow Jones Industrial Average into record territory for the third consecutive day on Friday   All of the major averages closed out the trading week with very healthy gains as risk appetite continues to be brisk on Wall Street  Friday s modest rally was driven by an upbeat nonfarm payrolls report which showed that the economy added 236 000 jobs in February  well above the consensus view   Hiring helped push the unemployment rate down to 7 7 percent last month  its lowest level since December 2008  Major Averages The Dow Jones Industrial Average climbed 68 points  or 0 47 percent  to a new record close of 14 397   The S P 500 rose 7 points  or 0 47 percent  to 1 551   The Nasdaq Composite gained 12 points  or 0 38 percent  to close at 3 244   Nonfarm Payrolls Positive market sentiment was driven in large part by a strong nonfarm payrolls report on Friday  For February  nonfarm payrolls added 236 000 jobs versus 119 000 jobs added in January  This figure was significantly ahead of consensus expectations of 165 000 jobs gained in the month   The private sector added 246 000 jobs in February versus a gain of 140 000 in January  The consensus had expected private nonfarm payrolls to expand by 178 000 jobs last month   Unemployment Rate The uptick in job creation in February led to a decline in the unemployment rate from 7 9 percent in January to 7 7 percent last month  Consensus estimates called for the unemployment rate to remain unchanged  At 7 7 percent  unemployment is at its lowest level since December 2008    a strong sign for the economy   Hourly Earnings and Average Work Week The good news extended to average hourly earnings and average weekly hours worked  Hourly earnings rose 0 2 percent in February versus a gain of 0 1 percent in January   The average work week went from 34 4 hours in January to 34 5 hours in February  The gain in hours  earnings  and payrolls led to an impressive 0 7 percent increase in aggregate wages   Commodities Crude oil was mixed on Friday  with WTI crude trading on NYMEX rising marginally and Brent crude futures falling  At last check  NYMEX crude was up 0 25 percent to  91 80 while Brent contracts had lost 0 48 percent to  110 62  Natural gas had added 1 31 percent to  3 63 at last check   Precious metals recorded small gains on the session  Nearing the close of equities  COMEX gold futures had risen 0 17 percent to  1 577 70 and silver futures were up 0 63 percent to  28 99  Copper recorded a loss of less than 0 20 percent on Friday   In the grain complex  corn had risen nearly 2 percent heading into the close of the week and wheat was up around 0 22 percent  Significant movers in soft commodities included cocoa  up almost 3 percent  and orange juice concentrate futures which surged almost 7 percent   Bonds Near the close of equities  the iShares Barclays 20  Year Treasury Bond ETF  TLT  had fallen another 1 percent to  114 80  The TLT is now down almost 8 percent in just 3 months  time as investors have been selling bonds amid a stock market rally  The fall in prices caused yields to rise   Although the yield on the 2 Year Note remained steady at 0 25 percent  the yield on the 5 Year Note jumped four basis points to 0 89 percent   The 10 Year Note yield climbed six basis points on the day to 2 06 percent while the 30 Year Bond yield rose five basis points to 3 25 percent   Currencies A sharp rise in the greenback on Friday did not deter investors from buying stocks  Near the close  the PowerShares DB US Dollar Index Bullish ETF  UUP   which tracks the performance of the greenback versus a basket of foreign currencies  was up 0 76 percent to  22 56  adding to its recent gains   The closely watched EUR USD pair was last trading down 0 81 percent to  1 3001 as the euro attempts to hold above a key support level  The British Pound also fell 0 61 percent against the U S  dollar  The USD JPY pair jumped sharply on the day  with the greenback adding 1 30 percent versus the yen   Volatility and Volume The VIX fell again on Friday and the widely watched volatility index is closing in on 52 week low levels once again  The VIX fell 3 45 percent on the session to 12 61   Volume remained light on Friday despite broad gains recorded on the trading week  Around 110 million SPDR S P 500 ETF  SPY  shares traded hands on the session compared to a 3 month daily average of 133 6 million   Stock Movers Skullcandy  SKUL  plunged more than 22 percent after management offered a weak Q1 outlook on its fiscal Q4 conference call   H R Block  HRB  jumped better than 9 percent on the session after the company released a bullish fiscal third quarter earnings report   Navistar International  NAV  closed out a sharp two day rally with a gain of around 11 percent on Friday  The catalyst for the move was the company s first quarter earnings results  released on Thursday morning   Women s apparel retailer Ann Inc   ANN  climbed almost 8 percent after a bullish fiscal Q4 earnings report   Finisar  FNSR  fell more than 8 percent after releasing its fiscal third quarter financial results   BroadVision  BVSN  surged around 22 percent on Friday  The micro cap name is a favorite momentum play for penny stock traders and was the subject of a promotional campaign in early 2012   Shares of small cap name Ambarella  AMBA  rose more than 13 percent after the company said its fourth quarter net income nearly doubled versus the year ago period   Biotech firm Sequenom  SQNM  fell roughly 4 percent Friday in the wake of reporting a wider than expected fourth quarter loss   Maxwell Technologies   MXWL  share price plummeted 11 percent after the company said that it will restate financial results from 2011 and most of 2012 due to errors in timing of recognition of sales from certain distributors   Internet radio pioneer Pandora Media  P  saw its share price surge almost 18 percent on Friday  The company beat Wall Street earnings and revenue estimates for its fiscal fourth quarter By Scott Rubin,2013-03-08,Benzinga ,https://www.investing.com/analysis/stocks-close-out-strong-week-with-more-gains-158338,158338
3600,225115,BVSN,BroadVision  A Small Cap Trading Way Below Cash Value ,opinion,BroadVision  Inc   BVSN  is a great low risk small cap company in my opinion  Well  as low risk as a small cap can be  While I do not subscribe to fundamental valuations on stocks  I cannot deny this one  The company has over  11 per share   52 million  in cash and is only trading at  8 67 per share  That means it could move as high as  11 00 and still only be trading at cash value  With over  52 million in cash  they are only burning  5 million a year  This means  they have 10 years in cash or ten years to make something big happen  They hold no debt and the float is small  This is a software company that has major potential not only for big deals but also for a possible larger player to scoop them up On the technical side  the company recently traded as high as  11 89  It has since fallen back to its key gap fill  note the chart below   In terms of risk to reward  this has about as much reward with small risk as any small cap  Based on these factors  I bought some in this lower range  looking for a pop back to cash value to sell half  while holding the rest for a move higher Disclosure  Gareth Soloway is long BVSN ,2013-04-03,Nicholas Santiago,https://www.investing.com/analysis/broadvision:-a-small-cap-trading-way-below-cash-value-161359,161359
