,id,ticker,title,category,content,date,provider,url,article_id
113983,335498,CAKE,Premarket Losers as of 9 05 am  8 1 2018 ,news,KEYW  28  on Q2 earnings DBD  26  on Q2 earnings CLRB  9  on collaborating with Orano Med to develop new PDC HBI  15  on Q2 earnings NAKD  15  on announcing an agreement between Bendon Limited and CVS Health  NYSE CVS  XENT  14  on Q2 earnings PDD  13  as China s markets regulator investigates the online group discounter over media reports CAKE  11  on Q2 earnings EMES  9  on Q2 earnings FTR  8  on Q2 earnings ENPH  8  on Q2 earnings NVMI  8  on Q2 earnings SYNA  8  after Dialog Semi ends acquisition talks BIDU  6  on Q2 earnings CHK  5  on Q2 earnings DVN  5  on Q2 earnings Now read ,2018-08-01,Seeking Alpha,https://www.investing.com/news/stock-market-news/premarket-losers-as-of-905-am-812018-1555327,1555327
113984,335499,CAKE,Day Ahead  Top 3 Things to Watch,news,"Investing com   Here s a preview of the top 3 things that could rock markets tomorrow 
1  Fed Releasing Meeting Minutes
Tomorrow the Federal Open Market Committee will release the minutes from its last rate setting meeting 
The minutes arrive at 2 00 PM ET  19 00 GMT   and the market will be looking for more detail on just how patient the Fed intends to be with its rate hike plan 
There will also be interest in any comments on the balance sheet 
The Fed is close to wrapping up its quantitative tightening program  Investing com s Darrell Delamaide wrote 
 First   the Fed  effectively ruled out any rate increases this year   Delamaide said   Now the message coming across is that the Fed won t be shrinking its balance sheet much more than it has already and will keep it at fairly elevated levels  
 It may even keep quantitative easing    purchasing bonds with money created out of thin air    as a new tool for monetary policy rather than just an emergency measure  
The market is pricing in rates staying on hold this year  according to Investing com s Fed Rate Monitor Tool 
2  Theresa May Parlays With the EU
U K  Prime Minister Theresa May is going to Brussels to try to minimize the pain of the United Kingdom s exit from the European Union 
Her office says it will be a significant meeting  European Union President Jean Claude Junker was openly skeptical much would come from the meeting  set for Wednesday evening 
Among the biggest concerns is whether the U K  and EU member Ireland can avoid a hard border stop  meaning goods won t be able to flow freely between Northern Ireland and Ireland 
The FTSE index was off 0 6  on Tuesday and is off 0 8  this week  That said  the index is up 6 7  this year 
3  The Earnings Parade Carries On
Wednesday s earnings reports will have a consumer oriented theme  coming after Wal Mart s  NYSE WMT  fourth quarter results beat on top and bottom lines 
Some of the companies reporting include 
CVS Health  NYSE CVS   The consensus estimate of analysts polled by Investing com is that the company will report a profit of  2 09 a share on revenue of  54 6 billion  Shares fell 21  between their summer peak and December and are up 11  since 
Car rental company  Avis Budget  Group  NASDAQ CAR  is seen reporting earnings of 38 cents a share on revenue of  2 05 billion  according to estimates compiled by Investing com  The shares lost half their value between March and December  They re up a third from the December bottom 
 The Cheesecake Factory   NASDAQ CAKE   The restaurant chain is expected to report a profit of 62 cents a share on revenue of  592 9 million  The shares fell 31  between a July peak to December and are up 11  since ",2019-02-19,Investing.com,https://www.investing.com/news/general-news/day-ahead-top-3-things-to-watch-1784025,1784025
113985,335500,CAKE,Top 5 Things to Know in the Market on Wednesday,news,"Investing com   Here are the top five things you need to know in financial markets on Wednesday  Feb  20 
1  Fed minutes expected to cement dovish about face  U S  dollar on hold
The Federal Reserve will release the minutes from its Jan  30 policy meeting at 2 00 PM ET  19 00 GMT  Wednesday  Markets are expecting the details to cement the central bank s promise to be patient with further interest rate hikes 
More interesting for the market may be what the minutes reveal about the Fed s plans for reducing its balance sheet further 
 Quantitative tightening  which Federal Reserve chair Jerome Powell likes to refer to as  balance sheet runoff   is no longer on autopilot   Investing com analyst Darrell Delamaide said 
The minutes are expected to confirm the dovish outlook  and that s keeping a lid on the U S  dollar ahead of the release  At 5 54 AM ET  11 54 GMT   the U S  dollar index  which measures the greenback s strength against a trade weighted basket of six major currencies  fell ovenight and was largely unchanged 0 03  at 96 38 
2  Global stocks show mixed trade as U S  China talks persist
Global stocks were mixed on Wednesday with U S  futures leaning towards caution as U S  China trade talks continued in Washington 
U S  President Donald Trump said Tuesday that discussions were going well and suggested he was open to pushing off the deadline to complete negotiations  saying March 1 was not a  magical  date 
March 1 is the current deadline for the U S  to push tariffs on about  200 billion worth of Chinese imports to 25  from the current 10  if a deal is not reached  A renewed round of talks began on Tuesday in Washington with higher level discussion scheduled for later this week 
 The overall feeling is that it is one step forward  three quarters of a step back at the moment  So positive momentum but still fragile    Deutsche Bank   DE DBKGn  s chief strategist Jim Reid said 
Trump s comments  coupled with positive results from retail giant Walmart  NYSE WMT   were enough to push Wall Street higher on Tuesday and send Asian shares to a four month high overnight 
European stocks also joined in with the pan European Stoxx 600 up 0 2  
After Tuesday s positive close  Wall Street adopted a more cautious stance with U S  futures largely flat  At 5 55 AM ET  10 55 GMT   the blue chip Dow futures slipped 21 points  or 0 08   S P 500 futures edged down 2 points  or 0 07   while the Nasdaq 100 futures were unchanged 
3  Earnings focus on consumers
With nearly 400 of the S P 500 firms having released earnings for the fourth quarter reporting period  the focus for Wednesday will shift to consumer oriented stocks 
Following a strong beat by Walmart a day earlier  some of the companies stepping up to bat are 
CVS Health  NYSE CVS   The consensus estimate of analysts polled by Investing com is for a profit of  2 09 a share on revenue of  54 6 billion  Shares fell 21  between their summer peak and December and are up 11  since 
Car rental company  Avis Budget  Group  NASDAQ CAR  is seen reporting earnings of 38 cents a share on revenue of  2 05 billion  according to estimates compiled by Investing com  The shares lost half their value between March and December  They re up a third from the December bottom 
 The Cheesecake Factory   NASDAQ CAKE   The restaurant chain is expected to report a profit of 62 cents a share on revenue of  592 9 million  The shares fell 31  between a July peak to December and are up 11  since 
4  Oil drops from 2019 highs as U S  output rears its head
Oil prices dropped on Wednesday  pulling back from 2019 highs  as attention shifted from OPEC led production cuts to worries over the surge in U S  output 
U S  crude oil futures fell 15 cents  or 0 27   to  56 30 by 5 56 AM ET  10 56 GMT   while Brent oil traded down 29 cents  or 0 44   to  66 16 
U S  crude output  which soared by more than 2 million barrels per day  bpd  in 2018 to a record 11 9 million bpd  is set to keep rising thanks to booming shale oil production  the Energy Information Administration said on Tuesday 
After oil hit its highest level since last November this week  traders have taken a breather amid fears that surging shale output could stop the market rebalancing 
Read more  OPEC s Nemesis  Shale Oil  Is Back  Setting New Production Records   Barani Krishnan
Attention is set to turn to weekly data on U S  crude inventories  The American Petroleum Institute will release its report later on Wednesday with official government data out a day later amid expectations for a build of 3 1 million barrels  Both reports come out one day later than normal due to Monday s holiday 
Thursday s report will also include the latest reading on U S  production 
5  U K  and EU to meet as Brexit impasse drags on
Not to be forgotten on the other side of the Atlantic  negotiations over the U K  s pending departure from the European Union drag on with few hopes for progress amid the current political impasse 
U K  Prime Minister Theresa May is scheduled to meet with EU Commission President Jean Claude Juncker later on Wednesday  Recent talks have yielded little progress since the British Parliament resoundingly defeated a divorce deal she had agreed to with the bloc back in November 
May s spokesperson dubbed the meeting to be a  significant  part of the process although Juncker remained skeptical when speaking of the planned encounter 
 There is not enough movement for me to be able to assume that it will be a productive discussion   he told reporters on Tuesday 
At 5 57 AM ET  10 57 GMT   the British pound was down 0 21  at 1 3033 ",2019-02-20,Investing.com,https://www.investing.com/news/economy-news/top-5-things-to-know-in-the-market-on-wednesday-1784493,1784493
113987,335502,CAKE,Stocks Moving After Hours  Jack In The Box  Godaddy  Cheesecake Factory  Avis,news,"Investing com   Here are the stocks active in after hours trading 
  Jack In The Box  NASDAQ JACK  shares rose 3  after hours  First quarter earnings of  1 35 per share after one time charges beat estimates by 7 cents  GAAP earnings of  1 19 missed by 11 cents  Revenue of  290 8 million was down from a year ago  but topped estimates compiled by Investing com  It sees same store sales for the next fiscal year flat to 2  higher 
  Godaddy  NYSE GDDY  shares were off 0 5  after hours even if the company s fourth quarter GAAP earnings of 24 cents a share beat estimates  But the web services company guided lower for the first quarter and all of 2019 
  Cheesecake Factory  NASDAQ CAKE  shares were up 3 5  postmarket  even after earnings missed estimates  Comparable sales at its restaurants rose 2  and revenue rose more than 2 2  
   Avis Budget  Group  NASDAQ CAR  shares jumped 10  after hours  The company s non GAAP fourth quarter results of 53 cents per share beat estimates of 38 cents compiled by Investing com  Revenue of  2 05 billion was in line ",2019-02-20,Investing.com,https://www.investing.com/news/stock-market-news/stocks-moving-after-hours-jack-in-the-box-godaddy-cheesecake-factory-avis-1785510,1785510
113989,335504,CAKE,Stocks   Johnson   Johnson  Domino s Slide in Premarket  PG E  Avis Jump,news,"Investing com   Stocks in focus in premarket trade Thursday 
  Johnson   Johnson  NYSE JNJ  stock slumped 2 68  by 8 07 AM ET  13 07 GMT  after the company said that it had received federal subpoenas related to alleged asbestos contamination of its baby powder 
  Domino s Pizza  NYSE DPZ  stock tumbled 6 60  as its quarterly earnings and comparable sales also fell short of expectations 
  PG E stock jumped 2 97  as the company extended the deadline for investors to file documentation in order to nominate candidates for directors on the board 
   Avis Budget  Group  NASDAQ CAR  stock surged 11 70  after quarterly profit beat analysts  expectations 
  Jack In The Box  NASDAQ JACK  stock soared 5 05  as the company reported fiscal first quarter results that topped consensus on the top and bottom lines 
   The Cheesecake Factory   NASDAQ CAKE  stock may see movement in the regular session after the company reported quarterly same store sales that topped estimates 
  Hormel Foods  NYSE HRL  stock dropped 0 88  after the company reported quarterly revenue that fell short of expectations ",2019-02-21,Investing.com,https://www.investing.com/news/stock-market-news/stocks--johnson--johnson-dominos-slide-in-premarket-pge-avis-jump-1786167,1786167
114001,335516,CAKE,Stocks   U S  Futures Fall as Investors Wait for Fed Minutes  ,news,"Investing com   U S  Futures pointed to a lower opening bell on Wednesday  as traders wait for the Federal Reserve meeting minutes and potential signs of increased interest rates 
The S P 500 futures fell over four points or 0 18  to 2 709 25 as of 6 40 AM ET  11 40 GMT  while Dow futures decreased 56 points or 0 22  to 24 892 0  Meanwhile tech heavy Nasdaq 100 futures was down over three and a half points or 0 06  to 6 786 75 
The Federal Reserve is expected to release the minutes of its most recent policy meeting at 2 00 PM ET  19 00 GMT   Investors will pay close attention for signs that rates could increase more than expected 
The Fed is scheduled to hold its next policy meeting on March 20 21  with interest rate futures pricing in an 82  chance of a rate hike at that meeting  according to Investing com s Fed Rate Monitor Tool 
A recent batch of stronger than expected U S  inflation data has bolstered bets that the Fed could increase interest rates as many as four times this year  more than the three it currently forecasts 
Lloyds Banking Group  LON LLOY  PLC ADR  NYSE LYG  was among the biggest gainers in pre market trading  rising 1 55  after its profits rose 24  over the year  Walmart  NYSE WMT  inched forward 0 43  after the retailer fell 10  on Tuesday  The owner of America s largest brick and mortar stores reported a huge loss in earnings and online retail sales  Meanwhile   Deutsche Bank  AG  DE DBKGn  NA O N   NYSE DB  was up 0 97  
Elsewhere Shire plc  NASDAQ SHPG  was down 2 22  while BHP Billiton  LON BLT  Ltd ADR  NYSE BHP  decreased 1 70  and Micro Focus International PLC ADR  NYSE MFGP  dipped 1 41  
In earnings news  The Wendy s Co  NASDAQ WEN   Boston Beer Company Inc  NYSE SAM    The Cheesecake Factory   NASDAQ CAKE  and  Roku  Inc  NASDAQ ROKU  are all expected to report their financial results on Wednesday 
In economic news  the flash U S  composite purchasing managers  index  PMI  is released at 9 45 AM ET  14 45 GMT  followed by existing home sales at 10 00 AM ET  15 00 GMT  
In Europe stocks were mostly down  Germany s DAX fell 99 points or 0 80  while in France the CAC 40 decreased 20 points or 0 39  and in London  the FTSE 100 was down 13 points or 0 18   Meanwhile the pan European Euro Stoxx 50 lost 24 points or 0 70  while Spain s IBEX 35 slumped 108 points or 1 09  
In commodities  gold futures inched up 0 02  to  1 331 40 a troy ounce while crude oil futures were down 0 78  to  61 31 a barrel  The U S  dollar index  which measures the greenback against a basket of six major currencies  inched up 0 16  to 89 78 ",2018-02-21,Investing.com,https://www.investing.com/news/stock-market-news/stocks--us-futures-fall-as-investors-wait-for-fed-minutes-1285507,1285507
114006,335521,CAKE,The Cheesecake Analog,opinion,"I have mentioned  The Cheesecake Factory   NASDAQ CAKE  many times as a short sale candidate  principally because of its powerful analog and its obvious ability to plunge once a well formed top is complete 





I wanted to use SlopeChart s wonderful grid feature to make this analog more clear  Notice the patterns below  and how they are virtually identical  The tinted one is from before the financial crisis  The non tinted one is right now 





Maybe people are realizing that eating pure fat  salt  and sugar isn t good for them  Check out this portion from their  nutrition  guide  And keep in mind  these aren t the entrees  these are the appetizers  before your giant meal ",2019-09-19,Tim Knight,https://www.investing.com/analysis/the-cheesecake-analog-200466326,200466326
114008,335523,CAKE,Wedbush sees outperformance for Cheesecake Factory,news,Wedbush Securities sees upside for Cheesecake Factory  NASDAQ CAKE  based on its view that the restaurant chain will outperform peers with comparable sales and margins  The firm initiates the stock at Outperform and assigns a price target of  57   16  upside potential  Shares of Cheesecake Factory are down 22  over the last 90 days  Now read ,2017-07-11,Seeking Alpha,https://www.investing.com/news/stock-market-news/wedbush-sees-outperformance-for-cheesecake-factory-504250,504250
114009,335524,CAKE,Cheesecake Factory Opens Outlet  Expands Presence In Florida ,opinion,In a bid to expand presence in the domestic market  The Cheesecake Factory Incorporated   NASDAQ CAKE   announced the opening of its new restaurant in Coral Gables  FL  The restaurant will offer more than 250 menu items along with more than 50 signature cheesecakes and desserts Expansion   Sales Building Efforts to Drive GrowthCheesecake Factory continues to focus on expanding in domestic and international markets  In 2019  the company plans to open five company owned restaurants   including the Gainesville  FL location that was opened during the fiscal third quarter Internationally  the company opened its second restaurant in Abu Dhabi and debuted in Macau in the third quarter 2019  During the fourth quarter  it expects to open three additional locations and one North Italia restaurant  Overall  the company expects to open six locations in 2019 under licensing agreements Management believes that the company is likely to open more than 20 new restaurants   including as many as six Cheesecake Factory locations  six North Italia restaurants and eight restaurants within the FRC subsidiary   by 2020 As of Oct 1  2019  the company operates 289 full service company owned restaurants throughout the United States and Canada under brands including The Cheesecake Factory and North Italia as well as a collection within the Fox Restaurant Concepts subsidiary  Internationally  the company operates 24 The Cheesecake Factory restaurants under licensing agreements along with two bakery production facilities Notably  shares of the company have gained 16 7  against the  s  8 6  decline in the past three months  Cheesecake Factory has been benefiting from its diverse menu  operational distinction and unique ambiance appeal to customers along with expansion initiatives  Various initiatives to boost sales like menu innovation  roll out of an improved server training program  launch of mobile payment app and focus on delivery have been driving growth In order to stay afloat in the competitive environment  this Zacks Rank  3  Hold  company is committed toward bolstering its sales  In fact  Cheesecake Factory s efforts to improve guest experience have been stabilizing sales since the fourth quarter of 2017 However  rising costs stemming from increase in wage rate scenario is a concern  Pre opening costs of outlets  given the company s unit expansion plans and expenses related to sales initiatives  are concerns Key PicksSome better ranked stocks in the Zacks Retail Restaurants industry are Chuy s Holdings  Inc   NASDAQ CHUY    Arcos Dorados Holdings Inc   NYSE ARCO   and Brinker International  Inc   NYSE EAT    Chuy s Holdings sports a Zacks Rank  1  Strong Buy   whereas Arcos Dorados and Brinker International carry a Zacks Rank  2  Buy   You can see Chuy s Holdings surpassed estimates in three of the trailing four quarters  the average being being 8 7  Arcos Dorados current year earnings are expected to rise approximately 72  Brinker International has three five year expected earnings per share growth rate of 6 5  Breakout Biotech Stocks with Triple Digit Profit PotentialThe biotech sector is projected to surge beyond  775 billion by 2024 as scientists develop treatments for thousands of diseases  They re also finding ways to edit the human genome to literally erase our vulnerability to these diseases Zacks has just released Century of Biology  7 Biotech Stocks to Buy Right Now to help investors profit from 7 stocks poised for outperformance  Our recent biotech recommendations have produced gains of  98    119  and  164  in as little as 1 month  The stocks in this report could perform even better ,2019-11-27,Zacks Investment Research,https://www.investing.com/analysis/cheesecake-factory-opens-outlet-expands-presence-in-florida-200488793,200488793
114011,335526,CAKE,Stocks   Restaurant Stocks Rebound Following Hurricane Induced Sell Off,news,"Investing com   Businesses continue to reopen following closures ahead of Hurricane Irma  and this includes restaurants  As a result  we are seeing an increase in the share value of restaurant stocks with locations in Florida 
While these companies experienced a sell off ahead of Irma  they were rebounding on Monday   The Cheesecake Factory   NASDAQ CAKE    Buffalo Wild Wings Inc   NASDAQ BWLD   Ruth s Hospitality Group Inc  NASDAQ RUTH  and  Red Robin Gourmet  Burgers Inc  NASDAQ RRGB  led the charge higher 
According to Black Box Intelligence restaurant same store sales decreased 2 0  year over year in August with comparable traffic dropping 3 9   Hurricane Harvey contributed to the decline  When releasing the August figures  on September 8  Black Box added  that the impact of Hurricane Harvey and potentially Irma are large enough to slow growth in the third quarter ",2017-09-12,Investing.com,https://www.investing.com/news/stock-market-news/stocks--restaurant-stocks-rebound-following-hurricane-induced-selloff-528005,528005
