,id,ticker,title,category,content,date,provider,url,article_id
28555,250070,CASH,Meta Financial declares  0 13 dividend,news,Meta Financial   NASDAQ CASH  declares  0 13 share quarterly dividend  in line with previous Forward yield 0 76 Payable Oct  2  for shareholders of record Sept  8  ex div Sept  7 Now read ,2017-08-29,Seeking Alpha,https://www.investing.com/news/stock-market-news/meta-financial-declares-013-dividend-523402,523402
28556,250071,CASH,MetaBank Reports 2018 Tax Season Preview,news,MetaBank  a wholly owned subsidiary of Meta Financial  NASDAQ CASH  expects to originate over  1 0B of interest free refund advance loans across its multiple tax partners during the 2018 tax season Meta expects to retain significantly more refund advance loans on its balance sheet through June 30  2018 against  576M retained last year leading to higher overall revenues  expenses and provision for loan losses The company  recognized a total impairment charge of  10 2M relating to the non renewal of the H R Block  NYSE HRB  relationship MetaBank processed approx 2 4M refund transfers in 2017 through its tax payments divisions  including its Refund Advantage and EPS Financial divisions  and expects to process over 2 5M refund transfers through these divisions in 2018 Press ReleaseNow read ,2017-10-11,Seeking Alpha,https://www.investing.com/news/stock-market-news/metabank-reports-2018-tax-season-preview-539979,539979
28557,250072,CASH,Meta Financial declares  0 13 dividend,news,Meta Financial   NASDAQ CASH  declares  0 13 share quarterly dividend  in line with previous Forward yield 0 58 Payable Jan  2  for shareholders of record Dec  8  ex div Dec  7 Now read ,2017-11-28,Seeking Alpha,https://www.investing.com/news/stock-market-news/meta-financial-declares-013-dividend-920940,920940
28561,250076,CASH,Moving Average Crossover Alert  Meta Financial,opinion,"Meta Financial Group  Inc    NASDAQ CASH   is looking like an interesting pick from a technical perspective  as the company is seeing favorable trends on the moving average crossover front  Recently  the 50 Day Moving Average for CASH broke out above the 200 Day Simple Moving Average  suggesting a short term bullish trend 
This has already started to take place  as the stock has moved higher by 7 5  in the past four weeks  Plus  the company currently has a Zacks Rank  2  Buy  suggesting that now could definitely be the time for this breakout candidate 
More bullishness may especially be the case when investors consider what has been happening for CASH on the earnings estimate revision front lately  No estimates have gone lower in the past two months  compared to 1 higher  while the consensus estimate has also moved higher too 
So given this move in estimates  and the positive technical factors  investors may want to watch this breakout candidate closely for more gains in the near future  You can see  
Will you retire a millionaire 
One out of every six people retires a multimillionaire  Get smart tips you can do today to become one of them in a new Special Report   7 Things You Can Do Now to Retire a Multimillionaire  ",2019-06-13,Zacks Investment Research,https://www.investing.com/analysis/moving-average-crossover-alert-meta-financial-200431724,200431724
28562,250077,CASH,Citizens  Bottom Line Hit By Higher Costs  Should You Sell ,opinion,Citizens Financial Group s   NYSE CFG   bottom line is affected by rising cost base and unimpressive fee income growth story  Also  pending legal issues remain a concern  However  the company currently displays solid top line growth and a strong capital position  Also  rising loan and deposit balances act as a tailwind The company has an impressive earnings surprise history  having surpassed the Zacks Consensus Estimate in each of the trailing four quarters  with an average of 3 6 The Providence  RI based company s fee income fails to support top line growth  Therefore  reduced mortgage banking fees   on account of negative impact of lower rates on mortgage servicing rights valuations and a reduction in capital market fees   might limit its benefits from expansion initiatives in the quarters ahead Cost escalation is another downside for Citizens Financial  The company s non interest expenses have witnessed a CAGR of 3 9  over the last three years  2016 2018   Costs are likely to remain elevated due to the company s investments in newer technologies and focus on building fee income capabilities organically It remains exposed to several pending legal hassles that are likely to keep legal costs high going forward  Also  significant exposure to commercial loans keeps us apprehensive However  the company remains committed in revamping profitability through  Tapping Our Potential    TOP   efficiency initiatives  which aim at enhancing revenues and efficiency  In July 2019  it introduced the TOP 6 Program  which is expected to achieve a pre tax benefit of  300  325 million by the end of 2021 Notably  Citizens s capital deployment activities are impressive  It has a share repurchase program of up to  1 28 million underway  Markedly  the company raised the common stock dividend by 12 5  in July 2019  On the back of its favorable debt equity and dividend payout ratios compared with the industry  we expect these activities to be sustainable Notably  the company has been able to gain analysts  confidence over the past 30 days  Its earnings estimates for the current year have been revised slightly upward to  3 82 over the past month Shares of Citizens Financial have lost 14  over the past six months compared with the  s 7 3  decline Zacks Rank   Key PicksCurrently  the stock carries a Zacks Rank  4  Sell   You can see  Some better ranked stocks in the same space are Meta Financial Group  Inc    NASDAQ CASH    Great Southern  NYSE SO  Bancorp  Inc    NASDAQ GSBC   and Popular  Inc    NASDAQ BPOP    All these stocks carry a Zacks Rank of 2  Buy  Meta Financial s Zacks Consensus Estimate for earnings for the current year has been revised 11 6  upward in the past 20 days  Also  its share price has increased 56 2  so far this year Great Southern Bancorp s earnings estimates for the current year have been revised 5 9  upward over the past 30 days  Further  the company s shares have jumped 22 3  year to date Popular s Zacks Consensus Estimate for earnings for the current year has been revised 2 1  upward over the past 30 days  Moreover  its shares have gained 11 3  so far this year The Hottest Tech Mega Trend of AllLast year  it generated  8 billion in global revenues  By 2020  it s predicted to blast through the roof to  47 billion  Famed investor Mark Cuban says it will produce  the world s first trillionaires   but that should still leave plenty of money for regular investors who make the right trades early ,2019-08-18,Zacks Investment Research,https://www.investing.com/analysis/citizens-bottom-line-hit-by-higher-costs-should-you-sell-200456312,200456312
28563,250078,CASH,Wells Fargo Settles Lawsuit With Navajo Nation  To Pay  6 5M,opinion,"Wells Fargo   NYSE WFC   reached a settlement in the lawsuit involving Navajo Nation  The bank has agreed to pay  6 5 million to settle the case  which alleged it of  predatory and unlawful practices   per the Native American tribe  Notably  in 2017  the bank allegedly opened unauthorized accounts for some members of this Native American tribe  which they did not require The settlement  puts other companies on notice that harmful business practices against the Navajo people will not be tolerated   Navajo Nation President Jonathan Nez said in a statement  which referred to Wells Fargo s  long campaign of predatory and unlawful practices  Per Wells Fargo s statement  the agreement reflects the bank s  commitment to make things right regarding past sales practices issues  This lawsuit reminds one of the fake accounts scandal that the bank was involved in September 2016  The only difference this time was that the bank s representatives fulfilled their sales targets by taking advantage of elders who do not understand English  Also  they targeted minors by opening accounts in their names and falsely reporting their ages In fact  the bank s representatives have been accused of having pushed locals into opening unnecessary accounts by following them at flea markets and basketball games Our ViewpointThis San Francisco based banking giant has been embroiled in a slew of scandals for more than two years now  Troubles have been mounting at Wells Fargo since the revelation of the sales scandal  which was followed by disclosure of issues in its auto insurance business  online bill pay services  and Wealth and Investment Management segment  With the ongoing review process of business practices  more wrongdoings may be reported  which are likely to be an overhang on the top line However  settlement of such issues will help the bank in regaining consumers  confidence Shares of Wells Fargo have lost around 8 1  over the past six months  underperforming the  s decline of 6  

Currently  the stock carries a Zacks Rank  3  Hold   You can see  Stocks to ConsiderBanner Corporation   NASDAQ BANR   has been witnessing upward estimate revisions for the past 60 days  Moreover  this Zacks  1 Ranked  Strong Buy  stock has rallied more than 3  year to date Great Southern  NYSE SO  Bancorp   NASDAQ GSBC   has been witnessing upward estimate revisions for the past 60 days  Further  the company s shares have gained 22 2  year to date  At present  it carries a Zacks Rank of 2  Buy  Meta Financial Group   NASDAQ CASH   has been witnessing upward estimate revisions for the past 60 days  Additionally  the stock has rallied around 59 1  year to date  It currently carries a Zacks Rank  2 Wall Street s Next Amazon  NASDAQ AMZN Zacks EVP Kevin Matras believes this familiar stock has only just begun its climb to become one of the greatest investments of all time  It s a once in a generation opportunity to invest in pure genius ",2019-08-22,Zacks Investment Research,https://www.investing.com/analysis/wells-fargo-settles-lawsuit-with-navajo-nation-to-pay-65m-200458088,200458088
28564,250079,CASH,Go Against The Tide As Stocks Rise In Months After Big Oil Jump,opinion,The recent attack on Saudi oil facilities led to a sharp rise in oil prices  eventually dragging the broader market down  And since the incident  it s natural for the stock market to toss and turn for some time  However  investors shouldn t shun equities altogether  Historically  a big jump in oil price often leads to a stock rally in the following six month period And with consumers feeling confident about their personal finances  increasing expectations of an imminent Fed rate cut and subdued trade related concerns  the stock market will eventually get its mojo back  Banking on such bullish sentiments  investing in stocks that have the potential to grow in the near future seems judicious Oil Had a Record Trading DayCoordinated drone strikes on key Saudi oil facilities have sent oil prices higher  Needless to say  oil prices rallied after such an attack raised concerns about supply disruption  The global oil benchmark Brent crude soared 14 6  to settle at  69 02 a barrel on Sep 16  its largest increase since 1988 In fact  at one point of time during the trading session  Brent crude jumped as much as 19 5   the largest intraday rise since January 1991  when the U S  had attacked Iranian forces in Kuwait  The West Texas Intermediate  WTI  also went up 14 7  to settle at  62 90 a barrel By the way  Yemeni rebels have claimed responsibility for the attacks on Saudi oil facility that led to a disruption in the global supply of crude  The coordinated drone strikes on key Saudi oil facilities have removed nearly 5  of global supplies  and Saudi Arabia s oil capacity is now expected to be below its maximum level for weeks What s in Store for the Stock Market No doubt  the stock market had to bear the brunt of the spike in oil price  The attacks on Saudi oil production facilities unnerved investors  Naturally  investors pulled money out of equities and parked them in safe haven assets  All the major bourses tumbled on Sep 16  with nine out of 11 S P 500 sectors finishing in the red Dow Jones Market Data added that whenever oil prices jump more than 10  in a particular trading session  the Dow  the S P 500 and the Nasdaq tend to decline on the same day  But  stocks do tend to rise in the months after a big oil price jump The broader S P 500  on average  tends to rise 10 2  in the six months following a one day spike in oil of more than 10   Similarly  the Dow tends to rise 8 7  in the six month period after a 10  jump in crude prices  while the Nasdaq witnessed a 15 5  increase And let s admit  confident consumers  possibility of fresh stimulus and trade optimism  all of these will help stocks gain in the near term  Consumers have stood resilient throughout summer despite subdued global growth and trade related concerns  This can be attributed to better than expected retail sales in August and the recovery in consumer sentiment this month from an almost three year low  Thus  we can rest assured that households will continue to deliver for the economy The ECB  in the meantime  has launched fresh stimulus packages in an attempt to prevent a sluggish Eurozone economy from grinding to a halt  And as the ECB adds more stimuli  the pressure is mounting on the Fed to do the same  President Trump has called for the Fed to cut rates to boost the U S  economy  In fact  now an overwhelming majority of observers are seeing an imminent rate cut on August s soft employment report On the trade front  Beijing has lifted tariffs on some U S  products amid trade tensions  As a gesture of goodwill  Trump also delayed tariff hikes against China  Per South China Morning Post citing the Customs Tariff Commission of the State Council  the exemptions on U S  goods will take effect on Sep 17  The products don t include big ticket items like agricultural products but has items such as alfalfa pellets  fish feed and medical linear accelerators  to name a few Trump reciprocated by announcing a delay in the implementation of higher tariffs on  250 billion of Chinese goods  Trump tweeted that tariff hikes from 25  to 30  will now go into effect on Oct 15 rather than the previously scheduled Oct 1  Needless to say  a trade truce is always good news for investors  After all  trade wars affect the economy and squeeze corporate profits 5 Solid ChoicesWith things expected to look up for the stock market after the giant jump in oil prices  investing in stocks with growth potential seems prudent  We have  thus  selected five such stocks that also flaunt a Zacks Rank  1  Strong Buy   You can see  Digital Turbine  Inc    NASDAQ APPS   provides media and mobile communication products and solutions to mobile operators  application developers  device original equipment manufacturers  OEMs   and other third parties  The Zacks Consensus Estimate for its current year earnings has surged 88 9  in the last 60 days  The company s expected earnings growth rate for the current year is 240  compared with the  industry s projected rally of 6 7  Boot Barn Holdings  Inc    NYSE BOOT   operates specialty retail stores in the United States  The Zacks Consensus Estimate for its current year earnings has moved up 9 9  in the last 60 days  The company s expected earnings growth rate for the current year is 34 3  compared with the  industry s estimated rally of 2 7  Meta Financial Group  Inc    NASDAQ CASH   offers various banking products and services in the United States  The Zacks Consensus Estimate for its current year earnings has increased 10 4  in the last 60 days  The company s expected earnings growth rate for the current quarter is 110 4  against the  industry s estimated decline of 5  Hallmark Financial Services  Inc    NASDAQ HALL   underwrites  markets  distributes  and services property casualty insurance products to businesses and individuals in the United States  The Zacks Consensus Estimate for its current year earnings has risen 5 9  in the last 60 days  The company s expected earnings growth rate for the current year is 41 1  compared with the  industry s projected rally of 16  Pilgrim s Pride Corporation   NASDAQ PPC   engages in the production  processing  marketing  and distribution of fresh  frozen  and value added chicken products in the United States  The Zacks Consensus Estimate for its current year earnings has increased 7 7  in the last 60 days  The company s expected earnings growth rate for the current year is 53 9  compared with the  industry s expected rally of 10 7  5 Stocks Set to DoubleZacks experts released their picks to gain  100  or more in 2020  One is a famous cutting edge food company that is  hiding in plain sight   Swamped with competitors and ignored by Wall Street  its stock price floundered  Now  suddenly  it acquired a company that gives it an advantage none of its peers have ,2019-09-16,Zacks Investment Research,https://www.investing.com/analysis/go-against-the-tide-as-stocks-rise-in-months-after-big-oil-jump-200465402,200465402
28565,250080,CASH,The Zacks Analyst Blog Highlights  Digital Turbine  Boot Barn  Meta Financial  Hallmark Financial Services And Pilgrim s Pride,opinion,For Immediate ReleaseChicago  IL   September 18  2019   Zacks com announces the list of stocks featured in the Analyst Blog  Every day the Zacks Equity Research analysts discuss the latest news and events impacting stocks and the financial markets  Stocks recently featured in the blog include  Digital Turbine  Inc    NASDAQ APPS    Boot Barn Holdings  Inc    NYSE BOOT    Meta Financial Group  Inc    NASDAQ CASH    Hallmark Financial Services  Inc    NASDAQ HALL   and Pilgrim s Pride Corp    NASDAQ PPC   Here are highlights from Tuesday s Analyst Blog  Buy These Stocks as Rise Expected Post Oil JumpThe recent attack on Saudi oil facilities led to a sharp rise in oil prices  eventually dragging the broader market down  And since the incident  it s natural for the stock market to toss and turn for some time  However  investors shouldn t shun equities altogether  Historically  a big jump in oil price often leads to a stock rally in the following six month period And with consumers feeling confident about their personal finances  increasing expectations of an imminent Fed rate cut and subdued trade related concerns  the stock market will eventually get its mojo back  Banking on such bullish sentiments  investing in stocks that have the potential to grow in the near future seems judicious Oil Had a Record Trading DayCoordinated drone strikes on key Saudi oil facilities have sent oil prices higher  Needless to say  oil prices rallied after such an attack raised concerns about supply disruption  The global oil benchmark Brent crude soared 14 6  to settle at  69 02 a barrel on Sep 16  its largest increase since 1988 In fact  at one point of time during the trading session  Brent crude jumped as much as 19 5   the largest intraday rise since January 1991  when the U S  had attacked Iranian forces in Kuwait  The West Texas Intermediate  WTI  also went up 14 7  to settle at  62 90 a barrel By the way  Yemeni rebels have claimed responsibility for the attacks on Saudi oil facility that led to a disruption in the global supply of crude  The coordinated drone strikes on key Saudi oil facilities have removed nearly 5  of global supplies  and Saudi Arabia s oil capacity is now expected to be below its maximum level for weeks What s in Store for the Stock Market No doubt  the stock market had to bear the brunt of the spike in oil price  The attacks on Saudi oil production facilities unnerved investors  Naturally  investors pulled money out of equities and parked them in safe haven assets  All the major bourses tumbled on Sep 16  with nine out of 11 S P 500 sectors finishing in the red Dow Jones Market Data added that whenever oil prices jump more than 10  in a particular trading session  the Dow  the S P 500 and the Nasdaq tend to decline on the same day  But  stocks do tend to rise in the months after a big oil price jump The broader S P 500  on average  tends to rise 10 2  in the six months following a one day spike in oil of more than 10   Similarly  the Dow tends to rise 8 7  in the six month period after a 10  jump in crude prices  while the Nasdaq witnessed a 15 5  increase And let s admit  confident consumers  possibility of fresh stimulus and trade optimism  all of these will help stocks gain in the near term  Consumers have stood resilient throughout summer despite subdued global growth and trade related concerns  This can be attributed to better than expected retail sales in August and the recovery in consumer sentiment this month from an almost three year low  Thus  we can rest assured that households will continue to deliver for the economy The ECB  in the meantime  has launched fresh stimulus packages in an attempt to prevent a sluggish Eurozone economy from grinding to a halt  And as the ECB adds more stimuli  the pressure is mounting on the Fed to do the same  President Trump has called for the Fed to cut rates to boost the U S  economy  In fact  now an overwhelming majority of observers are seeing an imminent rate cut on August s soft employment report On the trade front  Beijing has lifted tariffs on some U S  products amid trade tensions  As a gesture of goodwill  Trump also delayed tariff hikes against China  Per South China Morning Post citing the Customs Tariff Commission of the State Council  the exemptions on U S  goods will take effect on Sep 17  The products don t include big ticket items like agricultural products but has items such as alfalfa pellets  fish feed and medical linear accelerators  to name a few Trump reciprocated by announcing a delay in the implementation of higher tariffs on  250 billion of Chinese goods  Trump tweeted that tariff hikes from 25  to 30  will now go into effect on Oct 15 rather than the previously scheduled Oct 1  Needless to say  a trade truce is always good news for investors  After all  trade wars affect the economy and squeeze corporate profits 5 Solid ChoicesWith things expected to look up for the stock market after the giant jump in oil prices  investing in stocks with growth potential seems prudent  We have  thus  selected five such stocks that also flaunt a Zacks Rank  1  Strong Buy   You can see  Digital Turbine  Inc  provides media and mobile communication products and solutions to mobile operators  application developers  device original equipment manufacturers  OEMs   and other third parties  The Zacks Consensus Estimate for its current year earnings has surged 88 9  in the last 60 days  The company s expected earnings growth rate for the current year is 240  compared with the  industry s projected rally of 6 7  Boot Barn Holdings  Inc operates specialty retail stores in the United States  The Zacks Consensus Estimate for its current year earnings has moved up 9 9  in the last 60 days  The company s expected earnings growth rate for the current year is 34 3  compared with the  industry s estimated rally of 2 7  Meta Financial Group  Inc offers various banking products and services in the United States  The Zacks Consensus Estimate for its current year earnings has increased 10 4  in the last 60 days  The company s expected earnings growth rate for the current quarter is 110 4  against the  industry s estimated decline of 5  Hallmark Financial Services  Inc underwrites  markets  distributes  and services property casualty insurance products to businesses and individuals in the United States  The Zacks Consensus Estimate for its current year earnings has risen 5 9  in the last 60 days  The company s expected earnings growth rate for the current year is 41 1  compared with the  industry s projected rally of 16  Pilgrim s Pride Corp engages in the production  processing  marketing  and distribution of fresh  frozen  and value added chicken products in the United States  The Zacks Consensus Estimate for its current year earnings has increased 7 7  in the last 60 days  The company s expected earnings growth rate for the current year is 53 9  compared with the  industry s expected rally of 10 7  5 Stocks Set to DoubleZacks experts released their picks to gain  100  or more in 2020  One is a famous cutting edge food company that is  hiding in plain sight   Swamped with competitors and ignored by Wall Street  its stock price floundered  Now  suddenly  it acquired a company that gives it an advantage none of its peers have Media ContactZacks Investment Research800 767 3771 ext  9339  Past performance is no guarantee of future results  Inherent in any investment is the potential for loss  This material is being provided for informational purposes only and nothing herein constitutes investment  legal  accounting or tax advice  or a recommendation to buy  sell or hold a security  No recommendation or advice is being given as to whether any investment is suitable for a particular investor  It should not be assumed that any investments in securities  companies  sectors or markets identified and described were or will be profitable  All information is current as of the date of herein and is subject to change without notice  Any views or opinions expressed may not reflect those of the firm as a whole  Zacks Investment Research does not engage in investment banking  market making or asset management activities of any securities  These returns are from hypothetical portfolios consisting of stocks with Zacks Rank   1 that were rebalanced monthly with zero transaction costs  These are not the returns of actual portfolios of stocks  The S P 500 is an unmanaged index  Visit  for information about the performance numbers displayed in this press release ,2019-09-17,Zacks Investment Research,https://www.investing.com/analysis/the-zacks-analyst-blog-highlights-digital-turbine-boot-barn-meta-financial-hallmark-financial-services-and-pilgrims-pride-200465761,200465761
28566,250081,CASH,Meta Financial  CASH  Surges 76 2  YTD  What s Driving It ,opinion,"Shares of Meta Financial Group  Inc    NASDAQ CASH   have surged nearly 76 2   year to date  compared with the  s growth of approximately 18 4   Solid fundamentals  driven by steady loan and deposit growth  as well as inorganic expansion strategy  along with steady capital deployment  seem to be the primary reasons for this impressive performance Further  this Zacks Rank  2  Buy  stock has been witnessing solid estimate revisions  Over the last 60 days  the Zacks Consensus Estimate jumped 12 6  to  2 76 for fiscal 2019  ended Sep 30  and 1 5  to  3 43 for fiscal 2020 Also  the stock currently has a  of B  Our research shows that stocks with a Style Score of A or B  when combined with a Zacks Rank  1  Strong Buy  or 2  offer the best upside potential 
Moreover  Meta Financial has an impressive earnings surprise history  The company has surpassed estimates in three of the trailing four quarters  the average beat being15 78  While past performance does not guarantee a similar trend in the future  we believe the following factors are adequate to support a steady price appreciation for Meta Financial Revenue Growth  Top line growth is a key strength for Meta Financial  given the robust growth in loans and deposits  Furthermore  the company s acquisition of Crestmark Bancorp  Inc  and its bank subsidiary  Crestmark Bank  in 2018  for  295 8 million  included acquired loans and leases worth around  1 06 billion Notably  the company s revenues are estimated at a growth rate of 54 17  for fiscal 2019 compared with stable revenues for the industry Strong Leverage  Meta Financial s debt equity ratio stands at 0 25  compared with the industry average of 0 64  indicating a relatively lower debt burden  It also suggests the financial stability of the company even in adverse economic conditions Superior Return on Equity  ROE   Meta Financial s ROE of 11 64   compared with the industry average of 8 77   highlights the company s commendable position over its peers Other Stocks to ConsiderBanner Corporation   NASDAQ BANR   has been witnessing upward estimate revisions for the last 60 days  Year to date  the company s share price has been up more than 5   Currently  it also holds a Zacks Rank of 2  You can see the complete list of today s Zacks  1 Rank  Strong Buy  stocks here United Community Financial Corp    NASDAQ UCFC   has been witnessing upward estimate revisions for the last 60 days  Additionally  the stock has jumped more than 23   year to date  It currently carries a Zacks Rank of 2 Northfield Bancorp  Inc    NASDAQ NFBK   has been witnessing upward estimate revisions for the last 60 days  Also  the company s shares have risen nearly 17 5   year to date  It also holds a Zacks Rank of 2  at present Wall Street s Next Amazon  NASDAQ AMZN Zacks EVP Kevin Matras believes this familiar stock has only just begun its climb to become one of the greatest investments of all time  It s a once in a generation opportunity to invest in pure genius ",2019-09-23,Zacks Investment Research,https://www.investing.com/analysis/meta-financial-cash-surges-762-ytd-whats-driving-it-200467126,200467126
28570,250085,CASH,5 Top Efficient Stocks To Buy For Striking Returns,opinion,Companies with favorable efficiency levels are likely to be on investors  radar irrespective of market conditions  After all  efficiency is a potential indicator of a company s financial health  Moreover  a company with a favorable efficiency level is expected to provide impressive returns as it is believed to be positively correlated with its price performance Key Ratios to Identify EfficiencySometimes it becomes difficult to measure the efficiency level of a company  This is the reason why one must consider popular efficiency ratios while selecting stocks  These efficiency ratios are Inventory Turnover  The ratio of 12 month cost of goods sold  COGS  to a four quarter average inventory is considered one of the most popular efficiency ratios  It indicates a company s ability to maintain a suitable inventory position  While a high value indicates that the company has a relatively low level of inventory compared to COGS  a low value indicates that the company is facing declining sales  which resulted in excess inventory  Receivables Turnover   This is the ratio of 12 month sales to four quarter average receivables  It shows a company s potential to extend its credit and collect debt in terms of that credit  A high receivables turnover ratio or the  accounts receivable turnover ratio  or  debtor s turnover ratio  is desirable as it shows that the company is capable of collecting its accounts receivables or that it has quality customers Asset Utilization  This ratio indicates a company s capability to convert assets into output and is thus a widely known measure of efficiency level  It is calculated by dividing total sales over the past 12 months by the last four quarter average of total assets  Like the above ratios  high asset utilization may indicate that a company is efficient Operating Margin  This efficiency measure is the ratio of operating income over the past 12 months to sales over the same period  It measures a company s ability to control operating expenses  Hence  a high value of the ratio may indicate that the company manages its operating expenses more efficiently than its peers Screening ParametersIn addition to the above mentioned ratios  we have added a favorable Zacks Rank  1  Strong Buy  or 2  Buy  to the screen with an objective to make this strategy more profitable Inventory Turnover  Receivables Turnover  Asset Utilization and Operating Margin greater than industry average  Values of these ratios higher than industry averages may indicate that the efficiency level of the company is higher than its peers      The use of these few criteria has narrowed down the universe of over 7 906 stocks to only 21 Here are five stocks from the 21 that made it through the screen Copart  Inc    NASDAQ CPRT   provides online auctions and vehicle remarketing services  The company has an average four quarter positive earnings surprise of 10 7  The stock sports a Zacks Rank  1  You can see  Forward Air Corporation   NASDAQ FWRD   operates as an asset light freight and logistics company in the United State and Canada  The company has an average four quarter positive earnings surprise of 8 5   The stock has a Zacks Rank  1 Meta Financial Group Inc   NASDAQ CASH   operates as the holding company for MetaBank that offers various banking products and services to individuals  small businesses  financial institutions and other businesses  The company has an average four quarter positive earnings surprise of 129 7   The stock sports a Zacks Rank  1 Pioneer Natural Resources Company   NYSE PXD   operates as an independent oil and gas exploration and production company in the United States  The company has an average four quarter positive earnings surprise of 67 7   The stock sports a Zacks Rank  1 NVR  Inc    NYSE NVR   operates as a homebuilder in the United States  The company operates through four segments  Mid Atlantic  North East  Mid East and South East  The company has an average four quarter positive earnings surprise of 17 2   The stock has a Zacks Rank  2 You can get the rest of the stocks on this list by signing up now for your 2 week free trial to the Research Wizard and start using this screen in your own trading  Further  you can also create your own strategies and test them first before taking the investment plunge The Research Wizard is a great place to begin  It s easy to use  Everything is in plain language  And it s very intuitive  Start your Research Wizard trial today  And the next time you read an economic report  open up the Research Wizard  plug your finds in  and see what gems come out  Disclosure  Officers  directors and or employees of Zacks Investment Research may own or have sold short securities and or hold long and or short positions in options that are mentioned in this material  An affiliated investment advisory firm may own or have sold short securities and or hold long and or short positions in options that are mentioned in this material Disclosure  Performance information for Zacks  portfolios and strategies are available at  Zacks Restaurant Recommendations  In addition to dining at these special places  you can feast on their stock shares  A Zacks Special Report spotlights 5 recent IPOs to watch plus 2 stocks that offer immediate promise in a booming sector ,2018-01-21,Zacks Investment Research,https://www.investing.com/analysis/5-top-efficient-stocks-to-buy-for-striking-returns-200282314,200282314
