,id,ticker,title,category,content,date,provider,url,article_id
14244,235759,CDXS,Pre market Losers as of 9 05 am,news,CBIO  24  on announcing  18M underwritten public offering DRYS  23  on announcing reverse stock split BLPH  16  on releasing clinical data on INOpulse CDXS  13  on announcing public offering of common stock SCON  8  HTGM  8  NVFY  7  ,2017-04-07,Seeking Alpha,https://www.investing.com/news/stock-market-news/pre-market-losers-as-of-9:05-am-472496,472496
14245,235760,CDXS,Notable earnings after Thursday s close,news,ACTA  AIRG  AL  ATEC  AVID  AVXS  AYX  BDSI  BIOC  CAA  CALL  CATB  CBPX  CDXS  DIS  ENDP  ERA  ESL  HCC  HK  HTZ  ICHR  ICUI  IPWR  JJSF  JWN  KLDX  KONA  LGF A  LGND  MSCC  NDLS  NH  NVDA  NWSA  OMER  ONVO  OR  PBYI  QTM  RBA  RDFN  RLGT  SGMO  SGYP  TCRD  TCX  TLND  TPC  TTD  UEPS  VREX  WPM  XON  XONE  ZOES  ZSAN For Seeking Alpha s full earnings season calendar  click here  Now read ,2017-11-08,Seeking Alpha,https://www.investing.com/news/stock-market-news/notable-earnings-after-thursdays-close-840754,840754
14246,235761,CDXS,Codexis EPS and revenue in line,news,Codexis   NASDAQ CDXS   Q3 EPS of   0 17 in line Revenue of  10M   32 8  Y Y  in line Press ReleaseNow read ,2017-11-09,Seeking Alpha,https://www.investing.com/news/stock-market-news/codexis-eps-and-revenue-inline-841522,841522
14247,235762,CDXS,Codexis beats by  0 07  beats on revenue,news,Codexis   NASDAQ CDXS   Q1 EPS of   0 05 beats by  0 07 Revenue of  14 04M   76 2  Y Y  beats by  1 94M Press ReleaseNow read ,2018-05-10,Seeking Alpha,https://www.investing.com/news/stock-market-news/codexis-beats-by-007-beats-on-revenue-1442063,1442063
14789,236304,CDXS,3 Stocks Poised To Move Higher In 2019,opinion,"Now that the market is back in trend mode following a correction  we can ask the question what stocks are poised to move significantly higher in 2019  When looking for stocks that have room to run  some of the best bets are those that are moving out from a recent base after setting a new all time high for the first time in a few years 
It isn t always the first thrust to a new all time high that leads to big gains  as this sort of breakout is fairly obvious especially when a stock is extended from its last base  Rather than buying the initial surge to a new high  waiting for some sort of base to form that is 5 to 20 weeks in length and within 20 35  of the recent high is ideal  unless the stock forms such a base just below the all time high   A breakout from this base is a strong buy signal as can often lead to a significant rally when market conditions are healthy  It also helps to make sure the stock is in a top performing industry group 
Codexis  NASDAQ CDXS  broke out to a new all time high in 2018  clearing the prior high at  15 from 2010  Since clearing the high the past few breakouts attempts have failed to lead to a strong uptrend  but the price remains in a rising channel  which is bullish 

The weekly chart below shows the strong pick up in volume on the move through the 10 week MA  Look for CDXS to form a tight trading range during the next few weeks as a potential buy entry  A breakout to new all time highs from the current base on volume would be a clear buy signal 

Cyberark Software  NASDAQ CYBR  moved to a new all time high in 2018  clearing the prior high at  76 from 2015  The stall at  80 led to a three month long base that corrected 23  off the recent high  CYBR has already broken out from its base on volume but should be buyable on any test of the 10 week moving average on a weekly chart during the next few months 

Splunk  NASDAQ SPLK  moved to a new all time high in early 2018  clearing the previous high from 2014 but failing to follow through  The last breakout attempt in September failed along with the market  which led to a 22 week base that corrected 36  off the high  SPLK broke out from this base in early February but volume failed to impress  SPLK should be monitored for an entry after a few weeks of tight sideways action or on a test of the 50 day MA  Volume should come in on the next breakout if the stock is ready to launch higher 

We are currently long CYBR with a 28  unrealized gain from an entry in mid January at  79 
DISCLAIMER  Past results are not necessarily indicative of future results  There is a high degree of risk for substantial losses in trading securities  All data and material on this website and or electronically delivered to individuals is for informational purposes only  and should not be construed as an offer or solicitation of an offer to buy or sell any securities ",2019-02-21,Deron Wagner,https://www.investing.com/analysis/3-stocks-to-keep-an-eye-on-in-2019-200390547,200390547
14791,236306,CDXS,Caterpillar  CAT  Q3 Earnings Top  Stock Down On View Cut,opinion,Caterpillar Inc  s   NYSE CAT   third quarter 2016 adjusted earnings of 85 cents per share beat the Zacks Consensus Estimate of 75 cents but plunged 19  from the prior year quarter  The results continue to reflect low end user demand across many of the company s businesses due to economic weakness throughout the world  The company s shares fell 1 97  in pre market trading  following the release Including restructuring costs  Caterpillar s earnings of 48 cents per share were 49  lower than the prior year quarter figure of 94 cents per share RevenuesRevenues plummeted 16  year over year to  9 16 billion in the quarter  falling short of the Zacks Consensus Estimate of  9 80 billion due to lower sales volume resulting from consistent weak commodity prices globally and economic weakness in developing countries  Sales declined for both new equipment and aftermarket parts  with major decline noted in the former  Caterpillar witnessed a revenue decline across all regions  Latin America was the worst  registering a 22  plunge in sales  primarily attributable to lower end user demand as a result of widespread economic weakness  In North America  Caterpillar witnessed a 20  decline in sales due to lower end user demand for infrastructure  continued weakness in mining and the impact of low oil prices  Sales in Europe  Africa and Middle East  EAME  tumbled 20  due to the weak oil and commodity price environment as well as an uncertain investment environment  Sales in the Asia Pacific region slumped 8  due to lower demand for Energy   Transportation applications Costs   Operating ProfitIn the quarter  cost of sales dropped 17  year over year to  6 527 billion  Gross profit plunged 15  to  2 6 billion  Selling  general and administrative  SG A  expenses declined 12  to  992 million due to substantial restructuring and cost reduction actions over the past year and lower short term incentive compensation expense  Research and development  R D  expenses went down 12  year over year to  453 million Operating profit was  481 million  down 48  year over year  Lower sales volume and unfavorable price realization were partially mitigated by favorable period costs and variable manufacturing costs  The unfavorable price realization resulted from competitive market conditions  primarily in Construction Industries Segment ResultsMachinery and Energy   Transportation  ME T  sales decreased 18  year over year to  8 5 billion  Sales of Energy   Transportation plunged 19  due to lower end user demand for all applications  Sales at Resource Industries dropped 25  owing to lower end user demand across all regions  Construction Industries sales dropped 13  owing to lower volumes and unfavorable price realization The ME T segment reported an operating profit of  366 million  plummeting 54  from  802 million reported in the year ago quarter  At the Energy   Transportation segment  operating profit dropped 16  as a result of lower sales volume partially countered by lower material costs Operating profit tumbled 8  at Construction Industries owing to lower volume and unfavorable price realization  The worst performance was witnessed at Resource Industries  with the segment incurring a loss of  77 million in the quarter compared with a loss of  42 million a year ago due to lower sales volume and unfavorable price realization Financial Products  revenues slipped 0 4  to  749 million as unfavorable impacts from returned or repossessed equipment  mainly in North America and lower average earning assets in Latin America and Asia Pacific were neutralized by higher average financing rates particularly in North America  Financial Products  profit was  183 million in the quarter  compared with  207 million in the prior year quarter Financial PositionCaterpillar ended the third quarter with cash and short term investments of  6 11 billion  down from  6 5 billion at 2015 end  Total debt to capital ratio was 70  at the third quarter end  down from 72  at 2015 end  The debt to capital ratio at ME T was 37 0  as of Sept 30  2016 within the company s target range of 30 45  Total cash flow from operating activities in the first nine months of 2016 was  3 96 billion  compared with  4 86 billion in the prior year comparable period  Operating cash flow at ME T declined to  400 million in the quarter from  766 billion in the prior year quarter  Caterpillar anticipates ME T operating cash flow to exceed dividends and capital expenditures in 2016 BacklogAt the end of the third quarter  Caterpillar s backlog was at  11 6 billion  On a year over year basis  order backlog declined by about  2 1 billion  having recorded decreases in all segments  On a sequential basis  backlog declined  150 million CATERPILLAR INC Price  Consensus and EPS Surprise    GuidanceGiven the challenging environment  Caterpillar now estimates revenues around  39 billion  as against the previous outlook of  40  40 5 billion  Further  Caterpillar now expects earnings per share  excluding restructuring costs  of  3 25  down from the earlier projection of  3 55  Restructuring costs are now projected at  800 million in 2016  higher than the prior stated  700 million  due to asset write downs recognized in the third quarter  The company remains cautious regarding 2017 and stated that sales and revenues will not be significantly different than 2016  However  given that most commodity prices have improved from the lows earlier in 2016 and assuming they remain stable and move higher in 2017  second half results will improve  Caterpillar apprehends that world economic growth will remain subdued at close to 2 5   similar to the past few years  The company will continue with its aggressive restructuring  focus on customers and on the future by continuing to invest in digital capabilities  connecting assets and job sites along with developing the next generation of more productive and efficient products Zacks RankCaterpillar currently carries a Zacks Rank  2  Buy   Some other stocks worth considering in the same sector are Worthington Industries  Inc    NYSE WOR    Harsco Corp    NYSE HSC   and Codexis  Inc    NASDAQ CDXS    Worthington Industries delivered an average positive earnings surprise of 20 13  in the last four quarters  The company sports a Zacks Rank  1  Strong Buy   You can see Harsco also sports a Zacks Rank  1 and has delivered an average positive earnings surprise of 89 75  in the past four quarters  Codexis  another Zacks Rank  1  stock has an average positive earnings surprise of 102 88  in the past four quarters Confidential from ZacksBeyond this Analyst Blog  would you like to see Zacks  best recommendations that are not available to the public  Our Executive VP  Steve Reitmeister  knows when key trades are about to be triggered and which of our experts has the hottest hand ,2016-10-24,Zacks Investment Research,"https://www.investing.com/analysis/caterpillar-(cat)-q3-earnings-top,-stock-down-on-view-cut-200160584",200160584
14792,236307,CDXS,4 Stocks  CREE  GLYC  MARK  USAT,opinion,"Cree  Inc   NASDAQ CREE   one of our swing trades  popped out of a wedge  and jumped 1 59  or 4 6   to 35 12  on 1 9 million shares traded  What you should be watching for is whether it takes out a double top at 38 50  If it does  that should lead it to 40  42  and 44  It has 8 6  
GlycoMimetics  Inc   NASDAQ GLYC  exploded on drug news on big volume on Tuesday  and when it got up to 18 at the top of the channel at the range of resistance  it backed off  It closed up 2 13  or 15   to 16 45  on 6 6 million shares traded  Let s see if it backs and fills and extends  If it does  I m looking for a 19 dollar target  and then maybe 22  The swing target I put on it on Tuesday says 22 and 25 
I am showing it to you Remark Holdings  Inc   NASDAQ MARK  here because a lot of people have asked me about it  On November 9  this stock went from 3 36  and within two weeks it reached 9 79  So  it tripled and had a nice falling wedge  The falling wedge got quiet near the apex  and popped on volume for two days  reaching a nominal new high on Monday  On Tuesday  it reversed and closed down 1 32  or 13 1 2   to 8 44  on 2 9 million shares traded  I would like to see it hold Tuesday s low at 8 44  That would be ideal  If it can do that  and back and fill for a couple days  then maybe it would take off and still go to 11  13  16  and even 20 in the next few weeks and months  Key short term support is 7 1 4  roughly  and if it takes out Tuesday s 8 35  40 range  we ll see if it goes right there 
Swing trade USA Technologies  Inc   NASDAQ USAT  is really doing well  I think we gave it to you at the 6 dollar range  and now it s over 9 00  On Tuesday  it was up 55 cents  or 6 4   to 9 15  reaching a 9 55 high  on 1 66 million shares traded  It s right at the top of the channel  I think my targets are 10 and 12  but those are close to my swing targets 
On the long side  stocks included General Cannabis Corp   OTC CANN   Codexis  Inc   NASDAQ CDXS   Cree  Inc   NASDAQ CREE   VelocityShares 3x Inv Natural Gas ETN  NYSE DGAZ   Digital Power Corporation  NYSE DPW   GlycoMimetics  Inc   NASDAQ GLYC   KMG Chemicals  Inc   NYSE KMG   Remark Holdings  Inc   MARK   MGT Capital Investments  Inc   OTC MGTI   Nova Lifestyle  Inc   NASDAQ NVFY   HIVE Blockchain Technologies Ltd   PRELF   Proteostasis Therapeutics  Inc   NASDAQ PTI   Riot Blockchain  Inc   NASDAQ RIOT   Therapix Biosciences Ltd   NASDAQ TRPX   USA Technologies  Inc   NASDAQ USAT   and Valeant Pharmaceuticals  NYSE VRX  International  Inc   NYSE VRX  ",2017-12-12,Harry Boxer,https://www.investing.com/analysis/cree-glyc-mark-usat-200272677,200272677
14793,236308,CDXS,4 Stocks To Watch  APPS  ESPR  HIIQ  VKTX,opinion,"Digital Turbine  Inc   NASDAQ APPS  broke out of a bull coil on Monday that it was sitting in  It opened at the low for the day at 2 35  ran up to a high at 2 56  pulled back and closed up on 9 cents  or 3 8   to 2 44  on over 2 million shares traded  That s the best volume in about three weeks  It backed off resistance at the 2 50  60 zone  Looking back  you can see how this stock accelerates  I have a feeling  it s going to run up to the 3 3 25 range short term  and then 4 4 25 
Esperion Therapeutics  Inc   NASDAQ ESPR  had a big  bullish  engulfing day off the trendline on Monday  and got up to resistance  ran up to 81 29 near the end of the day  pulled back slightly  and still closed up 4 79  or 6 36   to 80 05  on 1 6 million shares traded  If it gets through 82 82 1 2  we re looking at 90  and then 100 
Health Insurance Innovations  Inc   NASDAQ HIIQ   after popping  breaking through resistance  and backing off slowly in a falling wedge  has moved up nicely  gaining 1 55  or 4 9   to 33 15  on 670 131 shares traded on Monday  The volume is increasing  I m looking for a test of the 36 38 zone short term 
Viking Therapeutics  Inc   NASDAQ VKTX  recovered nicely on Monday  popping 25 cents  or 4 3   to 6 05  on 1 4 million shares traded  reaching a high of 6 20  The volume is extremely heavy  If it can get through the declining topsline  it may get a retest of the high around the 7 15 area  If it does that  you re looking at 9 and 10 as the next targets 
Stocks on the long side included Digital Turbine  Inc   APPS   Bluelinx Holdings Inc   NYSE BXC   Casa Systems  Inc   NASDAQ CASA   Codexis  Inc   NASDAQ CDXS   Endocyte  Inc   NASDAQ ECYT   Esperion Therapeutics  Inc   NASDAQ ESPR   Health Insurance Innovations  Inc   HIIQ   Innovate Biopharmaceuticals  Inc   NASDAQ INNT   Jounce Therapeutics  Inc   NASDAQ JNCE   Kopin Corporation  NASDAQ KOPN   Mazor Robotics Ltd ips  vktx  NASDAQ MZOR   Net Element  Inc   NASDAQ NETE   NUTANIX  INC   NASDAQ NTNX   R1 RCM Inc   NASDAQ RCM   Square  Inc   NYSE SQ   Sarepta Therapeutics  Inc   NASDAQ SRPT   Twilio  Inc   NYSE TWLO   Twitter  Inc   NYSE TWTR   Viking Therapeutics  Inc   NASDAQ VKTX   and Zynerba Pharmaceuticals  Inc   NASDAQ ZYNE  ",2018-03-13,Harry Boxer,https://www.investing.com/analysis/apps-espr-hiiq-vktx-200297491,200297491
14794,236309,CDXS,Cimpress Aims To Mitigate Risks By Decentralizing Operations,opinion,On May 15  we updated the research report on business services provider  Cimpress N V    NASDAQ CMPR   Cimpress  business is scalable and its web presence and online tools for customer use are well established  While additional demand often results in various capital investments such as additional printing presses  these fixed costs are spread over a wider revenue base  The company s solid operational position is reflected in its history of strong fundamentals  which we expect to continue  going forward Management has also decided to implement a radical change in the organizational structure by decentralizing operations to improve accountability for customer satisfaction and capital returns  simplify decision making and improve the speed of execution  With operations in about 50 locations spanning 30 countries across six continents  decentralized decision making will enable the company to be nimble and entrepreneurial  The evolved corporate structure will likely lead to more accountability as the company expands into new geographical regions and markets to strengthen its position as a leading provider of mass customization business products With the use of proprietary web based design software and advanced computer integrated printing facilities  Cimpress has a competitive advantage over traditional graphic design and printing methods  The company has shifted its value proposition away from deep discounts and free offer direct marketing efforts to tap the large market opportunity beyond the traditional base of highly price sensitive customers  At the same time  Cimpress is making steady progress with investments in new markets and its business strategy is focused on higher quality products and delivery  increased customer service and more transparent pricing to promote long term customer relationships In addition  Cimpress has been acquiring firms with complementary product offerings and expects to ramp up its revenues with operating synergies through economies of scale and technological collaboration to serve customers across the globe  Cimpress has outperformed the  in the last three months with an average return of 16  compared with a gain of 2 8  for the latter However  headwinds in currency translation often add to its woes as the company generates almost half of its revenues outside the United States  The strategic repositioning of the Cimpress brand further entails a huge risk  Presently  when the economy of Europe is highly unpredictable post the Brexit referendum  it becomes difficult for the company to increase revenues and reduce costs  In addition  it is likely to be stifled by the renegotiated deals and restrictions imposed on trade with other European Union members  Brexit could further result in higher tariff and non tariff barriers to trade between the U K  and the European Union  lowering productivity of the company Despite enjoying a leading position in the industry  Cimpress faces significant competition from traditional graphic design and printing companies and other online suppliers  Moreover  increasingly advanced desktop publishing software and more capable desktop printers offer small businesses another cost effective solution for their marketing needs  While these sources cannot meet the extent of Cimpress  product offerings  they can handle day to day marketing needs of small business customers  This could hurt top line growth of the company Nevertheless  we remain impressed with the inherent growth potential of this Zacks Rank  3  Hold  stock  Better ranked stocks in the industry include Codexis  Inc    NASDAQ CDXS    HD Supply Holdings  Inc    NASDAQ HDS   and KION GROUP AG   OTC KIGRY    each carrying a Zacks Rank  2  Buy   You can see  Codexis has a long term earnings growth expectation of 15  HD Supply Holdings has a long term earnings growth expectation of 15 7   It has topped earnings estimates twice in the trailing four quarters with a positive surprise of 3 7  KION GROUP has a long term earnings growth expectation of 6  More Stock News  This Is Bigger than the iPhone It could become the mother of all technological revolutions  Apple  NASDAQ AAPL  sold a mere 1 billion iPhones in 10 years but a new breakthrough is expected to generate more than 27 billion devices in just 3 years  creating a  1 7 trillion market Zacks has just released a Special Report that spotlights this fast emerging phenomenon and 6 tickers for taking advantage of it  If you don t buy now  you may kick yourself in 2020 ,2018-05-14,Zacks Investment Research,https://www.investing.com/analysis/cimpress-aims-to-mitigate-risks-by-decentralizing-operations-200316456,200316456
14852,236367,CDXS,4 Stocks To Watch  AMED  FIX  TDOC  TREE,opinion,"The market is just chugging along in a down mode and unable to really get itself going  It appears to be trying to consolidate in this range  and perhaps it will get a better move going at some point  but there s still vulnerability  and the market is not oversold  Despite that  we are able to tread on the long side because every day there s stocks moving up  even in the worst markets  So let s take a look at some of the ones that popped on Tuesday 
Amedisys Inc   NASDAQ AMED  has been on our list for a long time  On Tuesday  it was up 2 56 to 47 44  or 5 7   on 700 000 shares traded  It had a long base  a breakout in April  a wedge  a flag  a crawling wedge  and a falling wedge at the end of April  at which time it went from 24 all the way up to Tuesday s high at 47 1 2  doubling in that time  Yet  with a pattern like that  momentum is very strong  If it gets through here  it could spike to the 53 55 range  with a secondary target of 60 62 
Comfort Systems USA Inc   NYSE FIX  has been in a beautiful  parallel  rising channel since October  having gone from 12  and change  all the way up to Tuesday s high of 28 80  up 1 17 to 28 79  or 4   on 635 500 shares traded  That was the highest level reached for this stock in its history  going all the way back to Jan 1997  After a massive  multi year base that was in the form of a big coiling base  it broke out  retested  and ran up  It s a very  very strong pattern  With 4 1 2 days to cover  this stock could spike up into the low 30 s 
Teladoc  Inc   NYSE TDOC  had a nice follow through day on Tuesday  after Monday s breakout  up another 1 62 to 34 82  or 4 88   on on 263 700 shares traded  It looks like it s going to hit the swing target around 36 pretty quickly  It may even get a bigger move up towards 38 40 
LendingTree  Inc   NASDAQ TREE   one of our best day trades in a while  had a very  very big day on Tuesday  up a whopping 34 91 to 117 51  or 43   on 1 3 million shares  It opened at 94 75  fell back to 93 30  ran to 119 23  before pulling back and closing at 117 51  Absolutely  all time high territory with a spike through the top of the channel  There may be some follow through that takes it into the 140 50 zone 
Other stocks on the long side include ABIOMED  Inc   NASDAQ ABMD   Codexis  Inc   NASDAQ CDXS   EarthLink Holdings Corp   NASDAQ ELNK   Exelixis  Inc   NASDAQ EXEL   Netflix  Inc   NASDAQ NFLX   Douglas Dynamics  Inc   NYSE PLOW   Rudolph Technologies Inc   NYSE RTEC   ReWalk Robotics Ltd   NASDAQ RWLK   Virgin America Inc   NASDAQ VA   and World Wrestling Entertainment Inc   NYSE WWE  ",2015-08-05,Harry Boxer,"https://www.investing.com/analysis/amed,-fix,-tdoc,-tree-260592",260592
