,id,ticker,title,category,content,date,provider,url,article_id
111237,332752,CGEN,Compugen down 11  premarket on return of rights to oncology candidate by Bayer,news,Thinly traded micro cap Compugen  NASDAQ CGEN  slumps 11  premarket on increased volume in response to its announcement that collaboration partner Bayer  OTCPK BAYRY  will return the rights to one of two immune checkpoint regulators  CGEN 15022  after a joint assessment determined that it lacked sufficient potential to justify further investment Bayer will continue to advance the other candidate  CGEN 15001T  toward clinical trials Previously  Compugen signs development deal with Bayer  shares soar  Aug  5  2013 Now read ,2017-07-26,Seeking Alpha,https://www.investing.com/news/stock-market-news/compugen-down-11-premarket-on-return-of-rights-to-oncology-candidate-by-bayer-510258,510258
111239,332754,CGEN,Nasdaq Biotech Index  54 to be added  15 removed,news,Changes will become effective prior to the open next Monday  ETF  IBBAdded  Arbutus  NASDAQ ABUS   Aclaris  NASDAQ ACRS   Adaptimmune  NASDAQ ADAP   Achaogen  NASDAQ AKAO   Akcea  NASDAQ AKCA   AnaptysBio  NASDAQ ANAB   Ascendis  NASDAQ ASND    Athenex   NASDAQ ATNX   Aurinia  NASDAQ AUPH   Axovant  NASDAQ AXON   Bioverativ  NASDAQ BIVV   Calithera  NASDAQ CALA   Cara  NASDAQ CARA   Cascadian  NYSE CASC    Cellectis   NASDAQ CLLS   Calyxt  NASDAQ CLXT   Chimerix  NASDAQ CMRX   Concert  NASDAQ CNCE   Corium  NASDAQ CORI   Corbus  NASDAQ CRBP   Crispr  NASDAQ CRSP   Corvus  NASDAQ CRVS   CytomX  NASDAQ CTMX   Dova  NASDAQ DOVA    Endocyte   NASDAQ ECYT   Galapagos  NASDAQ GLPG   GlycoMimetics  NASDAQ GLYC   G1 Thera  Pending GTHX    ImmunoGen   NASDAQ IMGN   Jounce  NASDAQ JNCE   Kala  Pending KALA   Kura  NASDAQ KURA   Medpace  NASDAQ MEDP   MannKind  NASDAQ MNKD   Marinus  NASDAQ MRNS   Mersana  NASDAQ MRSN   MyoKardia  NASDAQ MYOK   Nabriva  NASDAQ NBRV   Neos  NASDAQ NEOS   Puma  NYSE PBYI    PetIQ   Pending PETQ   uniQure  NASDAQ QURE   Ra Pharma  NASDAQ RARX   Reata  NASDAQ RETA   Strongbridge  NASDAQ SBBP   Syndax  NASDAQ SNDX   Sienna  Pending SNNA   Savara  NASDAQ SVRA   Tocagen  Pending TOCA   Tetraphase  NASDAQ TTPH   TherapeuticsMD  NYSEMKT TXMD   Vital  NASDAQ VTL   Voyager  NASDAQ VYGR  Removed  Aquinox  NASDAQ AQXP   Aralez  NASDAQ ARLZ   Compugen  NASDAQ CGEN   Clearside  NASDAQ CLSD   Impax Lab  NASDAQ IPXL   Merrimack  NASDAQ MACK   Cempra  NASDAQ MLNT   Medicinova  NASDAQ MNOV   OncoMed  NASDAQ OMED   Organovo  NASDAQ ONVO    Ophthotech   NASDAQ OPHT   Otonomy  NASDAQ OTIC   Trevana  NASDAQ TRVN   Versartis  NASDAQ VSAR   XBiotech  NASDAQ XBIT  Source  Press ReleaseNow read ,2017-12-11,Seeking Alpha,https://www.investing.com/news/stock-market-news/nasdaq-biotech-index-54-to-be-added-15-removed-976322,976322
111241,332756,CGEN,Key events next week   healthcare  continued  4 ,news,Monday  3 12   Cowen  continued   Trevena  NASDAQ TRVN   Amgen  NASDAQ AMGN   Aduro Biotech  NASDAQ ADRO   Rhythm Pharmaceuticals  NASDAQ RYTM   Zafgen  NASDAQ ZFGN   Mirati Therapeutics  NASDAQ MRTX    Foundation  Medicine  NASDAQ FMI   Stemline Therapeutics  NASDAQ STML   Compugen  NASDAQ CGEN    Dermira   NASDAQ DERM   Dova Pharmaceuticals  NASDAQ DOVA    Ultragenyx   NASDAQ RARE   Molecular Templates  NASDAQ MTEM   Intra Cellular Therapies  NASDAQ ITCI    Medtronic   NYSE MDT   United Therapeutics  NASDAQ UTHR   MediWound  NASDAQ MDWD   Seres Therapeutics  NASDAQ MCRB   Teladoc  NYSE TDOC  Society for Inherited Metabolic Disorders Annual Meeting  San Diego  4 days   Aeglea BioTherapeutics  NASDAQ AGLE   Phase 1 2 data on AEB1102  pegzilarginase   U S  Physical Therapy  NASDAQ USPH   MacroGenics  NASDAQ MGNX  Now read ,2018-03-09,Seeking Alpha,https://www.investing.com/news/stock-market-news/key-events-next-week--healthcare-continued-4-1334386,1334386
111246,332761,CGEN,Compugen appoints Henry Adewoye as Chief Medical Officer,news,Compugen  NASDAQ CGEN  appoints Dr  Henry Adewoye  to the newly created position of Chief Medical Officer  effective immediately  Dr  Adewoye will be based at South San Francisco facilities and will report to Dr  Anat Cohen Dayag  Compugen s President and CEO  Dr  Adewoye joins Compugen from Gilead Sciences  NASDAQ GILD  where he most recently served as Clinical Director in Oncology Clinical Research  was on the Oncology Leadership Team and held positions of increasing responsibility  Now read ,2018-03-26,Seeking Alpha,https://www.investing.com/news/stock-market-news/compugen-appoints-henry-adewoye-as-chief-medical-officer-1361543,1361543
111249,332764,CGEN,Premarket analyst action   healthcare,news,Radius Health  NASDAQ RDUS  initiated with Outperform rating and  53  54  upside  price target at Leerink  Shares up 3  premarket Compugen  NASDAQ CGEN  initiated with Outperform rating and  9  125  upside  price target at Oppenheimer  Shares up 6  premarket Miragen Therapeutics  NASDAQ MGEN  initiated with Buy rating and  14  105  upside  price target at Jefferies  Shares up 14  premarket Nuvectra  NASDAQ NVTR  initiated with Buy rating and  19  43  upside  price target at SunTrust  Shares up 1  premarket Theravance Biopharma  NASDAQ TBPH  resumed with Overweight rating and  45  92  upside  price target at Piper Jaffray Global Medical REIT  NYSEMKT GMRE  upgraded to Buy at DA Davidson  Shares up 4  premarket  Novavax   NASDAQ NVAX  upgraded to Buy at Seaport Global Securities  Shares up 7  premarket Now read ,2018-03-29,Seeking Alpha,https://www.investing.com/news/stock-market-news/premarket-analyst-action--healthcare-1369730,1369730
111251,332766,CGEN,Bayer s ILDR2 inhibitor shows encouraging action in preclinical studies  discoverer Compugen up 4 ,news,Compugen Ltd    CGEN  3 5   is up in early trade on light volume on the heels of its announcement that licensee  Bayer AG   DE BAYGN   OTCPK BAYRY  0 3   presented encouraging preclinical data on BAY 1905254 at the American Association of Cancer Research Annual Meeting in Chicago BAY 1905254  formerly CGEN 15001T  inhibits a protein called ILDR2  immunoglobulin like domain containing receptor 2   a new immune checkpoint discovered by Compugen Preclinical work in mouse models showed anti tumor activity as monotherapy and in combination with other cancer treatments  The first in human studies should commence later this year Previously  Compugen signs development deal with Bayer  shares soar  Aug  5  2013 Now read ,2018-04-17,Seeking Alpha,https://www.investing.com/news/stock-market-news/bayers-ildr2-inhibitor-shows-encouraging-action-in-preclinical-studies-discoverer-compugen-up-4-1398728,1398728
111253,332768,CGEN,Compugen up 2  on Q1 result,news,Compugen  CGEN  Q1 results  Revenues   10M  Net Income   0 1M   101 1    EPS   0 00  Quick Assets   20 5M   32 6   In light of Bayer  DE BAYGN  s announcement that they plan to begin first in human trials for their ILDR2 antibody  the Company expects two immuno oncology programs based on its discoveries in the clinic in 2018 Shares are up 2  premarket Now read ,2018-05-09,Seeking Alpha,https://www.investing.com/news/stock-market-news/compugen-up-2-on-q1-result-1438741,1438741
111263,332778,CGEN,What s In The Cards For Perrigo  PRGO  This Earnings Season ,opinion,"Perrigo Company plc   NYSE PRGO   is expected to report third quarter 2018 results before the opening bell on Nov 8 Perrigo s earnings history has been quite impressive with the company surpassing expectations in all the last four quarters  with the average beat being 10 24   In the last reported quarter  the company delivered a positive surprise of 0 83  Shares of the company have lost 17 2  so far this year compared with the  s decrease of 0 8  Let s see how things are shaping up for the upcoming announcement Factors Likely to Influence ResultsOn its second quarter earnings call  Perrigo lowered its outlook for 2018 especially due to lower expectations for Prescription Pharmaceuticals  Rx  segment  Moreover  all of the three segments reported an organic decline in sales in the second quarter  However  new products brought higher sales Perrigo is currently focused on the growth strategy of Consumer Healthcare Americas segment through switching of prescription drugs to over the counter   OTC   brands and expanding store brand solution In September  the FDA approved a stored brand OTC equivalent of J J s multi symptom relief drug  Imodium  In August  the company entered into an agreement with Merck   NYSE MRK   to gain exclusive rights to the OTC version of the latter s allergy drug  Nasonex nasal spray  The branded and generic versions of the drug generated a total of  214 million in the year ending June 2018  We expect the company to provide the launch plans for these OTC drugs on its earnings call Moreover  the launch of the OTC version of heartburn drug  Omeprazole Delayed Release  in April is likely to boost sales this quarter The new products in the Consumer Healthcare Americas business and Consumer Health Care International segment saw improved sales in the second quarter  However  declining sales at animal health business may offset the gain from new products In April 2018  the company also launched the generic version of Bausch   Lomb s Prolensa to treat postoperative inflammation and reduction of ocular pain in patients who underwent cataract surgery  Additionally  in January  Perrigo received FDA nod for the generic version of Galderma Laboratories  Epiduo to enable topical treatment of acne vulgaris in patients  aged nine years and above  These product introductions are likely to drive Rx segment sales in the to be reported quarter Also  the ongoing restructuring initiatives and operating expense discipline are anticipated to cushion the company s bottom line  In August  the company announced its plan to spin off its Rx business to create value for shareholders and focus on expanding its leading consumer business  The segment has been facing declining sales due to delay in launch of products and price erosion Moreover  currency movement is also expected to unfavorably impact the sales of the CHC segment Earnings WhispersOur proven model does not conclusively show that Perrigo is likely to beat estimates this reporting cycle  This is because a stock needs to have both a positive  and a solid Zacks Rank  1  Strong Buy   2  Buy  or 3  Hold  for this to happen  But that is not the case here as you will see below Earnings ESP  Earnings ESP  which represents the difference between the Most Accurate Estimate   1 01  and the Zacks Consensus Estimate   1 05  is  3 9    You can uncover the best stocks to buy or sell before they re reported with our  Zacks Rank  Perrigo carries a Zacks Rank  4  Sell  Note that we caution against stocks with a Zacks Rank  4 or 5  Strong Sell  going into an earnings announcement  especially when the company is seeing negative estimate revisions Perrigo Company plc Price and EPS Surprise
    Stocks to ConsiderHere are some biotech stocks that you may want to consider as our model shows that these have the right combination of elements to post an earnings beat this quarter CRISPR THERAPTC   NASDAQ CRSP   has an Earnings ESP of  3 53  and a Zacks Rank  1   The company is expected to release third quarter results on Nov 14  You can see  Compugen Ltd    NASDAQ CGEN   has an Earnings ESP of  58 33  and a Zacks Rank  2  The company is scheduled to release third quarter results on Nov 7 Today s Stocks from Zacks  Hottest StrategiesIt s hard to believe  even for us at Zacks  But while the market gained  21 9  in 2017  our top stock picking screens have returned  115 0    109 3    104 9    98 6   and  67 1  And this outperformance has not just been a recent phenomenon  Over the years it has been remarkably consistent  From 2000   2017  the composite yearly average gain for these strategies has beaten the market more than 19X over  Maybe even more remarkable is the fact that we re willing to share their latest stocks with you without cost or obligation ",2018-11-05,Zacks Investment Research,https://www.investing.com/analysis/whats-in-the-cards-for-perrigo-prgo-this-earnings-season-200355577,200355577
111264,332779,CGEN,Bristol Myers  Infinity To Test Opdivo Combo For Bladder Cancer,opinion,Bristol Myers Squibb Company   NYSE BMY   announced that it has signed a collaboration deal with Infinity Pharmaceuticals   NASDAQ INFI   to evaluate the combination of its PD 1 inhibitor  Opdivo  and the latter s investigational immunotherapy  IPI 549  for the treatment of advanced urothelial cancer  a type of bladder cancer Infinity will conduct and operate the study  The phase II MARIO 275 study will enroll approximately 150 patients that will compare the Opdivo   IPI 549 combo with Opdivo alone in advanced urothelial cancer patients  whose disease has progressed or recurred following treatment with platinum based chemotherapy  The study s primary endpoint will be its overall response rate Per the company  the main idea of the study is to check whether targeting the tumor microenvironment with IPI 549 will increase the activity of Opdivo for subjects with urothelial cancer The evaluation is expected to start in the first half of 2019  Notably  the combination drugs are already being examined in a phase I Ib study on patients with advanced solid tumors Bristol Myers  clinical study collaboration with Infinity to assess the IPI 549 Opdivo combination bodes well for the former Opdivo gained a regulatory nod for the first indication in July 2014  It is currently approved across several countries for several cancer indications  Potential approval for other diseases will further boost prospects of this blockbuster drug Opdivo retained its impressive performance with sales surging 42  year over year to  1 79 billion  Evidently  it became the top revenue generator for the company in third quarter 2018 In October  Bristol Myers announced that it has entered into a clinical trial agreement with Compugen   NASDAQ CGEN    Per the deal  both companies will evaluate the safety and tolerability of Compugen s COM701  an investigational antibody  combined with Opdivo for treating patients afflicted with advanced solid tumors Bristol Myers has deals inked with several other research institutes plus small and large biotech as well as pharma giants for studying Opdivo in combination with their cancer treatments  The leading names include Johns Hopkins University  Johnson   Johnson   NYSE JNJ   AbbVie  NYSE ABBV   Five Prime  Lilly  Celgene  NASDAQ CELG   Celldex  Nektar  Infinity Pharma and Seattle Genetics among others Will You Make a Fortune on the Shift to Electric Cars Here s another stock idea to consider  Much like petroleum 150 years ago  lithium power may soon shake the world  creating millionaires and reshaping geo politics  Soon electric vehicles  EVs  may be cheaper than gas guzzlers  Some are already reaching 265 miles on a single charge With battery prices plummeting and charging stations set to multiply  one company stands out as the  1 stock to buy according to Zacks research It s not the one you think ,2018-11-06,Zacks Investment Research,https://www.investing.com/analysis/bristolmyers-infinity-to-test-opdivo-combo-for-bladder-cancer-200356243,200356243
111265,332780,CGEN,Achillion  ACHN  Reports Narrower Than Expected Loss In Q4,opinion,Achillion Pharmaceuticals  Inc    NASDAQ ACHN   incurred a loss of 12 cents per share in the fourth quarter of 2018  narrower than the Zacks Consensus Estimate of a loss of 15 cents and the year ago loss of 17 cents The company did not generate any revenues in the reported quarter in absence of an approved product in its portfolio Shares of Achillion have soared 67 3  so far this year  outperforming the  increase of 11 1  Quarter in DetailResearch and development  R D  expenses decreased nearly 20 8  from the year earlier period to  12 2 million  primarily due to decreased personnel costs and low research costs related to ACH 5228 General and administrative expenses declined 33 7  year over year to  5 9 million  thanks to payment of the underwriting fees Pipeline UpdateTwo phase II studies are evaluating the first generation oral factor D inhibitor  ACH 4471  on patients with paroxysmal nocturnal hemoglobinuria  PNH  and C3 glomerulopathy  C3G  Last December  Achillion announced positive interim data from the clinical study  evaluating its factor D inhibitor   ACH 4471  Results from the mid stage analyses on ACH 4471 demonstrated a proof of concept as monotherapy or in combination with a C5 Inhibitor in PNH patients  Moreover  ACH 4471 achieved a proof of mechanism in C3G patients as well The company plans to report updated interim findings on ACH 4471 for PNH in combination with a C5 inhibitor during the second quarter of 2019  It plans to present data from PNH and C3G programs on ACH 4471 to the FDA in fourth quarter 2019 Achillion is also developing its next generation factor D inhibitors  ACH 5228 and ACH 5548  in two separate phase I studies Last December  Achillion announced favorable interim data from the clinical studies  investigating its factor D inhibitors   ACH 5228 and ACH 5548  Outcomes from the early stage probes examining ACH 5228 and ACH 5548 showed to have potential of higher alternative pathway inhibition along with a reduced dosing frequency Meanwhile  the company recently initiated a phase I ex U S  multiple ascending dose  MAD  study of ACH 5228 in the EU  On successful completion  Achillion plans to submit an investigational new drug  IND  application in the fourth quarter of 2019 to begin a phase I assessment in the United States Achillion expects net cash usage to be approximately  80 million in 2019 Achillion Pharmaceuticals  Inc  Price  Consensus and EPS Surprise   Zacks Rank   Stocks to ConsiderAchillion currently carries a Zacks Rank  3  Hold   Better ranked stocks in the biotech sector include Celgene Corporation   NASDAQ CELG    Kamada Ltd    NASDAQ KMDA   and Compugen Ltd    NASDAQ CGEN    all sporting a Zacks Rank  1 Strong Buy   You can see  Celgene s earnings estimates have been revised 7 8  upward for 2019 over the past 60 days  The stock has surged 33 7  so far this year Kamada s earnings estimates have moved 34 3  north for 2019 over the past 60 days  The stock has rallied 18 4  so far this year Compugen s loss per share estimates have been narrowed 24  for 2019 in the last 60 days  The stock has soared 55 3  so far this year Today s Best Stocks from ZacksWould you like to see the updated picks from our best market beating strategies  From 2017 through 2018  while the S P 500 gained  15 8   five of our screens returned  38 0    61 3    61 6    68 1   and  98 3  This outperformance has not just been a recent phenomenon  From 2000   2018  while the S P averaged  4 8  per year  our top strategies averaged up to  56 2  per year ,2019-03-07,Zacks Investment Research,https://www.investing.com/analysis/achillion-achn-reports-narrowerthanexpected-loss-in-q4-200395923,200395923
