,id,ticker,title,category,content,date,provider,url,article_id
3973,225488,CSFL,CenterState Banks EPS in line  misses on revenue,news,CenterState Banks   NASDAQ CSFL   Q3 EPS of  0 36 in line Revenue of  79 32M   30 2  Y Y  misses by  3 21M Press ReleaseNow read ,2017-10-24,Seeking Alpha,https://www.investing.com/news/stock-market-news/centerstate-banks-eps-inline-misses-on-revenue-546982,546982
3978,225493,CSFL,CenterState Banks beats by  0 05  beats on revenue,news,CenterState Banks   NASDAQ CSFL   Q2 EPS of  0 37 beats by  0 05 Revenue of  77 99M   25 9  Y Y  beats by  2 94M Press ReleaseNow read ,2017-07-26,Seeking Alpha,"https://www.investing.com/news/stock-market-news/centerstate-banks-beats-by-$0.05,-beats-on-revenue-510080",510080
9922,231437,CSFL,Hilltop Holdings  HTH  Q2 Earnings Miss Estimates  Up Y Y,opinion,"Hilltop Holdings Inc    NYSE HTH   reported second quarter 2016 operating earnings per share of 32 cents  which missed the Zacks Consensus Estimate of 38 cents  Earnings were up 6 67  year over year led by higher non interest income and a decline in total interest expense Net interest income dipped 0 3  year over year to  100 4 million  Non interest income increased 14 8  year over year to  346 million Hilltop incurred provision for loan losses of  28 9 million compared with  0 2 million in the year ago quarter  Total interest expenses came in at  13 8 million  down 7 9  from the year ago quarter  Non interest expenses increased 4  year over year to  367 4 million due to higher employee and compensation benefits HILLTOP HLDGS Price  Consensus and EPS Surprise   Financial UpdateAs of Jun 30  2016  Hilltop s cash and due from banks was  584 million  almost unchanged year over year As of Jun 30  2016  total shareholders  equity was  1 8 billion  up 7 1  year over year  Total assets were  13 1 billion as of the same date  up 4 8  from  12 5 billion as of Jun 30  2015 Total liabilities increased 4 6  year over year to  11 3 billion as of Jun 30  2016  Total deposits increased 4 4  year over year to  7 1 billion Hilltop s annualized return on average assets and return on average equity at the end of the reported quarter were 1 05  and 7 07   respectively  compared with 0 97  and 7 12  as of Jun 30  2015 Profitability MetricsAs of Jun 30  2016  Hilltop s book value was  18 20 per share  up 8 2  year over year   Net interest margin increased to 3 77  at the end of the second quarter from 3 67  as of Mar 31  2016 
Zacks Rank and Other StocksHilltop presently carries a Zacks Rank  4  Sell   Some better ranked stocks include CenterState Banks  Inc    NASDAQ CSFL    Southern National Bancorp of Virginia Inc    NASDAQ SONA   and Trustmark Corporation   NASDAQ TRMK    Each of these stocks sports a Zacks Rank  1  Strong Buy  ",2016-07-28,Zacks Investment Research,"https://www.investing.com/analysis/hilltop-holdings-(hth)-q2-earnings-miss-estimates,-up-y-y-200144614",200144614
9923,231438,CSFL,How To Select Replacement Stocks Mid Contract,opinion,"Exit strategy management for covered call writing and put selling is one of the three required skills  stock selection and option selection are the other two  critical to maximizing our returns  A few of the position management opportunities require exiting a position related to a particular security and then locating a new stock to begin another option selling trade  This article will highlight one way we may choose to use our Premium Stock Report to locate such a replacement stock  I am writing this hypothetical scenario on 12 2 2015 using the most recent Premium Stock Report dated 11 27 2015 

There are many ways to use our reports so keep in m ind that I am presenting just one possible screening process  In this case the investor prioritizes the stock selection as follows 

Price per share    40 00
Industry segment rank of  A 
Scouter rating  currently available only from The Blue Collar Investor  of  9  or  10 

Premium Watch List from 11 27 2015  partial list to fit this article 


Premium Watch List from 11 27 2015


There are two stocks that meet our initial screening requirements  O ATVI and O CSFL but note that CSFL does not have adequate option liquidity   N  in second column from right   Next  let s check to see our potential returns for the remaining twelve trading days in the December contracts 


ATVI Options Chain from 12 2 2015


Next  let s feed this information into the multiple tab of the Ellman Calculator to see if any meet our 12 trading day goal 


Ellman Calculator returns for ATVI


We find that all four of the selected strikes offer significant initial returns for the remainder of the December contracts  The more bullish we are  the higher the strike we would favor and vice versa 


Discussion

Option selling results are enhanced by being diligent regarding position management  Periodically  we will need to locate a replacement stock which will be aided with a high quality watch list and a set of screening parameters as well as return goals  Once a system is established  the process becomes second nature to us and time efficient 


Market tone
Global markets moved up this week in conjunction with a rebound in the financials and energy sectors  The Chicago Board Options Exchange Volatility Index  VIX  fell to 19 5 from 27 5 last week  This weeks reports and other international news of import 
Saudi oil minister Ali Ibrahim Al Naimi said producers will meet in March in hopes of negotiating an output freeze
Business confidence in Germany slipped in February  according to the closely watched Ifo business climate index  The index fell to 105 7 from 107 3 in January
Several large US banks are increasing loan loss reserves in anticipation of more troubled loans to companies in the oil and gas industry
US GDP during the fourth quarter of 2015 was revised upward to 1   up from the 0 7  initial estimate  but still lower than the 2  pace set during the third quarter
For the full year  gross domestic product rose 2 4   matching 2014 s growth rate
The Shanghai Composite Index dropped by 6 4  on Thursday  but global markets did not follow its lead
US Federal Reserve Vice Chair Stanley Fischer said it is too early to assess the impact of recent market volatility on the US economy 
Credit rating agency Moody s this week cut Brazil s sovereign credit rating to Ba2  a two notch downgrade  All three major agencies now rate Brazil below investment grade 
After slumping sharply in December  US durable goods orders bounced back in January  rising 4 9 
Nondefense capital goods orders excluding aircraft  a proxy for capital spending by companies  rose an impressive 3 9 
Consumer prices in the eurozone rose a scant 0 3  on an annualized basis in January  This will keep pressure on the European Central Bank to add additional monetary policy stimulus at its policy setting meeting in March
For the week  the S P 500 increased by 1 58  for a year to date return of    4 69  
Summary
IBD  Market in confirmed uptrend
GMI  3 6  Sell signal since market close of December 10  2015
BCI  I will remain focused primarily in defensive positions  selling out of the money puts and in the money calls in a ratio of 3 to 1 over more aggressive positions ",2016-02-28,Dr. Alan Ellman,https://www.investing.com/analysis/how-to-select-replacement-stocks-mid-contract-200119695,200119695
10500,232015,CSFL,Hancock  HBHC   7 Reasons To Add Stock To Portfolio Now,opinion,At a time when banking stocks are showing resilience and confronting the macro issues upfront  we thought of bringing up a stock from the sector that reflects strong fundamentals  upbeat outlook and solid long term growth opportunity Hancock Holding Company   NASDAQ HBHC   is a regional southeast bank  with a market capitalization of  2 38 billion  In the recently concluded quarter  the company s earnings handily outpaced the Zacks Consensus Estimate Moreover  Hancock has an impressive earnings surprise history  You can see that in the chart below HANCOCK HLDG CO Price and EPS Surprise   Why this Stock is an Attractive Pick Revenue Strength  Hancock s revenue has risen at a compounded annual growth rate   CAGR   of 4 3  over the last five years  2011 2015   The growth is backed by strong loan growth with CAGR of 8 9  over the same time frame Additionally  the company s projected sales growth  F1 F0  of 8 7  ensures continuation of the upward revenue trend Earnings per Share Growth  Hancock has witnessed earnings per share CAGR of 9 3  over the last five years  2011 2015   Further  this earnings momentum will likely continue in the near term as reflected by the company s projected EPS growth  F1 F0  of 4 3  Also  the company s long term  3 5 years  estimated EPS growth rate of 8  promises rewards for investors in the long run Declining Expense Level  Hancock is focused on streamlining its operations in an effort to reduce expenses and improve efficiency  Operating expenses have declined at a 4 year CAGR of 3 1   2012 2015   The company continues targeting further improvement in operating efficiency through additional review of office areas and branch network Strong Leverage  Hancock s debt equity ratio stands at 0 19 compared to the industry average of 0 33  indicating relatively lower debt burden  It indicates the financial stability of the company even in adverse economic conditions Solid Dividend Yield  Hancock s capital deployment activities remain impressive  The company has been paying a regular quarterly dividend of 24 cents per share  Based on yesterday s closing price of  38 91 per share  the company s current dividend yield is 3 17   Additionally  the company has a share repurchase program in place Favorable Zacks Rank  Hancock currently sports a Zacks Rank  1  Strong Buy   This is driven by upward revisions in the Zacks Consensus Estimate over the last 30 days  which rose 24 2  for 2016 and 5 5  for 2017 Rising Share Price  Year to date  Hancock s share price has witnessed an uptrend  surging approximately 20  HANCOCK HLDG CO Price   Other Stocks to ConsiderOther southeast banking stocks worth a look include CenterState Banks  Inc    NASDAQ CSFL    Southern National Bancorp of Virginia Inc    NASDAQ SONA   and State Bank Financial Corporation   NASDAQ STBZ    All three stocks sport the same Zacks Rank as Hancock ,2016-08-11,Zacks Investment Research,https://www.investing.com/analysis/hancock-(hbhc):-7-reasons-to-add-stock-to-portfolio-now-200147383,200147383
10501,232016,CSFL,Hilltop Holdings Hits 52 Week High On Strong Q3 Earnings ,opinion,On Nov 8  2016  the stock of Hilltop Holdings Inc    NYSE HTH   climbed to a 52 week high of  25 18  The upside in the stock is believed to have been driven by a profitable third quarter reported last month as well as some of the recent announcements made by the company Investors favorably viewed the company s third quarter results  which included operating earnings per share of 53 cents that came in line with the Zacks Consensus Estimate and increased 12 8  year over year  This upside came on the back of solid performance by the company s units   PlainsCapital Bank  PrimeLending and HilltopSecurities HILLTOP HLDGS Price and Consensus   The quality of earnings was strong as evident by an 85  year over year decline in provision for loan losses to  4 million  Also  top line of  454 million beat the Zacks Consensus Estimate of  425 million and increased 10 2  year over year owing to growth in non interest income  Return on average assets was 1 69  in the quarter relative to 1 49  in the prior year  Return on average equity was 11 4  relative to 10 97  in the prior year The stock must also have received a boost from the recent announcement that the company will start paying quarterly dividend  for the first time in its history  Its board has authorized a dividend program and declared a quarterly cash dividend of 6 cents per share  The initiation of dividend reflects the company s strong capital position and consistent earnings generation  which cements investors  confidence in its stock Investors also favorably view the recently announced key leadership and organizational changes  which will steer the company toward future growth as well as mergers and acquisitions Hilltop Holdings carries a Zacks Rank  2  Buy  Some other players that excelled in the third quarter include Access National Corporation   NASDAQ ANCX    Carolina Financial Corporation   NASDAQ CARO   and CenterState Banks  Inc    NASDAQ CSFL    All these stocks sport a Zacks Rank  1  Strong Buy   You can see  Zacks  Best Private Investment IdeasIn addition to the recommendations that are available to the public on our website  how would you like to follow all Zacks  private buys and sells in real time Our experts cover all kinds of trades  from value to momentum       from stocks under  10 to ETF and option moves       from stocks that corporate insiders are buying up to companies that are about to report positive earnings surprises  You can even look inside exclusive portfolios that are normally closed to new investors  Starting today  for the next month  you can have unrestricted access ,2016-11-08,Zacks Investment Research,https://www.investing.com/analysis/hilltop-holdings-hits-52-week-high-on-strong-q3-earnings-200163710,200163710
10503,232018,CSFL,CenterState Banks  CSFL   Strong Industry  Solid Earnings Estimate Revisions,opinion,One stock that might be an intriguing choice for investors right now is CenterState Banks  Inc    NASDAQ CSFL    This is because this security in the Banks   Southeast space is seeing solid earnings estimate revision activity  and is in great company from a Zacks Industry Rank perspective This is important because  often times  a rising tide will lift all boats in an industry  as there can be broad trends taking place in a segment that are boosting securities across the board  This is arguably taking place in the Banks   Southeast space as it currently has a Zacks Industry Rank of 74 out of more than 250 industries  suggesting it is well positioned from this perspective  especially when compared to other segments out there Meanwhile  CenterState Banks is actually looking pretty good on its own too  The firm has seen solid earnings estimate revision activity over the past month  suggesting analysts are becoming a bit more bullish on the firm s prospects in both the short and long term CENTERSTATE BNK Price and Consensus   In fact  over the past month  current quarter estimates have risen from 30 cents per share to 31 cents per share  while current year estimates have risen from  1 23 per share to  1 26 per share  This has helped CSFL to earn a Zacks Rank  1  Strong Buy   further underscoring the company s solid position  You can see  So  if you are looking for a decent pick in a strong industry  consider CenterState Banks  Not only is its industry currently in the top third  but it is seeing solid estimate revisions as of late  suggesting it could be a very interesting choice for investors seeking a name in this great industry segment The Best Place to Start Your Stock Search Today  you are invited to download the full  up to the minute list of 220 Zacks Rank  1   Strong Buy   stocks   absolutely free of charge  Since 1988  Zacks Rank  1 stocks have nearly tripled the market  with average gains of  26  per year  Plus  you can access the list of portfolio killing Zacks Rank  5   Strong Sells   and other private research ,2016-11-09,Zacks Investment Research,"https://www.investing.com/analysis/centerstate-banks-(csfl):-strong-industry,-solid-earnings-estimate-revisions-200163899",200163899
10504,232019,CSFL,Here s Why You Should Bet On CenterState Banks  CSFL  Now,opinion,CenterState Banks  Inc    NASDAQ CSFL   can be a solid bet now  backed by its organic and inorganic growth strategies that have placed it well for the future  Also  improving earnings performance and a strong capital and liquidity profile will support its profitability Further  analysts seem to be optimistic about the company s prospects as the stock is witnessing upward estimate revisions  Over the past 30 days  the Zacks Consensus Estimate for the current year has risen 4 4  to  1 43  Backed by these upward estimate revisions  the company currently carries a Zacks Rank  2  Buy  Also  its shares have rallied 38 5  over the past year  outperforming the  s gain of 23 8  Why the Stock is a Solid Pick Earnings Strength  CenterState Banks has recorded an earnings growth rate of 13  over the last three to five years  Continuing with the earnings momentum  the earnings growth rate for the current year is expected to be 40 2  compared with the industry average of 10 7  Revenue Growth  Organic growth remains strong at CenterState Banks  Revenues witnessed a compound annual growth rate of 13 2  over the last five years  2012 2016   Further  the top line is expected to jump 26 2  in 2017 compared with industry average of 2 2  As the company closes its acquisitions of HCBF Holding Company  Inc  and Sunshine Bancorp  Inc  early next year  top line growth is projected to improve further Superior Return on Equity  CenterState Banks has a return on equity of 9 36  compared with the industry average of 8 03   This indicates that the company reinvests more efficiently compared to its peers Strong Leverage  CenterState Banks has debt equity ratio of 0 03 compared with the industry s 0 31  This reflects relatively strong financial health of the company  which will help it perform better than its peers under a dynamic business environment Other Stocks to ConsiderSome other stocks in the same space worth a look are Carolina Financial Corporation   NASDAQ CARO    Green Bancorp  Inc    NASDAQ GNBC   and State Bank Financial Corporation   NASDAQ STBZ    All the stocks sport a Zacks Rank  1  Strong Buy   You can see  Carolina Financial s earnings estimates were revised 4 3  upward for 2017  in the past 30 days  Also  its share price has jumped 56 4  over the past year Earnings estimates for 2017 of Green Bancorp were revised 18 1  upward  over the last 30 days  Further in the past year  its shares have jumped 117 5  State Bank Financial witnessed a 4 9  upward earnings estimates revision for the current year  in the past 30 days  Moreover  in the past year  its shares have gained 16 3  More Stock News  This Is Bigger than the iPhone It could become the mother of all technological revolutions  Apple  NASDAQ AAPL  sold a mere 1 billion iPhones in 10 years but a new breakthrough is expected to generate more than 27 billion devices in just 3 years  creating a  1 7 trillion market Zacks has just released a Special Report that spotlights this fast emerging phenomenon and 6 tickers for taking advantage of it  If you don t buy now  you may kick yourself in 2020 ,2017-08-21,Zacks Investment Research,https://www.investing.com/analysis/heres-why-you-should-bet-on-centerstate-banks-csfl-now-200208472,200208472
10505,232020,CSFL,Here s Why These 4 Bank Stocks Could Rally Post Q3 Results,opinion,"The U S  economy is slowly gaining traction as reflected by the rise in real GDP numbers  declining unemployment rate  improving consumer spending and a stabilizing housing market 
During the third quarter  global M A activities remained strong and are likely to lend support to banking revenues  Also  the effect of June rate hike is expected to be fully reflected on net interest margin this quarter  thereby boosting revenues  On the flip side  loan growth remained soft and trading revenues were weak 
Though the quarter lacked volatility and was affected by hurricanes Harvey and Irma that temporarily curbed activities  the tax policy proposed by the Trump s government has given banking stocks a boost 
Moreover  the Fed s decision to trim its balance sheet slowly and initiate four more rate hikes by the end of 2018 has rekindled hopes of investors over banks  performance 
Per our latest   overall earnings and revenues for the broader  in the third quarter are expected to witness year over year growth of nearly 1  
4 Bank Stocks That Might Rally Post Q3 Results
We have selected four bank stocks that have gained more than 5  since their second quarter earnings release  These banks have also posted earnings surprises in the last three quarters 
Further  these stocks carry a Zacks Rank  1  Strong Buy  or 2  Buy   You can see  
BancFirst Corporation   NASDAQ BANF    Headquartered in Oklahoma City  OK  the company operates as the holding company for BancFirst that provides a range of commercial banking services to retail customers and small to medium sized businesses 
This Zacks  1 Ranked stock has rallied 10 9  since it reported second quarter results on Jul 20 

Zions Bancorporation   NASDAQ ZION    The company offers community banking services  to the small and medium sized business  It also provides corporate banking  commercial and residential development  residential mortgage servicing and lending  It is headquartered in Salt Lake City  UT 
The stock currently carries a Zacks Rank of 2 and has gained 5 8  since it released second  quarter results on Jul 25 

Old National Bancorp   NASDAQ ONB    It operates as the holding company for Old National Bank that provides various financial services to individual and commercial customers in the United States  It is based in Evansville  IN 
It currently sports a Zacks Rank of 1 and has gained 10 8  since the release of second quarter results on Jul 25 

CenterState Banks  Inc    NASDAQ CSFL    The company operates as the holding company for CenterState Bank of Florida  N A  that provides various consumer and commercial banking services to individuals  businesses  and industries in Florida 
The stock currently carries a Zacks Rank of 2  Its shares have gained 6 6  in the little time between its second quarter results and now 

Will You Make a Fortune on the Shift to Electric Cars 
Here s another stock idea to consider  Much like petroleum 150 years ago  lithium power may soon shake the world  creating millionaires and reshaping geo politics  Soon electric vehicles  EVs  may be cheaper than gas guzzlers  Some are already reaching 265 miles on a single charge 
With battery prices plummeting and charging stations set to multiply  one company stands out as the  1 stock to buy according to Zacks research 
It s not the one you think ",2017-10-02,Zacks Investment Research,https://www.investing.com/analysis/heres-why-these-4-bank-stocks-could-rally-post-q3-results-200216803,200216803
10506,232021,CSFL,CenterState Bank  CSFL  Closes Sunshine And HCBF Buyout,opinion,"Continuing on the journey to become the largest bank in Florida  CenterState Bank Corporation   NASDAQ CSFL   recently announced the completion of the acquisition of Sunshine Bancorp and HCBF Holding Company  along with their subsidiaries on Jan 1  2018  The deal is expected to be accretive to CenterState s earnings in mid single digits 
The total deal worth  596 2 million has made CenterState one of the largest community banks in Florida on the basis of deposit market share and branch footprint   
Terms of the Deal
Per the agreement with Sunshine Bancorp  shareholders will receive 0 89 shares of CenterState common stock for each share of Sunshine common stock outstanding 
Further  shareholders of HCBF Holding would receive 0 675 shares of CenterState for each share of HCBF common stock outstanding  Shareholders will also receive  1 925 in cash for each share held previously  Moreover  Michael Brown  Sr   Chairman and Chief Executive Officer of HCBF Holding  has been appointed to the board of directors of CentreState 
Also  subsidiary banks of both the acquired holding companies have been merged into CenterState Bank  N A   immediately post completion 
Acquisition Streak
Lately  CentreState has been involved in a number of acquisitions in Florida with the aim to strengthen its hold in the region In mid 2017  it acquired both Gateway Financial Holdings and Platinum Bank Holding  On a combined basis  the transactions have added  1 5 billion in assets to CenterState and it is anticipated to witness low double digit earnings per share accretion in 2018  after the cost savings are fully phased in 
Further  in 2016  CentreState acquired Hometown of Homestead Banking Company and Community Bank of South Florida 
Our Viewpoint
CentreState s strong balance sheet position supports its involvement in such strategic acquisitions  In addition to helping the company in strengthening its footprint in Florida  the deal will diversify its revenue sources 
Shares of the company have gained 2 6  in a year s time  slightly underperforming the 2 9  growth of the  it belongs to 

Stocks to Consider
Carolina Financial Corporation s   NASDAQ CARO   Zacks Consensus Estimate for earnings for 2017 was revised 1  upward  in the last 60 days  Also  its share price has increased 20 4  in the past 12 months  The stock carries a Zacks Rank  2  Buy  You can see  
First Bancorp   NASDAQ FBNC   currently carries a Zacks Rank of 2  The stock s 2017 earnings estimates were revised 3  upward  in the last 60 days  Further  the company s shares have gained 30 2  in a year s time Hancock Holding Company s   NASDAQ HBHC   Zacks Consensus Estimate for earnings for 2017 have remained stable  over the last 60 days  In the past year  its shares have gained 11 9   Also  it carries a Zacks Rank of 2 
Wall Street s Next Amazon  NASDAQ AMZN 
Zacks EVP Kevin Matras believes this familiar stock has only just begun its climb to become one of the greatest investments of all time  It s a once in a generation opportunity to invest in pure genius ",2018-01-03,Zacks Investment Research,https://www.investing.com/analysis/centerstate-bank-csfl-closes-sunshine-and-hcbf-buyout-200277575,200277575
