,id,ticker,title,category,content,date,provider,url,article_id
1815,223330,DCTHD,Delcath s Melblez Kit Rejected  Profusely  By FDA,opinion,The FDA Oncology Drugs Advisory Committee Meeting held today  May 2nd  2013  to review the NDA submitted by Delcath Systems  DCTH  resulting in 16 0 vote against the Melblez Kit in terms of demonstrated benefits versus potential risks given the clinical trial materials included in briefing materials  2013  The Melblez Kit  which was formerly known as CHEMOSAT  is a hybrid drug device product that utilizes percutaneous hepatic perfusion  PHP  to deliver high doses of a chemotherapeutic agent directly to the liver  The product is designed to reduce the unwanted side effects of chemotherapy as a result of introduction of toxic agents into the rest of patients  bodies while maximizing the efficiency of a chemotherapeutic regimen to patients  livers  Specifically  the company chose Mephalan  aka Alkeran  as its chemotherapeutic agent  From the briefing documents   Melphalan was selected as the chemotherapeutic agent for PHP treatment because it binds melanin precursors  is an alkylating agent with a steep dose response  Teicher et al  1988   and has been used successfully in an analogous regional procedure  IHP  for treating unresectable hepatic metastases from melanoma  Trading was halted just before 1 00 PM EST for shares of DCTH  As initially mentioned on the update on Catalyst Watch update on April 30th  the market had already reduced the valuation of Delcath significantly after the release of the FDA briefing documents  DCTH is already down  47  since Monday s open  although the extremely negative vote on the Melblez NDA is likely to bring the stock even lower  The PDUFA goal date for Melblez isn t until September 13th 2013  While the FDA is not required to follow the advice of the advisory panel  it is extremely likely that Delcath will receive a CRL based on the adverse events that were seen during the clinical development process  The proposed REMS that was submitted along with the Melblez NDA was also deemed insufficient to mitigate the risks of a commercial launch of the Melblez Kit  These risks are outlined with results from Phase I studies   The most common adverse events were hematologic events  including thrombocytopenia  neutropenia  febrile neutropenia  and anemia  and increases in liver function tests  bilirubin  AST  and ALT   Table 26   Thrombocytopenia  neutropenia  and febrile neutropenia were predominantly grade 4 events whereas anemia was predominantly a grade 3 event   Details on the REMS    A REMS for the melphalan PHP System has been issued by FDA to communicate important safety messages and safe use conditions for melphalan PHP treatment to healthcare providers by the following     Informing healthcare providers of the risks of hepatic failure  gastric ulceration  coagulation bleeding diatheses  and procedural complications associated with the melphalan PHP system drug device combination product    Ensuring dispensing of the melphalan PHP system only to specially certified hospitals    Ensuring only appropriately trained and certified team members  interventional radiologist  anesthesiologist  perfusionist  and medical or surgical oncologist  participate in procedural aspects and administration of melphalan PHP treatment As of their latest 10 K filing  reporting the company s balance sheet up to December 31st 2012  the company held  23 7M in cash and cash equivalents and had total stockholder s equity of  20 M  If investors ultimately believe that the Meblez Kit developmental program cannot be salvaged after a CRL  the stock may move closer to an enterprise value of zero  DCTH is likely to open lower tomorrow ,2013-05-03,Myriad Equity,https://www.investing.com/analysis/delcath’s-melblez-kit-rejected-(profusely)-by-fda-165483,165483
1833,223348,DCTHD,Healthcare Gainers   Losers as of 11 00 am,news,Gainers  MDVX  14   SENS  13   THC  9   ARWR  7   DCTH  7  Losers  RVP  32   ROKA  12   CFRX  8   EBIO  6   KURA  6  Now read ,2017-08-18,Seeking Alpha,https://www.investing.com/news/stock-market-news/healthcare-gainers--losers-as-of-1100-am-520170,520170
1838,223353,DCTHD,Healthcare Gainers   Losers as of 11 00 am,news,Gainers  DCTH  75   IMMY  11   IMGN  9   NK  9   AXSM  8  Losers  EGLT  21   CFMS  10   NEOS  7   CVRS  7   RGLS  6  Now read ,2017-06-20,Seeking Alpha,https://www.investing.com/news/stock-market-news/healthcare-gainers---losers-as-of-11:00-am-497327,497327
1839,223354,DCTHD,Midday Gainers   Losers,news,Gainers  DCTH  190   SGOC  32   VSLR  20   AHPI  17   IMGN  13   NK  14   EVI  13   AXSM  13   FLGT  12   CLWT  10  Losers  ZN  19   EGLT  16   ONS  13   YUMA  13   DRYS  12   CRC  11   MBOT  11   CVE  11   HOS  11   SKYS  11   Now read ,2017-06-20,Seeking Alpha,https://www.investing.com/news/stock-market-news/midday-gainers---losers-497382,497382
1840,223355,DCTHD,U S  stocks lower at close of trade  Dow Jones Industrial Average down 0 29 ,news,"Investing com   U S  stocks were lower after the close on Tuesday  as losses in the Oil   Gas  Consumer Services and Industrials sectors led shares lower 
At the close in NYSE  the Dow Jones Industrial Average lost 0 29   while the S P 500 index lost 0 67   and the NASDAQ Composite index fell 0 82  
The best performers of the session on the Dow Jones Industrial Average were Merck   Company Inc  NYSE MRK   which rose 1 33  or 0 85 points to trade at 64 53 at the close  Meanwhile   Pfizer  Inc  NYSE PFE  added 1 02  or 0 34 points to end at 33 56 and  American Express  Company  NYSE AXP  was up 0 77  or 0 63 points to 82 51 in late trade 
The worst performers of the session were  General Electric  Company  NYSE GE   which fell 2 33  or 0 67 points to trade at 28 13 at the close  Intel Corporation  NASDAQ INTC  declined 1 83  or 0 65 points to end at 34 86 and Walt  Disney  Company  NYSE DIS  was down 1 36  or 1 43 points to 103 94 
The top performers on the S P 500 were Regeneron Pharmaceuticals Inc  NASDAQ REGN  which rose 5 02  to 495 33  Alexion Pharmaceuticals Inc  NASDAQ ALXN  which was up 2 49  to settle at 119 05 and  Lennar  Corporation  NYSE LEN  which gained 2 14  to close at 53 87 
The worst performers were Frontier Communications Corporation  NASDAQ FTR  which was down 7 58  to 1 22 in late trade   Chipotle Mexican Grill Inc   NYSE CMG  which lost 7 26  to settle at 425 60 and  ONEOK  Inc  NYSE OKE  which was down 5 40  to 47 50 at the close 
The top performers on the NASDAQ Composite were  Delcath Systems  Inc  NASDAQ DCTH  which rose 122 22  to 0 2200  Dextera Surgical Inc  NASDAQ DXTR  which was up 62 18  to settle at 0 3195 and  Fulgent Genetics Inc   NASDAQ FLGT  which gained 25 56  to close at 6 73 
The worst performers were  Zion Oil   Gas Inc   NASDAQ ZN  which was down 20 00  to 2 200 in late trade   Egalet Corportn   NASDAQ EGLT  which lost 17 77  to settle at 2 36 and  Remark  Holdings Inc  NASDAQ MARK  which was down 16 39  to 1 990 at the close 
Falling stocks outnumbered advancing ones on the New York Stock Exchange by 2254 to 959 and 25 ended unchanged  on the Nasdaq Stock Exchange  1726 fell and 791 advanced  while 105 ended unchanged 
Shares in Regeneron Pharmaceuticals Inc  NASDAQ REGN  rose to 52 week highs  rising 5 02  or 23 66 to 495 33  Shares in American Express Company  NYSE AXP  rose to 52 week highs  up 0 77  or 0 63 to 82 51  Shares in Remark Holdings Inc  NASDAQ MARK  fell to 3 years lows  down 16 39  or 0 390 to 1 990  
The CBOE Volatility Index  which measures the implied volatility of S P 500 options  was up 4 82  to 10 87 
Gold Futures for August delivery was down 0 21  or 2 59 to  1244 11 a troy ounce  Elsewhere in commodities trading  Crude oil for delivery in August fell 2 05  or 0 91 to hit  43 52 a barrel  while the August Brent oil contract fell 1 96  or 0 92 to trade at  45 99 a barrel 
EUR USD was down 0 18  to 1 1129  while USD JPY fell 0 05  to 111 47 
The US Dollar Index Futures was up 0 21  at 97 43 ",2017-06-20,Investing.com,https://www.investing.com/news/stock-market-news/u.s.-stocks-lower-at-close-of-trade;-dow-jones-industrial-average-down-0.29-497470,497470
1841,223356,DCTHD,Healthcare Gainers   Losers as of 11 00 am,news,Gainers  DCTH  47   IMDZ  13   CRIS  13   FLGT  12   IMGN  11  Losers  SKLN  5   RWLK  5   Now read ,2017-06-21,Seeking Alpha,https://www.investing.com/news/stock-market-news/healthcare-gainers---losers-as-of-11:00-am-497824,497824
1857,223372,DCTHD,Delcath continues up move  shares ahead 75 ,news,Back from the dead  Delcath Systems   DCTH  75 3   has been a big winner recently for intrepid investors  Shares are up over 10 fold since early June  The company has yet to prove its percutaneous hepatic perfusion  PHP  technology is a winner  A reverse stock split is coming and  after that  another capital raise Previously  Delcath annual meeting postponed until June 16 to allow more shares to be voted  reverse stock split proposed  shares ahead 65   June 8 Previously  Retrospective study shows treatment benefit of PHP in metastatic ocular melanoma  patients  Delcath up 46   Feb  21 Now read ,2017-06-20,Seeking Alpha,https://www.investing.com/news/stock-market-news/delcath-continues-up-move;-shares-ahead-75-497307,497307
1859,223374,DCTHD,Midday Gainers   Losers,news,Gainers  ENOC  41   DMPI  19   NVIV  18   OBSV  18   ABEO  17   SPWR  15   TCCO  15   VRX  15   TOO  15   MACK  14  Losers  DRYS  29   DCTH  23   KMDA  21   SCS  14   IMDZ  11   MGEN  10   TTOO  9   PZRX  10   FLGT  7   JCAP  7   Now read ,2017-06-22,Seeking Alpha,https://www.investing.com/news/stock-market-news/midday-gainers---losers-498349,498349
1860,223375,DCTHD,U S  stocks mixed at close of trade  Dow Jones Industrial Average down 0 01 ,news,"Investing com   U S  stocks were mixed after the close on Friday  as gains in the Oil   Gas  Technology and Industrials sectors led shares higher while losses in the Utilities  Telecoms and Financials sectors led shares lower 
At the close in NYSE  the Dow Jones Industrial Average declined 0 01   while the S P 500 index added 0 16   and the NASDAQ Composite index gained 0 46  
The best performers of the session on the Dow Jones Industrial Average were  Visa Inc   NYSE V   which rose 1 73  or 1 62 points to trade at 95 58 at the close  Meanwhile   Boeing Co   NYSE BA  added 1 40  or 2 79 points to end at 202 23 and Microsoft Corporation  NASDAQ MSFT  was up 1 35  or 0 95 points to 71 21 in late trade 
The worst performers of the session were  Home Depot  Inc  NYSE HD   which fell 2 68  or 4 17 points to trade at 151 31 at the close   Goldman Sachs Group  Inc  NYSE GS  declined 1 17  or 2 58 points to end at 217 19 and Wal Mart Stores Inc  NYSE WMT  was down 0 90  or 0 68 points to 74 84 
The top performers on the S P 500 were Frontier Communications Corporation  NASDAQ FTR  which rose 8 93  to 1 22   EQT Corporation   NYSE EQT  which was up 8 00  to settle at 56 19 and Southwestern Energy Company  NYSE SWN  which gained 4 23  to close at 5 79 
The worst performers were  Bed Bath   Beyond Inc   NASDAQ BBBY  which was down 12 12  to 29 65 in late trade  Sysco Corporation  NYSE SYY  which lost 5 42  to settle at 49 92 and Whirlpool Corporation  NYSE WHR  which was down 3 32  to 188 68 at the close 
The top performers on the NASDAQ Composite were  AVEO Pharmaceuticals  Inc  NASDAQ AVEO  which rose 71 75  to 1 2500  Marathon Patent Group Inc  NASDAQ MARA  which was up 52 27  to settle at 0 335 and  Portola Pharmaceuticals Inc   NASDAQ PTLA  which gained 46 75  to close at 56 13 
The worst performers were Top Ships Inc  NASDAQ TOPS  which was down 66 67  to 0 8000 in late trade  Sphere 3D Corp  NASDAQ ANY  which lost 33 31  to settle at 0 171 and  Delcath Systems  Inc  NASDAQ DCTH  which was down 32 26  to 0 1600 at the close 
Rising stocks outnumbered declining ones on the New York Stock Exchange by 2146 to 1064 and 35 ended unchanged  on the Nasdaq Stock Exchange  1623 rose and 912 declined  while 81 ended unchanged 
Shares in Bed Bath   Beyond Inc  NASDAQ BBBY  fell to 5 year lows  falling 12 12  or 4 09 to 29 65  Shares in Boeing Co  NYSE BA  rose to all time highs  rising 1 40  or 2 79 to 202 23  Shares in AVEO Pharmaceuticals Inc  NASDAQ AVEO  rose to 52 week highs  up 71 75  or 0 5222 to 1 2500  Shares in Portola Pharmaceuticals Inc  NASDAQ PTLA  rose to 52 week highs  rising 46 75  or 17 88 to 56 13  
The CBOE Volatility Index  which measures the implied volatility of S P 500 options  was down 3 91  to 10 07 
Gold Futures for August delivery was up 0 66  or 8 21 to  1257 61 a troy ounce  Elsewhere in commodities trading  Crude oil for delivery in August rose 0 89  or 0 38 to hit  43 12 a barrel  while the August Brent oil contract rose 1 02  or 0 46 to trade at  45 68 a barrel 
EUR USD was up 0 40  to 1 1197  while USD JPY fell 0 03  to 111 30 
The US Dollar Index Futures was down 0 31  at 96 96 ",2017-06-23,Investing.com,https://www.investing.com/news/stock-market-news/u.s.-stocks-mixed-at-close-of-trade;-dow-jones-industrial-average-down-0.01-498855,498855
1861,223376,DCTHD,U S  stocks lower at close of trade  Dow Jones Industrial Average down 0 33 ,news,"Investing com   U S  stocks were lower after the close on Thursday  as losses in the Utilities  Oil   Gas and Basic Materials sectors led shares lower 
At the close in NYSE  the Dow Jones Industrial Average lost 0 33  to hit a new 1 month low  while the S P 500 index fell 0 30   and the NASDAQ Composite index fell 0 22  
The best performers of the session on the Dow Jones Industrial Average were Boeing Company  NYSE BA   which rose 0 90  or 1 42 points to trade at 159 74 at the close  Meanwhile  UnitedHealth Group Incorporated  NYSE UNH  added 0 50  or 0 79 points to end at 158 53 and  Caterpillar  Inc  NYSE CAT  was up 0 26  or 0 24 points to 93 57 in late trade 
The worst performers of the session were  Exxon Mobil  Corporation  NYSE XOM   which fell 1 73  or 1 49 points to trade at 84 79 at the close  Merck   Company Inc  NYSE MRK  declined 1 63  or 0 99 points to end at 60 17 and  Goldman Sachs Group  Inc  NYSE GS  was down 1 20  or 2 80 points to 231 49 
The top performers on the S P 500 were CSX Corporation  NASDAQ CSX  which rose 22 17  to 45 05  Netflix Inc  NASDAQ NFLX  which was up 4 56  to settle at 139 34 and  Norfolk Southern  Corporation  NYSE NSC  which gained 4 16  to close at 114 54 
The worst performers were Chesapeake Energy Corporation  NYSE CHK  which was down 5 73  to 6 580 in late trade   Western Union  Company  NYSE WU  which lost 3 84  to settle at 21 01 and JB Hunt Transport Services Inc  NASDAQ JBHT  which was down 3 71  to 94 39 at the close 
The top performers on the NASDAQ Composite were Delta Technology Holding Ltd  NASDAQ DELT  which rose 148 58  to 2 1500   NF Energy Saving  Corporation  NASDAQ NFEC  which was up 48 05  to settle at 1 3400 and Bioanalytical Systems Inc  NASDAQ BASI  which gained 35 60  to close at 0 951 
The worst performers were DryShips Inc  NASDAQ DRYS  which was down 34 28  to 1 04 in late trade  Amedica Corp  NASDAQ AMDA  which lost 31 37  to settle at 0 435 and  Delcath Systems  Inc  NASDAQ DCTH  which was down 23 91  to 0 3115 at the close 
Falling stocks outnumbered advancing ones on the New York Stock Exchange by 2288 to 842 and 68 ended unchanged  on the Nasdaq Stock Exchange  1751 fell and 719 advanced  while 111 ended unchanged 
Shares in CSX Corporation  NASDAQ CSX  rose to all time highs  gaining 22 17  or 8 18 to 45 05  Shares in Netflix Inc  NASDAQ NFLX  rose to all time highs  rising 4 56  or 6 08 to 139 34  Shares in Norfolk Southern Corporation  NYSE NSC  rose to 52 week highs  gaining 4 16  or 4 57 to 114 54  Shares in Boeing Company  NYSE BA  rose to all time highs  rising 0 90  or 1 42 to 159 74  Shares in DryShips Inc  NASDAQ DRYS  fell to 5 year lows  falling 34 28  or 0 55 to 1 04  Shares in Amedica Corp  NASDAQ AMDA  fell to all time lows  down 31 37  or 0 199 to 0 435  Shares in Delcath Systems Inc  NASDAQ DCTH  fell to all time lows  falling 23 91  or 0 0979 to 0 3115  
The CBOE Volatility Index  which measures the implied volatility of S P 500 options  was up 4 89  to 13 09 
Gold for February delivery was down 0 60  or 7 25 to  1204 85 a troy ounce  Elsewhere in commodities trading  Crude oil for delivery in February rose 0 59  or 0 30 to hit  51 38 a barrel  while the March Brent oil contract rose 0 52  or 0 28 to trade at  54 20 a barrel 
EUR USD was up 0 25  to 1 0657  while USD JPY rose 0 16  to 114 84 
The US Dollar Index was down 0 15  at 101 16 ",2017-01-19,Investing.com,https://www.investing.com/news/stock-market-news/u.s.-stocks-lower-at-close-of-trade;-dow-jones-industrial-average-down-0.33-454435,454435
