,id,ticker,title,category,content,date,provider,url,article_id
1556,223071,DUSA,ETFs To Profit If UTX Rockwell Deal Sees The Light Of Day,opinion,"Word is that airline equipment behemoth United Technologies Corp    NYSE UTX   is about to reach an agreement to acquire the maker of aviation electronics Rockwell Collins Inc    NYSE COL   for over  20 billion  as reported by Wall Street Journal  quoted on  
The deal price is pegged at around  140 per share  marking a 9 4  premium over Rockwell Collins  closing price as of August 28  The duo might announce a deal as soon as this weekend  the Wall Street Journal reported on August 29 
On the same day  shares of Rockwell Collins gained about 2 2  while United Technologies advanced about 2 9  
Earlier this month  an article published on also talked about the possibility of this deal  The article highlighted an aerospace consultant s comment that that the deal  would bring together the largest and fourth largest aircraft parts suppliers  
Investors should note that Rockwell Collins has a Zacks Rank  3  Hold   The VGM  Value  Growth  Momentum  Score of the stock is D  The Zacks Industry Rank is in the top 42  while the Zacks Sector Rank is in the top 13  
United Technologies has a Zacks Rank  3 with VGM Score of B  However  the company operates in a sector which is in the bottom 13   Zacks Industry Rank is in the bottom 42  
Needless to say  if the deal materializes  it will boost the aerospace space  This is especially because both the companies have considerable exposure to aerospace and defense ETFs 
iShares U S  Aerospace   Defense ETF   HM ITA  
United Technologies  7 81   and Rockwell Collins  4 33   get places in the top 10 holdings of the fund  making up for about 12  of the fund  The fund has a Zacks ETF Rank  1  Strong Buy   read    
PowerShares Aerospace   Defense 
The 53 stock fund puts about 6 13  weight in United Technologies   which is the fund s fifth holding  Rockwell Collins takes up about 4 4  of the fund  occupying the eighth position  The fund has a Zacks ETF Rank  1 
Davis Select U S  Equity ETF   NASDAQ DUSA  
The fund looks to track the long term capital growth and capital preservation by investing at least 80  of the net assets plus any borrowings for investment purposes in equity securities issued by U S  companies  United Technologies takes the fourth spot in the fund with about 6 95  weight   
Industrial Select Sector SPDR Fund 
United Technologies  4 03   gets a position in the top 10 holdings  see  here    
SPDR Dow Jones Industrial Average ETF   V DIA   
UTX accounts for about 3 62  of the fund  read    
SPDR S P Aerospace   Defense ETF   LON XAR   
Rockwell Collins takes the third spot in the Zacks Rank  1 fund with about 4 52  weight  while UTX covers 3 46  of the fund 
Want key ETF info delivered straight to your inbox Zacks  free Fund Newsletter will brief you on top news and analysis  as well as top performing ETFs  each week ",2017-08-30,Zacks Investment Research,https://www.investing.com/analysis/etfs-to-profit-if-utxrockwell-deal-sees-the-light-of-day-200210559,200210559
1605,223120,DUSA,Large Cap Blend Style 2Q18  Best And Worst ,opinion,"The Large Cap Blend style ranks first out of the twelve fund styles as detailed in our  report    the Large Cap Blend style ranked first as well  It gets our Very Attractive rating  which is based on an aggregation of ratings of 86 ETFs and 869 mutual funds in the Large Cap Blend style as of April 17  2018  See a recap of our 
Figures 1 and 2 show the five best and worst rated ETFs and mutual funds in the style  Not all Large Cap Blend style ETFs and mutual funds are created the same  The number of holdings varies widely  from 8 to 1648   This variation creates drastically different investment implications and  therefore  ratings 
Investors seeking exposure to the Large Cap Blend style should buy one of the Attractive or better rated ETFs or mutual funds from Figures 1 and 2 
Our  empowers our unique  which leverages our rigorous analysis of each fund s holdings  We think advisors and investors focused on prudent investment decisions should include analysis of fund holdings in their research process for ETFs and mutual funds 
Figure 1  ETFs with the Best and Worst Ratings   Top 5


  Best ETFs exclude ETFs with TNAs less than  100 million for inadequate liquidity 
Sources  New Constructs  LLC and company filings
Pacer US Cash Cows 100  NYSE COWZ  and State Street SPDR MSCI USA StrategicFactors ETF  NYSE QUS  are excluded from Figure 1 because their total net assets  TNA  are below  100 million and do not meet our liquidity minimums 
Figure 2  Mutual Funds with the Best and Worst Ratings   Top 5


  Best mutual funds exclude funds with TNAs less than  100 million for inadequate liquidity 
Sources  New Constructs  LLC and company filings
Six mutual funds are excluded from Figure 2 because their total net assets  TNA  are below  100 million and do not meet our liquidity minimums 
IQ Chaikin US Large Cap  NASDAQ CLRG  is the top rated Large Cap Blend ETF and Fidelity Dividend Growth K is the top rated Large Cap Blend mutual fund  Both earn a Very Attractive rating 
Davis Select US Equity  NASDAQ DUSA  is the worst rated Large Cap Blend ETF and Avondale Core Investment Fund  COREX  is the worst rated Large Cap Blend mutual fund  DUSA earns an Unattractive rating and COREX earns a Very Unattractive rating 
The Danger Within
Buying a fund without analyzing its holdings is like buying a stock without analyzing its business and finances  Put another way  research on fund holdings is necessary due diligence because a fund s performance is only as good as its holdings  performance  Don t just take our word for it   on this matter 
PERFORMANCE OF HOLDINGs   PERFORMANCE OF FUND
Analyzing each holding within funds is no small task  Our  enables us to perform this diligence with scale and provide the  to fulfill the fiduciary duty of care  More of the biggest names in the financial industry  see   are now embracing technology to leverage machines in the investment research process  Technology may be the only solution to the dual mandate for research  cut costs and fulfill the fiduciary duty of care  Investors  clients  advisors and analysts deserve the latest in technology to get the diligence required to make prudent investment decisions 
Figures 3 and 4 show the rating landscape of all Large Cap Blend ETFs and mutual funds 
Figure 3  Separating the Best ETFs From the Worst Funds



Sources  New Constructs  LLC and company filings
Figure 4  Separating the Best Mutual Funds from the Worst Funds


Sources  New Constructs  LLC and company filings
Disclosure  David Trainer and Kyle Guske II receive no compensation to write about any specific stock  style  or theme ",2018-05-29,David Trainer,https://www.investing.com/analysis/large-cap-blend-style-2q18-best-and-worst-200320060,200320060
1631,223146,DUSA,Investors pull out record amounts from stock  real estate  muni ETFs  Bloomberg,news,Adjusting to U S  Treasury yields at seven year highs  investors are taking record amounts of cash out of large cap  municipal bond  and REIT exchange traded fundsAbout  2 7B  or 12  of assets  was pulled out of the  18 3B iShares Russell 1000 ETF  IWB  0 1   on Monday  its largest outflow since it began 18 years ago  The ETF tracks the Russell 1000 Index  made up of the largest 1 000 companies in the Russell 3000 Index An outflow of  464M from iShares Cohen   Steers REIT ETF  ICF  0 1    was its biggest outflow  amounting to about 19  of its assets  iShares U S  Real Estate ETF  IYR  0 2   had  87M get pulled on Monday  resulting in outflows for the week of more than  834M For municipal bond ETFs  Vanguard Tax Exempt Bond ETF  VTEB   the market s third largest fund tracking municipal bonds  experienced an outflow of  25M on Monday  the largest since the  3 6B fund started three years ago  Investors yanked  9 5B last week from BlackRock s  9 5B iShares National Muni Bond ETF  MUB   the largest muni ETF Previously  Treasury yield high weighs on futures  Oct  9 ETFs  CRF  USA  SCHX  ZF  VV  FEX  JKD  EQL  EEH  IWL  FWDD  SYE  JHML  GSEW  ESGL  HUSV  CHGX  USSD  DUSA  USWD  BIBL  PMOM  VNQ  IYR  RQI  SCHH  RNP  RFI  KBWY  DRN  NRO  URE  ICF  XLRE  JRS  RWR  SRS  FREL  DRA  MUNI  DRV  RIF  SBI  MUI  ITM  NID  LRET  REK  RIT  FRI  NBH  FTY  PSR  USRT  FPT  WREI  IARAX  RORE  ITMS  BBRE  EVLMC  FLMI  PPTYNow read ,2018-10-09,Seeking Alpha,https://www.investing.com/news/stock-market-news/investors-pull-out-record-amounts-from-stock-real-estate-muni-etfs-bloomberg-1637421,1637421
1636,223151,DUSA,Stock futures decline  gold up after FBI Director Comey fired,news,Stock futures are on the decline this evening following news of the abrupt firing of FBI Director James Comey  Comey was informed by President Trump that he was being terminated on the clear recommendation of Deputy Attorney General Rod Rosenstein and Attorney General Jeff Sessions  who had previously recused himself from investigating any connections between Trump and Russia   Documents released by the White House point to Comey s handling of the investigation into Hillary Clinton s e mails as the reason for the firing  The news is likely to soak up oxygen in Washington and at least put a crimp in plans to reform healthcare and taxes  This  after the VIX hit a 24 year low  S P e Mini futures are down 0 2  and Dow futures down 0 22   Meanwhile  30 year Treasury futures are up 0 2  and 10 year futures up 0 13   Gold has risen by  8 50  to  1 224 60 and silver up 0 83  to  16 20 ETFs  GLD  SLV  IAU  AGQ  CEF  PSLV  PHYS  USLV  SIVR  PPLT  PALL  SGOL  ZSL  UGL  CRF  DGP  GTU  SPPP  UGLD  GLL  DZZ  SLVO  GLDI  SCHX  VV  USA  DSLV  OUNZ  DGL  GLTR  DBS  DGZ  DGLD  PTM  ZF  DBP  PGM  FEX  JKD  GYEN  USV  GEUR  EEH  JJP  UBG  EQL  IWL  BLNG  FWDD  SYE  JHML  QGLDX  USSD  DULL  DUSA  ESGL  GHE  GHS  GLDW  HUSV  SHNY  USWD  SPY  DIA  QQQ Now read ,2017-05-09,Seeking Alpha,"https://www.investing.com/news/stock-market-news/stock-futures-decline,-gold-up-after-fbi-director-comey-fired-482139",482139
1637,223152,DUSA,U S    Tweaking  NAFTA not enough,news," I want to be clear   President Trump  is not interested in a mere tweaking of a few provisions and a couple of updated chapters   U S  Trade Representative Robert Lighthizer said as discussions began to amend NAFTA 
 We need to assure that the huge deficits do not continue  and we have balance and reciprocity    NAFTA has fundamentally failed many  many Americans and needs major improvement  
ETFs  EWW  EWC  FXC  CRF  MXF  SCHX  USA  ZF  VV  MXE  FEX  JKD  CNDA  EQL  UMX  DBMX  EEH  EWCS  HEWW  IWL  SMK  QCAN  FCAN  QMEX  FWDD  SYE  JHML  HUSV  DUSA  USSD  ESGL  HEWC  USWD
Now read ",2017-08-17,Seeking Alpha,https://www.investing.com/news/economy-news/us-tweaking-nafta-not-enough-519570,519570
1638,223153,DUSA,Bounce from beats not as good as usual   BAML,news,It s still early in earnings season  but those companies posting Q3 beats have outperformed the S P 500 by an average of just 8 basis points the next day  according to BAML  That s the second lowest post earnings boost since the financial crisis  says their team The obvious reason  Stocks have rallied hard into the Q3 reports  Something more than an earnings beat will be required for the next catalyst higher ETFs  CRF  SCHX  USA  ZF  VV  FEX  JKD  EQL  EEH  IWL  FWDD  SYE  JHML  HUSV  DUSA  USSD  ESGL  USWD  GSEWNow read ,2017-10-23,Seeking Alpha,https://www.investing.com/news/stock-market-news/bounce-from-beats-not-as-good-as-usual--baml-545919,545919
1639,223154,DUSA,CEBR  China economy to become No 1,news,India looks set to leapfrog Britain and France next year to become the world s fifth largest economy in dollar terms  according to a report by the Center for Economics and Business Research India s ascent is part of a trend that will see Asian economies increasingly dominate the top 10 largest economies over the next 15 years CEBR also predicted that China will overtake the U S  as the world s No 1 economy in 2032 ETFs  FXI  EPI  KWEB  ASHR  CRF  INDA  YINN  INDY  CAF  USA  EWH  SCIF  CQQQ  YANG  INDL  MCHI  GXC  SCHX  FXP  ZF  PGJ  CN  PIN  KBA  SMIN  TAO  INXX  CHIQ  IIF  VV  HAO  CHIX  INP  TDF  QQQC  INCO  PEK  CHN  SCIN  CWEB  CXSE  CHAU  XPP  CNXT  ASHS  AFTY  CHAD  FCA  YAO  YXI  FEX  GCH  ECNS  CHIM  JKD  CHII  CHIE  KFYP  EQL  EWHS  EEH  JFC  FCHI  OBOR  ASHX  CNYA  FHK  IWL  HAHA  XINA  FWDD  CNHX  SYE  JHML  GSEW  KGRN  ESGL  HUSV  CHGX  USSD  DUSA  USWD  PMOM  WCHNNow read ,2017-12-26,Seeking Alpha,https://www.investing.com/news/stock-market-news/cebr-china-economy-to-become-no1-1028900,1028900
1640,223155,DUSA,Tepper  Stocks aren t expensive,news, Explain to me where this market is rich   David Tepper asks his hosts on CNBC   It s not rich with the tax thing that just changed earnings projections  Add boosted earnings to still low inflation and interest rates  and Tepper suggests the market isn t much more expensive than a year ago at this time  The market can t go down until the bond market gets hit  ETFs  CRF  USA  SCHX  ZF  VV  FEX  JKD  EQL  EEH  IWL  FWDD  SYE  JHML  GSEW  ESGL  HUSV  CHGX  USSD  DUSA  USWD  PMOMNow read ,2018-01-04,Seeking Alpha,https://www.investing.com/news/stock-market-news/tepper-stocks-arent-expensive-1063339,1063339
1641,223156,DUSA,BAML sell indicator flashing bright red,news,Investors poured  33 2B into equity funds last week  the most on record according to a Bank of America  NYSE BAC  report  citing EPFR data  U S  stocks drew  7B  European  4 6B  the largest in 37 weeks   and emerging markets  8 1B  2nd largest amount ever  The rush has helped spark BAML s  Bull   Bear  indicator to its highest sell signal in nearly five years  Before selling  investors may want to consider that the S P 500 rose 19  in the 12 months after 2013 s sell signal  For their part  BAML strategists are calling for just a  tactical pullback  Source  Cormac Mullen at BloombergETFs  CRF  USA  SCHX  ZF  VV  FEX  JKD  EQL  EEH  IWL  FWDD  SYE  JHML  GSEW  ESGL  HUSV  CHGX  USSD  DUSA  USWD  BIBL  PMOMNow read ,2018-01-26,Seeking Alpha,https://www.investing.com/news/stock-market-news/baml-sell-indicator-flashing-bright-red-1157062,1157062
1642,223157,DUSA,Goldman s buying the dip,news,Goldman s David Kostin isn t seeing a specific catalyst for the panicky action in stocks yesterday  but does note the stumble in markets is occurring when a high percentage of companies are in a blackout period for share repurchases Stock returns tend to be lower during these periods  says Kostin  and volatility has tended to be higher In the end  Kostin and team see no change to the fundamentals behind the bull market  and reiterate their year end S P 500 target of 2 850  7  upside  Source  BloombergETFs  CRF  USA  SCHX  ZF  VV  FEX  JKD  EQL  EEH  IWL  FWDD  SYE  JHML  GSEW  ESGL  HUSV  CHGX  USSD  DUSA  USWD  BIBL  PMOMNow read ,2018-02-06,Seeking Alpha,https://www.investing.com/news/stock-market-news/goldmans-buying-the-dip-1204742,1204742
