,id,ticker,title,category,content,date,provider,url,article_id
217996,439512,EBAY,NYSE Parent No Longer Considering eBay Merger,news,"Just days after the informal negotiations were revealed  Intercontinental Exchange  NYSE ICE   the parent of the NYSE  has said it is no longer interested in pursuing an acquisition of eBay  NASDAQ EBAY   
Having defended its pursuit of the online marketplace to investors during its earnings conference call who were apparently less than thrilled  the stock exchange operator said it was no longer interested in a deal  
 Based on investor conversations following today s ICE earnings call  ICE has decided to cease exploring strategic opportunities with eBay   it said in a statement  But that s OK  because eBay apparently wasn t interested in selling itself anyway 

Just an exchange of ideas
eBay has been under pressure from activist investor Starboard Value to sell parts of its business  Just days ago it published a letter calling on management to divest its classified ads business so that it could  return to its roots in targeting its historical core buyer universe of  self expressionists and treasure hunters   
eBay has been in turmoil for some time and is without a chief executive officer  which would make it a prime target for a takeover effort  But that doesn t mean it wanted it 
According to ICE CEO Jeff Sprecher   Curiosity  and the fact that we know people there  led us to open a dialogue  And that s kind of the end of the story   since the pitch apparently fell on deaf ears 
eBay s stock is down by 4  in morning trading while shares of ICE are up by a like amount  a reversal of when the news broke and the tech stock s investors were heartened by the news and ICE investors aghast ",2020-02-07,The Motley Fool,https://invst.ly/psiu3,2079343
217997,439513,EBAY,Stocks making the biggest moves midday  Uber  eBay  T Mobile   more,news,Check out the companies making headlines in midday trading on Friday Uber Technologies   Shares of Uber popped more than 9   on pace for its best day ever since its IPO in May  after the ride hailing company said it forecast reaching a key profitability goal sooner than expected  CEO Dara Khosrowshahi said Uber would move its EBITDA profitability target to Q4 2020 from a previous goal of becoming profitable by the end of 2021  The company also reported a better than expected loss per share Wynn Resorts   Wynn Resorts dropped 3 1   bringing its one month losses to more than 8   as its business continues to be impacted by the coronavirus due to restricted travel in China and around the world  Hotel and cruise line companies have been taking the hardest hits from the deadly epidemic  with Las Vegas Sands and Carnival falling 4  and 12   respectively  in the past month Activision   The video game maker s shares rose over 2  after the company reported fourth quarter earnings of  1 23 a share  stronger than the  1 19 a share Wall Street expected  according to a Refinitiv survey  Activision also raised its dividend by 11  to 41 cents a share  although its forecast of fiscal year earnings and revenue were below analysts  expectations according to FactSet T Mobile   Shares rose more than 2  after the company reported fourth quarter earnings that beat analysts  expectations on the top and bottom line  Revenue came in at  11 88 billion  which was ahead of the  11 82 billion analysts had been expecting  according to estimates from FactSet  The mobile service provider earned 87 cents per share in the quarter  which topped the consensus estimate of 83 cents eBay   eBay slumped 3 5  on Friday after NYSE parent company Intercontinental Exchange announced that it would not continue to explore a possible acquisition of the e commerce company  The stock had jumped sharply on Tuesday after the potential deal was reported  Shares are still trading above where they closed on Monday Pinterest   Pinterest rose more than 12  in midday trading after the company reported better than expected profit and revenue for the fourth quarter  Analysts were pleased to see that Pinterest continued to invest in efforts to monetize its platform as well as improvements to its shopping features   Because of the timing of new product rollouts  ad tech improvements  and focus on self serve tools  among other key areas of focus  we may continue to see variability in growth rates  but overall we see Pinterest s continued focus to drive shoppability on its site  and tie together top of funnel consumer behavior with transactability as a unique opportunity   wrote Wedbush analyst Ygal Arounian Canada Goose   Canada Goose shares dropped more than 4  after the Canadian clothing company issued weaker than forecast guidance for fiscal 2020  The company expects earnings per share to range between 1 33 Canadian dollars per share and CA 1 37 per share  That s below a FactSet estimate of CA 1 65 per share   CNBC s Yun Li  Pippa Stevens  Michael Sheetz  Fred Imbert and Jesse Pound contributed reporting ,2020-02-07,CNBC,https://invst.ly/pskor,2079493
217998,439514,EBAY,Google takes on EU in court over record antitrust fines,news,By Foo Yun Chee BRUSSELS  Reuters    Google  O GOOGL  will on Wednesday seek to overturn the first of three hefty European Union antitrust fines at Europe s second highest court in a landmark case that could determine how EU enforcers take on U S  tech giants for abuse of market power  The company will lay out its arguments against a 2 4 billion euro   2 6 billion  fine handed out by the European Commission during a three day hearing at the General Court  EU regulators said this penalty was for Google s favoring its own price comparison shopping service to the disadvantage of smaller European rivals   The EU has fined Google a total of 8 25 billion euros in three separate cases  including one involving its Android smartphone operating system  This is four times more than its rival Microsoft s  O MSFT  EU fines of 2 2 billion euros  Both companies  regulatory troubles in Europe have lasted a decade  Google is expected to launch a three pronged attack against the Commission s 2017 decision which also included an order to treat competitors equally   It is wrong on the law  the facts  and the economics  Shopping ads have always helped people find the products they are looking for quickly and easily  and helped merchants to reach potential customers   Google said in a statement  The key issue is whether self preferencing is anti competitive and whether Amazon  O AMZN  and eBay  O EBAY  should be counted as Google s rivals  For rivals  the case centers on Google s role as a central online gatekeeper   Google s search service acts as a de facto kingmaker  If you are not found  the rest cannot follow  No company should be allows to abuse such position to promote its own services at the detriment of competitors and consumers alike   said lawyer Thomas Hoppner who advises clients who are critical of Google   The judgement will have repercussions for a large variety of industries that depend on fair ranking of their services on Google Search   he said  The court ruling is likely to come next year   In the meantime  Margrethe Vestager in her new beefed up role as Europe s digital chief will not be idle  She is set to announce several proposals in the coming months to rein in dominant U S  online groups amid push back by the United States and the companies ,2020-02-11,Reuters,https://www.investing.com/news/stock-market-news/google-takes-on-eu-in-court-over-record-antitrust-fines-2082305,2082305
217999,439515,EBAY,Shopify hits record high on better than expected 2020 sales forecast,news," Reuters    Canadian e commerce company Shopify Inc s  TO SHOP   N SHOP  full year revenue forecast above analysts  estimates and better than expected quarterly earnings on higher holiday sales  pushed its shares to a record high on Wednesday  Last year  the company set aside over  1 billion to strengthen its delivery network in its biggest market  the United States  which is dominated by bigger rivals Amazon com Inc  O AMZN  and eBay Inc  O EBAY   Shopify has been investing in warehouse technologies such as machine learning and robotics and in October  bought warehouse technology provider 6 River Systems for about  450 million  The company is trying to be more than just an e commerce platform  Wedbush analyst Ygal Arounian said  adding that it is aiming to offer warehouse robotics  easy delivery through fulfillment centers  and everything else that merchants need to succeed   Gross merchandise volume  GMV   a metric used in the e commerce sector to measure transaction volumes  rose 47  to  20 6 billion in the fourth quarter  edging past estimates of  20 03 billion   The coronavirus outbreak did not have a material impact on Shopify s GMV  Chief Financial Officer Amy Shapero said in a post earnings call  The company would invest and focus more on expanding outside the U S  and Canada  Shapero said   It forecast 2020 revenue in the range of  2 13 billion to  2 16 billion  above the average analyst estimate of  2 11 billion  according to IBES data from Refinitiv  Ottawa based Shopify posted net income of  771 000  or 1 cent per share  for the quarter ended Dec  31  compared with net loss of  1 5 million  or 1 cent per share  a year earlier  Excluding items  it earned 43 cents per share  easily beating the average estimate of 23 cents per share  Total revenue jumped 47  to  505 2 million and beat estimates of  482 5 million  The company reported worldwide sales of over  2 9 billion between Black Friday and Cyber Monday  up about 61  from the same period in 2018  
U S  listed shares of the company were up nearly 18  at  580 in morning trade ",2020-02-13,Reuters,https://www.investing.com/news/stock-market-news/shopify-beats-quarterly-revenue-estimates-on-higher-sales-2082728,2082728
218000,439516,EBAY,Earnings Estimates Moving Higher For EBay  EBAY   Time To Buy ,opinion,"EBay  EBAY  could be a solid addition to your portfolio given a notable revision in the company s earnings estimates  While the stock has been gaining lately  the trend might continue since its earnings outlook is still improving 
The rising trend in estimate revisions  which is a result of growing analyst optimism on the earnings prospects of this e commerce company  should get reflected in its stock price  After all  empirical research shows a strong correlation between trends in earnings estimate revisions and near term stock price movements  This insight is at the core of our stock rating tool    the Zacks Rank 
The five grade Zacks Rank system  which ranges from a Zacks Rank  1  Strong Buy  to a Zacks Rank  5  Strong Sell   has an impressive externally audited track record of outperformance  with Zacks  1 Ranked stocks generating an average annual return of  25  since 2008 
Consensus earnings estimates for the next quarter and full year have moved considerably higher for eBay  as there has been strong agreement among the covering analysts in raising estimates 
The chart below shows the evolution of forward 12 month Zacks Consensus EPS estimate 
12 Month EPS

Current Quarter Estimate Revisions
The earnings estimate of  0 72 per share for the current quarter represents a change of  7 46  from the number reported a year ago 
Over the last 30 days  seven estimates have moved higher for eBay while one has gone lower  As a result  the Zacks Consensus Estimate has increased 5 09  
Current Year Estimate Revisions
For the full year  the earnings estimate of  3 02 per share represents a change of  6 71  from the year ago number 
In terms of estimate revisions  the trend for the current year also appears quite encouraging for eBay  Over the past month  12 estimates have moved higher compared to two negative revisions  helping the consensus estimate increase 5 44  
Favorable Zacks Rank
Thanks to promising estimate revisions  eBay currently carries a Zacks Rank  2  Buy   The Zacks Rank is a tried and tested rating tool that helps investors effectively harness the power of earnings estimate revisions and make the right investment decision  You can see the complete list of today s Zacks  1 Rank  Strong Buy  stocks here 
Our research shows that stocks with Zacks Rank  1  Strong Buy  and 2  Buy  significantly outperform the S P 500 
Bottom Line
eBay shares have added 5  over the past four weeks  suggesting that investors are betting on its impressive estimate revisions  So  you may consider adding it to your portfolio right away to benefit from its earnings growth prospects ",2020-02-05,Zacks Investment Research,https://www.investing.com/analysis/earnings-estimates-moving-higher-for-ebay-ebay-time-to-buy-200504949,200504949
218001,439517,EBAY,Tesla  Disney  Snapchat  EBay  It s All Good News ,opinion,"Tesla s   NASDAQ TSLA   story has overshadowed earnings season all week by their tremendous gain  but oddly other companies are having another issue  Disney   NYSE DIS   for example beat earnings but didn t see a nice bounce  neither did Snapchat   NYSE SNAP    Surprising considering their DAU base grew more than expected 
We take questions and come up with answers on this episode of Paper Traders  Check out the episode to see what else we touch on and while you re there  like  subscribe drop a comment or tell us to get off the web  We want to hear from you 
The Best Place to Start Your Stock SearchToday  you are invited to download the full list of 220 Zacks Rank  1   Strong Buy   stocks   absolutely free of charge  Since 1988  Zacks Rank  1 stocks have nearly tripled the market  with average gains of  26  per year  Plus  you can access the list of portfolio killing Zacks Rank  5   Strong Sells   and other private research ",2020-02-05,Zacks Investment Research,https://www.investing.com/analysis/tesla-disney-snapchat-ebay-its-all-good-news-200505003,200505003
218002,439518,EBAY,MercadoLibre  MELI  Reports Loss In Q4  Revenues Improve Y Y,opinion,"MercadoLibre  Inc    NASDAQ MELI   reported fourth quarter 2019 loss of  1 11 per share  missing the Zacks Consensus Estimate of a loss of 69 cents  Moreover  the figure is wider than a loss of 5 cents and 97 cents reported in the year ago quarter and previous quarter  respectively Mounting marketing spending affected the company s profitability during the reported quarter Revenues improved 11 8  sequentially and 57 5  on a year over year basis  84 4  on an FX neutral basis  to  674 3 million  Further  the figure surpassed the Zacks Consensus Estimate of  668 million The top line was driven by accelerating marketplace and non marketplace revenues  which grew 55 3  and 60  year over year  respectively  Further  increasing total payments volume  TPV  on the back of robust Mercado Pago and mobile point of sale  MPOS  business remained a major positive  Moreover  solid TPV growth via Mobile wallet across Brazil  Argentina and Mexico remains a major positive Additionally  strong performance of Mercado Fondo and Mercado Credito contributed to the results Further  the company s rising gross merchandise volume  GMV   courtesy of robust e commerce platform was tailwind  Also  strong momentum across free shipment program led to robust shipments growth via Mercado Envios during the reported quarter Notably  shares of the company plunged 2 2  following wider than expected fourth quarter loss Nevertheless  the company s well performing FinTech and logistics businesses drove the top line  Further  its strong focus toward delivering enhanced user experience remains a positive  All these are expected to instill optimism in the stock Coming to the price performance  MercadoLibre has gained 80 7  over a year  outperforming the  s rally of 20 4  Quarter in DetailBrazil  Net revenues in the fourth quarter were  428 3 million  63 5  of total revenues   up 61 4  year over year  This can be attributed to improved gross billings  which surged 29 5  on a year over year basis  Further  gross merchandise volume  GMV  improved 23  year over year  owing to growing number of items sold in this region However  the company witnessed weak momentum in Brazil across Black Friday or seasonal campaign Argentina  This market generated revenues of  132 4 million  19 6  of revenues   which climbed 45 8  year over year  Gross billings in this country improved 40 9  from the year ago quarter  Further  the company witnessed solid growth in GMV in this country  which soared 109  year over year owing to robust marketing campaigns Mexico  Net revenues in the reported quarter were  84 8 million  12 6  of revenues   up 86 4  year over year  This was primarily came on the back of robust GMV  which improved 53  from the prior year quarter that can be attributed to solid execution of fulfillment operations  marketing investments and product assortment  Additionally  gross billings were up 91 1  from the year ago quarter Other countries  These markets generated revenues of  28 7 million  4 3  of total revenues   surging 9 1  on a year over year basis  The company s gross billings in these countries were up 9 8  on a year over year basis  GMV growth was flat on a year over year basis MercadoLibre  Inc  Price  Consensus and EPS Surprise     
Key MetricsGMV of  3 9 billion improved 19 7  year over year and 39 7  on FX neutral basis Total confirmed registered users at the end of the reported quarter were 320 6 million  improving 19 9  year over year  However  new confirmed registered users during the period were 14 6 million  declining 22 3  on a year over year basis Number of successful items sold was 109 5 million  up 27 9  year over year  Moreover  number of successful items shipped surged 49 1  year over year to 92 6 million  This can be attributed to strong performance of MercadoEnvios and optimization strategies for the company s free shipping program Total payment volume  TPV  was up 63 5  on a year over year basis to  8 7 billion  driven by strong performance of MercadoPago in off platform payments volume  online to offline   which grew 121 3  from the year ago quarter  Further  the company gained traction in QR payments in Brazil and Mexico  which was a positive Additionally  MPOS business witnessed TPV growth of 126 1  year over year  Further  rapid adoption of MercadoLibre s Mobile Wallet generated  1 3 billion in transactions  This marked the first time it crossed  1 billion mark and contributed significantly to the results TPV on marketplace was  3 7 billion  up 23 9  year over year  Further  total payments transactions increased 127 3  year over year to 285 5 million Unique buyers improved 26 8  year over year to 24 1 million  Moreover  unique sellers were 4 2 million  up 2 4  from the prior year quarter Operating DetailsFor the fourth quarter  gross margin was 45 7   contracting 210 basis points  bps  year over year  This can be attributed to rising warehousing costs and inventory costs on account of strong sales of MPOS devices Operating expenses as a percentage of total revenues came in 55 9   expanding significantly by 790 bps year over year The company reported a loss from operations of  68 9 million  significantly wider than the year ago quarter s loss of  820 000 Balance SheetAs of Dec 31  2019  cash and cash equivalents were  1 38 billion  declining from  1 42 billion as of Sep 30  2019 Short term investments were  1 6 billion in the fourth quarter  down from  1 7 billion in the previous quarter Accounts receivable amounted to  35 4 million  up from  35 1 million in the third quarter  Further  inventory at the end of the fourth quarter was  8 6 million  up from  4 6 million at the end of previous quarter Zacks Rank   Other Key PicksMercadoLibre currently has a Zacks Rank  2  Buy  Some other top ranked stocks in the retail wholesale sector are Zumiez Inc    NASDAQ ZUMZ    Alibaba Group Holding Limited   NYSE BABA   and eBay Inc    NASDAQ EBAY    While Zumiez sports a Zacks Rank  1  Strong Buy   Alibaba and eBay carry a Zacks Rank  2  You can see Long term earnings growth rate for Zumiez  Alibaba and eBay is currently pegged at 12   25 8  and 10 26   respectively Today s Best Stocks from Zacks Would you like to see the updated picks from our best market beating strategies  From 2017 through 2019  while the S P 500 gained and impressive  53 6   five of our strategies returned  65 8    97 1    118 0    175 7  and even  186 7  This outperformance has not just been a recent phenomenon  From 2000   2019  while the S P averaged  6 0  per year  our top strategies averaged up to  54 7  per year ",2020-02-11,Zacks Investment Research,https://www.investing.com/analysis/mercadolibre-meli-reports-loss-in-q4-revenues-improve-yy-200506846,200506846
218005,439521,EBAY,Can EBay  EBAY  Keep The Earnings Surprise Streak Alive ,opinion,"Have you been searching for a stock that might be well positioned to maintain its earnings beat streak in its upcoming report  It is worth considering eBay  EBAY   which belongs to the Zacks Internet   Commerce industry 
When looking at the last two reports  this e commerce company has recorded a strong streak of surpassing earnings estimates  The company has topped estimates by 6 38   on average  in the last two quarters 
For the last reported quarter  eBay came out with earnings of  0 67 per share versus the Zacks Consensus Estimate of  0 65 per share  representing a surprise of 3 08   For the previous quarter  the company was expected to post earnings of  0 62 per share and it actually produced earnings of  0 68 per share  delivering a surprise of 9 68  
Price and EPS Surprise

For eBay  estimates have been trending higher  thanks in part to this earnings surprise history  And when you look at the stock s positive Zacks Earnings ESP  Expected Surprise Prediction   it s a great indicator of a future earnings beat  especially when combined with its solid Zacks Rank 
Our research shows that stocks with the combination of a positive Earnings ESP and a Zacks Rank  3  Hold  or better produce a positive surprise nearly 70  of the time  In other words  if you have 10 stocks with this combination  the number of stocks that beat the consensus estimate could be as high as seven 
The Zacks Earnings ESP compares the Most Accurate Estimate to the Zacks Consensus Estimate for the quarter  the Most Accurate Estimate is a version of the Zacks Consensus whose definition is related to change  The idea here is that analysts revising their estimates right before an earnings release have the latest information  which could potentially be more accurate than what they and others contributing to the consensus had predicted earlier 
EBay has an Earnings ESP of  4 90  at the moment  suggesting that analysts have grown bullish on its near term earnings potential  When you combine this positive Earnings ESP with the stock s Zacks Rank  3  Hold   it shows that another beat is possibly around the corner  The company s next earnings report is expected to be released on January 28  2020 
Investors should note  however  that a negative Earnings ESP reading is not indicative of an earnings miss  but a negative value does reduce the predictive power of this metric 
Many companies end up beating the consensus EPS estimate  but that may not be the sole basis for their stocks moving higher  On the other hand  some stocks may hold their ground even if they end up missing the consensus estimate 
Because of this  it s really important to check a company s Earnings ESP ahead of its quarterly release to increase the odds of success  Make sure to utilize our Earnings ESP Filter to uncover the best stocks to buy or sell before they ve reported ",2020-01-23,Zacks Investment Research,https://www.investing.com/analysis/can-ebay-ebay-keep-the-earnings-surprise-streak-alive-200501181,200501181
218006,439522,EBAY,EBay  EBAY  Beats Q4 Earnings And Revenue Estimates,opinion,"EBay  EBAY  came out with quarterly earnings of  0 81 per share  beating the Zacks Consensus Estimate of  0 75 per share  This compares to earnings of  0 71 per share a year ago  These figures are adjusted for non recurring items 
This quarterly report represents an earnings surprise of 8   A quarter ago  it was expected that this e commerce company would post earnings of  0 65 per share when it actually produced earnings of  0 67  delivering a surprise of 3 08  
Over the last four quarters  the company has surpassed consensus EPS estimates four times 
EBay  which belongs to the Zacks Internet   Commerce industry  posted revenues of  2 82 billion for the quarter ended December 2019  surpassing the Zacks Consensus Estimate by 0 55   This compares to year ago revenues of  2 88 billion  The company has topped consensus revenue estimates four times over the last four quarters 
The sustainability of the stock s immediate price movement based on the recently released numbers and future earnings expectations will mostly depend on management s commentary on the earnings call 
EBay shares have lost about 1 7  since the beginning of the year versus the S P 500 s gain of 0 4  
What s Next for eBay 
While eBay has underperformed the market so far this year  the question that comes to investors  minds is  what s next for the stock 
There are no easy answers to this key question  but one reliable measure that can help investors address this is the company s earnings outlook  Not only does this include current consensus earnings expectations for the coming quarter s   but also how these expectations have changed lately 
Empirical research shows a strong correlation between near term stock movements and trends in earnings estimate revisions  Investors can track such revisions by themselves or rely on a tried and tested rating tool like the Zacks Rank  which has an impressive track record of harnessing the power of earnings estimate revisions 
Ahead of this earnings release  the estimate revisions trend for eBay was unfavorable  While the magnitude and direction of estimate revisions could change following the company s just released earnings report  the current status translates into a Zacks Rank  4  Sell  for the stock  So  the shares are expected to underperform the market in the near future  You can see the complete list of today s Zacks  1 Rank  Strong Buy  stocks here 
It will be interesting to see how estimates for the coming quarters and current fiscal year change in the days ahead  The current consensus EPS estimate is  0 70 on  2 66 billion in revenues for the coming quarter and  2 89 on  11 02 billion in revenues for the current fiscal year 
Investors should be mindful of the fact that the outlook for the industry can have a material impact on the performance of the stock as well  In terms of the Zacks Industry Rank  Internet   Commerce is currently in the bottom 29  of the 250 plus Zacks industries  Our research shows that the top 50  of the Zacks ranked industries outperform the bottom 50  by a factor of more than 2 to 1 ",2020-01-28,Zacks Investment Research,https://www.investing.com/analysis/ebay-ebay-beats-q4-earnings-and-revenue-estimates-200502433,200502433
218010,439526,EBAY,Activist Efforts Meets Potential Takeover Headlines for eBay,news,"When it comes to activist investors  Starboard Value LP is one of the better known names  And when it comes to former great online growth stocks  eBay Inc   NASDAQ  EBAY  fits in that  used to be  and  has been  club quite nicely  On top of activist investor news  now eBay finds itself in the rumor mill as well Starboard Value is shown to hold more than a 1  stake in the outstanding shares of eBay and the activist investor group is now going back after eBay to make more change  Starboard sent a letter to eBay acknowledging that eBay did cooperate with both Starboard and Elliott Management but they also want more action According to the investment group  eBay s strategic review is nearly 12 months since the commitments and not enough progress has been made  Specifically  Starboard cited that  no clarity has been provided on a separation of Classifieds  and that the operating review targets  anticipate only limited margin expansion while revenue growth has continued to decelerate  The group also noted that eBay has not added a new director and has not announced the departure of an incumbent independent director div connatix margin bottom  1 5em   div connatix img  margin  unset  According to Starboard s value proposal  and despite the  4 05 billion sale of StubHub  the letter said We continue to believe that eBay is deeply undervalued and that significant opportunities exist to create value for the benefit of all shareholders based on actions that are within the control of management and the Board  We believe eBay has an opportunity to create significant shareholder value through the separation of eBay Classifieds Group   Classifieds    and that at peer trading levels  the implied valuation of the core Marketplace business   Marketplace   is extremely attractive  with opportunities to improve revenue trends  execution  and profitability in the core business Where the reports stands out on the Classified unit is that other classified operations have a media value of 22 times expected EBIDTA  but eBay is valued at only 8 times forward EBITDA  Starboard s letter said In our view  eBay s Classifieds business is similarly attractive to many of these companies and would trade at a similar valuation if it were a standalone public company  The Company has guided to high single digit growth  and with the recent added disclosure of segment margins  we estimate that Classifieds Adj  EBITDA margins are in the low mid 40  range  Based on this financial profile and peer trading levels  we believe that a separation of Classifieds would unlock a tremendous amount of value for eBay s shareholders and create significant upside in the stock As for the unlocking  a potential sale is one issue but so is the tax free spin off proposal eBay issued a response and showed multiple instances where the company has made efforts to make changes from delivering on financial commitments  scaling growth initiatives  increasing margins  returning capital to shareholders  transforming its portfolio of operations and  refreshing  its board of directors  The statement said The eBay Board of Directors includes a director jointly nominated and agreed upon with Starboard  a representative of one of our largest shareholders  Elliott Management  and other strong  experienced and independent directors  The Board and eBay s management team are aligned in their commitment to taking all appropriate steps to drive the value of the Company  Our Board and management team have implemented changes based on investor input and have taken significant actions to deliver long term shareholder value and strengthen the business  Through that lens  we will review Starboard s letter and perspectives as we continue to rigorously review our business and opportunities for growth and value creation eBay shares had been down under  35 earlier on Tuesday  but the stock popped up over 8  to  37 40 on word that IntercontentalExchange  Inc   NYSE  ICE  has approached eBay multiple times about a potential takeover  ICE s market cap is  54 billion  most investors think of it as one of the few global leaders in stocks  futures and other securities trading Suddenly the trading volume was double the normal daily volume  With a 52 week range of  33 53 to  42 00  eBay has a market cap of  30 billion and the Refinitiv consensus analyst target has now dropped down to  38 73 
By Jon C  Ogg",2020-02-04,247wallst,https://invst.ly/pr0va,2075906
