,id,ticker,title,category,content,date,provider,url,article_id
130411,351926,EIX,Organigram Stock High on Results and on Expected Products Coming in 2020,news,"Organigram Holdings Inc   NASDAQ  OGI  was one of the top stock market gainers on Wednesday after the cannabis and cannabis derived products seller posted earnings  Many pot stocks have tried to recover over the past month  but in general the cannabis stocks remain firmly down from highs  and many legalized marijuana investors have to feel burned over how much money has been lost in this group since the highs in 2018 and 2019 One issue that has attracted investors to Organigram is that the company developed a proprietary nano emulsification technology that targets an initial cannabinoid absorption time of just 10 to 15 minutes  That process generates micro particles that are very small and is expected to come with an absorption rate and onset of effect that is much faster than other absorption times Organigram announced that its net revenue in the first fiscal quarter of 2020 more than doubled to  25 2 million from  12 4 million a year earlier and that gross revenues rose to  28 448 million from  14 479 million a year earlier  While the revenue gain was large  the company noted that the adult use recreational cannabis was only legalized on October 17  2018  and that implies that the gains would have been even greater had it been legal for the entire quarter of operations div connatix margin bottom  1 5em   div connatix img  margin  unset  The company also showed that its gross margin  before fair value changes to biological assets and inventory  of  9 3 million  or 37  of net revenue  compared to  8 8 million or 71  of net revenue a year earlier  The company s net loss of  0 9 million was against net income from continuing operations of  29 5 million a year earlier  but the company showed that this significant change was largely due to noncash fair value changes to biological assets and inventories in the prior year quarter  It further showed that SG A expenses represented 37  of net revenue this last quarter  up from 36  a year earlier The company s press release included several updates on existing and upcoming cannabis products  It confirmed that Organigram began shipping the Trailblazer Torch vape cartridges on December 17  2019  It also expects to begin shipping Edison   Feather ready to go distillate pens before the end of January  and it plans to begin shipping the Edison   PAX ERA distillate cartridges in the second quarter during 2020  After receiving a licensing for chocolate production and packaging areas in December 2019  the company also sees its launch remaining on target for sales of cannabis infused chocolates to begin during the first quarter of 2020 After ending the latest quarter with  34 1 million in cash and short term investments  the company believes it has ample capital to fund its operations and capital expenditure plans  Organigram also currently still has  30 0 million in undrawn capacity on its term loan  as well as an additional  32 1 million available to raise under its total  55 million at the market equity program after having raised some  22 9 million before the end of last quarter Greg Engel  CEO of Organigram  said Despite ongoing industry challenges  we are pleased with solid Q1 2020 results and our return to positive adjusted EBITDA during the quarter  Our team was also successful in shipping the first of our Rec 2 0 products as planned and on schedule in December of 2019  We also look forward to the launch of the remainder of our vape pen portfolio followed soon after by our premium cannabis infused chocolate products  In addition to an exciting line up of 2 0 products  we are rolling out a couple of new core strains  such as our high THC Edison Limelight  across the country following their success as limited time offers in smaller markets Organigram shares traded up 29  to  2 79 Wednesday morning  but the 52 week trading range of  1 89 to  8 44 should show just how volatile these shares have been  Its market cap was  430 million on last look  


				ALSO READ  Goldman Sachs Says Solar Stocks Are Poised for a Huge 2020				


By Jon C  Ogg",2020-01-15,247wallst,https://invst.ly/pie6j,2060140
130415,351930,EIX,Trump likens Elon Musk to Thomas Edison   He s one of our great geniuses ,news, We have to protect our genius   President Trump told CNBC s Joe Kernen from the World Economic Forum in Davos  Switzerland Musk is  one of our very smart people  and we want to cherish those people   Trump said The president said Musk is not only good at electric cars   He does good at rockets  too  by the way  I never saw where the engines come down with no wings  no anything  and they re landing  ,2020-01-22,CNBC,https://invst.ly/plar7,2064738
130416,351931,EIX,Elon Musk is as if  Thomas Edison and Henry Ford made a baby   analyst says as Tesla stock soars,news, If Thomas Edison and Henry Ford made a baby  that baby would be called Elon Musk   Morgan Stanley analyst Adam Jonas said on Tuesday Jonas lauded Musk s push for innovation across his companies But Jonas still is sticking by his underperform rating and  360 price target   essentially expecting the stock will drop 60  in the next year ,2020-02-04,CNBC,https://invst.ly/pq-8z,2075746
130417,351932,EIX,Improve Your Retirement Income With These 3 Top Ranked Dividend Stocks   February 04  2020,opinion,"Strange but true  seniors fear death less than running out of money in retirement 
And older Americans have legitimate reasons for this worry  even if they have dutifully saved for their golden years  That s because the traditional ways people manage retirement may no longer provide enough income to meet expenses   and with people generally living longer  the principal retirement savings is exhausted far too early in the retirement period 
Retirement investing approaches of the past don t work today 
In the past  investors going into retirement could invest in bonds and count on attractive yields to produce steady  reliable income streams to fund a predictable retirement  10 year Treasury bond rates in the late 1990s hovered around 6 50   whereas at the time of this article  the current rate is under 2  and looks to stay low thanks to an accommodative Fed 
While this yield reduction may not seem drastic  it adds up  for a  1 million investment in 10 year Treasuries  the rate drop means a difference in yield of more than  1 million 
Today s retirees are getting hit hard by reduced bond yields   and the Social Security picture isn t too rosy either  Right now and for the near future  Social Security benefits are still being paid  but it has been estimated that the Social Security funds will be depleted as soon as 2035 
So what s a retiree to do  You could cut your expenses to the bone  and take the risk that your Social Security checks don t shrink  Or you could find an alternative investment that provides a steady  higher rate income stream to replace dwindling bond yields 
Invest in Dividend Stocks
As a replacement for low yielding Treasury bonds  and other bond options   we believe dividend paying stocks from high quality companies offer low risk and stable  predictable income investors in retirement seek 
For example  AT T  NYSE T  and Coca Cola  NYSE KO  are income stocks with attractive dividend yields of 3  or better  Look for stocks like this that have paid steady  increasing dividends for years  or decades   and have not cut their dividends even during recessions 
Going beyond those familiar names  you can find excellent dividend paying stocks by following a few guidelines  Look for companies that pay a dividend yield of around 3   with positive annual dividend growth  The growth rate is key to help combat the effects of inflation 
Here are three dividend paying stocks retirees should consider for their nest egg portfolio 
Edison International  NYSE EIX  is currently shelling out a dividend of  0 64 per share  with a dividend yield of 3 28   This compares to the Utility   Electric Power industry s yield of 2 69  and the S P 500 s yield of 1 82   In terms of dividend growth  the company s current annualized dividend of  2 55 is up 4 08  from last year 
Foot Locker  NYSE FL  is paying out a dividend of 0 38 per share at the moment  with a dividend yield of 3 84  compared to the Retail   Apparel and Shoes industry s yield of 0  and the S P 500 s yield  Taking a look at the company s dividend growth  its current annualized dividend of  1 52 is up 10 14  from last year 
Currently paying a dividend of 0 18 per share  Independent Bank  IBCP  has a dividend yield of 3 35   This is compared to the Banks   Midwest industry s yield of 2 52  and the S P 500 s current yield  Looking at dividend growth  the company s current annualized dividend of  0 72 is up 20  from last year 
But aren t stocks generally more risky than bonds 
It is true that stocks  as an asset class  carry more risk than bonds  but high quality dividend stocks not only have the ability to produce income growth over time but more importantly  can also reduce your overall portfolio volatility relative to the broader stock market 
An upside to adding dividend stocks to your retirement portfolio  they can help lessen the effects of inflation  since many dividend paying companies  especially blue chip stocks  generally increase their dividends over time 
Thinking about dividend focused mutual funds or ETFs  Watch out for fees 
You may be thinking   I like this dividend strategy  but instead of investing in individual stocks  I m going to find a dividend focused mutual fund or ETF   This approach can make sense  but be aware that some mutual funds and specialized ETFs carry high fees  which may reduce your dividend gains or income  and defeat the goal of this dividend investment approach  If you do wish to invest in a fund  do your research to find the best quality dividend funds with the lowest fees 
Bottom Line
Regardless of whether you select high quality  low fee funds or stocks  looking for a steady stream of income from dividend paying equities can potentially lead you to a solid and more peaceful retirement 
Generating income is just one aspect of planning for a comfortable retirement 
To learn more ways to maximize your assets   and avoid pitfalls that could jeopardize your financial security   download our free report 
Will You Retire a Multi Millionaire  7 Things You Can Do NowThis helpful guide offers our viewpoints about strategic retirement investment planning  based on decades of experience helping our clients prepare for financial security during their golden years  Get Your FREE Guide Now",2020-02-03,Zacks Investment Research,https://www.investing.com/analysis/improve-your-retirement-income-with-these-3-topranked-dividend-stocks--february-04-2020-200504381,200504381
130435,351950,EIX,PPL Corp  PPL  To Benefit From Systematic Capital Expenditure ,opinion,PPL Corporation s   NYSE PPL   ongoing capital investments to strengthen infrastructure and recovery of 80  of the same in a year  growth in domestic operation as well as hedging programs bode well for its earnings in the upcoming days For 2019  earnings estimates inched up 0 4  to  2 43 per share in the past 90 days  Additionally  the company posted an average positive earnings surprise of 1 4  in the last four quarters In the past 12 months  shares of the company have returned 12 1  compared with the  s growth of 8 4  What s Driving the Stock PPL Corp s capital investment plan primarily focuses on infrastructure projects for generation  transmission and distribution  The company is on track to invest  3 3 billion in infrastructure improvements in 2019 and plans to spend nearly  15 billion through 2019 2023  Based on systematic investments and timely recovery  the company expects to achieve compound annual earnings growth of 5 6  through 2020 from midpoint of initial 2018 earnings guidance of  2 30 per share The company s asset portfolio and business model are adaptable to various market scenarios  PPL Corp continues to follow an organic growth strategy to expand as well as upgrade its electric and gas infrastructure  PPL Electric Utilities is about to complete a multi year advanced meter replacement project in Pennsylvania  which is valued at  470 million  These meters will enable the company to respond more efficiently to customer requests by remotely connecting and disconnecting service The company has a history of dividend payouts  In August 2019  the company declared a quarterly common stock dividend of 41 25 cents per share  which was paid out on Oct 1  2019  This represents the company s 295th consecutive quarterly dividend  The strong cash flow generation capacity enables the company to payout consistent dividend to shareholders However  higher debt levels  unplanned outages at power plants as well as stringent law and regulations outside the United States are headwinds for PPL Corp Zacks RankThe stock carries a Zacks Rank  3  Hold   You can see  Stocks to ConsiderSome better ranked stocks from the same industry are Eversource Energy   NYSE ES    FirstEnergy Corporation   NYSE FE   and Edison International   NYSE EIX    All the three stocks hold a Zacks Rank  2  Buy  Long term earnings growth of Eversource  FirstEnergy and Edison International is pegged at 5 6   6  and 5 27   respectively Eversource  FirstEnergy and Edison International delivered an average positive earnings surprise of 2 39   2 87  and 0 09  in the last four quarters  respectively Today s Best Stocks from ZacksWould you like to see the updated picks from our best market beating strategies  From 2017 through Q3 2019  while the S P 500 gained  39 6   five of our strategies returned  51 8    57 5    96 9    119 0   and even  158 9  This outperformance has not just been a recent phenomenon  From 2000   Q3 2019  while the S P averaged  5 6  per year  our top strategies averaged up to  54 1  per year ,2019-11-28,Zacks Investment Research,https://www.investing.com/analysis/ppl-corp-ppl-to-benefit-from-systematic-capital-expenditure-200488927,200488927
130436,351951,EIX,FE Or EIX  Which Electric Utility Stock Should You Invest In ,opinion,Utilities is one of the most stable sectors for investment  as it deals with basic services and is not affected by the vagaries of the economy  Utility companies are preferred picks for investors owing to stable operations and their capability to reward shareholders with regular dividend pay outs Utility operations require consistent investment to upgrade  maintain and replace older wires and electric poles as well as power stations  These stocks are highly regulated at the federal and state levels  Hence  utility firms depend on the credit market for funds to carry on upgradation activities apart from internal sources  The recent rate reductions by the Fed will lower capital servicing expenses and have a positive impact on margins Recently  players in industry are focused on generating electricity from clean sources and add energy storage projects to their portfolio  However  expenses related to maintenance and replacement of aging infrastructure is a concern In this write up  we run a comparative analysis on two Zacks Utility   Electric Power industry stocks   FirstEnergy Corporation   NYSE FE   and Edison International   NYSE EIX     to ascertain a better buying option currently  Steady performance along with stable earnings and cash flow enable these companies to reward investors through regular dividend pay outs FirstEnergy  currently carrying a Zacks Rank  2  Buy   has a market capitalization of  25 77 billion  You can see  Edison International  also carrying a Zacks Rank  2  has a market capitalization of  24 78 billion Price PerformanceIn the past 12 months  shares of FirstEnergy and Edison International have gained 23 6  and 21 3   respectively  compared with the industry s growth of 7 2  ONE YEARLong Term Earnings Growth and Surprise TrendEarnings of FirstEnergy and Edison International are expected to improve 6  and 5 27   respectively  in the long term  three to five years  FirstEnergy and Edison International outpaced the Zacks Consensus Estimate in the trailing four quarters and recorded average positive earnings surprise of 2 87  and 0 09   respectively Return on Equity  ROE ROE is a measure of a company s efficiency in utilizing shareholders  funds  ROE in the trailing 12 months for Edison International and FirstEnergy was 11 98  and 19 21   respectively  Both the companies outperformed the industry s ROE of 9 47  Dividend YieldUtility companies generally distribute dividends  Currently  the dividend yield for FirstEnergy is at 3 19   lower than 3 55  for Edison International  Both the companies  dividend yield is better than the industry s 2 93  and the S P 500 index s 1 77  OutcomeThe companies are providing quality services to customers as well as have plans to invest heavily to upgrade and strengthen their infrastructure  The additions and the expansion of infrastructure will enable these two utilities to serve their expanding customer base  more efficiently   Markedly  it is quite evident from the above comparisons that FirstEnergy is a better investment option Free  Zacks  Single Best Stock Set to DoubleToday you are invited to download our latest Special Report that reveals 5 stocks with the most potential to gain  100  or more in 2020  From those 5  Zacks Director of Research  Sheraz Mian hand picks one to have the most explosive upside of all This pioneering tech ticker had soared to all time highs and then subsided to a price that is irresistible  Now a pending acquisition could super charge the company s drive past competitors in the development of true Artificial Intelligence  The earlier you get in to this stock  the greater your potential gain ,2019-12-01,Zacks Investment Research,https://www.investing.com/analysis/fe-or-eix-which-electric-utility-stock-should-you-invest-in-200489340,200489340
130437,351952,EIX,Here s Why You Should Add Black Hills  BKH  In Your Portfolio ,opinion,Black Hills Corporation s   NYSE BKH   systematic investments and focus on clean energy development will boost its performance Let s take a look at the factors that are driving this Zacks Rank  2  Buy  utility company  You can see  Price Performance   Long Term GrowthThe company s shares have gained 14  in the past 12 months compared with the  s rise of 6 7  The company s long term  three to five years  earnings growth is pegged at 4 27  Systematic InvestmentsThe company is investing systematically on its electric and natural gas utilities  Its capital expenditure plan for the next five years is focused primarily on projects and initiatives that maintain safety and reliability as well as foster customer growth  It expects to spend  2 9 billion capital through 2019 2023 time period Estimate RevisionEarnings estimates for Black Hills have been revised upward in the past 60 days  reflecting analysts  optimism on the stock  The Zacks Consensus Estimate for 2019 and 2020 earnings per share has moved up 0 8  and 0 3  to  3 47 and  3 71  respectively  during the said period Dividend YieldThe company has been paying out dividend to its shareholders on a continuous basis  It has increased dividend for 49 consecutive years  The company s targeted annual payout ratio is 50 60  of earnings  Currently  Black Hills has a dividend yield of 2 81  compared with the Zacks S P 500 composite s 1 8  Other Stocks to ConsiderSome other top ranked stocks from the same industry are FirstEnergy Corporation   NYSE FE    Edison International   NYSE EIX   and The AES Corporation   NYSE AES    All the three stocks hold a Zacks Rank  2  Buy  Long term earnings growth of FirstEnergy  Edison International and The AES Corporation is pegged at 6   5 27  and 8 49   respectively FirstEnergy  Edison International and The AES Corporation delivered an average positive earnings surprise of 2 87   0 09  and 4 68  in the last four quarters  respectively 5 Stocks Set to DoubleEach was hand picked by a Zacks expert as the  1 favorite stock to gain  100  or more in 2020  Each comes from a different sector and has unique qualities and catalysts that could fuel exceptional growth Most of the stocks in this report are flying under Wall Street radar  which provides a great opportunity to get in on the ground floor ,2019-12-11,Zacks Investment Research,https://www.investing.com/analysis/heres-why-you-should-add-black-hills-bkh-in-your-portfolio-200491800,200491800
130438,351953,EIX,Edison International Declares 4 1  Quarterly Dividend Hike,opinion,Edison International s   NYSE EIX   board of directors recently announced its decision to increase quarterly dividend rate by 4 1   The revised dividend of 63 75 cents per share will be distributed on Jan 31  2020  to its shareholders of record at the close of business on Dec 31  2019 The latest hike marks an increase of 2 50 cents from the prior payout of 61 25 cents per share  The new annualized dividend amounts to  2 55 per share  up from  2 45 paid earlier Backed by the latest dividend hike  the company s current annual dividend yield stands at 3 57  compared with the industry s 2 89  and the Zacks S P 500 composite s average yield of 1 82  Notably  this is the 16th consecutive year of a dividend hike by Edison International s management Solid Cash Flow Boosts Dividend HikeWith a strong portfolio of regulated utility assets and well managed merchant energy operations  Edison International presents a lower risk profile than its utility only peers In particular  Edison International s ability to pay dividends on its common stock is primarily dependent on the earnings and cash flows coming from its primary subsidiary  Southern  NYSE SO  California Edison  SCE   In this regard  it is imperative to mention that in third quarter2019  SCE core activities contributed 7 cents to the company s overall earnings    Such solid bottom line performance gets translated into strong cash generation capability  which in turn  enables a company to make smooth dividend payments  Notably  as of Sep 30  2019  this Zacks Rank  2  Buy  stock had cash and cash equivalents of  547 million compared with  144 million at 2018 end  You can see  Going forward  Edison International s management plans to increase its dividend above industry average growth rate toward its target payout ratio of 45 55  of SCE earnings   This initiative is expected to bolster dividend growth at a faster pace than SCE s earnings growth  apart from allowing the company to boost investor interest in the stock Impressively  SCE currently intends to invest  8 90  9 10 billion between 2019 and 2020 for grid modernization besides expansion of its distribution and transmission facilities  This will entitle Edison International to offer more safe and reliable electricity  in a greater amount  enabling it to meet its dividend payout goals Dividend Hikes in the Utilities SectorThe  sector provides basic services like electric  water and gas  Consistent demand for these services has enabled companies in this sector to maintain steady earnings and cash flow  This helps the companies to rewardshareholders with regular dividend payouts  Keeping this trend alive  apart from Edison International  other utility players have raised their dividends in recent times On Dec 9  AES Corp   NYSE AES   announced that its management has approved a 5  hike in its first quarter 2020 common stock quarterly dividend to 14 33 cents  taking the annualized payout to 57 32 cents per share  On Dec 5  WEC Energy Group   NYSE WEC   announced that it is planning to hike the quarterly dividend to 63 25 cents per share from the present level of 59 cents  Earlier in November  The York Water Company s   NASDAQ YORW   board of directors announced a hike in the quarterly dividend to 18 02 cents per share  up 4  from the previous rate Price MovementIn a year s time  shares of Edison International have gained 20  compared with the s 7 4  growth Breakout Biotech Stocks with Triple Digit Profit PotentialThe biotech sector is projected to surge beyond  775 billion by 2024 as scientists develop treatments for thousands of diseases  They re also finding ways to edit the human genome to literally erase our vulnerability to these diseases Zacks has just released Century of Biology  7 Biotech Stocks to Buy Right Now to help investors profit from 7 stocks poised for outperformance  Our recent biotech recommendations have produced gains of  98    119  and  164  in as little as 1 month  The stocks in this report could perform even better ,2019-12-12,Zacks Investment Research,https://www.investing.com/analysis/edison-international-declares-41-quarterly-dividend-hike-200492444,200492444
130440,351955,EIX,EIX Or PPL  Which Electric Utility Stock Should You Hold ,opinion,Steady performance along with stable earnings and cash flow enable Utility companies to reward investors through regular dividend payouts  This is why these stocks are safe investment options Mature and regulated utility companies provide basic services  while investing in infrastructures  They are dependent on financial organizations for funds and thus  rate cuts are beneficial for them  Since July 2019  three rate cuts have boosted the sector and enabled companies to borrow funds at lower rates For 2020  we suggest that investors should hold on to utility stocks that have returned more than their broader industry in the past 12 months  Moreover  these stocks have paid out higher dividends than the industry and Zacks S P 500 composite as well as have long term investment plans to expand their businesses In this write up  we run a comparative analysis on two  industry stocks   Edison International   NYSE EIX   and PPL Corporation   NYSE PPL     to ascertain a better option to hold on to now  Both the stocks currently carry a Zacks Rank  3  Hold   Edison International and PPl Corp have market capitalization of  26 97 billion and  25 68 billion  respectively  You can see  Price PerformanceIn the past 12 months  shares of Edison International and PPL Corp have gained 32 5  and 25 4   respectively  compared with the industry s growth of 21 7  ONE YEARDividend YieldCurrently  the dividend yield for Edison International is at 3 26   lower than 4 65  for PPL Corp  Both the companies  dividend yield is better than the industry s 2 79  and Zacks S P 500 composites  1 78  Surprise TrendEarnings of Edison International and PPL Corp have outpaced the Zacks Consensus Estimate in the trailing four quarters  the average being 0 09  and 1 40   respectively Return on Equity  ROE ROE is a measure of a company s efficiency in utilizing shareholders  funds  ROE in the trailing 12 months for Edison International and PPL Corp was 11 98  and 14 73   respectively  Both the companies have outperformed the industry s ROE of 9 47  Growth ProjectionsThe consensus mark for Edison International s 2020 earnings is pegged at  4 59 per share on revenues of  13 10 billion  The bottom line figure suggests a 3 32  year over year decline  The same for the top line calls for a 3 12  rise on a year on year basis The consensus mark for 2020 earnings for PPL Corp is pegged at  2 54 per share on revenues of  8 14 billion  The bottom line estimate suggests a 4 53  year over year increase   The same for the top line implies a 3 36  increase year on year OutcomeThe companies are providing quality services to customers as well as have plans to invest heavily to upgrade and strengthen infrastructure  The additions and expansion of infrastructure will enable these two utilities to serve their increasing customer base more efficiently  Edison International currently intends to invest  8 90  9 10 billion between 2019 and 2020  PPL Corp is on track to invest nearly  15 billion through 2019 2023 Markedly  it is evident from these above comparisons that PPL Corp stock to retain in your portfolio Breakout Biotech Stocks with Triple Digit Profit PotentialThe biotech sector is projected to surge beyond  775 billion by 2024 as scientists develop treatments for thousands of diseases  They re also finding ways to edit the human genome to literally erase our vulnerability to these diseases Zacks has just released Century of Biology  7 Biotech Stocks to Buy Right Now to help investors profit from 7 stocks poised for outperformance  Our recent biotech recommendations have produced gains of  98    119  and  164  in as little as 1 month  The stocks in this report could perform even better ,2019-12-29,Zacks Investment Research,https://www.investing.com/analysis/eix-or-ppl-which-electric-utility-stock-should-you-hold-200495454,200495454
130441,351956,EIX,Unprecedented California Blackout Plunges Millions Into Darkness,news," Bloomberg     The unprecedented power shutdown by California s Pacific Gas   Electric Co  NYSE PCG  has spread deeper into densely populated cities near San Francisco  ensnaring millions of people and raising the prospect that much of a major metropolitan area could go without electricity for days 
The bankrupt utility said late Wednesday that it had begun a second round of power cuts that will plunge another 234 000 customers in cities including Berkeley and Oakland into darkness  It s part of the biggest blackout ever orchestrated to prevent strong winds from knocking down electrical lines and igniting fires  Half a million homes and businesses in Northern California were already in the dark  cut off by PG E overnight 
Meanwhile in Southern  NYSE SO  California  Edison International  NYSE EIX  was cutting power to dozens of customers and has warned of more  while San Diego s main utility is also considering shutoffs  Altogether  more than 3 million people may eventually be affected  or almost 8  of the state s population  based on city estimates and the average household size  The economic impact may reach  2 6 billion 
After being forced into bankruptcy from wildfires its equipment caused over the past two years  PG E is using the massive power cuts in an attempt to prevent another deadly disaster  While San Francisco and Silicon Valley will be spared  the extensive reach of the outages threatens to roil the area s economy by disrupting workers  shutting stores and forcing companies and agencies to shell out for costly back up generators to keep operations limping along 
Restoring Power
Determining just how deep the impact will be is difficult  PG E had already restored power to some 50 000 customers in the Sierra Nevada foothills as of late Wednesday and were looking to return service to 80 000 by Thursday morning  the company said in its statement  released around 11 p m  local time Wednesday  But outages could persist into next week as the utility sends crews to inspect all of its lines  Santa Clara County warned a shutoff could last seven days 
Parts of Northern California s East and South Bays were set to lose power later in the evening under the second phase  After that  PG E will weigh a third round of cuts for portions of Kern County  which may affect about 4 000 customers  The utility earlier predicted impact to 43 000 
A prolonged blackout will strain the region s economy  said Michael Wara  director of the Climate and Energy Policy Program at Stanford University  Blackouts lasting hours or a single day close offices and schools  and prompt runs on grocery stores  At five days  cupboards start running bare  diesel for backup generators start selling out and gasoline runs short as stations won t have power 
 If you lose power for five hours  you may have to throw out some milk   Wara said   If you lose power for five days  you need to throw anything that s perishable away  and you are likely eating out of a can  
Wara estimated PG E s blackout could cost  2 6 billion if it lasts two days  using a planning tool developed by Lawrence Berkeley National Laboratory  Two of the researchers who developed that tool  however  cautioned that it s designed to calculate the impact of much shorter blackouts    less than 24 hours 
Running on Generators
In areas where electricity was already out early Wednesday  many stores and businesses sat closed  while others worked off back up power   Wells Fargo   NYSE WFC  shuttered some branches  A few dozen Safeway supermarkets were affected as of midday  and the company was providing backup generators and refrigerated trailers upon availability 
Cities also turned to generators to power some facilities on Wednesday and simply closed others  Santa Rosa used generators to keep tap water flowing to residents and the lights on in fire stations  It shut down City Hall  according to its website  Public buses were running but not collecting fares    its own expense 
For wineries  the blackout hit at a crucial time  harvest  Michael Haney  executive director of Sonoma County Vintners  said many wineries have either bought or rented backup generators  Some smaller growers have struck agreements to have their grapes stored at other facilities where there s power 
 Wineries have had to pay out money for backup power   he said   The sad thing is some of our smaller wineries can t afford it  
Elsewhere in Sonoma County  the Russian River Brewing Company rented a 2 megawatt generator to power its brewery  The company    famed for its Pliny the Younger cult beer    wanted something smaller  but wineries had already snapped up most  said co owner Natalie Cilurzo  It s instead paying about  27 000 to rent its backup unit for a month  and fueling it with diesel probably costs between  8 000 and  10 000 every day it runs  Cilurzo said 
Readying Workers
In San Francisco  companies prepared for the impact to employees  even while offices went unaffected   Twitter Inc   NYSE TWTR   told employees whose commutes were affected by the outages that they could work from home  Down in Silicon Valley  Hewlett Packard Enterprise Co  similarly encouraged telecommuting 
The region s main commuter rail system    Bay Area Rapid Transit  or BART    expected no disruption  in part because the service had already deployed generators  some from PG E  to vulnerable spots  PG E also supplied four generators to a keep a heavily traveled freeway tunnel open beneath the East Bay hills  a major artery to San Francisco 
The widespread impact angered Californians    and some elected officials  State Senator Scott Wiener  a San Francisco Democrat  called the outage  a completely unacceptable state of affairs   Governor Gavin Newsom was more measured  saying the blackout was  appropriate under the circumstances   but added   No one is happy about it  ",2019-10-10,Bloomberg,https://www.investing.com/news/stock-market-news/unprecedented-california-blackout-plunges-millions-into-darkness-1994373,1994373
